from,to,weight
H,H,74
H,Li,7
H,Be,74
H,B,5
H,C,1
H,O,74
H,F,8
H,Na,18
H,Mg,6
H,Al,16
H,Si,38
H,P,28
H,Cl,1
H,K,6
H,Ca,41
H,Mn,14
H,Fe,11
H,Zn,3
H,As,3
H,Y,3
H,Zr,3
H,Sn,2
H,Cs,1
H,Ba,4
H,La,1
H,Ce,4
H,Nd,2
H,Yb,1
H,Pb,1
H,Th,2
H,U,1
Li,H,7
Li,Li,12
Li,Be,12
Li,B,1
Li,O,12
Li,F,2
Li,Na,5
Li,Al,4
Li,Si,7
Li,P,5
Li,K,4
Li,Ca,6
Li,Ti,1
Li,Fe,1
Li,Zr,2
Li,Cs,3
Li,Ba,1
Li,La,1
Li,Ce,1
Li,Nd,1
Li,Th,1
Be,H,74
Be,Li,12
Be,Be,132
Be,B,13
Be,C,1
Be,O,132
Be,F,14
Be,Na,32
Be,Mg,18
Be,Al,39
Be,Si,78
Be,P,33
Be,S,3
Be,Cl,3
Be,K,18
Be,Ca,59
Be,Sc,2
Be,Ti,6
Be,V,1
Be,Cr,3
Be,Mn,18
Be,Fe,25
Be,Zn,6
Be,As,4
Be,Rb,1
Be,Sr,1
Be,Y,9
Be,Zr,3
Be,Sn,4
Be,Sb,2
Be,Cs,7
Be,Ba,7
Be,La,2
Be,Ce,7
Be,Nd,4
Be,Yb,1
Be,Pb,2
Be,Th,2
Be,U,1
B,H,5
B,Li,1
B,Be,13
B,B,13
B,O,13
B,F,3
B,Na,1
B,Mg,2
B,Al,7
B,Si,8
B,Cl,2
B,K,3
B,Ca,7
B,Mn,2
B,Fe,3
B,Rb,1
B,Y,2
B,Sn,1
B,Cs,3
B,Ba,1
B,La,1
B,Ce,3
B,Nd,1
B,Pb,1
B,Th,2
B,U,1
C,H,1
C,Be,1
C,C,1
C,O,1
C,Na,1
O,H,74
O,Li,12
O,Be,132
O,B,13
O,C,1
O,O,132
O,F,14
O,Na,32
O,Mg,18
O,Al,39
O,Si,78
O,P,33
O,S,3
O,Cl,3
O,K,18
O,Ca,59
O,Sc,2
O,Ti,6
O,V,1
O,Cr,3
O,Mn,18
O,Fe,25
O,Zn,6
O,As,4
O,Rb,1
O,Sr,1
O,Y,9
O,Zr,3
O,Sn,4
O,Sb,2
O,Cs,7
O,Ba,7
O,La,2
O,Ce,7
O,Nd,4
O,Yb,1
O,Pb,2
O,Th,2
O,U,1
F,H,8
F,Li,2
F,Be,14
F,B,3
F,O,14
F,F,14
F,Na,8
F,Al,5
F,Si,11
F,P,2
F,Cl,1
F,K,3
F,Ca,8
F,Mn,2
F,Fe,2
F,Y,2
F,Cs,1
F,Ba,2
F,La,1
F,Ce,3
F,Nd,1
F,Pb,1
F,Th,1
Na,H,18
Na,Li,5
Na,Be,32
Na,B,1
Na,C,1
Na,O,32
Na,F,8
Na,Na,32
Na,Mg,4
Na,Al,11
Na,Si,24
Na,P,5
Na,Cl,1
Na,K,10
Na,Ca,11
Na,Ti,3
Na,Mn,4
Na,Fe,4
Na,Y,1
Na,Zr,3
Na,Sn,3
Na,Sb,1
Na,Cs,3
Na,Ce,2
Mg,H,6
Mg,Be,18
Mg,B,2
Mg,O,18
Mg,Na,4
Mg,Mg,18
Mg,Al,10
Mg,Si,10
Mg,P,3
Mg,K,3
Mg,Ca,7
Mg,Mn,4
Mg,Fe,10
Mg,Zn,2
Mg,Sn,2
Mg,Sb,1
Mg,Cs,1
Mg,Pb,1
Al,H,16
Al,Li,4
Al,Be,39
Al,B,7
Al,O,39
Al,F,5
Al,Na,11
Al,Mg,10
Al,Al,39
Al,Si,28
Al,P,3
Al,Cl,1
Al,K,8
Al,Ca,16
Al,Ti,1
Al,Mn,2
Al,Fe,12
Al,Zn,2
Al,Rb,1
Al,Y,1
Al,Zr,1
Al,Sn,1
Al,Sb,1
Al,Cs,5
Al,La,1
Al,Ce,2
Al,Nd,1
Al,Th,2
Al,U,1
Si,H,38
Si,Li,7
Si,Be,78
Si,B,8
Si,O,78
Si,F,11
Si,Na,24
Si,Mg,10
Si,Al,28
Si,Si,78
Si,S,3
Si,Cl,3
Si,K,12
Si,Ca,37
Si,Sc,2
Si,Ti,4
Si,Mn,12
Si,Fe,17
Si,Zn,2
Si,As,1
Si,Y,9
Si,Sn,3
Si,Sb,1
Si,Cs,4
Si,Ba,2
Si,La,2
Si,Ce,7
Si,Nd,4
Si,Yb,1
Si,Pb,2
Si,Th,2
Si,U,1
P,H,28
P,Li,5
P,Be,33
P,O,33
P,F,2
P,Na,5
P,Mg,3
P,Al,3
P,P,33
P,K,4
P,Ca,19
P,Mn,5
P,Fe,5
P,Zn,2
P,Sr,1
P,Zr,3
P,Cs,1
P,Ba,5
S,Be,3
S,O,3
S,Si,3
S,S,3
S,Mn,1
S,Fe,1
S,Zn,1
Cl,H,1
Cl,Be,3
Cl,B,2
Cl,O,3
Cl,F,1
Cl,Na,1
Cl,Al,1
Cl,Si,3
Cl,Cl,3
Cl,K,1
Cl,Ca,2
Cl,Mn,1
Cl,Y,1
Cl,Ba,1
Cl,Pb,1
K,H,6
K,Li,4
K,Be,18
K,B,3
K,O,18
K,F,3
K,Na,10
K,Mg,3
K,Al,8
K,Si,12
K,P,4
K,Cl,1
K,K,18
K,Ca,7
K,Sc,1
K,Ti,2
K,Mn,1
K,Fe,1
K,Rb,1
