from,to,weight
H,H,44
H,N,2
H,O,43
H,Na,1
H,Mg,1
H,Al,1
H,Si,1
H,P,11
H,S,4
H,Cl,2
H,K,1
H,Ca,2
H,V,5
H,Cr,1
H,Fe,11
H,Co,4
H,Ni,1
H,Cu,8
H,As,14
H,Se,1
H,Mo,3
H,Te,2
H,Pb,5
H,Bi,44
H,U,7
C,C,3
C,O,3
C,F,1
C,Ca,2
C,Bi,3
N,H,2
N,N,2
N,O,1
N,Na,1
N,S,1
N,Cl,1
N,K,1
N,Bi,2
O,H,43
O,C,3
O,N,1
O,O,83
O,F,3
O,Na,5
O,Mg,1
O,Al,1
O,Si,3
O,P,12
O,S,11
O,Cl,6
O,K,2
O,Ca,4
O,V,8
O,Cr,2
O,Fe,12
O,Co,4
O,Ni,2
O,Cu,12
O,As,18
O,Se,2
O,Nb,2
O,Mo,7
O,Sb,1
O,Te,7
O,Ta,4
O,W,1
O,Tl,1
O,Pb,6
O,Bi,83
O,U,7
F,C,1
F,O,3
F,F,4
F,Na,1
F,Ca,1
F,Ta,1
F,Bi,4
Na,H,1
Na,N,1
Na,O,5
Na,F,1
Na,Na,5
Na,S,3
Na,Cl,1
Na,K,1
Na,Cu,1
Na,Mo,1
Na,Ta,1
Na,Bi,5
Mg,H,1
Mg,O,1
Mg,Mg,1
Mg,Fe,1
Mg,Co,1
Mg,As,1
Mg,Bi,1
Al,H,1
Al,O,1
Al,Al,1
Al,P,1
Al,Bi,1
Si,H,1
Si,O,3
Si,Si,3
Si,Fe,1
Si,Bi,3
P,H,11
P,O,12
P,Al,1
P,P,12
P,Cl,1
P,Ca,1
P,Fe,4
P,Cu,2
P,As,1
P,Pb,2
P,Bi,12
P,U,3
S,H,4
S,N,1
S,O,11
S,Na,3
S,S,125
S,Cl,5
S,K,2
S,Mn,1
S,Fe,8
S,Ni,6
S,Cu,48
S,As,5
S,Se,12
S,Br,1
S,Pd,3
S,Ag,32
S,Cd,2
S,In,2
S,Sn,3
S,Sb,18
S,Te,14
S,I,1
S,Ir,1
S,Pt,2
S,Au,3
S,Hg,1
S,Tl,1
S,Pb,74
S,Bi,125
Cl,H,2
Cl,N,1
Cl,O,6
Cl,Na,1
Cl,P,1
Cl,S,5
Cl,Cl,11
Cl,K,1
Cl,Ca,1
Cl,Fe,2
Cl,Cu,3
Cl,As,2
Cl,Se,1
Cl,Cd,1
Cl,Sn,1
Cl,Tl,1
Cl,Pb,3
Cl,Bi,11
K,H,1
K,N,1
K,O,2
K,Na,1
K,S,2
K,Cl,1
K,K,2
K,Fe,1
K,Cu,1
K,Bi,2
Ca,H,2
Ca,C,2
Ca,O,4
Ca,F,1
Ca,P,1
Ca,Cl,1
Ca,Ca,4
Ca,Fe,2
Ca,Cu,2
Ca,As,1
Ca,Bi,4
V,H,5
V,O,8
V,V,8
V,Cu,2
V,Pb,1
V,Bi,8
Cr,H,1
Cr,O,2
Cr,Cr,2
Cr,Bi,2
Mn,S,1
Mn,Mn,1
Mn,Bi,1
Fe,H,11
Fe,O,12
Fe,Mg,1
Fe,Si,1
Fe,P,4
Fe,S,8
Fe,Cl,2
Fe,K,1
Fe,Ca,2
Fe,Fe,19
Fe,Co,3
Fe,Cu,9
Fe,As,5
Fe,Ag,2
Fe,Sb,3
Fe,Te,1
Fe,Pb,6
Fe,Bi,19
Co,H,4
Co,O,4
Co,Mg,1
Co,Fe,3
Co,Co,4
Co,As,4
Co,Bi,4
Ni,H,1
Ni,O,2
Ni,S,6
Ni,Ni,9
Ni,Cu,1
Ni,As,3
Ni,Sb,2
Ni,Te,2
Ni,Pb,1
Ni,Bi,9
Cu,H,8
Cu,O,12
Cu,Na,1
Cu,P,2
Cu,S,48
Cu,Cl,3
Cu,K,1
Cu,Ca,2
Cu,V,2
Cu,Fe,9
Cu,Ni,1
Cu,Cu,67
Cu,As,3
Cu,Se,16
Cu,Pd,2
Cu,Ag,14
Cu,Sn,1
Cu,Sb,8
Cu,Te,1
Cu,Pt,1
Cu,Hg,3
Cu,Pb,44
Cu,Bi,67
As,H,14
As,O,18
As,Mg,1
As,P,1
As,S,5
As,Cl,2
As,Ca,1
As,Fe,5
As,Co,4
As,Ni,3
As,Cu,3
As,As,24
As,Mo,1
As,Pd,1
As,Cd,1
As,Sn,1
As,Sb,1
As,Pb,5
As,Bi,24
As,U,4
Se,H,1
Se,O,2
Se,S,12
Se,Cl,1
Se,Cu,16
Se,Se,32
Se,Pd,2
Se,Ag,3
Se,Te,6
Se,Pt,1
Se,Hg,3
Se,Pb,17
Se,Bi,32
Br,S,1
Br,Br,1
Br,Bi,1
Nb,O,2
Nb,Nb,2
Nb,Ta,2
Nb,Bi,2
Mo,H,3
Mo,O,7
Mo,Na,1
Mo,As,1
Mo,Mo,7
Mo,Te,1
Mo,Bi,7
Pd,S,3
Pd,Cu,2
Pd,As,1
Pd,Se,2
Pd,Pd,13
Pd,Ag,2
Pd,Te,3
Pd,Pb,2
Pd,Bi,13
Ag,S,32
Ag,Fe,2
Ag,Cu,14
Ag,Se,3
Ag,Pd,2
Ag,Ag,38
Ag,Sb,8
Ag,Te,3
Ag,Au,1
Ag,Pb,27
Ag,Bi,38
Cd,S,2
Cd,Cl,1
Cd,As,1
Cd,Cd,2
Cd,Pb,2
Cd,Bi,2
In,S,2
In,In,2
In,Sn,1
In,Pb,2
In,Bi,2
Sn,S,3
Sn,Cl,1
Sn,Cu,1
Sn,As,1
Sn,In,1
Sn,Sn,3
Sn,Sb,1
Sn,Pb,3
Sn,Bi,3
Sb,O,1
Sb,S,18
Sb,Fe,3
Sb,Ni,2
Sb,Cu,8
Sb,As,1
Sb,Ag,8
Sb,Sn,1
Sb,Sb,21
Sb,Te,1
Sb,Pt,1
Sb,Au,1
Sb,Pb,15
Sb,Bi,21
Te,H,2
Te,O,7
Te,S,14
Te,Fe,1
Te,Ni,2
Te,Cu,1
Te,Se,6
Te,Mo,1
Te,Pd,3
Te,Ag,3
Te,Sb,1
Te,Te,39
Te,Ir,1
Te,Pt,2
Te,Au,2
Te,Pb,9
Te,Bi,39
I,S,1
I,I,1
I,Bi,1
Ta,O,4
Ta,F,1
Ta,Na,1
Ta,Nb,2
Ta,Ta,4
Ta,Bi,4
W,O,1
W,W,1
W,Bi,1
Ir,S,1
Ir,Te,1
Ir,Ir,2
Ir,Bi,2
Pt,S,2
Pt,Cu,1
Pt,Se,1
Pt,Sb,1
Pt,Te,2
Pt,Pt,6
Pt,Pb,1
Pt,Bi,6
Au,S,3
Au,Ag,1
Au,Sb,1
Au,Te,2
Au,Au,5
Au,Pb,2
Au,Bi,5
Hg,S,1
Hg,Cu,3
Hg,Se,3
Hg,Hg,4
Hg,Pb,3
Hg,Bi,4
Tl,O,1
Tl,S,1
Tl,Cl,1
Tl,Tl,2
Tl,Bi,2
Pb,H,5
Pb,O,6
Pb,P,2
Pb,S,74
Pb,Cl,3
Pb,V,1
Pb,Fe,6
Pb,Ni,1
Pb,Cu,44
Pb,As,5
Pb,Se,17
Pb,Pd,2
Pb,Ag,27
Pb,Cd,2
Pb,In,2
Pb,Sn,3
Pb,Sb,15
Pb,Te,9
Pb,Pt,1
Pb,Au,2
Pb,Hg,3
Pb,Pb,92
Pb,Bi,92
Pb,U,2
Bi,H,44
Bi,C,3
Bi,N,2
Bi,O,83
Bi,F,4
Bi,Na,5
Bi,Mg,1
Bi,Al,1
Bi,Si,3
Bi,P,12
Bi,S,125
Bi,Cl,11
Bi,K,2
Bi,Ca,4
Bi,V,8
Bi,Cr,2
Bi,Mn,1
Bi,Fe,19
Bi,Co,4
Bi,Ni,9
Bi,Cu,67
Bi,As,24
Bi,Se,32
Bi,Br,1
Bi,Nb,2
Bi,Mo,7
Bi,Pd,13
Bi,Ag,38
Bi,Cd,2
Bi,In,2
Bi,Sn,3
Bi,Sb,21
Bi,Te,39
Bi,I,1
Bi,Ta,4
Bi,W,1
Bi,Ir,2
Bi,Pt,6
Bi,Au,5
Bi,Hg,4
Bi,Tl,2
Bi,Pb,92
Bi,Bi,242
Bi,U,7
U,H,7
U,O,7
U,P,3
U,As,4
U,Pb,2
U,Bi,7
U,U,7
H,H,44
N,H,2
O,H,43
Na,H,1
Mg,H,1
Al,H,1
Si,H,1
P,H,11
S,H,4
Cl,H,2
K,H,1
Ca,H,2
V,H,5
Cr,H,1
Fe,H,11
Co,H,4
Ni,H,1
Cu,H,8
As,H,14
Se,H,1
Mo,H,3
Te,H,2
Pb,H,5
Bi,H,44
U,H,7
C,C,3
O,C,3
F,C,1
Ca,C,2
