from,to,weight
H,H,6
H,N,4
H,O,6
H,F,1
H,S,1
H,Cl,3
H,K,1
H,Cu,1
H,As,2
H,Br,6
H,I,1
H,Hg,3
C,C,1
C,O,1
C,Cl,1
C,Br,1
C,I,1
C,Hg,1
N,H,4
N,N,4
N,O,4
N,S,1
N,Cl,3
N,K,1
N,As,2
N,Br,4
N,I,1
N,Hg,2
O,H,6
O,C,1
O,N,4
O,O,12
O,F,1
O,S,1
O,Cl,8
O,K,1
O,Cu,3
O,As,2
O,Br,12
O,Sb,1
O,I,4
O,Hg,7
O,Pb,2
F,H,1
F,O,1
F,F,1
F,Cu,1
F,Br,1
S,H,1
S,N,1
S,O,1
S,S,5
S,Cl,4
S,Br,5
S,Ag,1
S,I,3
S,Hg,4
S,Bi,1
Cl,H,3
Cl,C,1
Cl,N,3
Cl,O,8
Cl,S,4
Cl,Cl,13
Cl,K,1
Cl,Cu,1
Cl,As,1
Cl,Br,13
Cl,Ag,1
Cl,Sb,1
Cl,I,6
Cl,Hg,10
Cl,Tl,1
Cl,Pb,1
K,H,1
K,N,1
K,O,1
K,Cl,1
K,K,1
K,As,1
K,Br,1
Cu,H,1
Cu,O,3
Cu,F,1
Cu,Cl,1
Cu,Cu,3
Cu,Br,3
Cu,Pb,2
As,H,2
As,N,2
As,O,2
As,Cl,1
As,K,1
As,As,2
As,Br,2
Br,H,6
Br,C,1
Br,N,4
Br,O,12
Br,F,1
Br,S,5
Br,Cl,13
Br,K,1
Br,Cu,3
Br,As,2
Br,Br,19
Br,Ag,2
Br,Sb,1
Br,I,6
Br,Hg,11
Br,Tl,1
Br,Pb,2
Br,Bi,1
Ag,S,1
Ag,Cl,1
Ag,Br,2
Ag,Ag,2
Ag,I,1
Ag,Hg,1
Sb,O,1
Sb,Cl,1
Sb,Br,1
Sb,Sb,1
Sb,Hg,1
I,H,1
I,C,1
I,N,1
I,O,4
I,S,3
I,Cl,6
I,Br,6
I,Ag,1
I,I,6
I,Hg,6
Hg,H,3
Hg,C,1
Hg,N,2
Hg,O,7
Hg,S,4
Hg,Cl,10
Hg,Br,11
Hg,Ag,1
Hg,Sb,1
Hg,I,6
Hg,Hg,11
Tl,Cl,1
Tl,Br,1
Tl,Tl,1
Pb,O,2
Pb,Cl,1
Pb,Cu,2
Pb,Br,2
Pb,Pb,2
Bi,S,1
Bi,Br,1
Bi,Bi,1
H,H,6
N,H,4
O,H,6
F,H,1
S,H,1
Cl,H,3
K,H,1
Cu,H,1
As,H,2
Br,H,6
I,H,1
Hg,H,3
C,C,1
O,C,1
Cl,C,1
Br,C,1
I,C,1
Hg,C,1
H,N,4
N,N,4
O,N,4
S,N,1
Cl,N,3
K,N,1
As,N,2
Br,N,4
I,N,1
Hg,N,2
H,O,6
C,O,1
N,O,4
O,O,12
F,O,1
S,O,1
Cl,O,8
K,O,1
Cu,O,3
As,O,2
Br,O,12
Sb,O,1
I,O,4
Hg,O,7
Pb,O,2
H,F,1
O,F,1
F,F,1
Cu,F,1
Br,F,1
H,S,1
N,S,1
O,S,1
S,S,5
Cl,S,4
Br,S,5
Ag,S,1
I,S,3
Hg,S,4
Bi,S,1
H,Cl,3
C,Cl,1
N,Cl,3
O,Cl,8
S,Cl,4
Cl,Cl,13
K,Cl,1
Cu,Cl,1
As,Cl,1
Br,Cl,13
Ag,Cl,1
Sb,Cl,1
I,Cl,6
Hg,Cl,10
Tl,Cl,1
Pb,Cl,1
H,K,1
N,K,1
O,K,1
Cl,K,1
K,K,1
As,K,1
Br,K,1
H,Cu,1
O,Cu,3
F,Cu,1
Cl,Cu,1
Cu,Cu,3
Br,Cu,3
Pb,Cu,2
H,As,2
N,As,2
O,As,2
Cl,As,1
K,As,1
As,As,2
Br,As,2
H,Br,6
C,Br,1
N,Br,4
O,Br,12
F,Br,1
S,Br,5
Cl,Br,13
K,Br,1
Cu,Br,3
As,Br,2
Br,Br,19
Ag,Br,2
Sb,Br,1
I,Br,6
Hg,Br,11
Tl,Br,1
Pb,Br,2
Bi,Br,1
S,Ag,1
Cl,Ag,1
Br,Ag,2
Ag,Ag,2
I,Ag,1
Hg,Ag,1
O,Sb,1
Cl,Sb,1
Br,Sb,1
Sb,Sb,1
Hg,Sb,1
H,I,1
C,I,1
N,I,1
O,I,4
S,I,3
Cl,I,6
Br,I,6
Ag,I,1
I,I,6
Hg,I,6
H,Hg,3
C,Hg,1
N,Hg,2
O,Hg,7
S,Hg,4
Cl,Hg,10
Br,Hg,11
Ag,Hg,1
Sb,Hg,1
I,Hg,6
Hg,Hg,11
Cl,Tl,1
Br,Tl,1
Tl,Tl,1
O,Pb,2
Cl,Pb,1
Cu,Pb,2
Br,Pb,2
Pb,Pb,2
S,Bi,1
Br,Bi,1
Bi,Bi,1
