from,to,weight
H,H,341
H,Li,3
H,Be,1
H,B,14
H,C,341
H,N,23
H,O,327
H,F,18
H,Na,69
H,Mg,61
H,Al,55
H,Si,49
H,P,22
H,S,36
H,Cl,23
H,K,15
H,Ca,110
H,Ti,2
H,V,6
H,Cr,5
H,Mn,19
H,Fe,23
H,Co,4
H,Ni,14
H,Cu,39
H,Zn,17
H,Ge,1
H,As,4
H,Sr,13
H,Y,31
H,Zr,9
H,Nb,4
H,Te,2
H,Ba,14
H,La,18
H,Ce,22
H,Pr,1
H,Nd,18
H,Sm,3
H,Gd,4
H,Dy,3
H,Er,1
H,Yb,1
H,Ta,1
H,W,1
H,Hg,3
H,Pb,28
H,Th,2
H,U,41
Li,H,3
Li,Li,4
Li,C,4
Li,O,4
Li,F,2
Li,Na,2
Li,Al,1
Li,P,2
Li,Ca,1
Li,Y,2
Li,Zr,1
Be,H,1
Be,Be,1
Be,C,1
Be,O,1
Be,Na,1
B,H,14
B,B,14
B,C,14
B,O,14
B,F,1
B,Na,1
B,Mg,7
B,Al,2
B,Si,4
B,Cl,3
B,Ca,8
B,Mn,1
B,Cu,1
B,Y,1
B,Pb,3
C,H,341
C,Li,4
C,Be,1
C,B,14
C,C,471
C,N,23
C,O,442
C,F,47
C,Na,114
C,Mg,73
C,Al,61
C,Si,68
C,P,29
C,S,47
C,Cl,33
C,K,23
C,Ca,159
C,Ti,6
C,V,7
C,Cr,8
C,Mn,28
C,Fe,36
C,Co,5
C,Ni,17
C,Cu,43
C,Zn,19
C,Ge,1
C,As,4
C,Br,1
C,Sr,23
C,Y,36
C,Zr,10
C,Nb,5
C,Cd,1
C,Te,4
C,I,1
C,Ba,36
C,La,30
C,Ce,46
C,Pr,1
C,Nd,23
C,Sm,3
C,Gd,4
C,Dy,3
C,Er,1
C,Yb,1
C,Ta,3
C,W,2
C,Hg,5
C,Pb,35
C,Bi,3
C,Th,3
C,U,44
N,H,23
N,C,23
N,N,23
N,O,22
N,Na,4
N,Mg,1
N,Al,3
N,Si,2
N,P,4
N,S,2
N,Cl,3
N,V,1
N,Co,1
N,Ni,1
N,Cu,4
O,H,327
O,Li,4
O,Be,1
O,B,14
O,C,442
O,N,22
O,O,442
O,F,47
O,Na,114
O,Mg,73
O,Al,61
O,Si,67
O,P,29
O,S,47
O,Cl,33
O,K,23
O,Ca,159
O,Ti,5
O,V,6
O,Cr,5
O,Mn,28
O,Fe,30
O,Co,5
O,Ni,14
O,Cu,43
O,Zn,19
O,Ge,1
O,As,4
O,Br,1
O,Sr,23
O,Y,36
O,Zr,10
O,Nb,4
O,Cd,1
O,Te,4
O,I,1
O,Ba,36
O,La,30
O,Ce,46
O,Pr,1
O,Nd,23
O,Sm,3
O,Gd,4
O,Dy,3
O,Er,1
O,Yb,1
O,Ta,1
O,W,1
O,Hg,5
O,Pb,35
O,Bi,3
O,Th,3
O,U,44
F,H,18
F,Li,2
F,B,1
F,C,47
F,O,47
F,F,47
F,Na,18
F,Mg,3
F,Al,5
F,Si,7
F,P,6
F,S,3
F,Cl,2
F,K,2
F,Ca,23
F,Ti,1
F,V,1
F,Mn,3
F,Fe,1
F,Sr,4
F,Y,8
F,Zr,1
F,Ba,15
F,La,8
F,Ce,15
F,Nd,3
F,Gd,1
F,Dy,1
F,Pb,1
F,Bi,1
F,Th,2
F,U,2
Na,H,69
Na,Li,2
Na,Be,1
Na,B,1
Na,C,114
Na,N,4
Na,O,114
Na,F,18
Na,Na,114
Na,Mg,11
Na,Al,19
Na,Si,25
