from,to,weight
H,H,1039
H,Li,15
H,Be,41
H,B,94
H,C,110
H,N,8
H,O,1039
H,F,96
H,Na,296
H,Mg,177
H,Al,344
H,Si,497
H,P,153
H,S,99
H,Cl,80
H,K,143
H,Ca,1039
H,Sc,5
H,Ti,58
H,V,60
H,Cr,11
H,Mn,165
H,Fe,229
H,Co,4
H,Ni,4
H,Cu,57
H,Zn,34
H,Ge,2
H,As,114
H,Se,3
H,Sr,49
H,Y,31
H,Zr,40
H,Nb,47
H,Mo,9
H,Cd,1
H,Sn,7
H,Sb,6
H,Te,6
H,I,3
H,Cs,5
H,Ba,46
H,La,18
H,Ce,49
H,Nd,11
H,Sm,1
H,Gd,2
H,Dy,2
H,Er,1
H,Yb,1
H,Ta,3
H,W,7
H,Pb,23
H,Bi,2
H,Th,14
H,U,61
Li,H,15
Li,Li,22
Li,Be,6
Li,B,3
Li,C,1
Li,O,21
Li,F,12
Li,Na,10
Li,Mg,3
Li,Al,7
Li,Si,13
Li,P,6
Li,Cl,1
Li,K,7
Li,Ca,22
Li,Ti,5
Li,Mn,4
Li,Fe,5
Li,As,1
Li,Sr,1
Li,Y,1
Li,Zr,2
Li,Sn,1
Li,La,1
Li,Ce,1
Li,Nd,1
Li,Th,1
Be,H,41
Be,Li,6
Be,Be,59
Be,B,7
Be,O,59
Be,F,8
Be,Na,11
Be,Mg,7
Be,Al,16
Be,Si,37
Be,P,19
Be,Cl,2
Be,K,7
Be,Ca,59
Be,Ti,4
Be,Mn,11
Be,Fe,13
Be,Zn,3
Be,As,3
Be,Y,5
Be,Sn,2
Be,Sb,1
Be,Ba,2
Be,La,1
Be,Ce,4
Be,Nd,1
Be,Pb,2
Be,Th,2
Be,U,1
B,H,94
B,Li,3
B,Be,7
B,B,121
B,C,8
B,O,121
B,F,17
B,Na,16
B,Mg,24
B,Al,29
B,Si,51
B,P,3
B,S,8
B,Cl,19
B,K,7
B,Ca,121
B,Ti,3
B,Mn,10
B,Fe,18
B,Cu,2
B,As,5
B,Sr,4
B,Y,9
B,Zr,1
B,Nb,2
B,Sn,2
B,Cs,1
B,Ba,7
B,La,4
B,Ce,12
B,Nd,1
B,Pb,3
B,Th,3
B,U,1
C,H,110
C,Li,1
C,B,8
C,C,159
C,O,159
C,F,23
C,Na,45
C,Mg,21
C,Al,22
C,Si,38
C,P,11
C,S,14
C,Cl,12
C,K,14
C,Ca,159
C,V,4
C,Cr,2
C,Mn,10
C,Fe,6
C,Cu,7
C,Zn,3
C,Ge,1
C,As,2
C,Sr,12
C,Y,14
C,Zr,7
C,Nb,4
C,Te,1
C,Ba,17
C,La,9
C,Ce,16
C,Nd,6
C,Sm,1
C,Gd,2
C,Dy,2
C,Er,1
C,Yb,1
C,W,1
C,Pb,3
C,Bi,2
C,Th,1
C,U,25
N,H,8
N,N,8
N,O,8
N,F,1
N,Na,1
N,Si,1
N,P,2
N,S,2
N,K,1
N,Ca,8
N,V,2
O,H,1039
O,Li,21
O,Be,59
O,B,121
O,C,159
O,N,8
O,O,1486
O,F,201
O,Na,438
O,Mg,260
O,Al,448
O,Si,735
O,P,224
O,S,129
O,Cl,113
O,K,190
O,Ca,1486
O,Sc,9
O,Ti,124
O,V,72
O,Cr,20
O,Mn,220
O,Fe,342
O,Co,4
O,Ni,8
O,Cu,68
O,Zn,45
O,Ge,2
O,As,142
O,Se,3
O,Sr,67
O,Y,54
O,Zr,76
O,Nb,68
O,Mo,10
O,Cd,1
O,Sn,18
O,Sb,18
O,Te,11
O,I,4
O,Cs,6
O,Ba,75
O,La,33
O,Ce,81
O,Pr,1
O,Nd,15
O,Sm,1
O,Gd,2
O,Dy,2
O,Er,1
O,Yb,1
O,Ta,14
O,W,9
O,Pb,39
O,Bi,4
O,Th,21
O,U,69
F,H,96
F,Li,12
F,Be,8
F,B,17
F,C,23
F,N,1
F,O,201
F,F,214
F,Na,100
F,Mg,38
F,Al,66
F,Si,120
F,P,42
F,S,20
F,Cl,12
F,K,29
F,Ca,214
F,Ti,28
F,V,4
F,Mn,24
F,Fe,30
F,Cu,1
F,As,8
F,Sr,12
F,Y,22
F,Zr,14
F,Nb,19
F,Sn,1
F,Sb,1
F,Cs,4
F,Ba,23
F,La,6
F,Ce,22
F,Nd,5
F,Ta,3
F,Pb,7
F,Bi,1
F,Th,4
F,U,4
Na,H,296
Na,Li,10
Na,Be,11
Na,B,16
Na,C,45
Na,N,1
Na,O,438
Na,F,100
Na,Na,443
Na,Mg,93
Na,Al,173
Na,Si,275
Na,P,66
Na,S,49
Na,Cl,50
Na,K,121
Na,Ca,443
Na,Sc,1
Na,Ti,54
Na,V,14
Na,Cr,3
Na,Mn,84
Na,Fe,112
Na,Cu,14
Na,Zn,5
Na,As,34
Na,Sr,39
Na,Y,19
Na,Zr,47
Na,Nb,38
Na,Mo,2
Na,Sn,1
Na,Sb,1
Na,I,1
Na,Cs,2
Na,Ba,29
Na,La,8
Na,Ce,23
Na,Pr,1
Na,Nd,2
Na,Ta,3
Na,W,3
Na,Pb,6
Na,Th,5
Na,U,10
Mg,H,177
Mg,Li,3
Mg,Be,7
Mg,B,24
Mg,C,21
Mg,O,260
Mg,F,38
Mg,Na,93
Mg,Mg,263
Mg,Al,125
Mg,Si,137
Mg,P,50
Mg,S,10
Mg,Cl,14
Mg,K,28
Mg,Ca,263
Mg,Sc,3
Mg,Ti,17
Mg,V,12
Mg,Cr,9
Mg,Mn,40
Mg,Fe,98
Mg,Cu,7
Mg,Zn,8
Mg,As,28
Mg,Sr,9
Mg,Y,2
Mg,Zr,4
Mg,Nb,3
Mg,Mo,2
Mg,Sn,1
Mg,Sb,1
Mg,I,1
Mg,Ba,14
Mg,La,5
Mg,Ce,14
Mg,W,1
Mg,Pb,3
Mg,U,5
Al,H,344
Al,Li,7
Al,Be,16
Al,B,29
Al,C,22
Al,O,448
Al,F,66
Al,Na,173
Al,Mg,125
Al,Al,456
Al,Si,327
Al,P,54
Al,S,54
Al,Cl,33
Al,K,95
Al,Ca,456
Al,Sc,3
Al,Ti,19
Al,V,12
Al,Cr,5
Al,Mn,44
Al,Fe,130
Al,Cu,9
Al,Zn,3
Al,As,11
Al,Sr,20
Al,Y,10
Al,Zr,5
Al,Nb,2
Al,Sn,4
Al,Sb,2
Al,Ba,28
Al,La,13
Al,Ce,21
Al,Nd,3
Al,Ta,1
Al,Pb,11
Al,Th,3
Al,U,1
Si,H,497
Si,Li,13
Si,Be,37
Si,B,51
Si,C,38
Si,N,1
Si,O,735
Si,F,120
Si,Na,275
Si,Mg,137
Si,Al,327
Si,Si,735
Si,P,25
Si,S,48
Si,Cl,61
Si,K,146
Si,Ca,735
Si,Sc,6
Si,Ti,86
Si,V,17
Si,Cr,7
Si,Mn,122
Si,Fe,191
Si,Cu,12
Si,Zn,14
Si,As,6
Si,Sr,33
Si,Y,34
Si,Zr,57
Si,Nb,41
Si,Sn,10
Si,Sb,1
Si,Cs,5
Si,Ba,45
Si,La,22
Si,Ce,51
Si,Pr,1
Si,Nd,5
Si,Gd,1
Si,Dy,1
Si,Er,1
Si,Yb,1
Si,Ta,1
Si,W,3
Si,Pb,19
Si,Th,10
Si,U,8
P,H,153
P,Li,6
P,Be,19
P,B,3
P,C,11
P,N,2
P,O,224
P,F,42
P,Na,66
P,Mg,50
P,Al,54
P,Si,25
P,P,224
P,S,6
P,Cl,7
P,K,13
P,Ca,224
P,Sc,1
P,Ti,4
P,V,2
P,Mn,54
P,Fe,82
P,Ni,5
P,Cu,8
P,Zn,11
P,As,3
P,Sr,11
P,Y,7
P,Zr,1
P,Nb,1
P,Mo,3
P,Ba,17
P,La,2
P,Ce,5
P,Pr,1
P,Nd,3
P,Pb,4
P,Bi,1
P,Th,6
P,U,11
S,H,99
S,B,8
S,C,14
S,N,2
S,O,129
S,F,20
S,Na,49
S,Mg,10
S,Al,54
S,Si,48
S,P,6
S,S,131
S,Cl,19
S,K,36
S,Ca,131
S,Ti,1
S,V,1
S,Cr,3
S,Mn,5
S,Fe,10
S,Cu,12
S,Zn,6
S,Ge,2
S,As,2
S,Se,1
S,Sr,2
S,Y,3
S,Cd,1
S,Sn,1
S,Sb,2
S,Te,2
S,Ba,4
S,Ce,3
S,Nd,1
S,Pb,4
S,Th,1
S,U,3
Cl,H,80
Cl,Li,1
Cl,Be,2
Cl,B,19
Cl,C,12
Cl,O,113
Cl,F,12
Cl,Na,50
Cl,Mg,14
Cl,Al,33
Cl,Si,61
Cl,P,7
Cl,S,19
Cl,Cl,115
Cl,K,27
Cl,Ca,115
Cl,Ti,7
Cl,Mn,18
Cl,Fe,28
Cl,Cu,13
Cl,Zn,1
Cl,As,12
Cl,Sr,10
Cl,Y,1
Cl,Zr,20
Cl,Nb,9
Cl,Sb,2
Cl,Te,1
Cl,Ba,6
Cl,Ce,3
Cl,W,2
Cl,Pb,6
Cl,Bi,1
K,H,143
K,Li,7
K,Be,7
K,B,7
K,C,14
K,N,1
K,O,190
K,F,29
K,Na,121
K,Mg,28
K,Al,95
K,Si,146
K,P,13
K,S,36
K,Cl,27
K,K,191
K,Ca,191
K,Ti,22
K,V,4
K,Cr,1
K,Mn,16
K,Fe,32
K,Cu,5
K,Zn,4
K,As,3
K,Sr,15
K,Y,8
K,Zr,8
K,Nb,9
K,Mo,1
K,Sn,1
K,Cs,2
K,Ba,25
K,La,1
K,Ce,3
K,W,1
K,Pb,6
K,Th,3
K,U,8
Ca,H,1039
Ca,Li,22
Ca,Be,59
Ca,B,121
Ca,C,159
Ca,N,8
Ca,O,1486
Ca,F,214
Ca,Na,443
Ca,Mg,263
Ca,Al,456
Ca,Si,735
Ca,P,224
Ca,S,131
Ca,Cl,115
Ca,K,191
Ca,Ca,1502
Ca,Sc,9
Ca,Ti,124
Ca,V,72
Ca,Cr,20
Ca,Mn,220
Ca,Fe,342
Ca,Co,4
Ca,Ni,8
Ca,Cu,69
Ca,Zn,45
Ca,Ge,2
Ca,As,142
Ca,Se,3
Ca,Sr,67
Ca,Y,56
Ca,Zr,76
Ca,Nb,68
Ca,Mo,10
Ca,Cd,1
Ca,Sn,18
Ca,Sb,18
Ca,Te,11
Ca,I,4
Ca,Cs,6
Ca,Ba,76
Ca,La,33
Ca,Ce,81
Ca,Pr,1
Ca,Nd,15
Ca,Sm,1
Ca,Gd,2
Ca,Dy,2
Ca,Er,1
Ca,Yb,1
Ca,Ta,14
Ca,W,9
Ca,Pb,41
Ca,Bi,4
Ca,Th,21
Ca,U,69
Sc,H,5
Sc,O,9
Sc,Na,1
Sc,Mg,3
Sc,Al,3
Sc,Si,6
Sc,P,1
Sc,Ca,9
Sc,Sc,9
Sc,Ti,1
Sc,Mn,1
Sc,Fe,1
Sc,Zr,1
Sc,Sn,1
Ti,H,58
