from,to,weight
H,H,12
H,O,12
H,F,1
H,Al,1
H,P,2
H,S,8
H,K,1
H,Ca,1
H,Cu,8
H,Zn,3
H,As,3
H,Cd,12
C,C,1
C,O,1
C,Cd,1
O,H,12
O,C,1
O,O,16
O,F,1
O,Al,1
O,P,2
O,S,8
O,Cl,2
O,K,2
O,Ca,1
O,Cu,9
O,Zn,3
O,As,4
O,Se,1
O,Cd,16
O,Pb,1
F,H,1
F,O,1
F,F,1
F,Al,1
F,P,1
F,Cu,1
F,Cd,1
Al,H,1
Al,O,1
Al,F,1
Al,Al,1
Al,P,1
Al,Cu,1
Al,Cd,1
P,H,2
P,O,2
P,F,1
P,Al,1
P,P,2
P,S,1
P,Cu,2
P,Cd,2
S,H,8
S,O,8
S,P,1
S,S,20
S,Cl,1
S,Ca,1
S,Mn,1
S,Fe,3
S,Cu,10
S,Zn,2
S,Ge,1
S,As,3
S,Ag,3
S,Cd,20
S,In,2
S,Sn,1
S,Sb,2
S,Pb,5
S,Bi,2
Cl,O,2
Cl,S,1
Cl,Cl,3
Cl,K,1
Cl,Cu,1
Cl,As,2
Cl,Se,1
Cl,Cd,3
Cl,Pb,2
Cl,Bi,1
K,H,1
K,O,2
K,Cl,1
K,K,2
K,Cu,2
K,As,1
K,Se,1
K,Cd,2
Ca,H,1
Ca,O,1
Ca,S,1
Ca,Ca,1
Ca,Cu,1
Ca,Zn,1
Ca,Cd,1
Mn,S,1
Mn,Mn,1
Mn,Fe,1
Mn,Ag,1
Mn,Cd,1
Mn,In,1
Mn,Sb,1
Mn,Pb,1
Fe,S,3
Fe,Mn,1
Fe,Fe,3
Fe,Cu,2
Fe,Zn,1
Fe,Ag,1
Fe,Cd,3
Fe,In,1
Fe,Sn,1
Fe,Sb,1
Fe,Pb,2
Cu,H,8
Cu,O,9
Cu,F,1
Cu,Al,1
Cu,P,2
Cu,S,10
Cu,Cl,1
Cu,K,2
Cu,Ca,1
Cu,Fe,2
Cu,Cu,15
Cu,Zn,3
Cu,Ge,1
Cu,As,3
Cu,Se,2
Cu,Ag,1
Cu,Cd,15
Cu,Sn,1
Cu,Sb,2
Cu,Pb,1
Zn,H,3
Zn,O,3
Zn,S,2
Zn,Ca,1
Zn,Fe,1
Zn,Cu,3
Zn,Zn,4
Zn,As,2
Zn,Cd,4
Zn,Sn,1
Ge,S,1
Ge,Cu,1
Ge,Ge,1
Ge,Cd,1
As,H,3
As,O,4
As,S,3
As,Cl,2
As,K,1
As,Cu,3
As,Zn,2
As,As,7
As,Ag,1
As,Cd,7
As,Pb,3
As,Bi,1
Se,O,1
Se,Cl,1
Se,K,1
Se,Cu,2
Se,Se,3
Se,Cd,3
Se,Sb,1
Ag,S,3
Ag,Mn,1
Ag,Fe,1
Ag,Cu,1
Ag,As,1
Ag,Ag,3
Ag,Cd,3
Ag,In,1
Ag,Sb,2
Ag,Pb,2
Cd,H,12
Cd,C,1
Cd,O,16
Cd,F,1
Cd,Al,1
Cd,P,2
Cd,S,20
Cd,Cl,3
Cd,K,2
Cd,Ca,1
Cd,Mn,1
Cd,Fe,3
Cd,Cu,15
Cd,Zn,4
Cd,Ge,1
Cd,As,7
Cd,Se,3
Cd,Ag,3
Cd,Cd,31
Cd,In,2
Cd,Sn,1
Cd,Sb,3
Cd,Pb,6
Cd,Bi,2
In,S,2
In,Mn,1
In,Fe,1
In,Ag,1
In,Cd,2
In,In,2
In,Sb,1
In,Pb,1
Sn,S,1
Sn,Fe,1
Sn,Cu,1
Sn,Zn,1
Sn,Cd,1
Sn,Sn,1
Sb,S,2
Sb,Mn,1
Sb,Fe,1
Sb,Cu,2
Sb,Se,1
Sb,Ag,2
Sb,Cd,3
Sb,In,1
Sb,Sb,3
Sb,Pb,1
Pb,O,1
Pb,S,5
Pb,Cl,2
Pb,Mn,1
Pb,Fe,2
Pb,Cu,1
Pb,As,3
Pb,Ag,2
Pb,Cd,6
Pb,In,1
Pb,Sb,1
Pb,Pb,6
Pb,Bi,2
Bi,S,2
Bi,Cl,1
Bi,As,1
Bi,Cd,2
Bi,Pb,2
Bi,Bi,2
H,H,12
O,H,12
F,H,1
Al,H,1
P,H,2
S,H,8
K,H,1
Ca,H,1
Cu,H,8
Zn,H,3
As,H,3
Cd,H,12
C,C,1
O,C,1
Cd,C,1
H,O,12
C,O,1
O,O,16
F,O,1
Al,O,1
P,O,2
S,O,8
Cl,O,2
K,O,2
Ca,O,1
Cu,O,9
Zn,O,3
As,O,4
Se,O,1
Cd,O,16
Pb,O,1
H,F,1
O,F,1
F,F,1
Al,F,1
P,F,1
Cu,F,1
Cd,F,1
H,Al,1
O,Al,1
F,Al,1
Al,Al,1
P,Al,1
Cu,Al,1
Cd,Al,1
H,P,2
O,P,2
F,P,1
Al,P,1
P,P,2
S,P,1
Cu,P,2
Cd,P,2
H,S,8
O,S,8
P,S,1
S,S,20
Cl,S,1
Ca,S,1
Mn,S,1
Fe,S,3
Cu,S,10
Zn,S,2
Ge,S,1
As,S,3
Ag,S,3
Cd,S,20
In,S,2
Sn,S,1
Sb,S,2
Pb,S,5
Bi,S,2
O,Cl,2
S,Cl,1
Cl,Cl,3
K,Cl,1
Cu,Cl,1
As,Cl,2
Se,Cl,1
Cd,Cl,3
Pb,Cl,2
Bi,Cl,1
H,K,1
O,K,2
Cl,K,1
K,K,2
Cu,K,2
As,K,1
Se,K,1
Cd,K,2
H,Ca,1
O,Ca,1
S,Ca,1
Ca,Ca,1
Cu,Ca,1
Zn,Ca,1
Cd,Ca,1
S,Mn,1
Mn,Mn,1
Fe,Mn,1
Ag,Mn,1
Cd,Mn,1
In,Mn,1
Sb,Mn,1
Pb,Mn,1
S,Fe,3
Mn,Fe,1
Fe,Fe,3
Cu,Fe,2
Zn,Fe,1
Ag,Fe,1
Cd,Fe,3
In,Fe,1
Sn,Fe,1
Sb,Fe,1
Pb,Fe,2
H,Cu,8
O,Cu,9
F,Cu,1
Al,Cu,1
P,Cu,2
S,Cu,10
Cl,Cu,1
K,Cu,2
Ca,Cu,1
Fe,Cu,2
Cu,Cu,15
Zn,Cu,3
Ge,Cu,1
As,Cu,3
Se,Cu,2
Ag,Cu,1
Cd,Cu,15
Sn,Cu,1
Sb,Cu,2
Pb,Cu,1
H,Zn,3
O,Zn,3
S,Zn,2
Ca,Zn,1
Fe,Zn,1
Cu,Zn,3
Zn,Zn,4
As,Zn,2
Cd,Zn,4
Sn,Zn,1
S,Ge,1
Cu,Ge,1
Ge,Ge,1
Cd,Ge,1
H,As,3
O,As,4
S,As,3
Cl,As,2
K,As,1
Cu,As,3
Zn,As,2
As,As,7
Ag,As,1
Cd,As,7
Pb,As,3
Bi,As,1
O,Se,1
Cl,Se,1
K,Se,1
Cu,Se,2
Se,Se,3
Cd,Se,3
Sb,Se,1
S,Ag,3
Mn,Ag,1
Fe,Ag,1
Cu,Ag,1
As,Ag,1
Ag,Ag,3
Cd,Ag,3
In,Ag,1
Sb,Ag,2
Pb,Ag,2
H,Cd,12
C,Cd,1
O,Cd,16
F,Cd,1
Al,Cd,1
P,Cd,2
S,Cd,20
Cl,Cd,3
K,Cd,2
Ca,Cd,1
Mn,Cd,1
Fe,Cd,3
Cu,Cd,15
Zn,Cd,4
Ge,Cd,1
As,Cd,7
Se,Cd,3
Ag,Cd,3
Cd,Cd,31
In,Cd,2
Sn,Cd,1
Sb,Cd,3
Pb,Cd,6
Bi,Cd,2
S,In,2
Mn,In,1
Fe,In,1
Ag,In,1
Cd,In,2
In,In,2
Sb,In,1
Pb,In,1
S,Sn,1
Fe,Sn,1
Cu,Sn,1
Zn,Sn,1
Cd,Sn,1
Sn,Sn,1
S,Sb,2
Mn,Sb,1
Fe,Sb,1
Cu,Sb,2
Se,Sb,1
Ag,Sb,2
Cd,Sb,3
In,Sb,1
Sb,Sb,3
Pb,Sb,1
O,Pb,1
S,Pb,5
Cl,Pb,2
Mn,Pb,1
Fe,Pb,2
Cu,Pb,1
As,Pb,3
Ag,Pb,2
Cd,Pb,6
In,Pb,1
Sb,Pb,1
Pb,Pb,6
Bi,Pb,2
S,Bi,2
Cl,Bi,1
As,Bi,1
Cd,Bi,2
Pb,Bi,2
Bi,Bi,2
