from,to,weight
H,H,103
H,Li,1
H,Be,4
H,B,7
H,C,22
H,O,103
H,F,20
H,Na,27
H,Mg,11
H,Al,27
H,Si,54
H,P,12
H,S,5
H,Cl,3
H,K,5
H,Ca,49
H,Ti,22
H,V,2
H,Cr,1
H,Mn,17
H,Fe,28
H,Cu,5
H,Zn,1
H,As,8
H,Sr,7
H,Y,10
H,Zr,6
H,Nb,10
H,Mo,1
H,Cs,1
H,Ba,11
H,La,19
H,Ce,103
H,Nd,15
H,Sm,1
H,Ta,1
H,W,3
H,Th,4
H,U,5
Li,H,1
Li,Li,1
Li,Be,1
Li,B,1
Li,O,1
Li,F,1
Li,Al,1
Li,Si,1
Li,Ca,1
Li,Fe,1
Li,La,1
Li,Ce,1
Li,Nd,1
Li,Th,1
Be,H,4
Be,Li,1
Be,Be,7
Be,B,3
Be,O,7
Be,F,3
Be,Na,2
Be,Al,2
Be,Si,7
Be,Ca,4
Be,Mn,1
Be,Fe,4
Be,Y,1
Be,La,2
Be,Ce,7
Be,Nd,2
Be,Th,1
B,H,7
B,Li,1
B,Be,3
B,B,15
B,O,15
B,F,5
B,Na,3
B,Mg,1
B,Al,4
B,Si,13
B,Ca,12
B,Ti,1
B,Fe,4
B,As,2
B,Y,3
B,Ba,1
B,La,5
B,Ce,15
B,Nd,1
B,Th,2
C,H,22
C,C,46
C,O,46
C,F,15
C,Na,18
C,Mg,1
C,Al,1
C,Si,9
C,P,2
C,S,3
C,K,1
C,Ca,16
C,Ti,3
C,Mn,3
C,Fe,2
C,Cu,1
C,Sr,8
C,Y,5
C,Zr,2
C,Nb,1
C,Ba,13
C,La,15
C,Ce,46
C,Nd,10
C,W,1
C,Th,1
C,U,1
O,H,103
O,Li,1
O,Be,7
O,B,15
O,C,46
O,O,179
O,F,45
O,Na,55
O,Mg,20
O,Al,32
O,Si,90
O,P,19
O,S,6
O,Cl,4
O,K,7
O,Ca,81
O,Ti,39
O,V,3
O,Cr,3
O,Mn,25
O,Fe,47
O,Cu,5
O,Zn,4
O,As,12
O,Sr,18
O,Y,17
O,Zr,10
O,Nb,18
O,Mo,1
O,Cs,1
O,Ba,24
O,La,41
O,Ce,179
O,Pr,1
O,Nd,22
O,Sm,1
O,Ta,4
O,W,3
O,Pb,1
O,Th,10
O,U,7
F,H,20
F,Li,1
F,Be,3
F,B,5
F,C,15
F,O,45
F,F,47
F,Na,18
F,Mg,6
F,Al,6
F,Si,21
F,P,3
F,S,2
F,Cl,2
F,Ca,22
F,Ti,8
F,V,1
F,Cr,1
F,Mn,3
F,Fe,6
F,Zn,1
F,As,2
F,Sr,5
F,Y,7
F,Nb,3
F,Cs,1
F,Ba,14
F,La,9
F,Ce,47
F,Nd,2
F,Ta,1
F,Th,3
F,U,1
Na,H,27
Na,Be,2
Na,B,3
Na,C,18
Na,O,55
Na,F,18
Na,Na,56
Na,Mg,2
Na,Al,1
Na,Si,33
Na,P,9
Na,S,1
Na,Cl,3
Na,K,5
Na,Ca,23
Na,Ti,15
Na,Mn,13
Na,Fe,11
Na,Zn,4
Na,As,1
Na,Sr,15
Na,Y,5
Na,Zr,6
Na,Nb,6
Na,Ba,16
Na,La,10
Na,Ce,56
Na,Pr,1
Na,Nd,4
Na,Ta,1
Na,W,1
Na,Pb,1
Na,Th,2
Na,U,1
Mg,H,11
Mg,B,1
Mg,C,1
Mg,O,20
Mg,F,6
Mg,Na,2
Mg,Mg,20
Mg,Al,8
Mg,Si,16
Mg,Cl,1
Mg,Ca,14
Mg,Ti,5
Mg,Cr,2
Mg,Mn,4
Mg,Fe,8
Mg,Zn,2
Mg,As,2
Mg,Sr,2
Mg,Y,1
Mg,Zr,1
Mg,Nb,1
Mg,La,7
Mg,Ce,20
Mg,Nd,2
Mg,W,1
Al,H,27
Al,Li,1
Al,Be,2
Al,B,4
Al,C,1
Al,O,32
Al,F,6
Al,Na,1
Al,Mg,8
Al,Al,32
Al,Si,24
Al,P,1
Al,S,3
Al,Ca,21
Al,Ti,5
Al,V,1
Al,Cr,1
Al,Mn,6
Al,Fe,14
Al,As,2
Al,Y,2
Al,Zr,1
Al,Nb,1
Al,La,8
Al,Ce,32
Al,Nd,3
Al,Th,2
Si,H,54
Si,Li,1
Si,Be,7
Si,B,13
Si,C,9
Si,O,90
Si,F,21
Si,Na,33
Si,Mg,16
Si,Al,24
Si,Si,90
Si,P,4
Si,S,1
Si,Cl,3
Si,K,5
Si,Ca,51
Si,Ti,26
Si,V,1
Si,Cr,1
Si,Mn,20
Si,Fe,38
Si,Zn,4
Si,As,4
Si,Sr,9
Si,Y,6
Si,Zr,7
Si,Nb,7
Si,Cs,1
Si,Ba,9
Si,La,17
Si,Ce,90
Si,Pr,1
Si,Nd,5
Si,W,2
Si,Th,5
P,H,12
P,C,2
P,O,19
P,F,3
P,Na,9
P,Al,1
P,Si,4
P,P,19
P,S,1
P,Cl,1
P,Ca,5
P,Ti,1
P,Mn,2
P,Fe,1
P,Cu,2
P,Sr,2
P,Y,1
P,Zr,1
P,Ba,2
P,La,4
P,Ce,19
P,Pr,1
P,Nd,5
P,Sm,1
P,Th,2
P,U,3
S,H,5
S,C,3
S,O,6
S,F,2
S,Na,1
S,Al,3
S,Si,1
S,P,1
S,S,6
S,Ca,3
S,Cu,1
S,Y,2
S,La,2
S,Ce,6
S,Nd,2
Cl,H,3
Cl,O,4
Cl,F,2
Cl,Na,3
Cl,Mg,1
Cl,Si,3
Cl,P,1
Cl,Cl,4
Cl,Ca,3
Cl,Ti,1
Cl,Mn,2
Cl,Fe,2
Cl,Sr,1
Cl,Zr,2
Cl,Ba,1
Cl,Ce,4
K,H,5
K,C,1
K,O,7
K,Na,5
K,Si,5
K,K,7
K,Ca,3
K,Ti,4
K,Mn,1
K,Fe,1
K,Sr,1
K,Y,1
