from,to,weight
H,H,250
H,Li,2
H,Be,1
H,B,30
H,C,23
H,N,25
H,O,245
H,F,15
H,Na,57
H,Mg,35
H,Al,40
H,Si,61
H,P,4
H,S,36
H,Cl,250
H,K,36
H,Ca,80
H,Ti,8
H,V,4
H,Cr,4
H,Mn,32
H,Fe,48
H,Co,2
H,Ni,6
H,Cu,66
H,Zn,12
H,As,20
H,Se,2
H,Br,3
H,Sr,11
H,Y,2
H,Zr,21
H,Nb,9
H,Mo,1
H,Ag,3
H,Sn,2
H,Sb,3
H,Te,7
H,I,4
H,Ba,12
H,Ce,3
H,Gd,1
H,Dy,1
H,W,2
H,Hg,6
H,Tl,2
H,Pb,44
H,Bi,2
H,U,2
Li,H,2
Li,Li,2
Li,B,1
Li,O,2
Li,Mg,1
Li,Al,1
Li,Cl,2
Li,Ca,1
Be,H,1
Be,Be,3
Be,B,2
Be,O,3
Be,F,1
Be,Na,1
Be,Al,1
Be,Si,3
Be,Cl,3
Be,K,1
Be,Ca,2
Be,Mn,1
Be,Y,1
Be,Ba,1
Be,Pb,1
B,H,30
B,Li,1
B,Be,2
B,B,39
B,C,3
B,O,39
B,F,3
B,Na,4
B,Mg,13
B,Al,5
B,Si,9
B,S,2
B,Cl,39
B,K,5
B,Ca,19
B,Ti,3
B,V,1
B,Mn,4
B,Fe,6
B,Cu,1
B,Zn,1
B,Sr,1
B,Y,1
B,Ba,4
B,Pb,4
C,H,23
C,B,3
C,C,33
C,N,3
C,O,33
C,F,2
C,Na,10
C,Mg,6
C,Al,7
C,Si,8
C,P,1
C,S,6
C,Cl,33
C,K,3
C,Ca,12
C,Mn,3
C,Fe,1
C,Cu,6
C,Br,1
C,Y,3
C,Te,2
C,I,1
C,Ba,3
C,Gd,1
C,Dy,1
C,Hg,2
C,Pb,7
N,H,25
N,C,3
N,N,25
N,O,20
N,Na,7
N,Mg,2
N,Al,3
N,P,1
N,S,7
N,Cl,25
N,K,6
N,V,1
N,Fe,4
N,Cu,5
N,As,4
N,Br,3
N,Mo,1
N,Sn,1
N,I,1
N,Hg,4
N,Pb,3
N,Bi,1
O,H,245
O,Li,2
O,Be,3
O,B,39
O,C,33
O,N,20
O,O,384
O,F,27
O,Na,92
O,Mg,48
O,Al,63
O,Si,95
O,P,13
O,S,66
O,Cl,384
O,K,64
O,Ca,113
O,Ti,13
O,V,15
O,Cr,4
O,Mn,39
O,Fe,63
O,Co,2
O,Ni,6
O,Cu,98
O,Zn,16
O,As,43
O,Se,13
O,Br,8
O,Rb,1
O,Sr,11
O,Y,4
O,Zr,21
O,Nb,10
O,Mo,4
O,Ag,5
O,Cd,2
O,Sn,1
O,Sb,10
O,Te,14
O,I,8
O,Cs,1
O,Ba,20
O,Ce,4
O,Gd,1
O,Dy,1
O,W,4
O,Hg,17
O,Tl,2
O,Pb,87
O,Bi,6
O,U,2
F,H,15
F,Be,1
F,B,3
F,C,2
F,O,27
F,F,31
F,Na,14
F,Mg,2
F,Al,5
F,Si,9
F,P,1
F,S,10
F,Cl,31
F,K,5
F,Ca,12
F,Ti,3
F,Cr,2
F,Mn,3
F,Fe,1
F,Cu,4
F,As,3
F,Sr,1
F,Y,3
F,Nb,1
F,Ag,1
F,Ba,6
F,Ce,2
F,Gd,1
F,Dy,1
F,Pb,9
Na,H,57
Na,Be,1
Na,B,4
Na,C,10
Na,N,7
Na,O,92
Na,F,14
Na,Na,95
Na,Mg,7
Na,Al,28
Na,Si,47
Na,P,4
Na,S,34
Na,Cl,95
Na,K,31
Na,Ca,50
Na,Ti,7
Na,V,1
Na,Mn,16
Na,Fe,26
Na,Co,1
Na,Cu,14
Na,Zn,1
Na,As,14
Na,Se,1
Na,Sr,9
Na,Y,2
Na,Zr,21
Na,Nb,9
Na,Sb,1
Na,Ba,3
Na,Ce,3
Na,Gd,1
Na,Dy,1
Na,W,2
Na,Pb,3
Na,Bi,1
Na,U,1
Mg,H,35
Mg,Li,1
Mg,B,13
Mg,C,6
Mg,N,2
Mg,O,48
Mg,F,2
Mg,Na,7
Mg,Mg,49
Mg,Al,10
Mg,Si,11
Mg,S,6
Mg,Cl,49
Mg,K,6
Mg,Ca,14
Mg,Ti,3
Mg,Cr,1
Mg,Mn,4
Mg,Fe,10
Mg,Cu,6
Mg,Zn,1
Mg,As,4
Mg,Ba,3
Mg,Ce,1
Mg,Pb,3
Al,H,40
Al,Li,1
Al,Be,1
Al,B,5
Al,C,7
Al,N,3
Al,O,63
Al,F,5
Al,Na,28
Al,Mg,10
Al,Al,63
Al,Si,37
Al,P,1
Al,S,21
Al,Cl,63
Al,K,22
Al,Ca,33
Al,Ti,1
Al,Fe,6
Al,Cu,8
Al,As,2
Al,Se,1
Al,Sr,1
Al,Sb,1
Al,Te,1
Al,Ba,3
Al,Pb,4
Si,H,61
Si,Be,3
Si,B,9
Si,C,8
Si,O,95
Si,F,9
Si,Na,47
Si,Mg,11
Si,Al,37
Si,Si,95
Si,P,1
Si,S,17
Si,Cl,95
Si,K,26
Si,Ca,61
Si,Ti,12
Si,V,3
Si,Mn,24
Si,Fe,32
Si,Cu,2
Si,Zn,1
Si,As,3
Si,Sr,10
Si,Y,1
Si,Zr,21
Si,Nb,10
Si,Mo,2
Si,Ba,16
Si,Ce,3
Si,W,3
Si,Pb,11
P,H,4
P,C,1
P,N,1
P,O,13
P,F,1
P,Na,4
P,Al,1
P,Si,1
P,P,13
P,Cl,13
P,K,1
P,Ca,7
P,V,1
P,Mn,2
P,Fe,2
P,Cu,3
P,As,1
