from,to,weight
H,H,40
H,C,4
H,N,1
H,O,40
H,Na,3
H,Mg,3
H,Al,1
H,Si,1
H,P,1
H,S,12
H,Cl,2
H,Ca,4
H,V,1
H,Mn,2
H,Fe,5
H,Co,40
H,Ni,7
H,Cu,5
H,As,18
H,Se,1
H,Pb,2
H,Bi,4
H,U,4
C,H,4
C,C,5
C,N,1
C,O,5
C,Na,1
C,S,1
C,Co,5
C,Ni,2
C,Cu,1
N,H,1
N,C,1
N,N,1
N,O,1
N,Na,1
N,S,1
N,Co,1
O,H,40
O,C,5
O,N,1
O,O,44
O,Na,3
O,Mg,3
O,Al,1
O,Si,1
O,P,1
O,S,12
O,Cl,2
O,Ca,4
O,V,1
O,Cr,1
O,Mn,2
O,Fe,5
O,Co,44
O,Ni,8
O,Cu,5
O,As,19
O,Se,1
O,Pb,2
O,Bi,4
O,U,4
Na,H,3
Na,C,1
Na,N,1
Na,O,3
Na,Na,3
Na,S,3
Na,Cl,1
Na,Co,3
Mg,H,3
Mg,O,3
Mg,Mg,3
Mg,Al,1
Mg,S,1
Mg,Fe,2
Mg,Co,3
Mg,Ni,1
Mg,As,2
Mg,Bi,1
Al,H,1
Al,O,1
Al,Mg,1
Al,Al,1
Al,S,1
Al,Co,1
Al,Ni,1
Si,H,1
Si,O,1
Si,Si,1
Si,Co,1
Si,U,1
P,H,1
P,O,1
P,P,1
P,Co,1
S,H,12
S,C,1
S,N,1
S,O,12
S,Na,3
S,Mg,1
S,Al,1
S,S,27
S,Cl,1
S,Mn,1
S,Fe,3
S,Co,27
S,Ni,7
S,Cu,3
S,As,4
S,Sb,4
S,U,2
Cl,H,2
Cl,O,2
Cl,Na,1
Cl,S,1
Cl,Cl,2
Cl,Co,2
Cl,Cu,1
Ca,H,4
Ca,O,4
Ca,Ca,4
Ca,Co,4
Ca,As,4
V,H,1
V,O,1
V,V,1
V,Co,1
Cr,O,1
Cr,Cr,1
Cr,Co,1
Mn,H,2
Mn,O,2
Mn,S,1
Mn,Mn,2
Mn,Co,2
Mn,Ni,2
Fe,H,5
Fe,O,5
Fe,Mg,2
Fe,S,3
Fe,Fe,14
Fe,Co,14
Fe,Ni,4
Fe,Cu,1
Fe,As,12
Fe,Bi,3
Co,H,40
Co,C,5
Co,N,1
Co,O,44
Co,Na,3
Co,Mg,3
Co,Al,1
Co,Si,1
Co,P,1
Co,S,27
Co,Cl,2
Co,Ca,4
Co,V,1
Co,Cr,1
Co,Mn,2
Co,Fe,14
Co,Co,76
Co,Ni,17
Co,Cu,9
Co,As,32
Co,Se,6
Co,Sb,6
Co,Te,1
Co,Pb,2
Co,Bi,4
Co,U,4
Ni,H,7
Ni,C,2
Ni,O,8
Ni,Mg,1
Ni,Al,1
Ni,S,7
Ni,Mn,2
Ni,Fe,4
Ni,Co,17
Ni,Ni,17
Ni,Cu,4
Ni,As,6
Ni,Se,2
Ni,Sb,1
Cu,H,5
Cu,C,1
Cu,O,5
Cu,S,3
Cu,Cl,1
Cu,Fe,1
Cu,Co,9
Cu,Ni,4
Cu,Cu,9
Cu,As,2
Cu,Se,2
As,H,18
As,O,19
As,Mg,2
As,S,4
As,Ca,4
As,Fe,12
As,Co,32
As,Ni,6
As,Cu,2
As,As,32
As,Sb,2
As,Pb,2
As,Bi,4
As,U,1
Se,H,1
Se,O,1
Se,Co,6
Se,Ni,2
Se,Cu,2
Se,Se,6
Sb,S,4
Sb,Co,6
Sb,Ni,1
Sb,As,2
Sb,Sb,6
Te,Co,1
Te,Te,1
Pb,H,2
Pb,O,2
Pb,Co,2
Pb,As,2
Pb,Pb,2
Bi,H,4
Bi,O,4
Bi,Mg,1
Bi,Fe,3
Bi,Co,4
Bi,As,4
Bi,Bi,4
U,H,4
U,O,4
U,Si,1
U,S,2
U,Co,4
U,As,1
U,U,4
H,H,40
C,H,4
N,H,1
O,H,40
Na,H,3
Mg,H,3
Al,H,1
Si,H,1
P,H,1
S,H,12
Cl,H,2
Ca,H,4
V,H,1
Mn,H,2
Fe,H,5
Co,H,40
Ni,H,7
Cu,H,5
As,H,18
Se,H,1
Pb,H,2
Bi,H,4
U,H,4
H,C,4
C,C,5
N,C,1
O,C,5
Na,C,1
S,C,1
Co,C,5
Ni,C,2
Cu,C,1
H,N,1
C,N,1
N,N,1
O,N,1
Na,N,1
S,N,1
Co,N,1
H,O,40
C,O,5
N,O,1
O,O,44
Na,O,3
Mg,O,3
Al,O,1
Si,O,1
P,O,1
S,O,12
Cl,O,2
Ca,O,4
V,O,1
Cr,O,1
Mn,O,2
Fe,O,5
Co,O,44
Ni,O,8
Cu,O,5
As,O,19
Se,O,1
Pb,O,2
Bi,O,4
U,O,4
H,Na,3
C,Na,1
N,Na,1
O,Na,3
Na,Na,3
S,Na,3
Cl,Na,1
Co,Na,3
H,Mg,3
O,Mg,3
Mg,Mg,3
Al,Mg,1
S,Mg,1
Fe,Mg,2
Co,Mg,3
Ni,Mg,1
As,Mg,2
Bi,Mg,1
H,Al,1
O,Al,1
Mg,Al,1
Al,Al,1
S,Al,1
Co,Al,1
Ni,Al,1
H,Si,1
O,Si,1
Si,Si,1
Co,Si,1
U,Si,1
H,P,1
O,P,1
P,P,1
Co,P,1
H,S,12
C,S,1
N,S,1
O,S,12
Na,S,3
Mg,S,1
Al,S,1
S,S,27
Cl,S,1
Mn,S,1
Fe,S,3
Co,S,27
Ni,S,7
Cu,S,3
As,S,4
Sb,S,4
U,S,2
H,Cl,2
O,Cl,2
Na,Cl,1
S,Cl,1
Cl,Cl,2
Co,Cl,2
Cu,Cl,1
H,Ca,4
O,Ca,4
Ca,Ca,4
Co,Ca,4
As,Ca,4
H,V,1
O,V,1
V,V,1
Co,V,1
O,Cr,1
Cr,Cr,1
Co,Cr,1
H,Mn,2
O,Mn,2
S,Mn,1
Mn,Mn,2
Co,Mn,2
Ni,Mn,2
H,Fe,5
O,Fe,5
Mg,Fe,2
S,Fe,3
Fe,Fe,14
Co,Fe,14
Ni,Fe,4
Cu,Fe,1
As,Fe,12
Bi,Fe,3
H,Co,40
C,Co,5
N,Co,1
O,Co,44
Na,Co,3
Mg,Co,3
Al,Co,1
Si,Co,1
P,Co,1
S,Co,27
Cl,Co,2
Ca,Co,4
V,Co,1
Cr,Co,1
Mn,Co,2
Fe,Co,14
Co,Co,76
Ni,Co,17
Cu,Co,9
As,Co,32
Se,Co,6
Sb,Co,6
Te,Co,1
Pb,Co,2
Bi,Co,4
U,Co,4
H,Ni,7
C,Ni,2
O,Ni,8
Mg,Ni,1
Al,Ni,1
S,Ni,7
Mn,Ni,2
Fe,Ni,4
Co,Ni,17
Ni,Ni,17
Cu,Ni,4
As,Ni,6
Se,Ni,2
Sb,Ni,1
H,Cu,5
C,Cu,1
O,Cu,5
S,Cu,3
Cl,Cu,1
Fe,Cu,1
Co,Cu,9
Ni,Cu,4
Cu,Cu,9
As,Cu,2
Se,Cu,2
H,As,18
O,As,19
Mg,As,2
S,As,4
Ca,As,4
Fe,As,12
Co,As,32
Ni,As,6
Cu,As,2
As,As,32
Sb,As,2
Pb,As,2
Bi,As,4
U,As,1
H,Se,1
O,Se,1
Co,Se,6
Ni,Se,2
Cu,Se,2
Se,Se,6
S,Sb,4
Co,Sb,6
Ni,Sb,1
As,Sb,2
Sb,Sb,6
Co,Te,1
Te,Te,1
H,Pb,2
O,Pb,2
Co,Pb,2
As,Pb,2
Pb,Pb,2
H,Bi,4
O,Bi,4
Mg,Bi,1
Fe,Bi,3
Co,Bi,4
As,Bi,4
Bi,Bi,4
H,U,4
O,U,4
Si,U,1
S,U,2
Co,U,4
As,U,1
U,U,4
