from,to,weight
H,H,47
H,B,4
H,C,5
H,O,47
H,F,5
H,Na,7
H,Mg,13
H,Al,6
H,Si,13
H,P,3
H,S,6
H,Cl,4
H,K,3
H,Ca,11
H,Ti,6
H,V,6
H,Cr,47
H,Mn,3
H,Fe,8
H,Ni,1
H,Cu,5
H,Zn,4
H,As,3
H,Sr,3
H,Y,4
H,Mo,1
H,Te,1
H,I,2
H,La,1
H,Ce,1
H,Pb,15
H,Bi,1
H,U,4
Be,Be,3
Be,O,3
Be,Ti,2
Be,V,1
Be,Cr,3
B,H,4
B,B,5
B,O,5
B,Na,4
B,Mg,5
B,Al,1
B,Si,3
B,K,1
B,V,1
B,Cr,5
C,H,5
C,C,8
C,O,5
C,Mg,1
C,S,1
C,Ca,2
C,Cr,8
C,Fe,2
C,Ni,1
C,Zn,1
C,Sr,1
C,Pb,1
N,N,2
N,Cr,2
O,H,47
O,Be,3
O,B,5
O,C,5
O,O,89
O,F,5
O,Na,10
O,Mg,25
O,Al,8
O,Si,19
O,P,3
O,S,8
O,Cl,4
O,K,7
O,Ca,20
O,Ti,19
O,V,8
O,Cr,89
O,Mn,6
O,Fe,20
O,Co,1
O,Ni,1
O,Cu,6
O,Zn,5
O,As,3
O,Sr,7
O,Y,5
O,Zr,4
O,Nb,1
O,Mo,1
O,Te,1
O,I,2
O,Ba,4
O,La,2
O,Ce,3
O,Hg,3
O,Pb,20
O,Bi,2
O,U,5
F,H,5
F,O,5
F,F,5
F,Al,1
F,Si,1
F,S,1
F,Cl,2
F,K,1
F,Ti,2
F,V,2
F,Cr,5
F,Fe,2
F,Y,2
F,La,1
F,Ce,1
F,Pb,2
F,U,2
Na,H,7
Na,B,4
Na,O,10
Na,Na,11
Na,Mg,8
Na,Al,3
Na,Si,7
Na,S,2
Na,K,1
Na,Ca,3
Na,V,1
Na,Cr,11
Na,Mn,1
Na,Fe,1
Na,I,1
Mg,H,13
Mg,B,5
Mg,C,1
Mg,O,25
Mg,Na,8
Mg,Mg,25
Mg,Al,6
Mg,Si,11
Mg,S,1
Mg,Cl,1
Mg,K,4
Mg,Ca,9
Mg,Ti,8
Mg,V,1
Mg,Cr,25
Mg,Mn,1
Mg,Fe,10
Mg,Ni,1
Mg,Sr,3
Mg,Zr,4
Mg,Nb,1
Mg,I,1
Mg,Ba,2
Mg,La,1
Mg,Ce,2
Al,H,6
Al,B,1
Al,O,8
Al,F,1
Al,Na,3
Al,Mg,6
Al,Al,8
Al,Si,5
Al,S,1
Al,K,1
Al,Ca,5
Al,Ti,1
Al,Cr,8
Al,Mn,1
Al,Fe,4
Al,Ni,1
Al,Zr,1
Al,La,1
Al,Ce,1
Si,H,13
Si,B,3
Si,O,19
Si,F,1
Si,Na,7
Si,Mg,11
Si,Al,5
Si,Si,19
Si,K,2
Si,Ca,7
Si,Ti,1
Si,V,1
Si,Cr,19
Si,Mn,1
Si,Fe,3
Si,Cu,2
Si,Zn,1
Si,Nb,1
Si,Ce,1
Si,Pb,3
P,H,3
P,O,3
P,P,4
P,Cr,4
P,Fe,1
P,Cu,2
P,As,1
P,Mo,1
P,Pb,3
S,H,6
S,C,1
S,O,8
S,F,1
S,Na,2
S,Mg,1
S,Al,1
S,S,19
S,Cl,1
S,Ca,3
S,Ti,1
S,Cr,19
S,Mn,1
S,Fe,4
S,Ni,1
S,Cu,3
S,Zn,2
S,Sr,1
S,Sb,1
S,Hg,2
S,Pb,1
Cl,H,4
Cl,O,4
Cl,F,2
Cl,Mg,1
Cl,S,1
Cl,Cl,4
Cl,Cr,4
Cl,Pb,3
K,H,3
K,B,1
K,O,7
K,F,1
K,Na,1
K,Mg,4
K,Al,1
K,Si,2
K,K,7
K,Ca,1
K,Ti,2
K,Cr,7
K,Fe,2
K,Zr,1
Ca,H,11
Ca,C,2
Ca,O,20
Ca,Na,3
Ca,Mg,9
Ca,Al,5
Ca,Si,7
Ca,S,3
Ca,K,1
Ca,Ca,20
Ca,Ti,5
Ca,Cr,20
Ca,Mn,1
Ca,Fe,7
Ca,Sr,3
Ca,Zr,3
Ca,Nb,1
Ca,I,2
Ca,Ba,1
Ca,La,1
