from,to,weight
H,H,16
H,Li,2
H,Be,1
H,B,1
H,O,16
H,F,6
H,Na,5
H,Al,2
H,Si,9
H,P,1
H,K,3
H,Ca,5
H,Ti,3
H,V,1
H,Mn,1
H,Fe,3
H,As,1
H,Zr,2
H,Nb,2
H,Cs,16
H,Ce,1
H,Nd,1
H,W,1
H,Pb,1
H,U,1
Li,H,2
Li,Li,7
Li,Be,3
Li,O,7
Li,F,4
Li,Na,2
Li,Mg,1
Li,Al,3
Li,Si,6
Li,P,1
Li,Ti,1
Li,Fe,2
Li,Zr,1
Li,Cs,7
Be,H,1
Be,Li,3
Be,Be,7
Be,B,3
Be,O,7
Be,F,1
Be,Na,3
Be,Mg,1
Be,Al,5
Be,Si,4
Be,P,1
Be,K,3
Be,Rb,1
Be,Zr,1
Be,Cs,7
B,H,1
B,Be,3
B,B,6
B,O,6
B,F,1
B,Na,1
B,Mg,1
B,Al,2
B,Si,3
B,K,2
B,Ca,1
B,Rb,1
B,Cs,6
O,H,16
O,Li,7
O,Be,7
O,B,6
O,O,30
O,F,11
O,Na,9
O,Mg,2
O,Al,8
O,Si,18
O,P,1
O,S,1
O,Cl,1
O,K,8
O,Ca,6
O,Ti,3
O,V,2
O,Mn,1
O,Fe,4
O,Cu,2
O,As,2
O,Rb,2
O,Zr,2
O,Nb,2
O,Sb,1
O,Cs,30
O,Ce,1
O,Nd,1
O,Ta,1
O,W,1
O,Pb,3
O,U,1
F,H,6
F,Li,4
F,Be,1
F,B,1
F,O,11
F,F,11
F,Na,3
F,Mg,1
F,Al,3
F,Si,11
F,K,1
F,Ca,4
F,Ti,2
F,Mn,1
F,Fe,2
F,Cs,11
F,Ce,1
F,Nd,1
Na,H,5
Na,Li,2
Na,Be,3
Na,B,1
Na,O,9
Na,F,3
Na,Na,9
Na,Al,3
Na,Si,7
Na,P,1
Na,K,2
Na,Ca,2
Na,Ti,2
Na,Mn,1
Na,Zr,2
Na,Sb,1
Na,Cs,9
Na,Ta,1
Na,Pb,1
Mg,Li,1
Mg,Be,1
Mg,B,1
Mg,O,2
Mg,F,1
Mg,Mg,2
Mg,Si,2
Mg,Cs,2
Al,H,2
Al,Li,3
Al,Be,5
Al,B,2
Al,O,8
Al,F,3
Al,Na,3
Al,Al,8
Al,Si,6
Al,K,3
Al,Rb,1
Al,Cs,8
Si,H,9
Si,Li,6
Si,Be,4
Si,B,3
Si,O,18
Si,F,11
Si,Na,7
Si,Mg,2
Si,Al,6
Si,Si,18
Si,K,2
Si,Ca,5
Si,Ti,3
Si,Mn,1
Si,Fe,2
Si,Zr,1
Si,Cs,18
Si,Ce,1
Si,Nd,1
P,H,1
P,Li,1
P,Be,1
P,O,1
P,Na,1
P,P,1
P,Zr,1
P,Cs,1
S,O,1
S,S,3
S,K,1
S,Fe,1
S,Cu,2
S,As,1
S,Cs,3
S,Hg,1
Cl,O,1
Cl,Cl,1
Cl,K,1
Cl,V,1
Cl,Cu,1
Cl,As,1
Cl,Rb,1
Cl,Cs,1
Cl,Pb,1
K,H,3
K,Be,3
K,B,2
K,O,8
K,F,1
K,Na,2
K,Al,3
K,Si,2
K,S,1
K,Cl,1
K,K,8
K,Ca,2
K,Ti,1
K,V,2
K,Fe,1
K,Cu,2
K,As,1
K,Rb,2
K,Cs,8
K,W,1
K,Pb,2
K,U,1
Ca,H,5
Ca,B,1
Ca,O,6
Ca,F,4
Ca,Na,2
Ca,Si,5
Ca,K,2
Ca,Ca,6
Ca,Ti,1
Ca,Fe,1
Ca,Cs,6
Ca,Ce,1
Ca,Nd,1
Ca,W,1
Ca,Pb,1
Ti,H,3
Ti,Li,1
Ti,O,3
Ti,F,2
Ti,Na,2
Ti,Si,3
Ti,K,1
Ti,Ca,1
Ti,Ti,3
Ti,Mn,1
Ti,Fe,1
Ti,Cs,3
V,H,1
V,O,2
V,Cl,1
V,K,2
V,V,2
V,Cu,1
V,As,1
V,Rb,1
V,Cs,2
V,Pb,1
V,U,1
Mn,H,1
Mn,O,1
Mn,F,1
Mn,Na,1
Mn,Si,1
Mn,Ti,1
Mn,Mn,1
Mn,Cs,1
Fe,H,3
Fe,Li,2
Fe,O,4
Fe,F,2
Fe,Si,2
Fe,S,1
Fe,K,1
Fe,Ca,1
Fe,Ti,1
Fe,Fe,5
Fe,As,1
Fe,Cs,5
Fe,W,1
Fe,Pb,1
Cu,O,2
Cu,S,2
Cu,Cl,1
Cu,K,2
Cu,V,1
Cu,Cu,3
Cu,As,2
Cu,Rb,1
Cu,Cs,3
Cu,Hg,1
Cu,Pb,1
As,H,1
As,O,2
As,S,1
As,Cl,1
As,K,1
As,V,1
As,Fe,1
As,Cu,2
As,As,3
As,Rb,1
As,Cs,3
As,Hg,1
As,Pb,1
Rb,Be,1
Rb,B,1
Rb,O,2
Rb,Al,1
Rb,Cl,1
Rb,K,2
Rb,V,1
Rb,Cu,1
Rb,As,1
Rb,Rb,2
Rb,Cs,2
Rb,Pb,1
Zr,H,2
Zr,Li,1
Zr,Be,1
Zr,O,2
Zr,Na,2
Zr,Si,1
Zr,P,1
Zr,Zr,2
Zr,Cs,2
Nb,H,2
Nb,O,2
Nb,Nb,2
Nb,Cs,2
Sb,O,1
Sb,Na,1
Sb,Sb,1
Sb,Cs,1
Sb,Ta,1
Sb,Pb,1
Cs,H,16
Cs,Li,7
Cs,Be,7
Cs,B,6
Cs,O,30
Cs,F,11
Cs,Na,9
Cs,Mg,2
Cs,Al,8
Cs,Si,18
Cs,P,1
Cs,S,3
Cs,Cl,1
Cs,K,8
Cs,Ca,6
Cs,Ti,3
Cs,V,2
Cs,Mn,1
Cs,Fe,5
Cs,Cu,3
Cs,As,3
Cs,Rb,2
Cs,Zr,2
Cs,Nb,2
Cs,Sb,1
Cs,Cs,32
Cs,Ce,1
Cs,Nd,1
Cs,Ta,1
Cs,W,1
Cs,Hg,1
Cs,Pb,3
Cs,U,1
Ce,H,1
Ce,O,1
Ce,F,1
Ce,Si,1
Ce,Ca,1
Ce,Cs,1
Ce,Ce,1
Nd,H,1
Nd,O,1
Nd,F,1
Nd,Si,1
Nd,Ca,1
Nd,Cs,1
Nd,Nd,1
Ta,O,1
Ta,Na,1
Ta,Sb,1
Ta,Cs,1
Ta,Ta,1
Ta,Pb,1
W,H,1
W,O,1
W,K,1
W,Ca,1
W,Fe,1
W,Cs,1
W,W,1
W,Pb,1
Hg,S,1
Hg,Cu,1
Hg,As,1
Hg,Cs,1
Hg,Hg,1
Pb,H,1
Pb,O,3
