from,to,weight
H,H,376
H,Li,1
H,B,4
H,C,39
H,N,13
H,O,375
H,F,6
H,Na,20
H,Mg,22
H,Al,48
H,Si,31
H,P,43
H,S,96
H,Cl,66
H,K,17
H,Ca,57
H,Ti,2
H,V,13
H,Cr,5
H,Mn,7
H,Fe,33
H,Co,5
H,Ni,9
H,Cu,376
H,Zn,41
H,As,97
H,Se,12
H,Br,1
H,Sr,1
H,Y,4
H,Mo,9
H,Ag,2
H,Cd,8
H,Sn,1
H,Sb,7
H,Te,29
H,I,4
H,Ba,2
H,La,3
H,Ce,5
H,Nd,4
H,Sm,1
H,Gd,1
H,W,1
H,Tl,1
H,Pb,62
H,Bi,8
H,U,18
Li,H,1
Li,Li,1
Li,O,1
Li,Si,1
Li,K,1
Li,Cu,1
B,H,4
B,B,6
B,C,1
B,O,6
B,Cl,1
B,Ca,2
B,Fe,1
B,Cu,6
C,H,39
C,B,1
C,C,43
C,N,4
C,O,43
C,Na,6
C,Mg,4
C,Al,1
C,Si,2
C,P,1
C,S,5
C,Cl,6
C,K,1
C,Ca,7
C,Co,1
C,Ni,1
C,Cu,43
C,Zn,4
C,As,2
C,Sr,1
C,Y,2
C,Te,2
C,La,2
C,Ce,1
C,Nd,2
C,Sm,1
C,Gd,1
C,Pb,5
C,U,4
N,H,13
N,C,4
N,N,13
N,O,12
N,Na,1
N,Al,3
N,S,3
N,Cl,5
N,Ni,3
N,Cu,13
O,H,375
O,Li,1
O,B,6
O,C,43
O,N,12
O,O,499
O,F,9
O,Na,49
O,Mg,31
O,Al,56
O,Si,41
O,P,47
O,S,126
O,Cl,98
O,K,45
O,Ca,68
O,Ti,3
O,V,32
O,Cr,6
O,Mn,11
O,Fe,55
O,Co,5
O,Ni,9
O,Cu,499
O,Zn,46
O,As,129
O,Se,22
O,Br,3
O,Rb,1
O,Sr,3
O,Y,4
O,Mo,11
O,Ag,4
O,Cd,9
O,Sn,1
O,Sb,10
O,Te,35
O,I,4
O,Cs,2
O,Ba,5
O,La,5
O,Ce,5
O,Nd,5
O,Sm,1
O,Gd,1
O,W,1
O,Tl,2
O,Pb,76
O,Bi,12
O,U,18
F,H,6
F,O,9
F,F,9
F,Na,3
F,Mg,1
F,Al,4
F,P,3
F,Cl,4
F,Ca,1
F,Ti,1
F,V,2
F,Cu,9
F,As,3
F,Br,1
F,Cd,1
Na,H,20
Na,C,6
Na,N,1
Na,O,49
Na,F,3
Na,Na,50
Na,Mg,7
Na,Al,5
Na,Si,4
Na,P,4
Na,S,14
Na,Cl,14
Na,K,11
Na,Ca,14
Na,Ti,2
Na,V,1
Na,Fe,13
Na,Cu,50
Na,Zn,3
Na,As,21
Na,Se,1
Na,Sr,1
Na,Mo,2
Na,Sb,1
Na,La,1
Na,Pb,2
Na,Bi,1
Mg,H,22
Mg,C,4
Mg,O,31
Mg,F,1
Mg,Na,7
Mg,Mg,31
Mg,Al,4
Mg,Si,3
Mg,P,2
Mg,S,8
Mg,Cl,6
Mg,K,1
Mg,Ca,7
Mg,V,1
Mg,Fe,6
Mg,Cu,31
Mg,Zn,3
Mg,As,7
Mg,Te,4
Mg,Pb,1
Mg,U,1
Al,H,48
Al,C,1
Al,N,3
Al,O,56
Al,F,4
Al,Na,5
Al,Mg,4
Al,Al,61
Al,Si,10
Al,P,7
Al,S,23
Al,Cl,8
Al,K,7
Al,Ca,9
Al,V,4
Al,Fe,10
Al,Ni,4
Al,Cu,61
Al,Zn,3
Al,As,16
Al,Se,1
Al,Sr,1
Al,Cd,1
Al,Sb,3
Al,Ba,1
Al,Pb,7
Si,H,31
Si,Li,1
Si,C,2
Si,O,41
Si,Na,4
Si,Mg,3
Si,Al,10
Si,Si,41
Si,S,5
Si,Cl,2
Si,K,4
Si,Ca,12
Si,Ti,1
Si,V,1
Si,Cr,2
Si,Mn,3
Si,Fe,5
Si,Ni,1
Si,Cu,41
Si,Zn,2
Si,As,3
Si,Sr,2
Si,Ba,4
Si,La,1
Si,Nd,1
Si,Pb,7
Si,U,1
P,H,43
P,C,1
P,O,47
P,F,3
