from,to,weight
H,H,3
H,C,3
H,O,3
H,F,1
H,Na,1
H,Si,1
H,S,1
H,Cl,1
H,Ca,2
H,Y,2
H,Ba,1
H,Nd,1
H,Gd,3
H,Dy,3
H,U,1
C,H,3
C,C,3
C,O,3
C,F,1
C,Na,1
C,Si,1
C,S,1
C,Cl,1
C,Ca,2
C,Y,2
C,Ba,1
C,Nd,1
C,Gd,3
C,Dy,3
C,U,1
O,H,3
O,C,3
O,O,3
O,F,1
O,Na,1
O,Si,1
O,S,1
O,Cl,1
O,Ca,2
O,Y,2
O,Ba,1
O,Nd,1
O,Gd,3
O,Dy,3
O,U,1
F,H,1
F,C,1
F,O,1
F,F,1
F,Na,1
F,S,1
F,Cl,1
F,Y,1
F,Ba,1
F,Gd,1
F,Dy,1
Na,H,1
Na,C,1
Na,O,1
Na,F,1
Na,Na,1
Na,S,1
Na,Cl,1
Na,Y,1
Na,Ba,1
Na,Gd,1
Na,Dy,1
Si,H,1
Si,C,1
Si,O,1
Si,Si,1
Si,Ca,1
Si,Gd,1
Si,Dy,1
Si,U,1
S,H,1
S,C,1
S,O,1
S,F,1
S,Na,1
S,S,1
S,Cl,1
S,Y,1
S,Ba,1
S,Gd,1
S,Dy,1
Cl,H,1
Cl,C,1
Cl,O,1
Cl,F,1
Cl,Na,1
Cl,S,1
Cl,Cl,1
Cl,Y,1
Cl,Ba,1
Cl,Gd,1
Cl,Dy,1
Ca,H,2
Ca,C,2
Ca,O,2
Ca,Si,1
Ca,Ca,2
Ca,Y,1
Ca,Nd,1
Ca,Gd,2
Ca,Dy,2
Ca,U,1
Y,H,2
Y,C,2
Y,O,2
Y,F,1
Y,Na,1
Y,S,1
Y,Cl,1
Y,Ca,1
Y,Y,2
Y,Ba,1
Y,Nd,1
Y,Gd,2
Y,Dy,2
Ba,H,1
Ba,C,1
Ba,O,1
Ba,F,1
Ba,Na,1
Ba,S,1
Ba,Cl,1
Ba,Y,1
Ba,Ba,1
Ba,Gd,1
Ba,Dy,1
Nd,H,1
Nd,C,1
Nd,O,1
Nd,Ca,1
Nd,Y,1
Nd,Nd,1
Nd,Gd,1
Nd,Dy,1
Gd,H,3
Gd,C,3
Gd,O,3
Gd,F,1
Gd,Na,1
Gd,Si,1
Gd,S,1
Gd,Cl,1
Gd,Ca,2
Gd,Y,2
Gd,Ba,1
Gd,Nd,1
Gd,Gd,3
Gd,Dy,3
Gd,U,1
Dy,H,3
Dy,C,3
Dy,O,3
Dy,F,1
Dy,Na,1
Dy,Si,1
Dy,S,1
Dy,Cl,1
Dy,Ca,2
Dy,Y,2
Dy,Ba,1
Dy,Nd,1
Dy,Gd,3
Dy,Dy,3
Dy,U,1
U,H,1
U,C,1
U,O,1
U,Si,1
U,Ca,1
U,Gd,1
U,Dy,1
U,U,1
H,H,3
C,H,3
O,H,3
F,H,1
Na,H,1
Si,H,1
S,H,1
Cl,H,1
Ca,H,2
Y,H,2
Ba,H,1
Nd,H,1
Gd,H,3
Dy,H,3
U,H,1
H,C,3
C,C,3
O,C,3
F,C,1
Na,C,1
Si,C,1
S,C,1
Cl,C,1
Ca,C,2
Y,C,2
Ba,C,1
Nd,C,1
Gd,C,3
Dy,C,3
U,C,1
H,O,3
C,O,3
O,O,3
F,O,1
Na,O,1
Si,O,1
S,O,1
Cl,O,1
Ca,O,2
Y,O,2
Ba,O,1
Nd,O,1
Gd,O,3
Dy,O,3
U,O,1
H,F,1
C,F,1
O,F,1
F,F,1
Na,F,1
S,F,1
Cl,F,1
Y,F,1
Ba,F,1
Gd,F,1
Dy,F,1
H,Na,1
C,Na,1
O,Na,1
F,Na,1
Na,Na,1
S,Na,1
Cl,Na,1
Y,Na,1
Ba,Na,1
Gd,Na,1
Dy,Na,1
H,Si,1
C,Si,1
O,Si,1
Si,Si,1
Ca,Si,1
Gd,Si,1
Dy,Si,1
U,Si,1
H,S,1
C,S,1
O,S,1
F,S,1
Na,S,1
S,S,1
Cl,S,1
Y,S,1
Ba,S,1
Gd,S,1
Dy,S,1
H,Cl,1
C,Cl,1
O,Cl,1
F,Cl,1
Na,Cl,1
S,Cl,1
Cl,Cl,1
Y,Cl,1
Ba,Cl,1
Gd,Cl,1
Dy,Cl,1
H,Ca,2
C,Ca,2
O,Ca,2
Si,Ca,1
Ca,Ca,2
Y,Ca,1
Nd,Ca,1
Gd,Ca,2
Dy,Ca,2
U,Ca,1
H,Y,2
C,Y,2
O,Y,2
F,Y,1
Na,Y,1
S,Y,1
Cl,Y,1
Ca,Y,1
Y,Y,2
Ba,Y,1
Nd,Y,1
Gd,Y,2
Dy,Y,2
H,Ba,1
C,Ba,1
O,Ba,1
F,Ba,1
Na,Ba,1
S,Ba,1
Cl,Ba,1
Y,Ba,1
Ba,Ba,1
Gd,Ba,1
Dy,Ba,1
H,Nd,1
C,Nd,1
O,Nd,1
Ca,Nd,1
Y,Nd,1
Nd,Nd,1
Gd,Nd,1
Dy,Nd,1
H,Gd,3
C,Gd,3
O,Gd,3
F,Gd,1
Na,Gd,1
Si,Gd,1
S,Gd,1
Cl,Gd,1
Ca,Gd,2
Y,Gd,2
Ba,Gd,1
Nd,Gd,1
Gd,Gd,3
Dy,Gd,3
U,Gd,1
H,Dy,3
C,Dy,3
O,Dy,3
F,Dy,1
Na,Dy,1
Si,Dy,1
S,Dy,1
Cl,Dy,1
Ca,Dy,2
Y,Dy,2
Ba,Dy,1
Nd,Dy,1
Gd,Dy,3
Dy,Dy,3
U,Dy,1
H,U,1
C,U,1
O,U,1
Si,U,1
Ca,U,1
Gd,U,1
Dy,U,1
U,U,1
