from,to,weight
H,H,1
H,C,1
H,O,1
H,Si,1
H,Ca,1
H,Y,1
H,Er,1
H,Yb,1
C,H,1
C,C,1
C,O,1
C,Si,1
C,Ca,1
C,Y,1
C,Er,1
C,Yb,1
O,H,1
O,C,1
O,O,1
O,Si,1
O,Ca,1
O,Y,1
O,Er,1
O,Yb,1
Si,H,1
Si,C,1
Si,O,1
Si,Si,1
Si,Ca,1
Si,Y,1
Si,Er,1
Si,Yb,1
Ca,H,1
Ca,C,1
Ca,O,1
Ca,Si,1
Ca,Ca,1
Ca,Y,1
Ca,Er,1
Ca,Yb,1
Y,H,1
Y,C,1
Y,O,1
Y,Si,1
Y,Ca,1
Y,Y,1
Y,Er,1
Y,Yb,1
Er,H,1
Er,C,1
Er,O,1
Er,Si,1
Er,Ca,1
Er,Y,1
Er,Er,1
Er,Yb,1
Yb,H,1
Yb,C,1
Yb,O,1
Yb,Si,1
Yb,Ca,1
Yb,Y,1
Yb,Er,1
Yb,Yb,1
H,H,1
C,H,1
O,H,1
Si,H,1
Ca,H,1
Y,H,1
Er,H,1
Yb,H,1
H,C,1
C,C,1
O,C,1
Si,C,1
Ca,C,1
Y,C,1
Er,C,1
Yb,C,1
H,O,1
C,O,1
O,O,1
Si,O,1
Ca,O,1
Y,O,1
Er,O,1
Yb,O,1
H,Si,1
C,Si,1
O,Si,1
Si,Si,1
Ca,Si,1
Y,Si,1
Er,Si,1
Yb,Si,1
H,Ca,1
C,Ca,1
O,Ca,1
Si,Ca,1
Ca,Ca,1
Y,Ca,1
Er,Ca,1
Yb,Ca,1
H,Y,1
C,Y,1
O,Y,1
Si,Y,1
Ca,Y,1
Y,Y,1
Er,Y,1
Yb,Y,1
H,Er,1
C,Er,1
O,Er,1
Si,Er,1
Ca,Er,1
Y,Er,1
Er,Er,1
Yb,Er,1
H,Yb,1
C,Yb,1
O,Yb,1
Si,Yb,1
Ca,Yb,1
Y,Yb,1
Er,Yb,1
Yb,Yb,1
