from,to,weight
H,H,235
H,Li,16
H,Be,8
H,B,20
H,C,18
H,N,5
H,O,232
H,F,235
H,Na,101
H,Mg,45
H,Al,107
H,Si,122
H,P,46
H,S,28
H,Cl,15
H,K,42
H,Ca,96
H,Ti,49
H,V,6
H,Cr,5
H,Mn,40
H,Fe,48
H,Cu,6
H,Zn,3
H,As,3
H,Br,1
H,Rb,1
H,Sr,15
H,Y,16
H,Zr,5
H,Nb,21
H,Ag,1
H,Cd,1
H,Sb,1
H,Cs,6
H,Ba,33
H,La,4
H,Ce,20
H,Nd,4
H,Gd,1
H,Dy,1
H,Ta,1
H,Pb,8
H,Th,4
H,U,10
Li,H,16
Li,Li,36
Li,Be,2
Li,B,3
Li,C,2
Li,O,32
Li,F,36
Li,Na,15
Li,Mg,8
Li,Al,18
Li,Si,26
Li,P,5
Li,K,10
Li,Ca,12
Li,Ti,6
Li,Mn,5
Li,Fe,10
Li,As,1
Li,Rb,2
Li,Y,2
Li,Zr,2
Li,Sn,1
Li,Cs,4
Li,La,1
Li,Ce,1
Li,Nd,1
Li,Th,1
Be,H,8
Be,Li,2
Be,Be,14
Be,B,3
Be,O,14
Be,F,14
Be,Na,8
Be,Al,5
Be,Si,11
Be,P,2
Be,Cl,1
Be,K,3
Be,Ca,8
Be,Mn,2
Be,Fe,2
Be,Y,2
Be,Cs,1
Be,Ba,2
Be,La,1
Be,Ce,3
Be,Nd,1
Be,Pb,1
Be,Th,1
B,H,20
B,Li,3
B,Be,3
B,B,38
B,C,1
B,N,1
B,O,34
B,F,38
B,Na,14
B,Mg,11
B,Al,11
B,Si,26
B,P,5
B,S,2
B,Cl,3
B,K,6
B,Ca,17
B,Ti,2
B,V,2
B,Mn,4
B,Fe,8
B,As,5
B,Y,10
B,Nb,2
B,Mo,2
B,Cs,1
B,Ba,6
B,La,2
B,Ce,5
B,Nd,1
B,W,2
B,Pb,4
B,Th,2
C,H,18
C,Li,2
C,B,1
C,C,47
C,O,47
C,F,47
C,Na,18
C,Mg,3
C,Al,5
C,Si,7
C,P,6
C,S,3
C,Cl,2
C,K,2
C,Ca,23
C,Ti,1
C,V,1
C,Mn,3
C,Fe,1
C,Sr,4
C,Y,8
C,Zr,1
C,Ba,15
C,La,8
C,Ce,15
C,Nd,3
C,Gd,1
C,Dy,1
C,Pb,1
C,Bi,1
C,Th,2
C,U,2
N,H,5
N,B,1
N,N,5
N,O,2
N,F,5
N,Al,1
N,Si,3
N,S,1
N,Ca,1
O,H,232
O,Li,32
O,Be,14
O,B,34
O,C,47
O,N,2
O,O,427
O,F,427
O,Na,193
O,Mg,89
O,Al,141
O,Si,223
O,P,87
O,S,42
O,Cl,27
O,K,67
O,Ca,201
O,Ti,78
O,V,12
O,Cr,5
O,Mn,53
O,Fe,79
O,Cu,9
O,Zn,3
O,As,19
O,Br,1
O,Rb,2
O,Sr,28
O,Y,37
O,Zr,18
O,Nb,32
O,Mo,2
O,Ag,1
O,Cd,1
O,Sn,1
O,Sb,1
O,Cs,11
O,Ba,61
