from,to,weight
H,H,793
H,Li,15
H,Be,11
H,B,20
H,C,23
H,N,19
H,O,793
H,F,48
H,Na,174
H,Mg,162
H,Al,215
H,Si,281
H,P,193
H,S,134
H,Cl,48
H,K,100
H,Ca,229
H,Sc,1
H,Ti,82
H,V,29
H,Cr,8
H,Mn,152
H,Fe,793
H,Co,5
H,Ni,10
H,Cu,33
H,Zn,62
H,Ge,5
H,As,100
H,Se,1
H,Sr,27
H,Y,10
H,Zr,26
H,Nb,26
H,Mo,18
H,Ag,1
H,Sn,9
H,Sb,8
H,Te,16
H,Cs,3
H,Ba,47
H,La,17
H,Ce,28
H,Nd,3
H,Ta,4
H,W,11
H,Tl,2
H,Pb,46
H,Bi,11
H,Th,5
H,U,20
Li,H,15
Li,Li,25
Li,Be,1
Li,B,1
Li,O,25
Li,F,10
Li,Na,17
Li,Mg,7
Li,Al,5
Li,Si,20
Li,P,4
Li,K,5
Li,Ca,5
Li,Ti,5
Li,V,1
Li,Mn,4
Li,Fe,25
Li,As,1
Li,Cs,2
Li,La,1
Li,Ce,1
Li,Nd,1
Li,Th,1
Be,H,11
Be,Li,1
Be,Be,25
Be,B,3
Be,O,25
Be,F,2
Be,Na,4
Be,Mg,10
Be,Al,12
Be,Si,17
Be,P,5
Be,S,1
Be,K,1
Be,Ca,13
Be,Ti,1
Be,Mn,3
Be,Fe,25
Be,Zn,2
Be,Y,3
Be,Sn,1
Be,Sb,1
Be,La,2
Be,Ce,4
Be,Nd,3
Be,Pb,1
Be,Th,1
B,H,20
B,Li,1
B,Be,3
B,B,52
B,O,52
B,F,8
B,Na,12
B,Mg,26
B,Al,26
B,Si,31
B,P,2
B,S,2
B,Cl,6
B,Ca,18
B,Ti,5
B,Mn,8
B,Fe,52
B,Ni,1
B,Cu,1
B,As,2
B,Y,4
B,Sn,4
B,Sb,2
B,Ba,2
B,La,2
B,Ce,4
B,Nd,1
B,Th,2
C,H,23
C,C,36
C,O,30
C,F,1
C,Na,7
C,Mg,11
C,Al,3
C,Si,10
C,P,2
C,S,4
C,Cl,1
C,K,1
C,Ca,6
C,Ti,2
C,V,1
C,Cr,2
C,Mn,2
C,Fe,36
C,Ni,3
C,Zn,2
C,Zr,2
C,Nb,1
C,Ba,3
C,La,2
C,Ce,2
C,Nd,1
C,Pb,2
N,H,19
N,N,21
N,O,19
N,Na,4
N,Mg,1
N,Al,5
N,Si,1
N,P,1
N,S,16
N,Cl,4
N,K,5
N,Fe,21
N,Ni,1
N,Pb,1
O,H,793
O,Li,25
O,Be,25
O,B,52
O,C,30
O,N,19
O,O,1162
O,F,79
O,Na,263
O,Mg,273
O,Al,287
O,Si,419
O,P,248
O,S,149
O,Cl,63
O,K,132
O,Ca,342
O,Sc,1
O,Ti,161
O,V,41
O,Cr,20
O,Mn,218
O,Fe,1162
O,Co,5
O,Ni,15
O,Cu,55
O,Zn,72
O,Ge,6
O,As,128
O,Se,1
O,Sr,39
O,Y,24
O,Zr,41
O,Nb,46
O,Mo,19
O,Ag,1
O,Sn,16
O,Sb,25
O,Te,22
O,Cs,4
O,Ba,66
O,La,28
O,Ce,47
O,Nd,8
O,Yb,1
O,Ta,18
O,W,15
O,Tl,2
O,Pb,68
O,Bi,12
O,Th,7
O,U,28
F,H,48
F,Li,10
F,Be,2
F,B,8
F,C,1
F,O,79
F,F,79
F,Na,48
F,Mg,28
F,Al,23
F,Si,60
F,P,13
F,S,1
F,Cl,1
F,K,19
F,Ca,30
F,Ti,28
F,V,3
F,Cr,2
F,Mn,19
F,Fe,79
F,Zn,1
F,As,4
F,Sr,4
F,Y,8
F,Zr,5
F,Nb,6
F,Cs,2
F,Ba,16
F,La,3
F,Ce,6
F,Nd,1
F,Pb,1
F,Th,2
F,U,2
Na,H,174
Na,Li,17
Na,Be,4
Na,B,12
Na,C,7
Na,N,4
Na,O,263
Na,F,48
Na,Na,265
Na,Mg,72
Na,Al,75
Na,Si,157
Na,P,53
Na,S,19
Na,Cl,26
Na,K,56
Na,Ca,112
Na,Ti,55
Na,V,4
Na,Cr,1
Na,Mn,70
Na,Fe,265
Na,Cu,13
Na,Zn,3
Na,As,29
Na,Sr,18
Na,Y,3
Na,Zr,28
Na,Nb,18
Na,Mo,6
Na,Sn,1
Na,Ba,23
Na,La,3
Na,Ce,11
Na,W,3
Na,Pb,4
Na,Th,1
Na,U,2
Mg,H,162
Mg,Li,7
Mg,Be,10
Mg,B,26
