from,to,weight
H,H,5
H,O,5
H,Al,2
H,P,1
H,S,1
H,Ga,5
H,Ge,2
H,As,1
H,Pb,2
O,H,5
O,O,5
O,Al,2
O,P,1
O,S,1
O,Ga,5
O,Ge,2
O,As,1
O,Pb,2
Al,H,2
Al,O,2
Al,Al,2
Al,P,1
Al,Ga,2
Al,Ge,2
Al,Pb,1
P,H,1
P,O,1
P,Al,1
P,P,1
P,Ga,1
P,Ge,1
P,Pb,1
S,H,1
S,O,1
S,S,5
S,Fe,2
S,Cu,4
S,Zn,3
S,Ga,5
S,Ge,1
S,As,1
S,In,1
S,Pb,1
Fe,S,2
Fe,Fe,2
Fe,Cu,2
Fe,Zn,2
Fe,Ga,2
Fe,Ge,1
Fe,In,1
Cu,S,4
Cu,Fe,2
Cu,Cu,4
Cu,Zn,3
Cu,Ga,4
Cu,Ge,1
Cu,In,1
Zn,S,3
Zn,Fe,2
Zn,Cu,3
Zn,Zn,3
Zn,Ga,3
Zn,Ge,1
Zn,In,1
Ga,H,5
Ga,O,5
Ga,Al,2
Ga,P,1
Ga,S,5
Ga,Fe,2
Ga,Cu,4
Ga,Zn,3
Ga,Ga,9
Ga,Ge,3
Ga,As,1
Ga,In,1
Ga,Pb,2
Ge,H,2
Ge,O,2
Ge,Al,2
Ge,P,1
Ge,S,1
Ge,Fe,1
Ge,Cu,1
Ge,Zn,1
Ge,Ga,3
Ge,Ge,3
Ge,Pb,1
As,H,1
As,O,1
As,S,1
As,Ga,1
As,As,1
As,Pb,1
In,S,1
In,Fe,1
In,Cu,1
In,Zn,1
In,Ga,1
In,In,1
Pb,H,2
Pb,O,2
Pb,Al,1
Pb,P,1
Pb,S,1
Pb,Ga,2
Pb,Ge,1
Pb,As,1
Pb,Pb,2
H,H,5
O,H,5
Al,H,2
P,H,1
S,H,1
Ga,H,5
Ge,H,2
As,H,1
Pb,H,2
H,O,5
O,O,5
Al,O,2
P,O,1
S,O,1
Ga,O,5
Ge,O,2
As,O,1
Pb,O,2
H,Al,2
O,Al,2
Al,Al,2
P,Al,1
Ga,Al,2
Ge,Al,2
Pb,Al,1
H,P,1
O,P,1
Al,P,1
P,P,1
Ga,P,1
Ge,P,1
Pb,P,1
H,S,1
O,S,1
S,S,5
Fe,S,2
Cu,S,4
Zn,S,3
Ga,S,5
Ge,S,1
As,S,1
In,S,1
Pb,S,1
S,Fe,2
Fe,Fe,2
Cu,Fe,2
Zn,Fe,2
Ga,Fe,2
Ge,Fe,1
In,Fe,1
S,Cu,4
Fe,Cu,2
Cu,Cu,4
Zn,Cu,3
Ga,Cu,4
Ge,Cu,1
In,Cu,1
S,Zn,3
Fe,Zn,2
Cu,Zn,3
Zn,Zn,3
Ga,Zn,3
Ge,Zn,1
In,Zn,1
H,Ga,5
O,Ga,5
Al,Ga,2
P,Ga,1
S,Ga,5
Fe,Ga,2
Cu,Ga,4
Zn,Ga,3
Ga,Ga,9
Ge,Ga,3
As,Ga,1
In,Ga,1
Pb,Ga,2
H,Ge,2
O,Ge,2
Al,Ge,2
P,Ge,1
S,Ge,1
Fe,Ge,1
Cu,Ge,1
Zn,Ge,1
Ga,Ge,3
Ge,Ge,3
Pb,Ge,1
H,As,1
O,As,1
S,As,1
Ga,As,1
As,As,1
Pb,As,1
S,In,1
Fe,In,1
Cu,In,1
Zn,In,1
Ga,In,1
In,In,1
H,Pb,2
O,Pb,2
Al,Pb,1
P,Pb,1
S,Pb,1
Ga,Pb,2
Ge,Pb,1
As,Pb,1
Pb,Pb,2
