from,to,weight
H,H,11
H,C,1
H,O,11
H,Al,4
H,Si,1
H,P,1
H,S,4
H,Ca,2
H,Fe,5
H,Ga,2
H,Ge,11
H,Pb,5
C,H,1
C,C,1
C,O,1
C,S,1
C,Ca,1
C,Ge,1
O,H,11
O,C,1
O,O,15
O,Al,4
O,Si,1
O,P,1
O,S,4
O,Ca,2
O,Fe,6
O,Ga,2
O,Ge,15
O,Pb,6
Al,H,4
Al,O,4
Al,Al,4
Al,Si,1
Al,P,1
Al,Fe,2
Al,Ga,2
Al,Ge,4
Al,Pb,2
Si,H,1
Si,O,1
Si,Al,1
Si,Si,1
Si,Fe,1
Si,Ge,1
Si,Pb,1
P,H,1
P,O,1
P,Al,1
P,P,1
P,Ga,1
P,Ge,1
P,Pb,1
S,H,4
S,C,1
S,O,4
S,S,24
S,Ca,2
S,V,1
S,Fe,9
S,Ni,1
S,Cu,12
S,Zn,5
S,Ga,1
S,Ge,24
S,As,2
S,Mo,1
S,Ag,4
S,Cd,1
S,Sn,1
S,Te,1
S,W,2
S,Pb,5
Ca,H,2
Ca,C,1
Ca,O,2
Ca,S,2
Ca,Ca,2
Ca,Ge,2
V,S,1
V,V,1
V,Cu,1
V,Ge,1
V,As,1
Fe,H,5
Fe,O,6
Fe,Al,2
Fe,Si,1
Fe,S,9
Fe,Fe,15
Fe,Cu,7
Fe,Zn,5
Fe,Ga,1
Fe,Ge,15
Fe,As,1
Fe,Mo,1
Fe,W,1
Fe,Pb,4
Ni,S,1
Ni,Ni,1
Ni,Ge,1
Cu,S,12
Cu,V,1
Cu,Fe,7
Cu,Cu,13
Cu,Zn,5
Cu,Ga,1
Cu,Ge,13
Cu,As,2
Cu,Mo,1
Cu,Rh,1
Cu,Ag,1
Cu,Cd,1
Cu,W,2
Zn,S,5
Zn,Fe,5
Zn,Cu,5
Zn,Zn,5
Zn,Ga,1
Zn,Ge,5
Zn,As,1
Zn,W,1
Ga,H,2
Ga,O,2
Ga,Al,2
Ga,P,1
Ga,S,1
Ga,Fe,1
Ga,Cu,1
Ga,Zn,1
Ga,Ga,3
Ga,Ge,3
Ga,Pb,1
Ge,H,11
Ge,C,1
Ge,O,15
Ge,Al,4
Ge,Si,1
Ge,P,1
Ge,S,24
Ge,Ca,2
Ge,V,1
Ge,Fe,15
Ge,Ni,1
Ge,Cu,13
Ge,Zn,5
Ge,Ga,3
Ge,Ge,38
Ge,As,2
Ge,Mo,1
Ge,Rh,1
Ge,Pd,2
Ge,Ag,4
Ge,Cd,1
Ge,Sn,1
Ge,Te,1
Ge,W,2
