from,to,weight
H,H,3320
H,Li,66
H,Be,74
H,B,206
H,C,341
H,N,134
H,O,3297
H,F,235
H,Na,740
H,Mg,576
H,Al,911
H,Si,1073
H,P,535
H,S,553
H,Cl,250
H,K,376
H,Ca,1039
H,Sc,8
H,Ti,205
H,V,191
H,Cr,47
H,Mn,481
H,Fe,793
H,Co,40
H,Ni,71
H,Cu,376
H,Zn,239
H,Ga,5
H,Ge,11
H,As,406
H,Se,26
H,Br,6
H,Rb,2
H,Sr,109
H,Y,77
H,Zr,80
H,Nb,111
H,Mo,51
H,Ag,4
H,Cd,12
H,In,2
H,Sn,27
H,Sb,38
H,Te,54
H,I,13
H,Cs,16
H,Ba,166
H,La,48
H,Ce,103
H,Pr,1
H,Nd,36
H,Sm,5
H,Gd,4
H,Dy,3
H,Er,1
H,Yb,3
H,Ta,14
H,W,25
H,Hg,13
H,Tl,7
H,Pb,247
H,Bi,44
H,Th,27
H,U,283
Li,H,66
Li,Li,66
Li,Be,7
Li,B,10
Li,C,3
Li,O,66
Li,F,16
Li,Na,29
Li,Mg,11
Li,Al,33
Li,Si,48
Li,P,13
Li,S,1
Li,Cl,2
Li,K,13
Li,Ca,15
Li,Ti,7
Li,Mn,11
Li,Fe,15
Li,Cu,1
Li,Rb,1
Li,Sr,1
Li,Y,2
Li,Zr,3
Li,Cs,2
Li,Ba,2
Li,La,1
Li,Ce,1
Li,Nd,1
Li,Th,1
Li,U,1
Be,H,74
Be,Li,7
Be,Be,74
Be,B,5
Be,C,1
Be,O,74
Be,F,8
Be,Na,18
Be,Mg,6
Be,Al,16
Be,Si,38
Be,P,28
Be,Cl,1
Be,K,6
Be,Ca,41
Be,Mn,14
Be,Fe,11
Be,Zn,3
Be,As,3
Be,Y,3
Be,Zr,3
Be,Sn,2
Be,Cs,1
Be,Ba,4
Be,La,1
Be,Ce,4
Be,Nd,2
Be,Yb,1
Be,Pb,1
Be,Th,2
Be,U,1
B,H,206
B,Li,10
B,Be,5
B,B,206
B,C,14
B,N,3
B,O,205
B,F,20
B,Na,52
B,Mg,62
B,Al,60
B,Si,83
B,P,3
B,S,9
B,Cl,30
B,K,11
B,Ca,94
B,Ti,5
B,V,4
B,Cr,4
B,Mn,17
B,Fe,20
B,Cu,4
B,As,2
B,Rb,1
B,Sr,9
B,Y,4
B,Zr,2
B,Nb,2
B,Sn,1
B,Cs,1
B,Ba,6
B,La,2
B,Ce,7
B,Nd,1
B,Ta,1
B,Pb,5
B,Th,2
B,U,1
C,H,341
C,Li,3
C,Be,1
C,B,14
C,C,341
C,N,23
C,O,327
C,F,18
C,Na,69
C,Mg,61
C,Al,55
C,Si,49
C,P,22
C,S,36
C,Cl,23
C,K,15
C,Ca,110
C,Ti,2
C,V,6
C,Cr,5
C,Mn,19
C,Fe,23
C,Co,4
C,Ni,14
C,Cu,39
C,Zn,17
C,Ge,1
C,As,4
C,Sr,13
C,Y,31
C,Zr,9
C,Nb,4
C,Te,2
C,Ba,14
C,La,18
C,Ce,22
C,Pr,1
C,Nd,18
C,Sm,3
C,Gd,4
C,Dy,3
C,Er,1
C,Yb,1
C,Ta,1
C,W,1
C,Hg,3
C,Pb,28
C,Th,2
C,U,41
N,H,134
N,B,3
N,C,23
N,N,134
N,O,125
N,F,5
N,Na,23
N,Mg,15
N,Al,25
N,Si,10
N,P,21
N,S,55
N,Cl,25
N,K,18
N,Ca,8
N,V,8
N,Mn,2
N,Fe,19
N,Co,1
N,Ni,5
N,Cu,13
N,Zn,1
N,As,8
N,Br,4
N,Mo,2
N,Sn,1
N,Sb,1
N,I,2
N,Hg,5
N,Pb,4
N,Bi,2
N,U,12
O,H,3297
O,Li,66
O,Be,74
O,B,205
O,C,327
O,N,125
O,O,3297
O,F,232
O,Na,740
O,Mg,576
O,Al,911
O,Si,1071
O,P,535
O,S,553
O,Cl,245
O,K,376
O,Ca,1039
O,Sc,8
O,Ti,205
O,V,190
O,Cr,47
O,Mn,481
O,Fe,793
O,Co,40
O,Ni,70
O,Cu,375
O,Zn,239
O,Ga,5
O,Ge,11
O,As,406
O,Se,26
O,Br,6
O,Rb,2
O,Sr,109
O,Y,77
O,Zr,80
O,Nb,111
O,Mo,51
O,Ag,4
O,Cd,12
O,In,2
O,Sn,26
O,Sb,38
O,Te,54
O,I,13
O,Cs,16
O,Ba,166
O,La,48
O,Ce,103
O,Pr,1
O,Nd,36
O,Sm,5
O,Gd,4
O,Dy,3
O,Er,1
O,Yb,3
O,Ta,14
O,W,25
O,Hg,13
O,Tl,7
O,Pb,246
O,Bi,43
O,Th,27
O,U,283
F,H,235
F,Li,16
F,Be,8
F,B,20
F,C,18
F,N,5
F,O,232
F,F,235
F,Na,101
F,Mg,45
F,Al,107
F,Si,122
F,P,46
F,S,28
F,Cl,15
F,K,42
F,Ca,96
F,Ti,49
F,V,6
F,Cr,5
F,Mn,40
F,Fe,48
F,Cu,6
F,Zn,3
F,As,3
F,Br,1
F,Rb,1
F,Sr,15
F,Y,16
F,Zr,5
F,Nb,21
F,Ag,1
F,Cd,1
F,Sb,1
F,Cs,6
F,Ba,33
F,La,4
F,Ce,20
F,Nd,4
F,Gd,1
F,Dy,1
F,Ta,1
F,Pb,8
F,Th,4
F,U,10
Na,H,740
Na,Li,29
Na,Be,18
Na,B,52
Na,C,69
Na,N,23
Na,O,740
Na,F,101
Na,Na,740
Na,Mg,142
Na,Al,243
Na,Si,432
Na,P,99
Na,S,109
Na,Cl,57
Na,K,176
Na,Ca,296
Na,Sc,1
Na,Ti,105
Na,V,29
Na,Cr,7
Na,Mn,123
Na,Fe,174
Na,Co,3
Na,Ni,2
Na,Cu,20
Na,Zn,15
Na,As,42
Na,Se,2
Na,Sr,48
Na,Y,23
Na,Zr,65
Na,Nb,59
Na,Mo,7
Na,Sn,2
Na,Sb,7
Na,I,3
Na,Cs,5
Na,Ba,62
Na,La,4
Na,Ce,27
Na,Nd,1
Na,Gd,1
Na,Dy,1
Na,Ta,3
Na,W,5
Na,Pb,5
Na,Bi,1
Na,Th,5
Na,U,36
Mg,H,576
Mg,Li,11
Mg,Be,6
Mg,B,62
Mg,C,61
Mg,N,15
Mg,O,576
Mg,F,45
Mg,Na,142
Mg,Mg,576
Mg,Al,217
Mg,Si,223
Mg,P,100
Mg,S,68
Mg,Cl,35
Mg,K,73
Mg,Ca,177
Mg,Sc,3
Mg,Ti,23
Mg,V,29
Mg,Cr,13
Mg,Mn,90
Mg,Fe,162
Mg,Co,3
Mg,Ni,10
Mg,Cu,22
Mg,Zn,37
Mg,As,52
Mg,Se,1
Mg,Sr,12
Mg,Y,1
Mg,Zr,3
Mg,Nb,7
Mg,Mo,5
Mg,Sn,5
Mg,Sb,2
Mg,Te,9
Mg,I,3
Mg,Ba,24
Mg,La,3
Mg,Ce,11
Mg,Nd,1
Mg,W,4
Mg,Hg,1
Mg,Pb,10
Mg,Bi,1
Mg,U,26
Al,H,911
Al,Li,33
Al,Be,16
Al,B,60
