from,to,weight
H,H,13
H,C,3
H,N,5
H,O,13
H,Mg,1
H,Al,1
H,P,1
H,S,4
H,Cl,6
H,Ni,1
H,Br,3
H,Mo,1
H,Sb,1
H,I,1
H,Hg,13
C,H,3
C,C,5
C,O,5
C,Mg,1
C,Cl,2
C,Ni,1
C,Br,1
C,I,1
C,Hg,5
N,H,5
N,N,5
N,O,5
N,S,4
N,Cl,4
N,Br,2
N,Mo,1
N,I,1
N,Hg,5
O,H,13
O,C,5
O,N,5
O,O,33
O,Mg,1
O,Al,1
O,Si,1
O,P,1
O,S,7
O,Cl,17
O,V,1
O,Cr,3
O,Ni,1
O,As,4
O,Br,7
O,Mo,1
O,Ag,2
O,Sb,2
O,Te,1
O,I,4
O,Hg,33
Mg,H,1
Mg,C,1
Mg,O,1
Mg,Mg,1
Mg,Ni,1
Mg,Hg,1
Al,H,1
Al,O,1
Al,Al,1
Al,P,1
Al,Hg,1
Si,O,1
Si,Si,1
Si,Hg,1
P,H,1
P,O,1
P,Al,1
P,P,1
P,Hg,1
S,H,4
S,N,4
S,O,7
S,S,51
S,Cl,11
S,Cr,2
S,Mn,1
S,Fe,2
S,Ni,1
S,Cu,15
S,Zn,3
S,As,15
S,Br,4
S,Mo,1
S,Ag,15
S,Sn,1
S,Sb,14
S,Te,1
S,I,5
S,Cs,1
S,Hg,51
S,Tl,9
S,Pb,5
S,Bi,1
Cl,H,6
Cl,C,2
Cl,N,4
Cl,O,17
Cl,S,11
Cl,Cl,27
Cl,As,2
Cl,Br,10
Cl,Mo,1
Cl,Ag,4
Cl,Sb,1
Cl,I,7
Cl,Hg,27
V,O,1
V,V,1
V,As,1
V,Ag,1
V,Hg,1
Cr,O,3
Cr,S,2
Cr,Cr,3
Cr,Hg,3
Mn,S,1
Mn,Mn,1
Mn,Sb,1
Mn,Hg,1
Mn,Tl,1
Mn,Pb,1
Fe,S,2
Fe,Fe,2
Fe,Cu,2
Fe,Zn,1
Fe,As,1
Fe,Ag,1
Fe,Sb,1
Fe,Hg,2
Fe,Tl,1
Ni,H,1
Ni,C,1
Ni,O,1
Ni,Mg,1
Ni,S,1
Ni,Ni,2
Ni,Hg,2
Cu,S,15
Cu,Fe,2
Cu,Cu,23
Cu,Zn,2
Cu,As,6
Cu,Se,6
Cu,Ag,6
Cu,Sn,1
Cu,Sb,9
Cu,Cs,1
Cu,Hg,23
Cu,Tl,3
Cu,Pb,5
Cu,Bi,3
Zn,S,3
Zn,Fe,1
Zn,Cu,2
Zn,Zn,3
Zn,As,2
Zn,Ag,2
Zn,Sb,2
Zn,Hg,3
Zn,Tl,2
As,O,4
As,S,15
As,Cl,2
As,V,1
As,Fe,1
As,Cu,6
As,Zn,2
As,As,20
As,Pd,1
As,Ag,8
As,Sb,5
As,Te,1
As,Cs,1
As,Hg,20
As,Tl,7
As,Pb,1
Se,Cu,6
Se,Se,10
Se,Pd,2
Se,Sb,2
Se,Pt,1
Se,Hg,10
Se,Pb,3
Se,Bi,3
Br,H,3
Br,C,1
Br,N,2
Br,O,7
Br,S,4
Br,Cl,10
Br,Br,11
Br,Ag,1
Br,Sb,1
Br,I,6
Br,Hg,11
Mo,H,1
Mo,N,1
Mo,O,1
Mo,S,1
Mo,Cl,1
Mo,Mo,1
Mo,Hg,1
Pd,As,1
Pd,Se,2
Pd,Pd,5
Pd,Te,1
Pd,Hg,5
Ag,O,2
Ag,S,15
Ag,Cl,4
Ag,V,1
Ag,Fe,1
Ag,Cu,6
Ag,Zn,2
Ag,As,8
Ag,Br,1
Ag,Ag,25
Ag,Sb,6
Ag,Te,2
Ag,I,3
Ag,Au,1
Ag,Hg,25
Ag,Tl,3
Ag,Pb,2
Sn,S,1
Sn,Cu,1
Sn,Sn,1
Sn,Hg,1
Sb,H,1
Sb,O,2
Sb,S,14
Sb,Cl,1
Sb,Mn,1
Sb,Fe,1
Sb,Cu,9
Sb,Zn,2
Sb,As,5
Sb,Se,2
Sb,Br,1
Sb,Ag,6
Sb,Sb,19
Sb,Te,1
Sb,Hg,19
Sb,Tl,6
Sb,Pb,5
Te,O,1
Te,S,1
Te,As,1
Te,Pd,1
Te,Ag,2
Te,Sb,1
Te,Te,5
Te,Hg,5
Te,Pb,1
I,H,1
I,C,1
I,N,1
I,O,4
I,S,5
I,Cl,7
I,Br,6
I,Ag,3
I,I,11
I,Hg,11
Cs,S,1
Cs,Cu,1
Cs,As,1
Cs,Cs,1
Cs,Hg,1
Pt,Se,1
Pt,Pt,1
Pt,Hg,1
Au,Ag,1
Au,Au,2
Au,Hg,2
Hg,H,13
Hg,C,5
Hg,N,5
Hg,O,33
Hg,Mg,1
Hg,Al,1
Hg,Si,1
Hg,P,1
Hg,S,51
Hg,Cl,27
Hg,V,1
Hg,Cr,3
Hg,Mn,1
Hg,Fe,2
Hg,Ni,2
Hg,Cu,23
Hg,Zn,3
Hg,As,20
Hg,Se,10
Hg,Br,11
Hg,Mo,1
Hg,Pd,5
Hg,Ag,25
Hg,Sn,1
Hg,Sb,19
Hg,Te,5
Hg,I,11
Hg,Cs,1
Hg,Pt,1
Hg,Au,2
Hg,Hg,108
