from,to,weight
H,H,13
H,N,2
H,O,13
H,Na,3
H,Mg,3
H,S,2
H,Cl,4
H,K,2
H,Ca,3
H,Cr,2
H,Cu,4
H,As,1
H,Se,1
H,Br,1
H,I,13
H,Hg,1
H,Pb,3
C,C,1
C,O,1
C,Cl,1
C,Br,1
C,I,1
C,Hg,1
N,H,2
N,N,2
N,O,2
N,S,1
N,Cl,1
N,As,1
N,Br,1
N,I,2
N,Hg,1
O,H,13
O,C,1
O,N,2
O,O,19
O,Na,4
O,Mg,3
O,S,3
O,Cl,8
O,K,2
O,Ca,4
O,Cr,2
O,Cu,4
O,As,1
O,Se,1
O,Br,4
O,I,19
O,Hg,4
O,Pb,4
Na,H,3
Na,O,4
Na,Na,4
Na,Mg,3
Na,S,2
Na,K,2
Na,Ca,1
Na,Cr,1
Na,Se,1
Na,I,4
Mg,H,3
Mg,O,3
Mg,Na,3
Mg,Mg,3
Mg,S,1
Mg,K,2
Mg,Ca,1
Mg,Cr,1
Mg,Se,1
Mg,I,3
S,H,2
S,N,1
S,O,3
S,Na,2
S,Mg,1
S,S,9
S,Cl,5
S,K,1
S,As,1
S,Br,3
S,Ag,2
S,I,9
S,Hg,5
S,Pb,1
S,Bi,1
Cl,H,4
Cl,C,1
Cl,N,1
Cl,O,8
Cl,S,5
Cl,Cl,12
Cl,Cu,1
Cl,As,1
Cl,Br,6
Cl,Ag,1
Cl,I,12
Cl,Hg,7
Cl,Pb,4
K,H,2
K,O,2
K,Na,2
K,Mg,2
K,S,1
K,K,2
K,Se,1
K,I,2
Ca,H,3
Ca,O,4
Ca,Na,1
Ca,Mg,1
Ca,Ca,4
Ca,Cr,2
Ca,I,4
Cr,H,2
Cr,O,2
Cr,Na,1
Cr,Mg,1
Cr,Ca,2
Cr,Cr,2
Cr,I,2
Cu,H,4
Cu,O,4
Cu,Cl,1
Cu,Cu,6
Cu,Ag,1
Cu,I,6
Cu,Pb,1
As,H,1
As,N,1
As,O,1
As,S,1
As,Cl,1
As,As,2
As,I,2
As,Pb,1
Se,H,1
Se,O,1
Se,Na,1
Se,Mg,1
Se,K,1
Se,Se,1
Se,I,1
Br,H,1
Br,C,1
Br,N,1
Br,O,4
Br,S,3
Br,Cl,6
Br,Br,6
Br,Ag,1
Br,I,6
Br,Hg,6
Ag,S,2
Ag,Cl,1
Ag,Cu,1
Ag,Br,1
Ag,Ag,5
Ag,I,5
Ag,Hg,3
I,H,13
I,C,1
I,N,2
I,O,19
I,Na,4
I,Mg,3
I,S,9
I,Cl,12
I,K,2
I,Ca,4
I,Cr,2
I,Cu,6
I,As,2
I,Se,1
I,Br,6
I,Ag,5
I,I,32
I,Hg,11
I,Tl,1
I,Pb,5
I,Bi,1
Hg,H,1
Hg,C,1
Hg,N,1
Hg,O,4
Hg,S,5
Hg,Cl,7
Hg,Br,6
Hg,Ag,3
Hg,I,11
Hg,Hg,11
Tl,I,1
Tl,Tl,1
Pb,H,3
Pb,O,4
Pb,S,1
Pb,Cl,4
Pb,Cu,1
Pb,As,1
Pb,I,5
Pb,Pb,5
Bi,S,1
Bi,I,1
Bi,Bi,1
H,H,13
N,H,2
O,H,13
Na,H,3
Mg,H,3
S,H,2
Cl,H,4
K,H,2
Ca,H,3
Cr,H,2
Cu,H,4
As,H,1
Se,H,1
Br,H,1
I,H,13
Hg,H,1
Pb,H,3
C,C,1
O,C,1
Cl,C,1
Br,C,1
I,C,1
Hg,C,1
H,N,2
N,N,2
O,N,2
S,N,1
Cl,N,1
As,N,1
Br,N,1
I,N,2
Hg,N,1
H,O,13
C,O,1
N,O,2
O,O,19
Na,O,4
Mg,O,3
