from,to,weight
H,H,2
H,O,2
H,As,1
H,In,2
O,H,2
O,O,2
O,As,1
O,In,2
S,S,10
S,Mn,1
S,Fe,5
S,Cu,4
S,Zn,3
S,Ga,1
S,Ag,3
S,Cd,2
S,In,10
S,Sn,3
S,Sb,1
S,Pb,3
S,Bi,2
Mn,S,1
Mn,Mn,1
Mn,Fe,1
Mn,Ag,1
Mn,Cd,1
Mn,In,1
Mn,Sb,1
Mn,Pb,1
Fe,S,5
Fe,Mn,1
Fe,Fe,5
Fe,Cu,3
Fe,Zn,3
Fe,Ga,1
Fe,Ag,2
Fe,Cd,1
Fe,In,5
Fe,Sn,2
Fe,Sb,1
Fe,Pb,1
Cu,S,4
Cu,Fe,3
Cu,Cu,4
Cu,Zn,3
Cu,Ga,1
Cu,Ag,1
Cu,In,4
Cu,Sn,2
Zn,S,3
Zn,Fe,3
Zn,Cu,3
Zn,Zn,3
Zn,Ga,1
Zn,Ag,1
Zn,In,3
Zn,Sn,2
Ga,S,1
Ga,Fe,1
Ga,Cu,1
Ga,Zn,1
Ga,Ga,1
Ga,In,1
As,H,1
As,O,1
As,As,2
As,Pd,1
As,In,2
Pd,As,1
Pd,Pd,1
Pd,In,1
Ag,S,3
Ag,Mn,1
Ag,Fe,2
Ag,Cu,1
Ag,Zn,1
Ag,Ag,3
Ag,Cd,1
Ag,In,3
Ag,Sn,1
Ag,Sb,1
Ag,Pb,1
Cd,S,2
Cd,Mn,1
Cd,Fe,1
Cd,Ag,1
Cd,Cd,2
Cd,In,2
Cd,Sb,1
Cd,Pb,1
In,H,2
In,O,2
In,S,10
In,Mn,1
In,Fe,5
In,Cu,4
In,Zn,3
In,Ga,1
In,As,2
In,Pd,1
In,Ag,3
In,Cd,2
In,In,16
In,Sn,3
In,Sb,1
In,Pt,2
In,Pb,3
In,Bi,2
Sn,S,3
Sn,Fe,2
Sn,Cu,2
Sn,Zn,2
Sn,Ag,1
Sn,In,3
Sn,Sn,3
Sn,Pb,1
Sn,Bi,1
Sb,S,1
Sb,Mn,1
Sb,Fe,1
Sb,Ag,1
Sb,Cd,1
Sb,In,1
Sb,Sb,1
Sb,Pb,1
Pt,In,2
Pt,Pt,2
Pb,S,3
Pb,Mn,1
Pb,Fe,1
Pb,Ag,1
Pb,Cd,1
Pb,In,3
Pb,Sn,1
Pb,Sb,1
Pb,Pb,3
Pb,Bi,2
Bi,S,2
Bi,In,2
Bi,Sn,1
Bi,Pb,2
Bi,Bi,2
H,H,2
O,H,2
As,H,1
In,H,2
H,O,2
O,O,2
As,O,1
In,O,2
S,S,10
Mn,S,1
Fe,S,5
Cu,S,4
Zn,S,3
Ga,S,1
Ag,S,3
Cd,S,2
In,S,10
Sn,S,3
Sb,S,1
Pb,S,3
Bi,S,2
S,Mn,1
Mn,Mn,1
Fe,Mn,1
Ag,Mn,1
Cd,Mn,1
In,Mn,1
Sb,Mn,1
Pb,Mn,1
S,Fe,5
Mn,Fe,1
Fe,Fe,5
Cu,Fe,3
Zn,Fe,3
Ga,Fe,1
Ag,Fe,2
Cd,Fe,1
In,Fe,5
Sn,Fe,2
Sb,Fe,1
Pb,Fe,1
S,Cu,4
Fe,Cu,3
Cu,Cu,4
Zn,Cu,3
Ga,Cu,1
Ag,Cu,1
In,Cu,4
Sn,Cu,2
S,Zn,3
Fe,Zn,3
Cu,Zn,3
Zn,Zn,3
Ga,Zn,1
Ag,Zn,1
In,Zn,3
Sn,Zn,2
S,Ga,1
Fe,Ga,1
Cu,Ga,1
Zn,Ga,1
Ga,Ga,1
In,Ga,1
H,As,1
O,As,1
As,As,2
Pd,As,1
In,As,2
As,Pd,1
Pd,Pd,1
In,Pd,1
S,Ag,3
Mn,Ag,1
Fe,Ag,2
Cu,Ag,1
Zn,Ag,1
Ag,Ag,3
Cd,Ag,1
In,Ag,3
Sn,Ag,1
Sb,Ag,1
Pb,Ag,1
S,Cd,2
Mn,Cd,1
Fe,Cd,1
Ag,Cd,1
Cd,Cd,2
In,Cd,2
Sb,Cd,1
Pb,Cd,1
H,In,2
O,In,2
S,In,10
Mn,In,1
Fe,In,5
Cu,In,4
Zn,In,3
Ga,In,1
As,In,2
Pd,In,1
Ag,In,3
Cd,In,2
In,In,16
Sn,In,3
Sb,In,1
Pt,In,2
Pb,In,3
Bi,In,2
S,Sn,3
Fe,Sn,2
Cu,Sn,2
Zn,Sn,2
Ag,Sn,1
In,Sn,3
Sn,Sn,3
Pb,Sn,1
Bi,Sn,1
S,Sb,1
Mn,Sb,1
Fe,Sb,1
Ag,Sb,1
Cd,Sb,1
In,Sb,1
Sb,Sb,1
Pb,Sb,1
In,Pt,2
Pt,Pt,2
S,Pb,3
Mn,Pb,1
Fe,Pb,1
Ag,Pb,1
Cd,Pb,1
In,Pb,3
Sn,Pb,1
Sb,Pb,1
Pb,Pb,3
Bi,Pb,2
S,Bi,2
In,Bi,2
Sn,Bi,1
Pb,Bi,2
Bi,Bi,2
