from,to,weight
S,S,12
S,Fe,3
S,Ni,2
S,Cu,5
S,As,1
S,Ru,1
S,Rh,4
S,Sb,1
S,Ir,12
S,Pt,6
S,Pb,2
S,Bi,1
Fe,S,3
Fe,Fe,7
Fe,Ni,2
Fe,Cu,2
Fe,Mo,1
Fe,Ru,2
Fe,Rh,1
Fe,Os,2
Fe,Ir,7
Fe,Pt,1
Ni,S,2
Ni,Fe,2
Ni,Ni,3
Ni,Cu,1
Ni,Rh,1
Ni,Ir,3
Ni,Pt,1
Cu,S,5
Cu,Fe,2
Cu,Ni,1
Cu,Cu,6
Cu,Rh,3
Cu,Sb,1
Cu,Ir,6
Cu,Pt,4
Cu,Pb,2
As,S,1
As,As,2
As,Ru,2
As,Rh,1
As,Ir,2
As,Pt,1
Mo,Fe,1
Mo,Mo,1
Mo,Ru,1
Mo,Os,1
Mo,Ir,1
Ru,S,1
Ru,Fe,2
Ru,As,2
Ru,Mo,1
Ru,Ru,8
Ru,Rh,1
Ru,Os,5
Ru,Ir,8
Ru,Pt,1
Rh,S,4
Rh,Fe,1
Rh,Ni,1
Rh,Cu,3
Rh,As,1
Rh,Ru,1
Rh,Rh,5
Rh,Sb,1
Rh,Ir,5
Rh,Pt,4
Rh,Pb,1
Sb,S,1
Sb,Cu,1
Sb,Rh,1
Sb,Sb,2
Sb,Ir,2
Te,Te,3
Te,Ir,3
Te,Bi,1
Os,Fe,2
Os,Mo,1
Os,Ru,5
Os,Os,5
Os,Ir,5
Ir,S,12
Ir,Fe,7
Ir,Ni,3
Ir,Cu,6
Ir,As,2
Ir,Mo,1
Ir,Ru,8
Ir,Rh,5
Ir,Sb,2
Ir,Te,3
Ir,Os,5
Ir,Ir,25
Ir,Pt,6
Ir,Pb,2
Ir,Bi,2
Pt,S,6
Pt,Fe,1
Pt,Ni,1
Pt,Cu,4
Pt,As,1
Pt,Ru,1
Pt,Rh,4
Pt,Ir,6
Pt,Pt,6
Pt,Pb,2
Pb,S,2
Pb,Cu,2
Pb,Rh,1
Pb,Ir,2
Pb,Pt,2
Pb,Pb,2
Bi,S,1
Bi,Te,1
Bi,Ir,2
Bi,Bi,2
S,S,12
Fe,S,3
Ni,S,2
Cu,S,5
As,S,1
Ru,S,1
Rh,S,4
Sb,S,1
Ir,S,12
Pt,S,6
Pb,S,2
Bi,S,1
S,Fe,3
Fe,Fe,7
Ni,Fe,2
Cu,Fe,2
Mo,Fe,1
Ru,Fe,2
Rh,Fe,1
Os,Fe,2
Ir,Fe,7
Pt,Fe,1
S,Ni,2
Fe,Ni,2
Ni,Ni,3
Cu,Ni,1
Rh,Ni,1
Ir,Ni,3
Pt,Ni,1
S,Cu,5
Fe,Cu,2
Ni,Cu,1
Cu,Cu,6
Rh,Cu,3
Sb,Cu,1
Ir,Cu,6
Pt,Cu,4
Pb,Cu,2
S,As,1
As,As,2
Ru,As,2
Rh,As,1
Ir,As,2
Pt,As,1
Fe,Mo,1
Mo,Mo,1
Ru,Mo,1
Os,Mo,1
Ir,Mo,1
S,Ru,1
Fe,Ru,2
As,Ru,2
Mo,Ru,1
Ru,Ru,8
Rh,Ru,1
Os,Ru,5
Ir,Ru,8
Pt,Ru,1
S,Rh,4
Fe,Rh,1
Ni,Rh,1
Cu,Rh,3
As,Rh,1
Ru,Rh,1
Rh,Rh,5
Sb,Rh,1
Ir,Rh,5
Pt,Rh,4
Pb,Rh,1
S,Sb,1
Cu,Sb,1
Rh,Sb,1
Sb,Sb,2
Ir,Sb,2
Te,Te,3
Ir,Te,3
Bi,Te,1
Fe,Os,2
Mo,Os,1
Ru,Os,5
Os,Os,5
Ir,Os,5
S,Ir,12
Fe,Ir,7
Ni,Ir,3
Cu,Ir,6
As,Ir,2
Mo,Ir,1
Ru,Ir,8
Rh,Ir,5
Sb,Ir,2
Te,Ir,3
Os,Ir,5
Ir,Ir,25
Pt,Ir,6
Pb,Ir,2
Bi,Ir,2
S,Pt,6
Fe,Pt,1
Ni,Pt,1
Cu,Pt,4
As,Pt,1
Ru,Pt,1
Rh,Pt,4
Ir,Pt,6
Pt,Pt,6
Pb,Pt,2
S,Pb,2
Cu,Pb,2
Rh,Pb,1
Ir,Pb,2
Pt,Pb,2
Pb,Pb,2
S,Bi,1
Te,Bi,1
Ir,Bi,2
Bi,Bi,2
