from,to,weight
H,H,376
H,Li,13
H,Be,6
H,B,11
H,C,15
H,N,18
H,O,376
H,F,42
H,Na,176
H,Mg,73
H,Al,142
H,Si,226
H,P,39
H,S,69
H,Cl,36
H,K,376
H,Ca,143
H,Ti,58
H,V,16
H,Cr,3
H,Mn,52
H,Fe,100
H,Ni,1
H,Cu,17
H,Zn,11
H,As,14
H,Se,1
H,Br,1
H,Rb,1
H,Sr,18
H,Y,5
H,Zr,15
H,Nb,37
H,Mo,4
H,Ag,1
H,Cd,1
H,Sb,3
H,I,2
H,Cs,3
H,Ba,41
H,Ce,5
H,Ta,3
H,W,1
H,Tl,2
H,Pb,6
H,Bi,1
H,Th,2
H,U,29
Li,H,13
Li,Li,33
Li,Be,4
Li,O,33
Li,F,10
Li,Na,14
Li,Mg,4
Li,Al,7
Li,Si,29
Li,P,3
Li,S,1
Li,K,33
Li,Ca,7
Li,Ti,9
Li,V,2
Li,Mn,8
Li,Fe,5
Li,Cu,1
Li,Zn,2
Li,Rb,1
Li,Zr,3
Li,Sn,2
Li,U,1
Be,H,6
Be,Li,4
Be,Be,18
Be,B,3
Be,O,18
Be,F,3
Be,Na,10
Be,Mg,3
Be,Al,8
Be,Si,12
Be,P,4
Be,Cl,1
Be,K,18
Be,Ca,7
Be,Sc,1
Be,Ti,2
Be,Mn,1
Be,Fe,1
Be,Rb,1
Be,Y,2
Be,Zr,2
Be,Cs,3
Be,Ba,1
Be,Pb,1
B,H,11
B,Be,3
B,B,22
B,O,20
B,F,6
B,Na,7
B,Mg,4
B,Al,7
B,Si,11
B,S,1
B,Cl,5
B,K,22
B,Ca,7
B,Ti,1
B,Cr,1
B,Mn,1
B,Zn,1
B,Rb,1
B,Sr,1
B,Y,2
B,Nb,1
B,Cs,2
B,Ba,4
B,Pb,3
C,H,15
C,C,23
C,O,23
C,F,2
C,Na,12
C,Mg,3
C,Al,5
C,Si,7
C,P,2
C,S,4
C,Cl,3
C,K,23
C,Ca,14
C,V,1
C,Fe,1
C,Cu,1
C,Y,2
C,Ba,1
C,Ce,1
C,U,4
N,H,18
N,N,19
N,O,19
N,Na,9
N,Mg,1
N,Al,4
N,Si,1
N,P,4
N,S,9
N,Cl,6
N,K,19
N,Ca,1
N,V,1
N,Fe,5
N,As,3
N,Br,1
N,Sb,1
N,Pb,1
N,Bi,1
O,H,376
O,Li,33
O,Be,18
O,B,20
O,C,23
O,N,19
O,O,561
O,F,67
O,Na,249
O,Mg,100
O,Al,204
O,Si,324
O,P,44
O,S,117
O,Cl,64
O,K,561
O,Ca,190
O,Sc,1
O,Ti,83
O,V,23
O,Cr,7
O,Mn,64
O,Fe,132
O,Ni,1
O,Cu,45
O,Zn,21
O,As,30
O,Se,4
O,Br,1
O,Rb,3
O,Sr,19
O,Y,9
O,Zr,22
O,Nb,42
O,Mo,6
O,Ag,1
O,Cd,2
O,Sn,3
O,Sb,3
O,Te,2
O,I,2
O,Cs,8
O,Ba,47
O,La,1
O,Ce,7
O,Ta,5
O,W,3
O,Tl,2
O,Pb,15
O,Bi,2
O,Th,4
O,U,31
F,H,42
F,Li,10
F,Be,3
F,B,6
F,C,2
F,O,67
F,F,75
F,Na,36
F,Mg,17
F,Al,24
F,Si,65
F,P,3
F,S,7
F,Cl,5
F,K,75
F,Ca,29
F,Ti,16
F,Cr,1
F,Mn,16
F,Fe,19
F,Rb,1
F,Sr,3
F,Y,3
F,Zr,3
F,Nb,8
F,Sn,1
F,Cs,1
F,Ba,11
F,Pb,3
Na,H,176
Na,Li,14
Na,Be,10
Na,B,7
Na,C,12
Na,N,9
Na,O,249
Na,F,36
Na,Na,254
Na,Mg,47
Na,Al,102
Na,Si,185
Na,P,15
Na,S,54
Na,Cl,31
Na,K,254
Na,Ca,121
Na,Ti,46
Na,V,6
Na,Cr,1
Na,Mn,39
Na,Fe,56
Na,Cu,11
Na,Zn,6
Na,As,8
Na,Se,2
Na,Sr,15
Na,Y,5
Na,Zr,12
Na,Nb,25
Na,Mo,1
Na,Sb,2
Na,I,2
Na,Cs,2
Na,Ba,30
Na,Ce,5
Na,Ta,3
Na,Pb,3
Na,Bi,1
Na,Th,3
Na,U,5
Mg,H,73
Mg,Li,4
Mg,Be,3
Mg,B,4
Mg,C,3
Mg,N,1
Mg,O,100
Mg,F,17
Mg,Na,47
Mg,Mg,101
Mg,Al,47
Mg,Si,65
Mg,P,8
Mg,S,16
Mg,Cl,6
Mg,K,101
Mg,Ca,28
Mg,Ti,13
Mg,V,5
Mg,Cr,4
Mg,Mn,12
Mg,Fe,35
Mg,Cu,1
Mg,Zn,3
Mg,As,2
Mg,Se,1
Mg,Sr,3
Mg,Zr,1
Mg,Nb,1
Mg,I,2
Mg,Ba,11
Mg,Pb,1
Mg,U,1
Al,H,142
Al,Li,7
Al,Be,8
Al,B,7
Al,C,5
Al,N,4
Al,O,204
Al,F,24
Al,Na,102
Al,Mg,47
Al,Al,205
Al,Si,156
Al,P,18
Al,S,40
Al,Cl,22
Al,K,205
Al,Ca,95
Al,Ti,10
Al,V,2
Al,Cr,1
Al,Mn,19
Al,Fe,47
Al,Cu,7
Al,Zn,7
Al,As,9
Al,Rb,2
Al,Sr,6
Al,Zr,1
Al,Nb,2
Al,Mo,1
Al,Cs,3
Al,Ba,22
Al,Ta,2
Al,W,1
Al,Pb,1
Si,H,226
Si,Li,29
Si,Be,12
Si,B,11
Si,C,7
Si,N,1
Si,O,324
Si,F,65
Si,Na,185
Si,Mg,65
Si,Al,156
Si,Si,328
Si,P,3
Si,S,26
Si,Cl,26
Si,K,328
Si,Ca,146
Si,Sc,1
Si,Ti,70
Si,V,3
Si,Cr,2
Si,Mn,51
Si,Fe,75
Si,Cu,4
Si,Zn,14
Si,As,1
Si,Rb,1
Si,Sr,15
Si,Y,8
Si,Zr,18
Si,Nb,36
Si,Sn,2
Si,Cs,2
Si,Ba,42
Si,La,1
Si,Ce,5
Si,Pb,3
Si,Th,4
Si,U,3
P,H,39
P,Li,3
P,Be,4
P,C,2
P,N,4
P,O,44
P,F,3
P,Na,15
P,Mg,8
P,Al,18
P,Si,3
P,P,44
P,Cl,1
P,K,44
P,Ca,13
P,Ti,3
P,V,3
P,Mn,7
P,Fe,16
P,As,1
P,Zr,3
P,Nb,2
P,Mo,3
P,Ta,2
P,U,3
S,H,69
S,Li,1
S,B,1
S,C,4
S,N,9
S,O,117
S,F,7
S,Na,54
S,Mg,16
S,Al,40
S,Si,26
S,S,127
S,Cl,24
S,K,127
S,Ca,36
S,Ti,1
S,V,4
S,Mn,2
S,Fe,32
S,Ni,3
S,Cu,22
S,Zn,4
S,As,2
S,Sr,2
S,Mo,2
S,Sb,4
S,Te,1
S,I,1
S,Cs,1
S,Ba,3
S,Tl,1
S,Pb,5
S,Bi,2
S,U,9
Cl,H,36
Cl,Be,1
Cl,B,5
Cl,C,3
Cl,N,6
Cl,O,64
Cl,F,5
Cl,Na,31
Cl,Mg,6
Cl,Al,22
Cl,Si,26
Cl,P,1
Cl,S,24
Cl,Cl,77
Cl,K,77
Cl,Ca,27
Cl,Ti,3
Cl,V,4
Cl,Mn,4
Cl,Fe,16
Cl,Ni,1
Cl,Cu,18
Cl,Zn,6
Cl,As,5
Cl,Se,3
Cl,Br,1
Cl,Rb,1
Cl,Sr,3
Cl,Y,1
Cl,Zr,4
Cl,Nb,1
Cl,Ag,1
Cl,Cd,1
Cl,Te,1
Cl,Cs,1
Cl,Ba,2
Cl,Tl,2
Cl,Pb,7
Cl,Bi,1
K,H,376
K,Li,33
K,Be,18
K,B,22
K,C,23
K,N,19
K,O,561
K,F,75
K,Na,254
K,Mg,101
K,Al,205
K,Si,328
K,P,44
K,S,127
K,Cl,77
K,K,590
K,Ca,191
K,Sc,1
K,Ti,83
K,V,24
K,Cr,7
K,Mn,66
K,Fe,142
K,Ni,3
K,Cu,50
K,Zn,23
K,As,30
K,Se,4
K,Br,1
K,Rb,3
K,Sr,19
K,Y,9
K,Zr,22
K,Nb,42
K,Mo,6
K,Ag,1
K,Cd,2
K,Sn,3
K,Sb,4
K,Te,2
K,I,2
K,Cs,8
K,Ba,48
K,La,1
K,Ce,7
K,Ta,5
K,W,3
K,Tl,3
K,Pb,18
K,Bi,2
K,Th,4
K,U,31
Ca,H,143
Ca,Li,7
Ca,Be,7
Ca,B,7
Ca,C,14
Ca,N,1
Ca,O,190
Ca,F,29
Ca,Na,121
Ca,Mg,28
Ca,Al,95
Ca,Si,146
Ca,P,13
Ca,S,36
Ca,Cl,27
Ca,K,191
Ca,Ca,191
Ca,Ti,22
Ca,V,4
Ca,Cr,1
Ca,Mn,16
Ca,Fe,32
Ca,Cu,5
Ca,Zn,4
Ca,As,3
Ca,Sr,15
Ca,Y,8
Ca,Zr,8
Ca,Nb,9
Ca,Mo,1
Ca,Sn,1
Ca,Cs,2
Ca,Ba,25
Ca,La,1
Ca,Ce,3
Ca,W,1
Ca,Pb,6
Ca,Th,3
Ca,U,8
