from,to,weight
H,H,48
H,Li,1
H,Be,1
H,B,2
H,C,18
H,O,48
H,F,4
H,Na,4
H,Mg,3
H,Al,20
H,Si,20
H,P,4
H,S,3
H,Ca,18
H,Ti,4
H,V,2
H,Cr,1
H,Mn,6
H,Fe,17
H,Cu,3
H,As,6
H,Sr,3
H,Y,3
H,Nb,1
H,Ba,2
H,La,48
H,Ce,19
H,Pr,1
H,Nd,15
H,Sm,1
H,Pb,1
H,Th,2
H,U,2
Li,H,1
Li,Li,1
Li,Be,1
Li,B,1
Li,O,1
Li,F,1
Li,Al,1
Li,Si,1
Li,Ca,1
Li,Fe,1
Li,La,1
Li,Ce,1
Li,Nd,1
Li,Th,1
Be,H,1
Be,Li,1
Be,Be,2
Be,B,1
Be,O,2
Be,F,1
Be,Al,1
Be,Si,2
Be,Ca,1
Be,Fe,2
Be,Y,1
Be,La,2
Be,Ce,2
Be,Nd,2
Be,Th,1
B,H,2
B,Li,1
B,Be,1
B,B,5
B,O,5
B,F,2
B,Na,2
B,Al,2
B,Si,3
B,Ca,4
B,Fe,2
B,As,1
B,La,5
B,Ce,5
B,Nd,1
B,Th,2
C,H,18
C,C,30
C,O,30
C,F,8
C,Na,6
C,Mg,1
C,Al,2
C,Si,2
C,P,1
C,S,3
C,Ca,9
C,Mn,1
C,Fe,2
C,Cu,2
C,Sr,5
C,Y,2
C,Ba,3
C,La,30
C,Ce,15
C,Pr,1
C,Nd,13
C,Sm,1
C,Pb,1
C,Th,1
C,U,1
O,H,48
O,Li,1
O,Be,2
O,B,5
O,C,30
O,O,85
O,F,14
O,Na,18
O,Mg,8
O,Al,23
O,Si,35
O,P,9
O,S,3
O,K,1
O,Ca,33
O,Ti,9
O,V,3
O,Cr,2
O,Mn,11
O,Fe,28
O,Cu,5
O,Zn,2
O,As,8
O,Sr,10
O,Y,4
O,Zr,2
O,Nb,2
O,Ba,4
O,La,85
O,Ce,41
O,Pr,2
O,Nd,21
O,Sm,1
O,Pb,1
O,Th,6
O,U,3
F,H,4
F,Li,1
F,Be,1
F,B,2
F,C,8
F,O,14
F,F,15
F,Na,4
F,Al,1
F,Si,2
F,P,2
F,Ca,6
F,Ti,1
F,V,1
F,Cr,1
F,Fe,3
F,As,1
F,Sr,3
F,Y,1
F,Ba,3
F,La,15
F,Ce,9
F,Nd,2
F,Th,3
F,U,1
Na,H,4
Na,B,2
Na,C,6
Na,O,18
Na,F,4
Na,Na,18
Na,Mg,2
Na,Si,7
Na,P,4
Na,Ca,8
Na,Ti,1
Na,Mn,2
Na,Fe,3
Na,Cu,1
Na,Zn,2
Na,As,1
Na,Sr,7
Na,Y,1
Na,Nb,1
Na,Ba,2
Na,La,18
Na,Ce,10
Na,Pr,1
Na,Nd,3
Na,Th,2
Mg,H,3
Mg,C,1
Mg,O,8
Mg,Na,2
Mg,Mg,8
Mg,Al,2
Mg,Si,5
Mg,Ca,5
Mg,Ti,2
Mg,Cr,1
Mg,Mn,3
Mg,Fe,4
Mg,Zn,2
Mg,As,1
Mg,Sr,2
Mg,Zr,1
Mg,La,8
Mg,Ce,7
Mg,Nd,2
Al,H,20
Al,Li,1
Al,Be,1
Al,B,2
Al,C,2
Al,O,23
Al,F,1
Al,Mg,2
Al,Al,23
Al,Si,17
Al,P,1
Al,S,2
Al,Ca,13
Al,Ti,4
Al,V,1
Al,Cr,1
Al,Mn,5
Al,Fe,14
Al,As,2
Al,Y,1
Al,Zr,1
Al,Nb,1
Al,La,23
Al,Ce,8
Al,Nd,4
Al,Th,2
Si,H,20
Si,Li,1
Si,Be,2
Si,B,3
Si,C,2
Si,O,35
Si,F,2
Si,Na,7
Si,Mg,5
Si,Al,17
Si,Si,35
Si,P,1
Si,K,1
Si,Ca,22
Si,Ti,6
Si,V,1
Si,Mn,9
Si,Fe,23
Si,Cu,1
Si,Zn,2
Si,As,2
Si,Sr,4
Si,Y,1
Si,Zr,1
Si,Nb,1
Si,Ba,1
Si,La,35
Si,Ce,17
Si,Pr,1
Si,Nd,5
Si,Th,5
P,H,4
P,C,1
P,O,9
P,F,2
P,Na,4
P,Al,1
P,Si,1
P,P,9
P,Ca,2
P,Cu,1
P,Sr,2
P,Ba,1
P,La,9
P,Ce,4
P,Pr,1
P,Nd,2
P,Th,1
S,H,3
S,C,3
S,O,3
S,Al,2
S,S,3
S,Y,1
S,La,3
S,Ce,2
S,Nd,3
K,O,1
K,Si,1
K,K,1
K,Ca,1
K,La,1
K,Ce,1
K,Th,1
Ca,H,18
Ca,Li,1
Ca,Be,1
Ca,B,4
Ca,C,9
Ca,O,33
Ca,F,6
Ca,Na,8
Ca,Mg,5
Ca,Al,13
Ca,Si,22
Ca,P,2
Ca,K,1
Ca,Ca,33
Ca,Ti,3
Ca,V,1
Ca,Cr,1
Ca,Mn,6
Ca,Fe,16
Ca,Cu,2
Ca,Zn,2
Ca,As,1
Ca,Sr,6
Ca,Zr,2
Ca,Ba,2
Ca,La,33
Ca,Ce,19
Ca,Pr,1
Ca,Nd,5
Ca,Th,4
Ti,H,4
Ti,O,9
Ti,F,1
Ti,Na,1
Ti,Mg,2
Ti,Al,4
Ti,Si,6
Ti,Ca,3
Ti,Ti,9
Ti,V,1
Ti,Cr,2
Ti,Mn,1
Ti,Fe,9
Ti,As,1
Ti,Sr,1
Ti,Y,1
Ti,Zr,2
Ti,Nb,1
Ti,Ba,1
Ti,La,9
Ti,Ce,6
Ti,Nd,1
Ti,Th,1
Ti,U,2
V,H,2
V,O,3
V,F,1
V,Al,1
