from,to,weight
H,H,66
H,Li,66
H,Be,7
H,B,10
H,C,3
H,O,66
H,F,16
H,Na,29
H,Mg,11
H,Al,33
H,Si,48
H,P,13
H,S,1
H,Cl,2
H,K,13
H,Ca,15
H,Ti,7
H,Mn,11
H,Fe,15
H,Cu,1
H,Rb,1
H,Sr,1
H,Y,2
H,Zr,3
H,Cs,2
H,Ba,2
H,La,1
H,Ce,1
H,Nd,1
H,Th,1
H,U,1
Li,H,66
Li,Li,121
Li,Be,12
Li,B,10
Li,C,4
Li,O,117
Li,F,36
Li,Na,51
Li,Mg,19
Li,Al,49
Li,Si,87
Li,P,20
Li,S,1
Li,Cl,2
Li,K,33
Li,Ca,22
Li,Ti,16
Li,V,2
Li,Mn,19
Li,Fe,25
Li,Cu,1
Li,Zn,2
Li,As,1
Li,Rb,2
Li,Sr,1
Li,Y,2
Li,Zr,6
Li,Sn,2
Li,Cs,7
Li,Ba,2
Li,La,1
Li,Ce,1
Li,Nd,1
Li,Ta,2
Li,Th,1
Li,U,1
Be,H,7
Be,Li,12
Be,Be,12
Be,B,1
Be,O,12
Be,F,2
Be,Na,5
Be,Al,4
Be,Si,7
Be,P,5
Be,K,4
Be,Ca,6
Be,Ti,1
Be,Fe,1
Be,Zr,2
Be,Cs,3
Be,Ba,1
Be,La,1
Be,Ce,1
Be,Nd,1
Be,Th,1
B,H,10
B,Li,10
B,Be,1
B,B,10
B,O,10
B,F,3
B,Na,4
B,Mg,1
B,Al,8
B,Si,9
B,Cl,1
B,Ca,3
B,Fe,1
B,La,1
B,Ce,1
B,Nd,1
B,Th,1
C,H,3
C,Li,4
C,C,4
C,O,4
C,F,2
C,Na,2
C,Al,1
C,P,2
C,Ca,1
C,Y,2
C,Zr,1
O,H,66
O,Li,117
O,Be,12
O,B,10
O,C,4
O,O,117
O,F,32
O,Na,49
O,Mg,19
O,Al,46
O,Si,87
O,P,20
O,S,1
O,Cl,2
O,K,33
O,Ca,21
O,Ti,16
O,V,2
O,Mn,19
O,Fe,25
O,Cu,1
O,Zn,2
O,As,1
O,Rb,2
O,Sr,1
O,Y,2
O,Zr,6
O,Sn,2
O,Cs,7
O,Ba,2
O,La,1
O,Ce,1
O,Nd,1
O,Ta,2
O,Th,1
O,U,1
F,H,16
F,Li,36
F,Be,2
F,B,3
F,C,2
F,O,32
F,F,36
F,Na,15
F,Mg,8
F,Al,18
F,Si,26
F,P,5
F,K,10
F,Ca,12
F,Ti,6
F,Mn,5
F,Fe,10
F,As,1
F,Rb,2
F,Y,2
F,Zr,2
F,Sn,1
F,Cs,4
F,La,1
F,Ce,1
F,Nd,1
F,Th,1
Na,H,29
Na,Li,51
Na,Be,5
Na,B,4
Na,C,2
Na,O,49
Na,F,15
Na,Na,51
Na,Mg,11
Na,Al,15
Na,Si,36
Na,P,11
Na,S,1
Na,K,14
Na,Ca,10
Na,Ti,10
Na,V,1
Na,Mn,10
Na,Fe,17
Na,Zn,1
Na,As,1
Na,Sr,1
Na,Y,2
Na,Zr,4
Na,Cs,2
Na,U,1
Mg,H,11
Mg,Li,19
