from,to,weight
H,H,576
H,Li,11
H,Be,6
H,B,62
H,C,61
H,N,15
H,O,576
H,F,45
H,Na,142
H,Mg,576
H,Al,217
H,Si,223
H,P,100
H,S,68
H,Cl,35
H,K,73
H,Ca,177
H,Sc,3
H,Ti,23
H,V,29
H,Cr,13
H,Mn,90
H,Fe,162
H,Co,3
H,Ni,10
H,Cu,22
H,Zn,37
H,As,52
H,Se,1
H,Sr,12
H,Y,1
H,Zr,3
H,Nb,7
H,Mo,5
H,Sn,5
H,Sb,2
H,Te,9
H,I,3
H,Ba,24
H,La,3
H,Ce,11
H,Nd,1
H,W,4
H,Hg,1
H,Pb,10
H,Bi,1
H,U,26
Li,H,11
Li,Li,19
Li,B,1
Li,O,19
Li,F,8
Li,Na,11
Li,Mg,19
Li,Al,6
Li,Si,15
Li,P,2
Li,Cl,1
Li,K,4
Li,Ca,3
Li,Ti,2
Li,Mn,3
Li,Fe,7
Li,As,1
Li,Cs,1
Li,Ba,1
Be,H,6
Be,Be,18
Be,B,2
Be,O,18
Be,Na,4
Be,Mg,18
Be,Al,10
Be,Si,10
Be,P,3
Be,K,3
Be,Ca,7
Be,Mn,4
Be,Fe,10
Be,Zn,2
Be,Sn,2
Be,Sb,1
Be,Cs,1
Be,Pb,1
B,H,62
B,Li,1
B,Be,2
B,B,99
B,C,7
B,O,99
B,F,11
B,Na,15
B,Mg,99
B,Al,32
B,Si,35
B,P,3
B,S,1
B,Cl,13
B,K,4
B,Ca,24
B,Ti,4
B,V,5
B,Cr,5
B,Mn,11
B,Fe,26
B,As,4
B,Y,1
B,Mo,2
B,Sn,4
B,Sb,3
B,Cs,1
B,Ba,2
B,Ce,1
B,W,2
B,Pb,2
C,H,61
C,B,7
C,C,73
C,N,1
C,O,73
C,F,3
C,Na,11
C,Mg,73
C,Al,11
C,Si,6
C,P,10
C,S,8
C,Cl,6
C,K,3
C,Ca,21
C,V,1
C,Cr,1
C,Mn,6
C,Fe,11
C,Ni,1
C,Cu,4
C,Zn,3
C,Sr,1
C,Y,1
C,Ba,3
C,La,1
C,Ce,1
C,Nd,1
