from,to,weight
H,H,481
H,Li,11
H,Be,14
H,B,17
H,C,19
H,N,2
H,O,481
H,F,40
H,Na,123
H,Mg,90
H,Al,100
H,Si,233
H,P,111
H,S,28
H,Cl,32
H,K,52
H,Ca,165
H,Sc,1
H,Ti,51
H,V,27
H,Cr,3
H,Mn,481
H,Fe,152
H,Co,2
H,Ni,3
H,Cu,7
H,Zn,42
H,As,70
H,Rb,1
H,Sr,21
H,Y,4
H,Zr,23
H,Nb,34
H,Mo,1
H,Sn,4
H,Sb,3
H,Te,3
H,Cs,1
H,Ba,35
H,La,6
H,Ce,17
H,Nd,2
H,Ta,1
H,W,4
H,Pb,20
H,Th,2
H,U,6
Li,H,11
Li,Li,19
Li,O,19
Li,F,5
Li,Na,10
Li,Mg,3
Li,Al,5
Li,Si,15
Li,P,3
Li,K,8
Li,Ca,4
Li,Ti,3
Li,V,1
Li,Mn,19
Li,Fe,4
Li,Zn,2
Li,Rb,1
Be,H,14
Be,Be,18
Be,B,2
Be,O,18
Be,F,2
Be,Na,4
Be,Mg,4
Be,Al,2
Be,Si,12
Be,P,5
Be,S,1
Be,Cl,1
Be,K,1
Be,Ca,11
Be,Mn,18
Be,Fe,3
Be,Zn,1
Be,As,1
Be,Y,2
Be,Sn,1
Be,Ce,1
B,H,17
B,Be,2
B,B,33
B,C,1
B,O,33
B,F,4
B,Na,7
B,Mg,11
B,Al,8
B,Si,16
B,P,3
B,Cl,4
B,K,1
B,Ca,10
B,Ti,1
B,Mn,33
B,Fe,8
B,Y,4
B,Nb,1
B,Sn,2
B,Sb,3
B,Ba,1
B,Pb,1
C,H,19
C,B,1
C,C,28
C,O,28
C,F,3
C,Na,11
C,Mg,6
C,Al,2
C,Si,6
C,P,3
C,S,7
C,Cl,3
C,Ca,10
C,V,1
C,Mn,28
C,Fe,2
C,Zn,2
C,As,2
C,Sr,1
C,Y,1
C,Zr,4
C,Nb,3
C,La,1
C,Ce,3
C,W,1
C,Pb,2
N,H,2
N,N,2
N,O,2
N,Mg,1
N,P,1
N,S,1
N,Mn,2
N,U,1
O,H,481
O,Li,19
O,Be,18
O,B,33
O,C,28
O,N,2
O,O,673
O,F,53
O,Na,179
O,Mg,127
O,Al,121
O,Si,306
O,P,145
O,S,34
O,Cl,39
O,K,64
O,Ca,220
O,Sc,1
O,Ti,73
O,V,33
O,Cr,6
O,Mn,673
O,Fe,218
O,Co,2
O,Ni,3
O,Cu,11
O,Zn,54
O,As,80
O,Rb,1
O,Sr,27
O,Y,11
O,Zr,32
O,Nb,42
O,Mo,2
O,Sn,6
O,Sb,17
O,Te,6
O,Cs,1
O,Ba,40
O,La,11
O,Ce,25
O,Nd,4
O,Ta,11
O,W,7
O,Tl,1
O,Pb,37
O,Th,2
O,U,7
F,H,40
F,Li,5
F,Be,2
F,B,4
F,C,3
F,O,53
F,F,53
F,Na,38
F,Mg,6
F,Al,11
F,Si,40
F,P,12
F,S,3
F,Cl,3
F,K,16
F,Ca,24
F,Ti,25
F,Mn,53
F,Fe,19
F,Rb,1
F,Sr,3
F,Y,4
F,Zr,8
F,Nb,11
F,Cs,1
F,Ba,11
F,Ce,3
F,Th,1
Na,H,123
Na,Li,10
Na,Be,4
Na,B,7
Na,C,11
Na,O,179
Na,F,38
Na,Na,180
Na,Mg,35
Na,Al,31
Na,Si,118
Na,P,39
Na,S,6
Na,Cl,16
Na,K,39
Na,Ca,84
Na,Ti,42
Na,V,6
Na,Cr,1
Na,Mn,180
Na,Fe,70
Na,Zn,5
Na,As,13
Na,Sr,14
Na,Y,3
Na,Zr,29
Na,Nb,23
Na,Sn,1
Na,Cs,1
Na,Ba,15
Na,La,2
Na,Ce,13
Na,W,2
Na,Pb,2
Na,Th,1
Na,U,1
Mg,H,90
Mg,Li,3
Mg,Be,4
Mg,B,11
Mg,C,6
Mg,N,1
Mg,O,127
Mg,F,6
Mg,Na,35
Mg,Mg,128
Mg,Al,44
Mg,Si,53
Mg,P,38
Mg,S,8
Mg,Cl,4
Mg,K,12
Mg,Ca,40
Mg,Ti,6
Mg,V,5
Mg,Cr,1
Mg,Mn,128
Mg,Fe,66
Mg,Zn,23
Mg,As,17
Mg,Sr,6
Mg,Nb,1
Mg,Sn,1
Mg,Sb,5
Mg,Te,2
Mg,Ba,8
Mg,La,3
Mg,Ce,4
Mg,Nd,1
Mg,Ta,1
Mg,W,2
Mg,Pb,4
Al,H,100
Al,Li,5
Al,Be,2
Al,B,8
Al,C,2
Al,O,121
Al,F,11
Al,Na,31
Al,Mg,44
Al,Al,121
Al,Si,67
Al,P,42
Al,S,6
Al,K,19
Al,Ca,44
Al,Ti,4
Al,V,6
Al,Cr,1
Al,Mn,121
Al,Fe,52
Al,Zn,9
Al,As,5
Al,Rb,1
Al,Sr,5
Al,Y,1
Al,Nb,1
Al,Mo,1
Al,Sb,2
Al,Ba,6
Al,La,5
Al,Ce,6
Al,Nd,1
Al,Pb,2
Si,H,233
Si,Li,15
Si,Be,12
Si,B,16
Si,C,6
Si,O,306
Si,F,40
Si,Na,118
Si,Mg,53
Si,Al,67
Si,Si,308
Si,P,9
Si,S,3
Si,Cl,24
Si,K,51
Si,Ca,122
Si,Sc,1
Si,Ti,52
Si,V,13
Si,Cr,1
Si,Mn,308
Si,Fe,91
Si,Cu,3
Si,Zn,18
Si,As,17
Si,Rb,1
Si,Sr,18
Si,Y,6
Si,Zr,30
Si,Nb,28
Si,Sn,2
Si,Sb,6
Si,Cs,1
Si,Ba,26
Si,La,9
Si,Ce,20
Si,Nd,2
Si,W,3
Si,Pb,9
Si,Th,1
P,H,111
P,Li,3
P,Be,5
P,B,3
P,C,3
P,N,1
P,O,145
P,F,12
P,Na,39
P,Mg,38
P,Al,42
P,Si,9
P,P,145
P,Cl,2
P,K,7
P,Ca,54
P,Ti,4
P,V,1
P,Mn,145
P,Fe,81
P,Zn,12
P,As,1
P,Sr,3
P,Y,2
P,Zr,1
P,Nb,1
P,Ba,8
P,Ce,2
P,Ta,1
P,Pb,1
P,U,2
S,H,28
S,Be,1
S,C,7
S,N,1
S,O,34
S,F,3
S,Na,6
S,Mg,8
S,Al,6
S,Si,3
S,S,58
S,Cl,3
S,K,2
S,Ca,5
S,Cr,1
S,Mn,58
S,Fe,9
S,Co,1
S,Ni,1
S,Cu,3
S,Zn,7
S,As,7
S,Y,1
S,Nb,1
S,Mo,1
S,Ag,7
S,Cd,1
S,In,1
S,Sn,2
S,Sb,11
S,Ba,1
S,Hg,1
S,Tl,3
S,Pb,10
S,Bi,1
S,U,2
Cl,H,32
Cl,Be,1
Cl,B,4
Cl,C,3
Cl,O,39
Cl,F,3
Cl,Na,16
Cl,Mg,4
Cl,Si,24
Cl,P,2
Cl,S,3
Cl,Cl,42
Cl,K,4
Cl,Ca,18
Cl,Ti,6
Cl,V,1
Cl,Mn,42
