from,to,weight
H,H,51
H,N,2
H,O,51
H,Na,7
H,Mg,5
H,Al,4
H,P,7
H,S,7
H,Cl,1
H,K,4
H,Ca,9
H,Cr,1
H,Mn,1
H,Fe,18
H,Cu,9
H,As,11
H,Zr,1
H,Nb,3
H,Mo,51
H,Ba,1
H,Ce,1
H,W,1
H,Hg,1
H,Pb,1
H,Bi,3
H,Th,2
H,U,9
B,B,2
B,O,2
B,F,2
B,Mg,2
B,P,1
B,V,1
B,As,1
B,Mo,2
B,W,1
N,H,2
N,N,2
N,O,2
N,S,2
N,Cl,1
N,Mo,2
N,Hg,1
O,H,51
O,B,2
O,N,2
O,O,73
O,F,2
O,Na,9
O,Mg,8
O,Al,4
O,Si,2
O,P,9
O,S,9
O,Cl,4
O,K,6
O,Ca,10
O,V,3
O,Cr,1
O,Mn,2
O,Fe,19
O,Cu,11
O,As,16
O,Zr,1
O,Nb,3
O,Mo,73
O,Sb,1
O,Te,1
O,Ba,1
O,Ce,1
O,W,2
O,Hg,1
O,Pb,5
O,Bi,7
O,Th,2
O,U,10
F,B,2
F,O,2
F,F,2
F,Mg,2
F,P,1
F,V,1
F,As,1
F,Mo,2
F,W,1
Na,H,7
Na,O,9
Na,Na,9
Na,P,2
Na,S,1
Na,K,1
Na,Ca,2
Na,Fe,6
Na,Cu,2
Na,As,4
Na,Mo,9
Na,Bi,1
Na,U,1
Mg,H,5
Mg,B,2
Mg,O,8
Mg,F,2
Mg,Mg,8
Mg,Al,2
Mg,P,1
Mg,S,2
Mg,Ca,2
Mg,V,1
Mg,Fe,2
Mg,As,3
Mg,Nb,2
Mg,Mo,8
Mg,W,2
Mg,U,1
Al,H,4
Al,O,4
Al,Mg,2
Al,Al,4
Al,P,1
Al,S,3
Al,K,1
Al,Mn,1
Al,Fe,1
Al,Nb,3
Al,Mo,4
Al,W,1
Si,O,2
Si,Si,2
Si,Cl,2
Si,V,2
Si,As,2
Si,Mo,2
Si,Pb,2
P,H,7
P,B,1
P,O,9
P,F,1
P,Na,2
P,Mg,1
P,Al,1
P,P,13
P,K,3
P,Ca,3
P,V,1
P,Cr,1
P,Fe,7
P,Ni,3
P,Cu,2
P,As,2
P,Mo,13
P,W,1
P,Pb,1
S,H,7
S,N,2
S,O,9
S,Na,1
S,Mg,2
S,Al,3
S,S,15
S,Cl,1
S,K,2
S,V,1
S,Mn,1
S,Fe,2
S,Cu,4
S,Ge,1
S,Nb,3
S,Mo,15
S,Sn,1
S,Sb,1
S,W,1
S,Re,1
S,Hg,1
S,Pb,1
Cl,H,1
Cl,N,1
Cl,O,4
Cl,Si,2
Cl,S,1
Cl,Cl,4
Cl,V,2
Cl,As,2
Cl,Mo,4
Cl,Hg,1
Cl,Pb,3
K,H,4
K,O,6
K,Na,1
K,Al,1
K,P,3
K,S,2
K,K,6
K,Ca,1
K,Fe,3
K,Cu,1
K,As,1
K,Mo,6
Ca,H,9
Ca,O,10
Ca,Na,2
Ca,Mg,2
Ca,P,3
Ca,K,1
Ca,Ca,10
Ca,Fe,7
Ca,As,4
Ca,Mo,10
Ca,U,2
V,B,1
V,O,3
V,F,1
V,Mg,1
V,Si,2
V,P,1
V,S,1
V,Cl,2
V,V,4
V,As,3
V,Mo,4
V,Sb,1
V,W,1
V,Pb,3
Cr,H,1
Cr,O,1
Cr,P,1
Cr,Cr,1
Cr,Cu,1
Cr,As,1
Cr,Mo,1
Cr,Pb,1
Mn,H,1
Mn,O,2
Mn,Al,1
Mn,S,1
Mn,Mn,2
Mn,Nb,1
Mn,Mo,2
Fe,H,18
Fe,O,19
Fe,Na,6
Fe,Mg,2
Fe,Al,1
Fe,P,7
Fe,S,2
Fe,K,3
Fe,Ca,7
Fe,Fe,23
Fe,Cu,5
Fe,Ge,1
Fe,As,9
Fe,Mo,23
Fe,Ru,1
Fe,Ce,1
Fe,Re,1
Fe,Os,1
Fe,Ir,1
Ni,P,3
Ni,Ni,3
Ni,Mo,3
Cu,H,9
Cu,O,11
Cu,Na,2
Cu,P,2
Cu,S,4
Cu,K,1
Cu,Cr,1
Cu,Fe,5
Cu,Cu,14
Cu,Ge,1
Cu,As,3
Cu,Mo,14
Cu,Sn,1
Cu,Re,1
Cu,Pb,1
Cu,U,1
Ge,S,1
Ge,Fe,1
Ge,Cu,1
Ge,Ge,1
Ge,Mo,1
As,H,11
As,B,1
As,O,16
As,F,1
As,Na,4
As,Mg,3
As,Si,2
As,P,2
As,Cl,2
As,K,1
As,Ca,4
As,V,3
As,Cr,1
As,Fe,9
As,Cu,3
As,As,16
As,Mo,16
As,Sb,1
As,W,1
As,Pb,3
As,Bi,1
Se,Se,1
Se,Mo,1
Zr,H,1
Zr,O,1
Zr,Zr,1
Zr,Mo,1
Nb,H,3
Nb,O,3
Nb,Mg,2
Nb,Al,3
Nb,S,3
Nb,Mn,1
Nb,Nb,3
Nb,Mo,3
Nb,W,1
Mo,H,51
Mo,B,2
Mo,N,2
Mo,O,73
Mo,F,2
Mo,Na,9
Mo,Mg,8
Mo,Al,4
Mo,Si,2
Mo,P,13
Mo,S,15
Mo,Cl,4
Mo,K,6
Mo,Ca,10
Mo,V,4
Mo,Cr,1
Mo,Mn,2
Mo,Fe,23
Mo,Ni,3
Mo,Cu,14
Mo,Ge,1
Mo,As,16
Mo,Se,1
Mo,Zr,1
Mo,Nb,3
Mo,Mo,85
Mo,Ru,1
Mo,Sn,1
Mo,Sb,2
Mo,Te,1
Mo,Ba,1
Mo,Ce,1
Mo,W,2
Mo,Re,1
Mo,Os,1
Mo,Ir,1
Mo,Hg,1
Mo,Pb,6
Mo,Bi,7
Mo,Th,2
Mo,U,10
Ru,Fe,1
Ru,Mo,1
Ru,Ru,1
Ru,Os,1
Ru,Ir,1
Sn,S,1
Sn,Cu,1
Sn,Mo,1
Sn,Sn,1
Sb,O,1
Sb,S,1
Sb,V,1
Sb,As,1
Sb,Mo,2
Sb,Sb,2
Sb,Pb,1
Te,O,1
Te,Mo,1
Te,Te,1
Te,Bi,1
Ba,H,1
Ba,O,1
Ba,Mo,1
Ba,Ba,1
Ba,U,1
Ce,H,1
Ce,O,1
Ce,Fe,1
Ce,Mo,1
Ce,Ce,1
W,H,1
W,B,1
W,O,2
W,F,1
W,Mg,2
W,Al,1
W,P,1
W,S,1
W,V,1
W,As,1
W,Nb,1
W,Mo,2
W,W,2
Re,S,1
Re,Fe,1
Re,Cu,1
Re,Mo,1
Re,Re,1
Os,Fe,1
Os,Mo,1
Os,Ru,1
Os,Os,1
Os,Ir,1
Ir,Fe,1
Ir,Mo,1
Ir,Ru,1
Ir,Os,1
Ir,Ir,1
Hg,H,1
Hg,N,1
Hg,O,1
Hg,S,1
Hg,Cl,1
Hg,Mo,1
Hg,Hg,1
Pb,H,1
Pb,O,5
Pb,Si,2
Pb,P,1
Pb,S,1
Pb,Cl,3
Pb,V,3
Pb,Cr,1
Pb,Cu,1
Pb,As,3
Pb,Mo,6
Pb,Sb,1
Pb,Pb,6
Bi,H,3
Bi,O,7
Bi,Na,1
Bi,As,1
Bi,Mo,7
Bi,Te,1
Bi,Bi,7
Th,H,2
Th,O,2
Th,Mo,2
Th,Th,2
U,H,9
U,O,10
U,Na,1
U,Mg,1
U,Ca,2
U,Cu,1
U,Mo,10
U,Ba,1
U,U,10
H,H,51
N,H,2
O,H,51
Na,H,7
Mg,H,5
Al,H,4
P,H,7
S,H,7
Cl,H,1
K,H,4
Ca,H,9
Cr,H,1
Mn,H,1
Fe,H,18
Cu,H,9
As,H,11
Zr,H,1
Nb,H,3
Mo,H,51
Ba,H,1
Ce,H,1
W,H,1
Hg,H,1
Pb,H,1
