from,to,weight
H,H,134
H,B,3
H,C,23
H,N,134
H,O,125
H,F,5
H,Na,23
H,Mg,15
H,Al,25
H,Si,10
H,P,21
H,S,55
H,Cl,25
H,K,18
H,Ca,8
H,V,8
H,Mn,2
H,Fe,19
H,Co,1
H,Ni,5
H,Cu,13
H,Zn,1
H,As,8
H,Br,4
H,Mo,2
H,Sn,1
H,Sb,1
H,I,2
H,Hg,5
H,Pb,4
H,Bi,2
H,U,12
B,H,3
B,B,4
B,N,4
B,O,2
B,F,1
C,H,23
C,C,23
C,N,23
C,O,22
C,Na,4
C,Mg,1
C,Al,3
C,Si,2
C,P,4
C,S,2
C,Cl,3
C,V,1
C,Co,1
C,Ni,1
C,Cu,4
N,H,134
N,B,4
N,C,23
N,N,147
N,O,129
N,F,5
N,Na,24
N,Mg,15
N,Al,25
N,Si,12
N,P,21
N,S,55
N,Cl,25
N,K,19
N,Ca,8
N,Ti,1
N,V,9
N,Cr,2
N,Mn,2
N,Fe,21
N,Co,1
N,Ni,6
N,Cu,13
N,Zn,1
N,As,8
N,Br,4
N,Mo,2
N,Sn,1
N,Sb,1
N,I,2
N,Ba,1
N,Hg,5
N,Pb,4
N,Bi,2
N,U,12
O,H,125
O,B,2
O,C,22
O,N,129
O,O,129
O,F,2
O,Na,24
O,Mg,15
O,Al,25
O,Si,9
O,P,21
O,S,55
O,Cl,20
O,K,19
O,Ca,8
O,V,8
O,Mn,2
O,Fe,19
O,Co,1
O,Ni,4
O,Cu,12
O,Zn,1
O,As,8
O,Br,4
O,Mo,2
O,Sb,1
O,I,2
O,Ba,1
O,Hg,5
O,Pb,3
O,Bi,1
O,U,12
F,H,5
F,B,1
F,N,5
F,O,2
F,F,5
F,Al,1
F,Si,3
F,S,1
F,Ca,1
Na,H,23
Na,C,4
Na,N,24
Na,O,24
Na,Na,24
Na,Mg,2
Na,Al,2
Na,P,3
Na,S,16
Na,Cl,7
Na,K,9
Na,Ca,1
Na,V,3
Na,Fe,4
Na,Co,1
Na,Cu,1
Na,As,2
Na,Pb,1
Na,Bi,1
Na,U,3
Mg,H,15
Mg,C,1
Mg,N,15
Mg,O,15
Mg,Na,2
Mg,Mg,15
Mg,Al,2
Mg,Si,1
Mg,P,6
Mg,S,4
Mg,Cl,2
Mg,K,1
Mg,V,1
Mg,Mn,1
Mg,Fe,1
Mg,As,1
Al,H,25
Al,C,3
Al,N,25
Al,O,25
Al,F,1
Al,Na,2
Al,Mg,2
Al,Al,25
Al,Si,6
