from,to,weight
H,H,740
H,Li,29
H,Be,18
H,B,52
H,C,69
H,N,23
H,O,740
H,F,101
H,Na,740
H,Mg,142
H,Al,243
H,Si,432
H,P,99
H,S,109
H,Cl,57
H,K,176
H,Ca,296
H,Sc,1
H,Ti,105
H,V,29
H,Cr,7
H,Mn,123
H,Fe,174
H,Co,3
H,Ni,2
H,Cu,20
H,Zn,15
H,As,42
H,Se,2
H,Sr,48
H,Y,23
H,Zr,65
H,Nb,59
H,Mo,7
H,Sn,2
H,Sb,7
H,I,3
H,Cs,5
H,Ba,62
H,La,4
H,Ce,27
H,Nd,1
H,Gd,1
H,Dy,1
H,Ta,3
H,W,5
H,Pb,5
H,Bi,1
H,Th,5
H,U,36
Li,H,29
Li,Li,51
Li,Be,5
Li,B,4
Li,C,2
Li,O,49
Li,F,15
Li,Na,51
Li,Mg,11
Li,Al,15
Li,Si,36
Li,P,11
Li,S,1
Li,K,14
Li,Ca,10
Li,Ti,10
Li,V,1
Li,Mn,10
Li,Fe,17
Li,Zn,1
Li,As,1
Li,Sr,1
Li,Y,2
Li,Zr,4
Li,Cs,2
Li,U,1
Be,H,18
Be,Li,5
Be,Be,32
Be,B,1
Be,C,1
Be,O,32
Be,F,8
Be,Na,32
Be,Mg,4
Be,Al,11
Be,Si,24
Be,P,5
Be,Cl,1
Be,K,10
Be,Ca,11
Be,Ti,3
Be,Mn,4
Be,Fe,4
Be,Y,1
Be,Zr,3
Be,Sn,3
Be,Sb,1
Be,Cs,3
Be,Ce,2
B,H,52
B,Li,4
B,Be,1
B,B,66
B,C,1
B,O,64
B,F,14
B,Na,66
B,Mg,15
B,Al,23
B,Si,43
B,P,1
B,S,3
B,Cl,4
B,K,7
B,Ca,16
B,Ti,3
B,V,3
B,Cr,4
B,Mn,7
B,Fe,12
B,As,2
B,Sr,3
B,Y,3
B,Zr,2
B,Nb,1
B,Sn,1
B,Cs,1
B,Ba,4
B,La,2
B,Ce,3
B,Th,1
C,H,69
C,Li,2
C,Be,1
C,B,1
C,C,114
C,N,4
C,O,114
C,F,18
C,Na,114
C,Mg,11
C,Al,19
C,Si,25
C,P,14
C,S,17
C,Cl,10
C,K,12
C,Ca,45
C,Ti,4
C,V,1
C,Mn,11
C,Fe,7
C,Co,1
C,Ni,1
C,Cu,6
C,As,1
C,Sr,13
C,Y,16
C,Zr,10
C,Nb,4
C,Ba,12
C,La,6
C,Ce,18
C,Nd,2
C,Gd,1
C,Dy,1
C,W,1
C,Pb,2
C,Th,1
C,U,7
N,H,23
N,C,4
N,N,24
N,O,24
N,Na,24
N,Mg,2
N,Al,2
N,P,3
N,S,16
N,Cl,7
N,K,9
N,Ca,1
N,V,3
N,Fe,4
N,Co,1
N,Cu,1
N,As,2
N,Pb,1
N,Bi,1
N,U,3
O,H,740
O,Li,49
O,Be,32
O,B,64
O,C,114
O,N,24
O,O,1106
O,F,193
O,Na,1106
O,Mg,221
O,Al,327
O,Si,605
O,P,161
O,S,166
O,Cl,92
O,K,249
O,Ca,438
O,Sc,2
O,Ti,169
O,V,37
O,Cr,10
O,Mn,179
O,Fe,263
O,Co,3
O,Ni,2
O,Cu,49
O,Zn,23
O,As,79
O,Se,3
O,Sr,72
O,Y,34
O,Zr,83
O,Nb,77
O,Mo,9
O,Sn,3
O,Sb,11
O,I,4
O,Cs,9
O,Ba,84
O,La,18
O,Ce,55
O,Pr,1
O,Nd,6
O,Gd,1
O,Dy,1
O,Ta,11
O,W,5
O,Pb,13
O,Bi,5
O,Th,8
O,U,41
F,H,101
F,Li,15
F,Be,8
F,B,14
F,C,18
F,O,193
F,F,212
F,Na,212
F,Mg,38
F,Al,58
F,Si,126
F,P,35
F,S,16
F,Cl,14
F,K,36
F,Ca,100
F,Ti,60
F,Mn,38
F,Fe,48
F,Cu,3
F,Zn,3
F,As,10
F,Sr,19
F,Y,16
F,Zr,17
F,Nb,27
F,Sb,1
F,Cs,3
F,Ba,31
F,La,4
F,Ce,18
F,Nd,1
F,Gd,1
F,Dy,1
F,Ta,4
F,Pb,1
F,Bi,1
F,Th,1
F,U,3
Na,H,740
Na,Li,51
Na,Be,32
Na,B,66
Na,C,114
Na,N,24
Na,O,1106
Na,F,212
Na,Na,1130
Na,Mg,224
Na,Al,336
Na,Si,608
Na,P,161
Na,S,168
Na,Cl,95
Na,K,254
Na,Ca,443
Na,Sc,2
Na,Ti,169
Na,V,37
Na,Cr,11
Na,Mn,180
Na,Fe,265
Na,Co,3
Na,Ni,2
Na,Cu,50
Na,Zn,24
Na,As,79
Na,Se,3
Na,Sr,74
Na,Y,36
Na,Zr,83
Na,Nb,77
Na,Mo,9
Na,Sn,3
Na,Sb,11
Na,I,4
Na,Cs,9
Na,Ba,85
Na,La,18
Na,Ce,56
Na,Pr,1
Na,Nd,6
Na,Gd,1
Na,Dy,1
Na,Ta,11
Na,W,5
Na,Pb,13
Na,Bi,5
Na,Th,8
Na,U,41
Mg,H,142
Mg,Li,11
Mg,Be,4
Mg,B,15
Mg,C,11
Mg,N,2
Mg,O,221
Mg,F,38
Mg,Na,224
Mg,Mg,224
Mg,Al,91
Mg,Si,116
Mg,P,38
Mg,S,19
Mg,Cl,7
Mg,K,47
Mg,Ca,93
Mg,Sc,1
Mg,Ti,20
Mg,V,14
Mg,Cr,8
Mg,Mn,35
Mg,Fe,72
Mg,Ni,1
Mg,Cu,7
Mg,Zn,6
Mg,As,26
Mg,Se,1
Mg,Sr,10
Mg,Nb,3
Mg,Sn,2
Mg,I,3
Mg,Ba,11
Mg,La,2
Mg,Ce,2
Mg,Pb,1
Mg,U,2
Al,H,243
Al,Li,15
Al,Be,11
Al,B,23
Al,C,19
Al,N,2
Al,O,327
Al,F,58
Al,Na,336
Al,Mg,91
Al,Al,336
Al,Si,232
Al,P,50
Al,S,47
Al,Cl,28
Al,K,102
Al,Ca,173
Al,Ti,12
Al,V,7
Al,Cr,3
Al,Mn,31
Al,Fe,75
Al,Cu,5
Al,Zn,5
Al,As,13
Al,Sr,20
Al,Y,1
Al,Zr,2
Al,Nb,3
Al,Sn,1
Al,Cs,3
Al,Ba,24
Al,Ce,1
Al,Ta,2
Al,Pb,2
Al,U,1
Si,H,432
Si,Li,36
Si,Be,24
Si,B,43
Si,C,25
Si,O,605
Si,F,126
Si,Na,608
Si,Mg,116
Si,Al,232
Si,Si,608
Si,P,19
Si,S,35
Si,Cl,47
Si,K,185
Si,Ca,275
Si,Sc,2
Si,Ti,150
Si,V,10
Si,Cr,7
Si,Mn,118
Si,Fe,157
Si,Cu,4
Si,Zn,14
Si,As,4
Si,Sr,43
Si,Y,17
Si,Zr,75
Si,Nb,58
Si,Sn,2
Si,Cs,7
Si,Ba,59
Si,La,7
Si,Ce,33
Si,Pr,1
Si,Nd,2
Si,W,3
Si,Th,6
Si,U,3
P,H,99
P,Li,11
P,Be,5
P,B,1
P,C,14
P,N,3
P,O,161
P,F,35
P,Na,161
P,Mg,38
P,Al,50
P,Si,19
P,P,161
P,S,4
P,Cl,4
P,K,15
P,Ca,66
P,Ti,10
P,V,2
P,Mn,39
P,Fe,53
P,Cu,4
P,As,5
P,Sr,13
P,Y,3
P,Zr,7
P,Nb,3
P,Mo,2
P,Cs,1
P,Ba,14
P,La,4
P,Ce,9
P,Pr,1
P,Nd,3
P,W,1
P,Pb,1
P,Th,1
P,U,2
S,H,109
S,Li,1
S,B,3
S,C,17
S,N,16
S,O,166
S,F,16
S,Na,168
S,Mg,19
S,Al,47
S,Si,35
S,P,4
S,S,168
S,Cl,34
S,K,54
S,Ca,49
S,Ti,3
S,V,1
S,Cr,2
S,Mn,6
S,Fe,19
S,Co,3
S,Ni,1
S,Cu,14
S,Zn,6
S,As,3
S,Sr,1
S,Y,3
S,Mo,1
S,Sb,3
S,I,2
S,Ba,4
S,Ce,1
S,Nd,1
S,Gd,1
S,Dy,1
S,Pb,3
S,Bi,3
S,U,21
Cl,H,57
Cl,Be,1
Cl,B,4
Cl,C,10
Cl,N,7
Cl,O,92
