from,to,weight
H,H,111
H,B,2
H,C,4
H,O,111
H,F,21
H,Na,59
H,Mg,7
H,Al,6
H,Si,74
H,P,6
H,S,3
H,Cl,9
H,K,37
H,Ca,47
H,Ti,72
H,V,1
H,Mn,34
H,Fe,26
H,Zn,6
H,Sr,11
H,Y,7
H,Zr,15
H,Nb,111
H,Mo,3
H,Cs,2
H,Ba,22
H,La,1
H,Ce,10
H,Nd,1
H,Ta,7
H,W,1
H,Pb,1
H,Th,6
H,U,4
B,H,2
B,B,5
B,O,5
B,F,2
B,Na,1
B,Al,1
B,Si,3
B,P,1
B,K,1
B,Ca,2
B,Ti,2
B,Mn,1
B,Y,1
B,Nb,5
B,Ba,2
B,Ta,2
C,H,4
C,C,5
C,O,4
C,Na,4
C,Si,4
C,Ca,4
C,V,1
C,Mn,3
C,Fe,1
C,Sr,1
C,Zr,4
C,Nb,5
C,Ce,1
C,Ta,1
O,H,111
O,B,5
O,C,4
O,O,180
O,F,32
O,Na,77
O,Mg,10
O,Al,9
O,Si,88
O,P,6
O,S,3
O,Cl,10
O,K,42
O,Ca,68
O,Sc,2
O,Ti,94
O,V,1
O,Cr,1
O,Mn,42
O,Fe,46
O,Zn,6
O,As,1
O,Sr,11
O,Y,16
O,Zr,20
O,Nb,180
O,Mo,3
O,Sn,2
O,Sb,3
O,Cs,2
O,Ba,25
O,La,2
O,Ce,18
O,Nd,2
O,Yb,1
O,Ta,35
O,W,5
O,Pb,5
O,Bi,2
O,Th,8
O,U,12
F,H,21
F,B,2
F,O,32
F,F,32
F,Na,27
F,Si,25
F,P,3
F,Cl,1
F,K,8
F,Ca,19
F,Ti,24
F,Mn,11
F,Fe,6
F,Zn,2
F,Sr,2
F,Y,3
F,Zr,4
F,Nb,32
F,Ba,9
F,Ce,3
F,Ta,3
F,Pb,1
F,U,2
Na,H,59
Na,B,1
Na,C,4
Na,O,77
Na,F,27
Na,Na,77
Na,Mg,3
Na,Al,3
Na,Si,58
Na,P,3
Na,Cl,9
Na,K,25
Na,Ca,38
Na,Ti,46
Na,V,1
Na,Mn,23
Na,Fe,18
Na,Zn,3
Na,As,1
Na,Sr,10
Na,Y,2
Na,Zr,16
Na,Nb,77
Na,Ba,17
Na,La,1
Na,Ce,6
Na,Ta,7
Na,Pb,2
Na,Th,1
Na,U,3
Mg,H,7
Mg,O,10
Mg,Na,3
Mg,Mg,10
Mg,Al,2
Mg,Si,3
Mg,S,2
Mg,K,1
Mg,Ca,3
Mg,Ti,3
Mg,Cr,1
Mg,Mn,1
Mg,Fe,3
Mg,Zr,1
Mg,Nb,10
Mg,Mo,2
Mg,Ba,3
Mg,Ce,1
Mg,Ta,2
Mg,W,1
Al,H,6
Al,B,1
Al,O,9
Al,Na,3
Al,Mg,2
Al,Al,9
Al,Si,4
Al,S,3
Al,K,2
Al,Ca,2
Al,Ti,2
Al,Mn,1
Al,Fe,1
Al,Sr,1
Al,Nb,9
Al,Mo,3
Al,La,1
Al,Ce,1
Al,Ta,3
Al,W,1
Al,Th,1
Si,H,74
Si,B,3
Si,C,4
Si,O,88
Si,F,25
Si,Na,58
Si,Mg,3
Si,Al,4
Si,Si,88
Si,P,4
Si,Cl,10
Si,K,36
Si,Ca,41
Si,Ti,65
Si,V,1
Si,Cr,1
Si,Mn,28
Si,Fe,22
Si,Zn,5
Si,Sr,11
Si,Y,2
Si,Zr,16
Si,Nb,88
Si,Ba,22
Si,La,1
Si,Ce,7
Si,Ta,1
Si,W,1
Si,Th,1
P,H,6
P,B,1
P,O,6
P,F,3
P,Na,3
P,Si,4
P,P,6
P,K,2
P,Ca,1
P,Ti,4
P,Mn,1
P,Fe,2
P,Y,1
P,Nb,6
P,Ba,3
P,Ta,2
S,H,3
S,O,3
S,Mg,2
S,Al,3
S,S,4
S,Mn,1
S,Fe,1
S,Nb,4
S,Mo,3
S,W,1
Cl,H,9
Cl,O,10
Cl,F,1
Cl,Na,9
Cl,Si,10
Cl,Cl,10
Cl,K,1
Cl,Ca,9
Cl,Ti,4
Cl,Mn,6
Cl,Fe,8
Cl,Sr,3
Cl,Zr,7
Cl,Nb,10
Cl,Ba,2
Cl,W,1
K,H,37
K,B,1
K,O,42
K,F,8
K,Na,25
K,Mg,1
K,Al,2
K,Si,36
K,P,2
K,Cl,1
K,K,42
K,Ca,9
K,Ti,35
K,Mn,16
K,Fe,10
K,Zn,4
K,As,1
K,Sr,6
K,Zr,1
K,Nb,42
K,Ba,14
K,Ce,2
K,Ta,5
K,Pb,1
Ca,H,47
Ca,B,2
Ca,C,4
Ca,O,68
Ca,F,19
Ca,Na,38
Ca,Mg,3
Ca,Al,2
Ca,Si,41
Ca,P,1
Ca,Cl,9
Ca,K,9
Ca,Ca,68
Ca,Ti,41
Ca,V,1
Ca,Cr,1
Ca,Mn,22
Ca,Fe,22
Ca,Sr,8
Ca,Y,5
Ca,Zr,19
Ca,Nb,68
Ca,Ba,4
Ca,Ce,12
Ca,Nd,1
Ca,Ta,8
Ca,Pb,1
Ca,Th,5
Ca,U,5
Sc,O,2
Sc,Sc,2
Sc,Y,1
Sc,Nb,2
Ti,H,72
Ti,B,2
Ti,O,94
Ti,F,24
Ti,Na,46
Ti,Mg,3
Ti,Al,2
Ti,Si,65
Ti,P,4
Ti,Cl,4
Ti,K,35
Ti,Ca,41
Ti,Ti,94
Ti,Cr,1
Ti,Mn,24
Ti,Fe,24
Ti,Zn,6
Ti,As,1
Ti,Sr,7
Ti,Y,9
Ti,Zr,6
Ti,Nb,94
Ti,Ba,23
Ti,La,1
Ti,Ce,11
Ti,Nd,1
Ti,Ta,11
Ti,W,2
Ti,Pb,1
Ti,Th,7
Ti,U,5
V,H,1
V,C,1
V,O,1
V,Na,1
V,Si,1
V,Ca,1
V,V,1
V,Mn,1
V,Zr,1
V,Nb,1
Cr,O,1
Cr,Mg,1
Cr,Si,1
Cr,Ca,1
Cr,Ti,1
Cr,Cr,1
Cr,Fe,1
Cr,Nb,1
Cr,Ce,1
Mn,H,34
Mn,B,1
Mn,C,3
Mn,O,42
Mn,F,11
Mn,Na,23
Mn,Mg,1
Mn,Al,1
Mn,Si,28
Mn,P,1
Mn,S,1
Mn,Cl,6
Mn,K,16
Mn,Ca,22
Mn,Ti,24
Mn,V,1
Mn,Mn,42
Mn,Fe,17
Mn,Sr,6
Mn,Zr,12
Mn,Nb,42
Mn,Mo,1
Mn,Ba,7
Mn,Ce,2
Mn,Ta,5
Mn,W,2
Mn,Th,1
Fe,H,26
Fe,C,1
Fe,O,46
Fe,F,6
Fe,Na,18
Fe,Mg,3
Fe,Al,1
Fe,Si,22
Fe,P,2
Fe,S,1
Fe,Cl,8
Fe,K,10
Fe,Ca,22
Fe,Ti,24
Fe,Cr,1
Fe,Mn,17
Fe,Fe,48
Fe,Zn,1
Fe,Sr,4
Fe,Y,4
Fe,Zr,14
Fe,Nb,48
Fe,Ba,4
Fe,La,1
Fe,Ce,5
Fe,Yb,1
Fe,Ta,14
Fe,W,2
Fe,Th,5
Fe,U,4
Zn,H,6
Zn,O,6
Zn,F,2
Zn,Na,3
Zn,Si,5
Zn,K,4
Zn,Ti,6
Zn,Fe,1
Zn,Zn,6
Zn,Sr,1
Zn,Y,1
Zn,Nb,6
Zn,Ba,1
As,O,1
As,Na,1
As,K,1
As,Ti,1
As,As,1
As,Nb,1
As,Ta,1
As,Pb,1
Sr,H,11
Sr,C,1
Sr,O,11
Sr,F,2
Sr,Na,10
Sr,Al,1
Sr,Si,11
Sr,Cl,3
Sr,K,6
Sr,Ca,8
Sr,Ti,7
Sr,Mn,6
Sr,Fe,4
Sr,Zn,1
Sr,Sr,11
Sr,Zr,4
Sr,Nb,11
Sr,Ba,3
Sr,Ce,1
Y,H,7
Y,B,1
Y,O,16
Y,F,3
Y,Na,2
Y,Si,2
Y,P,1
Y,Ca,5
Y,Sc,1
Y,Ti,9
Y,Fe,4
Y,Zn,1
Y,Y,16
Y,Nb,16
Y,Ba,1
Y,Ce,1
Y,Ta,6
Y,Th,3
Y,U,4
Zr,H,15
Zr,C,4
Zr,O,20
Zr,F,4
Zr,Na,16
Zr,Mg,1
Zr,Si,16
Zr,Cl,7
Zr,K,1
Zr,Ca,19
Zr,Ti,6
Zr,V,1
Zr,Mn,12
Zr,Fe,14
Zr,Sr,4
Zr,Zr,20
Zr,Nb,20
Zr,Ba,1
Zr,Ce,3
Nb,H,111
Nb,B,5
Nb,C,5
Nb,O,180
Nb,F,32
Nb,Na,77
Nb,Mg,10
Nb,Al,9
Nb,Si,88
Nb,P,6
Nb,S,4
Nb,Cl,10
Nb,K,42
Nb,Ca,68
Nb,Sc,2
Nb,Ti,94
Nb,V,1
Nb,Cr,1
Nb,Mn,42
Nb,Fe,48
Nb,Zn,6
Nb,As,1
Nb,Sr,11
Nb,Y,16
Nb,Zr,20
Nb,Nb,183
Nb,Mo,3
Nb,Sn,2
Nb,Sb,3
Nb,Cs,2
Nb,Ba,25
Nb,La,2
Nb,Ce,18
Nb,Nd,2
Nb,Yb,1
Nb,Ta,37
Nb,W,5
Nb,Pb,5
Nb,Bi,2
Nb,Th,8
Nb,U,12
Mo,H,3
Mo,O,3
Mo,Mg,2
Mo,Al,3
Mo,S,3
Mo,Mn,1
Mo,Nb,3
Mo,Mo,3
Mo,W,1
Sn,O,2
Sn,Nb,2
Sn,Sn,2
Sn,Ta,2
Sn,Pb,1
Sb,O,3
Sb,Nb,3
Sb,Sb,3
Sb,Ta,2
Sb,W,1
