from,to,weight
H,H,36
H,Li,1
H,Be,2
H,B,1
H,C,18
H,O,36
H,F,4
H,Na,1
H,Mg,1
H,Al,7
H,Si,7
H,P,5
H,S,5
H,Ca,11
H,Ti,2
H,Mn,2
H,Fe,3
H,Cu,4
H,As,4
H,Y,7
H,Nb,1
H,Cs,1
H,La,15
H,Ce,15
H,Pr,1
H,Nd,36
H,Sm,4
H,Gd,2
H,Dy,1
H,W,1
H,Pb,2
H,Th,1
H,U,6
Li,H,1
Li,Li,1
Li,Be,1
Li,B,1
Li,O,1
Li,F,1
Li,Al,1
Li,Si,1
Li,Ca,1
Li,Fe,1
Li,La,1
Li,Ce,1
Li,Nd,1
Li,Th,1
Be,H,2
Be,Li,1
Be,Be,4
Be,B,1
Be,O,4
Be,F,1
Be,Al,1
Be,Si,4
Be,Ca,1
Be,Fe,3
Be,Y,1
Be,La,2
Be,Ce,2
Be,Nd,4
Be,Th,1
B,H,1
B,Li,1
B,Be,1
B,B,1
B,O,1
B,F,1
B,Al,1
B,Si,1
B,Ca,1
B,Fe,1
B,La,1
B,Ce,1
B,Nd,1
B,Th,1
C,H,18
C,C,23
C,O,23
C,F,3
C,Na,2
C,Mg,1
C,Al,2
C,Si,2
C,S,3
C,Ca,6
C,Ti,1
C,Fe,1
C,Cu,2
C,Y,5
C,La,13
C,Ce,10
C,Pr,1
C,Nd,23
C,Sm,3
C,Gd,2
C,Dy,1
C,Pb,2
C,U,3
O,H,36
O,Li,1
O,Be,4
O,B,1
O,C,23
O,O,51
O,F,7
O,Na,6
O,Mg,2
O,Al,8
O,Si,13
O,P,9
O,S,5
O,Ca,15
O,Ti,3
O,V,1
O,Mn,4
O,Fe,8
O,Cu,5
O,As,4
O,Y,8
O,Nb,2
O,Cs,1
O,La,21
O,Ce,22
O,Pr,2
O,Nd,51
O,Sm,4
O,Gd,2
O,Dy,1
O,W,1
O,Pb,2
O,Th,2
O,U,6
F,H,4
F,Li,1
F,Be,1
F,B,1
F,C,3
F,O,7
F,F,7
F,Na,1
F,Al,2
F,Si,2
F,P,1
F,S,1
F,Ca,5
F,Fe,1
F,Cs,1
F,La,2
F,Ce,2
F,Nd,7
F,Th,1
Na,H,1
Na,C,2
Na,O,6
Na,F,1
Na,Na,6
Na,Si,2
Na,P,3
Na,S,1
Na,Ca,2
Na,Ti,1
Na,La,3
Na,Ce,4
Na,Pr,1
Na,Nd,6
Na,Th,1
Mg,H,1
Mg,C,1
Mg,O,2
Mg,Mg,2
Mg,Mn,1
Mg,Fe,1
Mg,As,1
Mg,La,2
Mg,Ce,2
Mg,Nd,2
Al,H,7
Al,Li,1
Al,Be,1
Al,B,1
Al,C,2
Al,O,8
Al,F,2
Al,Al,8
Al,Si,4
Al,P,1
Al,S,3
Al,Ca,3
Al,Ti,1
Al,Mn,1
Al,Fe,4
Al,As,1
Al,Y,1
Al,La,4
Al,Ce,3
Al,Nd,8
Al,Th,1
