from,to,weight
H,H,71
H,C,14
H,N,5
H,O,70
H,Na,2
H,Mg,10
H,Al,11
H,Si,8
H,P,2
H,S,21
H,Cl,6
H,K,1
H,Ca,4
H,V,3
H,Cr,1
H,Mn,3
H,Fe,10
H,Co,7
H,Ni,71
H,Cu,9
H,Zn,3
H,As,11
H,Se,1
H,Sb,2
H,Te,2
H,Hg,1
H,Pb,1
H,Bi,1
H,U,4
B,B,1
B,O,1
B,Fe,1
B,Ni,1
C,H,14
C,C,17
C,N,1
C,O,14
C,Na,1
C,Mg,1
C,Al,1
C,S,1
C,Cr,1
C,Fe,3
C,Co,2
C,Ni,17
C,Cu,1
C,Hg,1
N,H,5
N,C,1
N,N,6
N,O,4
N,Al,3
N,S,4
N,Fe,1
N,Ni,6
N,Cu,3
O,H,70
O,B,1
O,C,14
O,N,4
O,O,90
O,Na,2
O,Mg,10
O,Al,12
O,Si,9
O,P,9
O,S,21
O,Cl,6
O,K,1
O,Ca,8
O,V,3
O,Cr,1
O,Mn,3
O,Fe,15
O,Co,8
O,Ni,90
O,Cu,9
O,Zn,3
O,As,17
O,Se,1
O,Sb,3
O,Te,2
O,Hg,1
O,Pb,1
O,Bi,2
O,U,4
Na,H,2
Na,C,1
Na,O,2
Na,Na,2
Na,Mg,1
Na,S,1
Na,Ni,2
Mg,H,10
Mg,C,1
Mg,O,10
Mg,Na,1
Mg,Mg,10
Mg,Al,3
Mg,Si,3
Mg,S,4
Mg,Cr,1
Mg,Fe,3
Mg,Co,1
Mg,Ni,10
Mg,Te,2
Mg,Hg,1
Al,H,11
Al,C,1
Al,N,3
Al,O,12
Al,Mg,3
Al,Al,15
Al,Si,3
Al,S,6
Al,V,2
Al,Cr,1
Al,Fe,4
Al,Co,1
Al,Ni,15
Al,Cu,4
Al,Zn,2
Si,H,8
Si,O,9
Si,Mg,3
Si,Al,3
Si,Si,12
Si,P,1
Si,V,1
Si,Fe,2
Si,Ni,12
Si,Cu,1
Si,Zn,1
P,H,2
P,O,9
P,Si,1
P,P,24
P,Ca,5
P,V,1
P,Fe,9
P,Ni,24
P,Mo,3
S,H,21
S,C,1
S,N,4
S,O,21
S,Na,1
S,Mg,4
S,Al,6
S,S,71
S,Cl,2
S,K,3
S,Cr,1
S,Mn,1
S,Fe,23
S,Co,7
S,Ni,71
S,Cu,19
S,Ge,1
S,As,7
S,Rh,3
S,Ag,1
S,Sn,1
S,Sb,9
S,Te,1
S,Ba,2
S,Ir,2
S,Pt,2
S,Hg,1
S,Tl,1
S,Pb,5
S,Bi,6
S,U,1
Cl,H,6
Cl,O,6
Cl,S,2
Cl,Cl,9
Cl,K,1
Cl,Fe,5
Cl,Ni,9
Cl,Cu,4
Cl,Tl,1
K,H,1
K,O,1
K,S,3
K,Cl,1
K,K,3
K,Fe,2
K,Ni,3
K,Cu,2
K,Ba,1
Ca,H,4
Ca,O,8
Ca,P,5
Ca,Ca,8
Ca,Fe,2
Ca,Ni,8
Ca,As,3
V,H,3
V,O,3
V,Al,2
V,Si,1
V,P,1
V,V,4
V,Ni,4
V,Cu,1
V,Zn,3
Cr,H,1
Cr,C,1
Cr,O,1
Cr,Mg,1
Cr,Al,1
Cr,S,1
Cr,Cr,2
Cr,Fe,2
Cr,Ni,2
Mn,H,3
Mn,O,3
Mn,S,1
Mn,Mn,3
Mn,Co,2
Mn,Ni,3
Fe,H,10
Fe,B,1
Fe,C,3
Fe,N,1
Fe,O,15
Fe,Mg,3
Fe,Al,4
