from,to,weight
H,H,3297
H,Li,66
H,Be,74
H,B,205
H,C,327
H,N,125
H,O,3297
H,F,232
H,Na,740
H,Mg,576
H,Al,911
H,Si,1071
H,P,535
H,S,553
H,Cl,245
H,K,376
H,Ca,1039
H,Sc,8
H,Ti,205
H,V,190
H,Cr,47
H,Mn,481
H,Fe,793
H,Co,40
H,Ni,70
H,Cu,375
H,Zn,239
H,Ga,5
H,Ge,11
H,As,406
H,Se,26
H,Br,6
H,Rb,2
H,Sr,109
H,Y,77
H,Zr,80
H,Nb,111
H,Mo,51
H,Ag,4
H,Cd,12
H,In,2
H,Sn,26
H,Sb,38
H,Te,54
H,I,13
H,Cs,16
H,Ba,166
H,La,48
H,Ce,103
H,Pr,1
H,Nd,36
H,Sm,5
H,Gd,4
H,Dy,3
H,Er,1
H,Yb,3
H,Ta,14
H,W,25
H,Hg,13
H,Tl,7
H,Pb,246
H,Bi,43
H,Th,27
H,U,283
Li,H,66
Li,Li,117
Li,Be,12
Li,B,10
Li,C,4
Li,O,117
Li,F,32
Li,Na,49
Li,Mg,19
Li,Al,46
Li,Si,87
Li,P,20
Li,S,1
Li,Cl,2
Li,K,33
Li,Ca,21
Li,Ti,16
Li,V,2
Li,Mn,19
Li,Fe,25
Li,Cu,1
Li,Zn,2
Li,As,1
Li,Rb,2
Li,Sr,1
Li,Y,2
Li,Zr,6
Li,Sn,2
Li,Cs,7
Li,Ba,2
Li,La,1
Li,Ce,1
Li,Nd,1
Li,Ta,2
Li,Th,1
Li,U,1
Be,H,74
Be,Li,12
Be,Be,132
Be,B,13
Be,C,1
Be,O,132
Be,F,14
Be,Na,32
Be,Mg,18
Be,Al,39
Be,Si,78
Be,P,33
Be,S,3
Be,Cl,3
Be,K,18
Be,Ca,59
Be,Sc,2
Be,Ti,6
Be,V,1
Be,Cr,3
Be,Mn,18
Be,Fe,25
Be,Zn,6
Be,As,4
Be,Rb,1
Be,Sr,1
Be,Y,9
Be,Zr,3
Be,Sn,4
Be,Sb,2
Be,Cs,7
Be,Ba,7
Be,La,2
Be,Ce,7
Be,Nd,4
Be,Yb,1
Be,Pb,2
Be,Th,2
Be,U,1
B,H,205
B,Li,10
B,Be,13
B,B,295
B,C,14
B,N,2
B,O,295
B,F,34
B,Na,64
B,Mg,99
B,Al,87
B,Si,126
B,P,7
B,S,9
B,Cl,39
B,K,20
B,Ca,121
B,Ti,11
B,V,6
B,Cr,5
B,Mn,33
B,Fe,52
B,Ni,1
B,Cu,6
B,Zn,1
B,As,8
B,Rb,2
B,Sr,10
B,Y,14
B,Zr,3
B,Nb,5
B,Mo,2
B,Sn,7
B,Sb,3
B,Cs,6
B,Ba,15
B,La,5
B,Ce,15
B,Nd,1
B,Ta,3
B,W,2
B,Pb,8
B,Th,3
B,U,1
C,H,327
C,Li,4
C,Be,1
C,B,14
C,C,442
C,N,22
C,O,442
C,F,47
C,Na,114
C,Mg,73
C,Al,61
C,Si,67
C,P,29
C,S,47
C,Cl,33
C,K,23
C,Ca,159
C,Ti,5
C,V,6
C,Cr,5
C,Mn,28
C,Fe,30
C,Co,5
C,Ni,14
C,Cu,43
C,Zn,19
C,Ge,1
C,As,4
C,Br,1
C,Sr,23
C,Y,36
C,Zr,10
C,Nb,4
C,Cd,1
C,Te,4
C,I,1
C,Ba,36
C,La,30
C,Ce,46
C,Pr,1
C,Nd,23
C,Sm,3
C,Gd,4
C,Dy,3
C,Er,1
C,Yb,1
C,Ta,1
C,W,1
C,Hg,5
C,Pb,35
C,Bi,3
C,Th,3
C,U,44
N,H,125
N,B,2
N,C,22
N,N,129
N,O,129
N,F,2
N,Na,24
N,Mg,15
N,Al,25
N,Si,9
N,P,21
N,S,55
N,Cl,20
N,K,19
N,Ca,8
N,V,8
N,Mn,2
N,Fe,19
N,Co,1
N,Ni,4
N,Cu,12
N,Zn,1
N,As,8
N,Br,4
N,Mo,2
N,Sb,1
N,I,2
N,Ba,1
N,Hg,5
N,Pb,3
N,Bi,1
N,U,12
O,H,3297
O,Li,117
O,Be,132
O,B,295
O,C,442
O,N,129
O,O,4793
O,F,427
O,Na,1106
O,Mg,815
O,Al,1164
O,Si,1613
O,P,700
O,S,691
O,Cl,384
O,K,561
O,Ca,1486
O,Sc,22
O,Ti,398
O,V,273
O,Cr,89
O,Mn,673
O,Fe,1162
O,Co,44
O,Ni,90
O,Cu,499
O,Zn,292
O,Ga,5
O,Ge,15
O,As,527
O,Se,42
O,Br,12
O,Rb,6
O,Sr,161
O,Y,135
O,Zr,140
O,Nb,180
O,Mo,73
O,Pd,1
O,Ag,8
O,Cd,16
O,In,2
O,Sn,51
O,Sb,99
O,Te,101
O,I,19
O,Cs,30
O,Ba,266
O,La,85
O,Ce,179
O,Pr,2
O,Nd,51
O,Sm,6
O,Gd,5
O,Dy,3
O,Er,1
O,Yb,6
O,Hf,1
O,Ta,70
O,W,45
O,Hg,33
O,Tl,11
O,Pb,381
O,Bi,83
O,Th,41
O,U,311
F,H,232
F,Li,32
F,Be,14
F,B,34
F,C,47
F,N,2
F,O,427
F,F,427
F,Na,193
F,Mg,89
F,Al,141
F,Si,223
F,P,87
F,S,42
F,Cl,27
F,K,67
F,Ca,201
F,Ti,78
F,V,12
F,Cr,5
F,Mn,53
F,Fe,79
F,Cu,9
F,Zn,3
F,As,19
F,Br,1
F,Rb,2
F,Sr,28
F,Y,37
F,Zr,18
F,Nb,32
F,Mo,2
F,Ag,1
F,Cd,1
F,Sn,1
F,Sb,1
F,Cs,11
F,Ba,61
F,La,14
F,Ce,45
F,Nd,7
F,Gd,1
F,Dy,1
F,Ta,4
F,W,2
F,Pb,18
F,Bi,3
F,Th,6
F,U,12
Na,H,740
Na,Li,49
Na,Be,32
Na,B,64
Na,C,114
Na,N,24
Na,O,1106
Na,F,193
Na,Na,1106
Na,Mg,221
Na,Al,327
Na,Si,605
Na,P,161
Na,S,166
Na,Cl,92
Na,K,249
Na,Ca,438
Na,Sc,2
Na,Ti,169
Na,V,37
Na,Cr,10
Na,Mn,179
Na,Fe,263
Na,Co,3
Na,Ni,2
Na,Cu,49
Na,Zn,23
Na,As,79
Na,Se,3
Na,Sr,72
Na,Y,34
Na,Zr,83
Na,Nb,77
Na,Mo,9
Na,Sn,3
Na,Sb,11
Na,I,4
Na,Cs,9
Na,Ba,84
Na,La,18
Na,Ce,55
Na,Pr,1
Na,Nd,6
Na,Gd,1
Na,Dy,1
Na,Ta,11
Na,W,5
Na,Pb,13
Na,Bi,5
Na,Th,8
Na,U,41
Mg,H,576
Mg,Li,19
Mg,Be,18
Mg,B,99
Mg,C,73
Mg,N,15
Mg,O,815
Mg,F,89
Mg,Na,221
Mg,Mg,815
Mg,Al,288
Mg,Si,335
Mg,P,130
Mg,S,80
Mg,Cl,48
Mg,K,100
Mg,Ca,260
Mg,Sc,4
Mg,Ti,58
Mg,V,37
Mg,Cr,25
Mg,Mn,127
Mg,Fe,273
Mg,Co,3
Mg,Ni,10
Mg,Cu,31
Mg,Zn,44
Mg,As,72
Mg,Se,1
