from,to,weight
S,S,3
S,As,2
S,Ru,2
S,Os,3
Fe,Fe,2
Fe,Mo,1
Fe,Ru,2
Fe,Os,2
Fe,Ir,2
As,S,2
As,As,4
As,Ru,4
As,Os,4
Mo,Fe,1
Mo,Mo,1
Mo,Ru,1
Mo,Os,1
Mo,Ir,1
Ru,S,2
Ru,Fe,2
Ru,As,4
Ru,Mo,1
Ru,Ru,9
Ru,Os,9
Ru,Ir,5
Os,S,3
Os,Fe,2
Os,As,4
Os,Mo,1
Os,Ru,9
Os,Os,10
Os,Ir,5
Ir,Fe,2
Ir,Mo,1
Ir,Ru,5
Ir,Os,5
Ir,Ir,5
S,S,3
As,S,2
Ru,S,2
Os,S,3
Fe,Fe,2
Mo,Fe,1
Ru,Fe,2
Os,Fe,2
Ir,Fe,2
S,As,2
As,As,4
Ru,As,4
Os,As,4
Fe,Mo,1
Mo,Mo,1
Ru,Mo,1
Os,Mo,1
Ir,Mo,1
S,Ru,2
Fe,Ru,2
As,Ru,4
Mo,Ru,1
Ru,Ru,9
Os,Ru,9
Ir,Ru,5
S,Os,3
Fe,Os,2
As,Os,4
Mo,Os,1
Ru,Os,9
Os,Os,10
Ir,Os,5
Fe,Ir,2
Mo,Ir,1
Ru,Ir,5
Os,Ir,5
Ir,Ir,5
