from,to,weight
H,H,535
H,Li,13
H,Be,28
H,B,3
H,C,22
H,N,21
H,O,535
H,F,46
H,Na,99
H,Mg,100
H,Al,181
H,Si,18
H,P,535
H,S,27
H,Cl,4
H,K,39
H,Ca,153
H,Sc,3
H,Ti,11
H,V,18
H,Cr,3
H,Mn,111
H,Fe,193
H,Co,1
H,Ni,2
H,Cu,43
H,Zn,45
H,Ga,1
H,Ge,1
H,As,12
H,Sr,17
H,Y,8
H,Zr,9
H,Nb,6
H,Mo,7
H,Cd,2
H,Cs,1
H,Ba,36
H,La,4
H,Ce,12
H,Nd,5
H,Sm,2
H,Ta,2
H,W,1
H,Hg,1
H,Pb,31
H,Bi,11
H,Th,8
H,U,52
Li,H,13
Li,Li,20
Li,Be,5
Li,C,2
Li,O,20
Li,F,5
Li,Na,11
Li,Mg,2
Li,Al,6
Li,P,20
Li,K,3
Li,Ca,6
Li,Mn,3
Li,Fe,4
Li,Sr,1
Li,Y,2
Li,Zr,3
Li,Cs,1
Li,Ba,1
Be,H,28
Be,Li,5
Be,Be,33
Be,O,33
Be,F,2
Be,Na,5
Be,Mg,3
Be,Al,3
Be,P,33
Be,K,4
Be,Ca,19
Be,Mn,5
Be,Fe,5
Be,Zn,2
Be,Sr,1
Be,Zr,3
Be,Cs,1
Be,Ba,5
B,H,3
B,B,7
B,O,7
B,F,5
B,Na,1
B,Mg,3
B,Si,3
B,P,7
B,Ca,3
B,Ti,1
B,V,2
B,Mn,3
B,Fe,2
B,As,2
B,Y,3
B,Nb,1
B,Mo,1
B,Ba,1
B,W,2
C,H,22
C,Li,2
C,C,29
C,N,4
C,O,29
C,F,6
C,Na,14
C,Mg,10
C,Al,7
C,Si,6
C,P,29
C,S,2
C,Cl,1
C,K,2
C,Ca,11
C,V,2
C,Mn,3
C,Fe,2
C,Cu,1
C,Zn,1
C,Sr,2
C,Y,3
C,Zr,2
C,Ba,5
C,La,1
C,Ce,2
N,H,21
N,C,4
N,N,21
N,O,21
N,Na,3
N,Mg,6
N,Al,5
N,P,21
N,Cl,1
N,K,4
N,Ca,2
N,V,2
N,Mn,1
N,Fe,1
N,As,1
N,U,2
O,H,535
O,Li,20
O,Be,33
O,B,7
O,C,29
O,N,21
O,O,700
O,F,87
O,Na,161
O,Mg,130
O,Al,200
O,Si,40
O,P,700
O,S,30
O,Cl,13
O,K,44
O,Ca,224
O,Sc,4
O,Ti,16
O,V,20
O,Cr,3
O,Mn,145
O,Fe,248
O,Co,1
O,Ni,9
O,Cu,47
O,Zn,47
O,Ga,1
O,Ge,1
O,As,15
O,Sr,31
O,Y,12
O,Zr,10
O,Nb,6
O,Mo,9
O,Cd,2
O,Te,1
O,Cs,1
O,Ba,50
O,La,9
O,Ce,19
O,Pr,1
O,Nd,9
O,Sm,3
O,Gd,1
O,Yb,1
O,Ta,2
O,W,3
O,Hg,1
O,Pb,37
O,Bi,12
O,Th,10
O,U,53
F,H,46
F,Li,5
F,Be,2
F,B,5
F,C,6
F,O,87
F,F,87
F,Na,35
F,Mg,15
F,Al,36
F,Si,16
F,P,87
F,S,3
F,Cl,1
F,K,3
F,Ca,42
F,Ti,10
F,V,4
F,Mn,12
F,Fe,13
F,Cu,3
F,As,2
F,Sr,12
F,Y,5
F,Zr,1
F,Nb,3
F,Mo,1
F,Cd,1
F,Ba,16
F,La,2
F,Ce,3
F,Nd,1
F,W,2
F,Pb,2
F,U,1
Na,H,99
Na,Li,11
Na,Be,5
Na,B,1
Na,C,14
Na,N,3
Na,O,161
Na,F,35
Na,Na,161
Na,Mg,38
Na,Al,50
Na,Si,19
Na,P,161
Na,S,4
Na,Cl,4
Na,K,15
Na,Ca,66
Na,Ti,10
Na,V,2
Na,Mn,39
Na,Fe,53
Na,Cu,4
Na,As,5
Na,Sr,13
Na,Y,3
Na,Zr,7
Na,Nb,3
Na,Mo,2
Na,Cs,1
Na,Ba,14
Na,La,4
Na,Ce,9
Na,Pr,1
Na,Nd,3
Na,W,1
Na,Pb,1
Na,Th,1
Na,U,2
Mg,H,100
Mg,Li,2
Mg,Be,3
Mg,B,3
Mg,C,10
Mg,N,6
Mg,O,130
Mg,F,15
Mg,Na,38
Mg,Mg,130
Mg,Al,40
Mg,Si,4
Mg,P,130
Mg,S,1
Mg,K,8
Mg,Ca,50
Mg,Sc,2
Mg,Ti,2
Mg,V,4
Mg,Mn,38
Mg,Fe,50
Mg,Cu,2
Mg,Zn,5
Mg,As,2
Mg,Sr,5
Mg,Zr,1
Mg,Mo,1
Mg,Ba,8
Mg,W,2
Mg,U,3
Al,H,181
Al,Li,6
Al,Be,3
Al,C,7
Al,N,5
Al,O,200
Al,F,36
Al,Na,50
Al,Mg,40
Al,Al,200
Al,Si,10
Al,P,200
Al,S,14
Al,Cl,1
Al,K,18
Al,Ca,54
Al,Ti,3
Al,V,6
Al,Mn,42
Al,Fe,59
Al,Cu,7
Al,Zn,6
Al,Ga,1
Al,Ge,1
Al,As,1
Al,Sr,11
Al,Y,2
Al,Zr,2
Al,Mo,1
Al,Cd,1
Al,Ba,13
Al,La,1
Al,Ce,1
Al,Nd,1
Al,Sm,1
Al,Hg,1
Al,Pb,8
Al,Bi,1
Al,Th,4
Al,U,14
Si,H,18
Si,B,3
Si,C,6
Si,O,40
Si,F,16
Si,Na,19
Si,Mg,4
Si,Al,10
Si,Si,42
Si,P,42
Si,S,3
Si,Cl,1
Si,K,3
Si,Ca,25
Si,Ti,13
Si,Mn,9
Si,Fe,7
Si,Ni,1
Si,Zn,1
Si,Sr,1
Si,Y,4
Si,Zr,1
Si,Nb,4
Si,Ba,10
Si,La,1
Si,Ce,4
Si,Pr,1
Si,Nd,1
Si,Th,3
P,H,535
P,Li,20
P,Be,33
P,B,7
P,C,29
P,N,21
P,O,700
P,F,87
P,Na,161
P,Mg,130
P,Al,200
P,Si,42
P,P,723
P,S,30
P,Cl,13
P,K,44
P,Ca,224
P,Sc,4
P,Ti,19
P,V,21
P,Cr,4
P,Mn,145
P,Fe,259
P,Co,1
P,Ni,24
P,Cu,47
P,Zn,47
P,Ga,1
P,Ge,1
P,As,15
P,Sr,31
P,Y,12
P,Zr,10
P,Nb,6
P,Mo,13
P,Cd,2
P,Te,1
P,Cs,1
P,Ba,50
P,La,9
P,Ce,19
P,Pr,1
P,Nd,9
P,Sm,3
P,Gd,1
P,Yb,1
P,Ta,2
P,W,3
P,Hg,1
P,Pb,37
P,Bi,12
P,Th,10
P,U,53
S,H,27
S,C,2
S,O,30
S,F,3
S,Na,4
S,Mg,1
S,Al,14
S,Si,3
S,P,30
S,S,30
S,Ca,6
S,Ti,1
S,Fe,10
S,Cu,4
S,Zn,1
S,As,1
S,Sr,1
S,Y,1
S,Cd,1
S,Ba,1
S,Ce,1
S,Pb,3
S,Th,1
S,U,3
Cl,H,4
Cl,C,1
Cl,N,1
Cl,O,13
Cl,F,1
Cl,Na,4
Cl,Al,1
Cl,Si,1
Cl,P,13
Cl,Cl,13
Cl,K,1
Cl,Ca,7
Cl,V,1
Cl,Mn,2
Cl,Fe,2
Cl,Cu,3
Cl,As,1
Cl,Ba,2
Cl,Ce,1
Cl,Pb,2
Cl,Bi,1
K,H,39
K,Li,3
K,Be,4
K,C,2
K,N,4
K,O,44
K,F,3
K,Na,15
K,Mg,8
K,Al,18
K,Si,3
K,P,44
K,Cl,1
K,K,44
K,Ca,13
K,Ti,3
K,V,3
K,Mn,7
K,Fe,16
K,As,1
K,Zr,3
K,Nb,2
K,Mo,3
K,Ta,2
K,U,3
Ca,H,153
Ca,Li,6
Ca,Be,19
Ca,B,3
Ca,C,11
Ca,N,2
Ca,O,224
Ca,F,42
Ca,Na,66
Ca,Mg,50
Ca,Al,54
Ca,Si,25
Ca,P,224
Ca,S,6
Ca,Cl,7
Ca,K,13
Ca,Ca,224
Ca,Sc,1
Ca,Ti,4
Ca,V,2
Ca,Mn,54
Ca,Fe,82
Ca,Ni,5
Ca,Cu,8
Ca,Zn,11
Ca,As,3
Ca,Sr,11
Ca,Y,7
Ca,Zr,1
Ca,Nb,1
Ca,Mo,3
Ca,Ba,17
Ca,La,2
Ca,Ce,5
Ca,Pr,1
Ca,Nd,3
Ca,Pb,4
Ca,Bi,1
Ca,Th,6
Ca,U,11
Sc,H,3
Sc,O,4
Sc,Mg,2
Sc,P,4
Sc,Ca,1
Sc,Sc,4
Sc,Ba,1
Ti,H,11
Ti,B,1
