from,to,weight
H,H,247
H,Be,1
H,B,5
H,C,28
H,N,4
H,O,246
H,F,8
H,Na,5
H,Mg,10
H,Al,32
H,Si,34
H,P,31
H,S,57
H,Cl,44
H,K,6
H,Ca,23
H,Ti,3
H,V,15
H,Cr,15
H,Mn,20
H,Fe,46
H,Co,2
H,Ni,1
H,Cu,62
H,Zn,29
H,Ga,2
H,Ge,5
H,As,49
H,Se,8
H,Sr,1
H,Y,3
H,Zr,1
H,Nb,1
H,Mo,1
H,Ag,3
H,Sb,4
H,Te,17
H,I,3
H,Cs,1
H,Ba,4
H,La,1
H,Nd,2
H,Sm,1
H,Gd,1
H,Ta,1
H,W,5
H,Pb,247
H,Bi,5
H,Th,1
H,U,33
Be,H,1
Be,Be,2
Be,B,1
Be,O,2
Be,F,1
Be,Mg,1
Be,Si,2
Be,Cl,1
Be,K,1
Be,Ca,2
Be,Fe,1
Be,Y,1
Be,Ba,1
Be,Pb,2
B,H,5
B,Be,1
B,B,8
B,C,3
B,O,8
B,F,4
B,Mg,2
B,Si,5
B,Cl,4
B,K,3
B,Ca,3
B,Mn,1
B,Y,2
B,Ba,3
B,Pb,8
C,H,28
C,B,3
C,C,35
C,O,35
C,F,1
C,Na,2
C,Mg,5
C,Al,4
C,Si,8
C,S,8
C,Cl,7
C,Ca,3
C,Cr,1
C,Mn,2
C,Fe,2
C,Cu,5
C,Y,1
C,Te,3
C,La,1
C,Nd,2
C,Sm,1
C,Gd,1
C,Pb,35
C,U,1
N,H,4
N,N,4
N,O,3
N,Na,1
N,Al,1
N,S,1
N,Cl,3
N,K,1
N,Fe,1
N,Pb,4
O,H,246
O,Be,2
O,B,8
O,C,35
O,N,3
O,O,381
O,F,18
O,Na,13
O,Mg,12
O,Al,35
O,Si,53
O,P,37
O,S,80
O,Cl,87
O,K,15
O,Ca,39
O,Ti,10
O,V,26
O,Cr,20
O,Mn,37
O,Fe,68
O,Co,2
O,Ni,1
O,Cu,76
O,Zn,37
O,Ga,2
O,Ge,6
O,As,66
O,Se,14
O,Br,2
O,Rb,1
O,Sr,4
O,Y,8
O,Zr,1
O,Nb,5
O,Mo,5
O,Ag,5
O,Cd,1
O,Sn,1
O,Sb,16
O,Te,37
O,I,4
O,Cs,3
O,Ba,7
O,La,1
O,Ce,1
O,Nd,2
O,Sm,1
O,Gd,1
O,Ta,4
O,W,8
O,Pb,381
O,Bi,6
O,Th,1
O,U,40
F,H,8
F,Be,1
F,B,4
F,C,1
F,O,18
F,F,23
F,Na,1
F,Mg,1
F,Al,4
F,Si,4
