from,to,weight
O,O,1
O,Pd,1
Si,Si,1
Si,Pd,1
S,S,12
S,Fe,1
S,Cu,3
S,As,1
S,Rh,1
S,Pd,12
S,Ag,4
S,Sn,1
S,Te,2
S,Pt,3
S,Pb,2
S,Bi,3
Fe,S,1
Fe,Fe,1
Fe,Cu,1
Fe,Pd,1
Fe,Sn,1
Fe,Te,1
Fe,Pt,1
Ni,Ni,4
Ni,As,3
Ni,Pd,4
Ni,Te,1
Cu,S,3
Cu,Fe,1
Cu,Cu,12
Cu,Zn,1
Cu,Se,2
Cu,Pd,12
Cu,Sn,5
Cu,Te,2
Cu,Pt,3
Cu,Bi,2
Zn,Cu,1
Zn,Zn,1
Zn,Pd,1
Ge,Ge,2
Ge,Pd,2
As,S,1
As,Ni,3
As,As,19
As,Se,1
As,Rh,3
As,Pd,19
As,In,1
As,Sn,1
As,Sb,4
As,Te,1
As,Pt,1
As,Hg,1
As,Bi,1
Se,Cu,2
Se,As,1
Se,Se,11
Se,Pd,11
Se,Ag,1
Se,Sb,1
Se,Te,1
Se,Hg,2
Se,Bi,2
Rh,S,1
Rh,As,3
Rh,Rh,3
Rh,Pd,3
Rh,Pt,1
Pd,O,1
Pd,Si,1
Pd,S,12
Pd,Fe,1
Pd,Ni,4
Pd,Cu,12
Pd,Zn,1
Pd,Ge,2
Pd,As,19
Pd,Se,11
Pd,Rh,3
Pd,Pd,82
Pd,Ag,9
Pd,In,1
Pd,Sn,11
Pd,Sb,11
Pd,Te,17
Pd,Pt,7
Pd,Hg,5
Pd,Tl,1
Pd,Pb,8
Pd,Bi,13
Ag,S,4
Ag,Se,1
Ag,Pd,9
Ag,Ag,9
Ag,Te,3
Ag,Pb,2
Ag,Bi,2
In,As,1
In,Pd,1
In,In,1
Sn,S,1
Sn,Fe,1
Sn,Cu,5
Sn,As,1
Sn,Pd,11
Sn,Sn,11
Sn,Sb,1
Sn,Te,2
Sn,Pt,4
Sb,As,4
Sb,Se,1
Sb,Pd,11
Sb,Sn,1
Sb,Sb,11
Sb,Te,1
Te,S,2
Te,Fe,1
Te,Ni,1
Te,Cu,2
Te,As,1
Te,Se,1
Te,Pd,17
Te,Ag,3
Te,Sn,2
Te,Sb,1
Te,Te,17
Te,Pt,1
Te,Hg,1
Te,Pb,1
Te,Bi,3
Pt,S,3
Pt,Fe,1
Pt,Cu,3
Pt,As,1
Pt,Rh,1
Pt,Pd,7
Pt,Sn,4
Pt,Te,1
Pt,Pt,7
Hg,As,1
Hg,Se,2
Hg,Pd,5
Hg,Te,1
Hg,Hg,5
Tl,Pd,1
Tl,Tl,1
Pb,S,2
Pb,Pd,8
Pb,Ag,2
Pb,Te,1
Pb,Pb,8
Pb,Bi,2
Bi,S,3
Bi,Cu,2
Bi,As,1
Bi,Se,2
Bi,Pd,13
Bi,Ag,2
Bi,Te,3
Bi,Pb,2
Bi,Bi,13
O,O,1
Pd,O,1
Si,Si,1
Pd,Si,1
S,S,12
Fe,S,1
Cu,S,3
As,S,1
Rh,S,1
Pd,S,12
Ag,S,4
Sn,S,1
Te,S,2
Pt,S,3
Pb,S,2
Bi,S,3
S,Fe,1
Fe,Fe,1
Cu,Fe,1
Pd,Fe,1
Sn,Fe,1
Te,Fe,1
Pt,Fe,1
Ni,Ni,4
As,Ni,3
Pd,Ni,4
Te,Ni,1
S,Cu,3
Fe,Cu,1
Cu,Cu,12
Zn,Cu,1
Se,Cu,2
Pd,Cu,12
Sn,Cu,5
Te,Cu,2
Pt,Cu,3
Bi,Cu,2
Cu,Zn,1
Zn,Zn,1
Pd,Zn,1
Ge,Ge,2
Pd,Ge,2
S,As,1
Ni,As,3
As,As,19
Se,As,1
Rh,As,3
Pd,As,19
In,As,1
Sn,As,1
Sb,As,4
Te,As,1
Pt,As,1
Hg,As,1
Bi,As,1
Cu,Se,2
As,Se,1
Se,Se,11
Pd,Se,11
Ag,Se,1
Sb,Se,1
Te,Se,1
Hg,Se,2
Bi,Se,2
S,Rh,1
As,Rh,3
Rh,Rh,3
Pd,Rh,3
Pt,Rh,1
O,Pd,1
Si,Pd,1
S,Pd,12
Fe,Pd,1
Ni,Pd,4
Cu,Pd,12
Zn,Pd,1
Ge,Pd,2
As,Pd,19
Se,Pd,11
Rh,Pd,3
Pd,Pd,82
Ag,Pd,9
In,Pd,1
Sn,Pd,11
Sb,Pd,11
Te,Pd,17
Pt,Pd,7
Hg,Pd,5
Tl,Pd,1
Pb,Pd,8
Bi,Pd,13
S,Ag,4
Se,Ag,1
Pd,Ag,9
Ag,Ag,9
Te,Ag,3
Pb,Ag,2
Bi,Ag,2
As,In,1
Pd,In,1
In,In,1
S,Sn,1
Fe,Sn,1
Cu,Sn,5
As,Sn,1
Pd,Sn,11
Sn,Sn,11
Sb,Sn,1
Te,Sn,2
Pt,Sn,4
As,Sb,4
Se,Sb,1
Pd,Sb,11
Sn,Sb,1
Sb,Sb,11
Te,Sb,1
S,Te,2
Fe,Te,1
Ni,Te,1
Cu,Te,2
As,Te,1
Se,Te,1
Pd,Te,17
Ag,Te,3
Sn,Te,2
Sb,Te,1
Te,Te,17
Pt,Te,1
Hg,Te,1
Pb,Te,1
Bi,Te,3
S,Pt,3
Fe,Pt,1
Cu,Pt,3
As,Pt,1
Rh,Pt,1
Pd,Pt,7
Sn,Pt,4
Te,Pt,1
Pt,Pt,7
As,Hg,1
Se,Hg,2
Pd,Hg,5
Te,Hg,1
Hg,Hg,5
Pd,Tl,1
Tl,Tl,1
S,Pb,2
Pd,Pb,8
Ag,Pb,2
Te,Pb,1
Pb,Pb,8
Bi,Pb,2
S,Bi,3
Cu,Bi,2
As,Bi,1
Se,Bi,2
Pd,Bi,13
Ag,Bi,2
Te,Bi,3
Pb,Bi,2
Bi,Bi,13
