from,to,weight
H,H,1
H,C,1
H,O,1
H,La,1
H,Pr,1
H,Nd,1
H,Sm,1
C,H,1
C,C,1
C,O,1
C,La,1
C,Pr,1
C,Nd,1
C,Sm,1
O,H,1
O,C,1
O,O,2
O,Na,1
O,Si,1
O,P,1
O,Ca,1
O,La,2
O,Ce,1
O,Pr,2
O,Nd,2
O,Sm,1
O,Th,1
Na,O,1
Na,Na,1
Na,Si,1
Na,P,1
Na,Ca,1
Na,La,1
Na,Ce,1
Na,Pr,1
Na,Nd,1
Na,Th,1
Si,O,1
Si,Na,1
Si,Si,1
Si,P,1
Si,Ca,1
Si,La,1
Si,Ce,1
Si,Pr,1
Si,Nd,1
Si,Th,1
P,O,1
P,Na,1
P,Si,1
P,P,1
P,Ca,1
P,La,1
P,Ce,1
P,Pr,1
P,Nd,1
P,Th,1
Ca,O,1
Ca,Na,1
Ca,Si,1
Ca,P,1
Ca,Ca,1
Ca,La,1
Ca,Ce,1
Ca,Pr,1
Ca,Nd,1
Ca,Th,1
La,H,1
La,C,1
La,O,2
La,Na,1
La,Si,1
La,P,1
La,Ca,1
La,La,2
La,Ce,1
La,Pr,2
La,Nd,2
La,Sm,1
La,Th,1
Ce,O,1
Ce,Na,1
Ce,Si,1
Ce,P,1
Ce,Ca,1
Ce,La,1
Ce,Ce,1
Ce,Pr,1
Ce,Nd,1
Ce,Th,1
Pr,H,1
Pr,C,1
Pr,O,2
Pr,Na,1
Pr,Si,1
Pr,P,1
Pr,Ca,1
Pr,La,2
Pr,Ce,1
Pr,Pr,2
Pr,Nd,2
Pr,Sm,1
Pr,Th,1
Nd,H,1
Nd,C,1
Nd,O,2
Nd,Na,1
Nd,Si,1
Nd,P,1
Nd,Ca,1
Nd,La,2
Nd,Ce,1
Nd,Pr,2
Nd,Nd,2
Nd,Sm,1
Nd,Th,1
Sm,H,1
Sm,C,1
Sm,O,1
Sm,La,1
Sm,Pr,1
Sm,Nd,1
Sm,Sm,1
Th,O,1
Th,Na,1
Th,Si,1
Th,P,1
Th,Ca,1
Th,La,1
Th,Ce,1
Th,Pr,1
Th,Nd,1
Th,Th,1
H,H,1
C,H,1
O,H,1
La,H,1
Pr,H,1
Nd,H,1
Sm,H,1
H,C,1
C,C,1
O,C,1
La,C,1
Pr,C,1
Nd,C,1
Sm,C,1
H,O,1
C,O,1
O,O,2
Na,O,1
Si,O,1
P,O,1
Ca,O,1
La,O,2
Ce,O,1
Pr,O,2
Nd,O,2
Sm,O,1
Th,O,1
O,Na,1
Na,Na,1
Si,Na,1
P,Na,1
Ca,Na,1
La,Na,1
Ce,Na,1
Pr,Na,1
Nd,Na,1
Th,Na,1
O,Si,1
Na,Si,1
Si,Si,1
P,Si,1
Ca,Si,1
La,Si,1
Ce,Si,1
Pr,Si,1
Nd,Si,1
Th,Si,1
O,P,1
Na,P,1
Si,P,1
P,P,1
Ca,P,1
La,P,1
Ce,P,1
Pr,P,1
Nd,P,1
Th,P,1
O,Ca,1
Na,Ca,1
Si,Ca,1
P,Ca,1
Ca,Ca,1
La,Ca,1
Ce,Ca,1
Pr,Ca,1
Nd,Ca,1
Th,Ca,1
H,La,1
C,La,1
O,La,2
Na,La,1
Si,La,1
P,La,1
Ca,La,1
La,La,2
Ce,La,1
Pr,La,2
Nd,La,2
Sm,La,1
Th,La,1
O,Ce,1
Na,Ce,1
Si,Ce,1
P,Ce,1
Ca,Ce,1
La,Ce,1
Ce,Ce,1
Pr,Ce,1
Nd,Ce,1
Th,Ce,1
H,Pr,1
C,Pr,1
O,Pr,2
Na,Pr,1
Si,Pr,1
P,Pr,1
Ca,Pr,1
La,Pr,2
Ce,Pr,1
Pr,Pr,2
Nd,Pr,2
Sm,Pr,1
Th,Pr,1
H,Nd,1
C,Nd,1
O,Nd,2
Na,Nd,1
Si,Nd,1
P,Nd,1
Ca,Nd,1
La,Nd,2
Ce,Nd,1
Pr,Nd,2
Nd,Nd,2
Sm,Nd,1
Th,Nd,1
H,Sm,1
C,Sm,1
O,Sm,1
La,Sm,1
Pr,Sm,1
Nd,Sm,1
Sm,Sm,1
O,Th,1
Na,Th,1
Si,Th,1
P,Th,1
Ca,Th,1
La,Th,1
Ce,Th,1
Pr,Th,1
Nd,Th,1
Th,Th,1
