from,to,weight
S,S,17
S,Fe,3
S,Ni,2
S,Cu,9
S,As,4
S,Se,1
S,Ru,1
S,Rh,6
S,Pd,3
S,Sn,2
S,Te,1
S,Ir,6
S,Pt,17
S,Pb,4
S,Bi,2
Fe,S,3
Fe,Fe,8
Fe,Ni,3
Fe,Cu,4
Fe,Rh,1
Fe,Pd,1
Fe,Sn,1
Fe,Te,1
Fe,Ir,1
Fe,Pt,8
Fe,Pb,1
Ni,S,2
Ni,Fe,3
Ni,Ni,3
Ni,Cu,2
Ni,Rh,1
Ni,Ir,1
Ni,Pt,3
Ni,Pb,1
Cu,S,9
Cu,Fe,4
Cu,Ni,2
Cu,Cu,16
Cu,As,1
Cu,Rh,3
Cu,Pd,3
Cu,Sn,3
Cu,Te,1
Cu,Ir,4
Cu,Pt,16
Cu,Pb,3
Cu,Bi,1
As,S,4
As,Cu,1
As,As,5
As,Ru,1
As,Rh,2
As,Pd,1
As,Ir,1
As,Pt,5
Se,S,1
Se,Se,4
Se,Pt,4
Se,Hg,1
Se,Pb,1
Se,Bi,1
Ru,S,1
Ru,As,1
Ru,Ru,1
Ru,Rh,1
Ru,Ir,1
Ru,Pt,1
Rh,S,6
Rh,Fe,1
Rh,Ni,1
Rh,Cu,3
Rh,As,2
Rh,Ru,1
Rh,Rh,7
Rh,Pd,1
Rh,Ir,4
Rh,Pt,7
Rh,Pb,1
Pd,S,3
Pd,Fe,1
Pd,Cu,3
Pd,As,1
Pd,Rh,1
Pd,Pd,7
Pd,Sn,4
Pd,Te,1
Pd,Pt,7
In,In,2
In,Pt,2
Sn,S,2
Sn,Fe,1
Sn,Cu,3
Sn,Pd,4
Sn,Sn,6
Sn,Te,1
Sn,Pt,6
Sb,Sb,4
Sb,Pt,4
Sb,Bi,1
Te,S,1
Te,Fe,1
Te,Cu,1
Te,Pd,1
Te,Sn,1
Te,Te,4
Te,Pt,4
Te,Bi,2
Ir,S,6
Ir,Fe,1
Ir,Ni,1
Ir,Cu,4
Ir,As,1
Ir,Ru,1
Ir,Rh,4
Ir,Ir,6
Ir,Pt,6
Ir,Pb,2
Pt,S,17
Pt,Fe,8
Pt,Ni,3
Pt,Cu,16
Pt,As,5
Pt,Se,4
Pt,Ru,1
Pt,Rh,7
Pt,Pd,7
Pt,In,2
Pt,Sn,6
Pt,Sb,4
Pt,Te,4
Pt,Ir,6
Pt,Pt,48
Pt,Hg,1
Pt,Pb,5
Pt,Bi,6
Hg,Se,1
Hg,Pt,1
Hg,Hg,1
Pb,S,4
Pb,Fe,1
Pb,Ni,1
Pb,Cu,3
Pb,Se,1
Pb,Rh,1
Pb,Ir,2
Pb,Pt,5
Pb,Pb,5
Pb,Bi,1
Bi,S,2
Bi,Cu,1
Bi,Se,1
Bi,Sb,1
Bi,Te,2
Bi,Pt,6
Bi,Pb,1
Bi,Bi,6
S,S,17
Fe,S,3
Ni,S,2
Cu,S,9
As,S,4
Se,S,1
Ru,S,1
Rh,S,6
Pd,S,3
Sn,S,2
Te,S,1
Ir,S,6
Pt,S,17
Pb,S,4
Bi,S,2
S,Fe,3
Fe,Fe,8
Ni,Fe,3
Cu,Fe,4
Rh,Fe,1
Pd,Fe,1
Sn,Fe,1
Te,Fe,1
Ir,Fe,1
Pt,Fe,8
Pb,Fe,1
S,Ni,2
Fe,Ni,3
Ni,Ni,3
Cu,Ni,2
Rh,Ni,1
Ir,Ni,1
Pt,Ni,3
Pb,Ni,1
S,Cu,9
Fe,Cu,4
Ni,Cu,2
Cu,Cu,16
As,Cu,1
Rh,Cu,3
Pd,Cu,3
Sn,Cu,3
Te,Cu,1
Ir,Cu,4
Pt,Cu,16
Pb,Cu,3
Bi,Cu,1
S,As,4
Cu,As,1
As,As,5
Ru,As,1
Rh,As,2
Pd,As,1
Ir,As,1
Pt,As,5
S,Se,1
Se,Se,4
Pt,Se,4
Hg,Se,1
Pb,Se,1
Bi,Se,1
S,Ru,1
As,Ru,1
Ru,Ru,1
Rh,Ru,1
Ir,Ru,1
Pt,Ru,1
S,Rh,6
Fe,Rh,1
Ni,Rh,1
Cu,Rh,3
As,Rh,2
Ru,Rh,1
Rh,Rh,7
Pd,Rh,1
Ir,Rh,4
Pt,Rh,7
Pb,Rh,1
S,Pd,3
Fe,Pd,1
Cu,Pd,3
As,Pd,1
Rh,Pd,1
Pd,Pd,7
Sn,Pd,4
Te,Pd,1
Pt,Pd,7
In,In,2
Pt,In,2
S,Sn,2
Fe,Sn,1
Cu,Sn,3
Pd,Sn,4
Sn,Sn,6
Te,Sn,1
Pt,Sn,6
Sb,Sb,4
Pt,Sb,4
Bi,Sb,1
S,Te,1
Fe,Te,1
Cu,Te,1
Pd,Te,1
Sn,Te,1
Te,Te,4
Pt,Te,4
Bi,Te,2
S,Ir,6
Fe,Ir,1
Ni,Ir,1
Cu,Ir,4
As,Ir,1
Ru,Ir,1
Rh,Ir,4
Ir,Ir,6
Pt,Ir,6
Pb,Ir,2
S,Pt,17
Fe,Pt,8
Ni,Pt,3
Cu,Pt,16
As,Pt,5
Se,Pt,4
Ru,Pt,1
Rh,Pt,7
Pd,Pt,7
In,Pt,2
Sn,Pt,6
Sb,Pt,4
Te,Pt,4
Ir,Pt,6
Pt,Pt,48
Hg,Pt,1
Pb,Pt,5
Bi,Pt,6
Se,Hg,1
Pt,Hg,1
Hg,Hg,1
S,Pb,4
Fe,Pb,1
Ni,Pb,1
Cu,Pb,3
Se,Pb,1
Rh,Pb,1
Ir,Pb,2
Pt,Pb,5
Pb,Pb,5
Bi,Pb,1
S,Bi,2
Cu,Bi,1
Se,Bi,1
Sb,Bi,1
Te,Bi,2
Pt,Bi,6
Pb,Bi,1
Bi,Bi,6
