from,to,weight
H,H,2
H,Li,1
H,B,1
H,O,2
H,F,1
H,Al,1
H,Si,1
H,K,1
H,Mn,1
H,Rb,2
Li,H,1
Li,Li,2
Li,O,2
Li,F,2
Li,Al,2
Li,Si,2
Li,K,1
Li,Mn,1
Li,Rb,2
Be,Be,1
Be,B,1
Be,O,1
Be,Al,1
Be,K,1
Be,Rb,1
Be,Cs,1
B,H,1
B,Be,1
B,B,2
B,O,2
B,Al,1
B,K,1
B,Rb,2
B,Cs,1
O,H,2
O,Li,2
O,Be,1
O,B,2
O,O,6
O,F,2
O,Al,4
O,Si,3
O,Cl,1
O,K,3
O,V,1
O,Mn,1
O,Cu,1
O,As,1
O,Rb,6
O,Cs,2
O,Pb,1
F,H,1
F,Li,2
F,O,2
F,F,2
F,Al,2
F,Si,2
F,K,1
F,Mn,1
F,Rb,2
Al,H,1
Al,Li,2
Al,Be,1
Al,B,1
Al,O,4
Al,F,2
Al,Al,4
Al,Si,3
Al,K,2
Al,Mn,1
Al,Rb,4
Al,Cs,1
Si,H,1
Si,Li,2
Si,O,3
Si,F,2
Si,Al,3
Si,Si,3
Si,K,1
Si,Mn,1
Si,Rb,3
Cl,O,1
Cl,Cl,1
Cl,K,1
Cl,V,1
Cl,Cu,1
Cl,As,1
Cl,Rb,1
Cl,Cs,1
Cl,Pb,1
K,H,1
K,Li,1
K,Be,1
K,B,1
K,O,3
K,F,1
K,Al,2
K,Si,1
K,Cl,1
K,K,3
K,V,1
K,Mn,1
K,Cu,1
K,As,1
K,Rb,3
K,Cs,2
K,Pb,1
V,O,1
V,Cl,1
V,K,1
V,V,1
V,Cu,1
V,As,1
V,Rb,1
V,Cs,1
V,Pb,1
Mn,H,1
Mn,Li,1
Mn,O,1
Mn,F,1
Mn,Al,1
Mn,Si,1
Mn,K,1
Mn,Mn,1
Mn,Rb,1
Cu,O,1
Cu,Cl,1
Cu,K,1
Cu,V,1
Cu,Cu,1
Cu,As,1
Cu,Rb,1
Cu,Cs,1
Cu,Pb,1
As,O,1
As,Cl,1
As,K,1
As,V,1
As,Cu,1
As,As,1
As,Rb,1
As,Cs,1
As,Pb,1
Rb,H,2
Rb,Li,2
Rb,Be,1
Rb,B,2
Rb,O,6
Rb,F,2
Rb,Al,4
Rb,Si,3
Rb,Cl,1
Rb,K,3
Rb,V,1
Rb,Mn,1
Rb,Cu,1
Rb,As,1
Rb,Rb,6
Rb,Cs,2
Rb,Pb,1
Cs,Be,1
Cs,B,1
Cs,O,2
Cs,Al,1
Cs,Cl,1
Cs,K,2
Cs,V,1
Cs,Cu,1
Cs,As,1
Cs,Rb,2
Cs,Cs,2
Cs,Pb,1
Pb,O,1
Pb,Cl,1
Pb,K,1
Pb,V,1
Pb,Cu,1
Pb,As,1
Pb,Rb,1
Pb,Cs,1
Pb,Pb,1
H,H,2
Li,H,1
B,H,1
O,H,2
F,H,1
Al,H,1
Si,H,1
K,H,1
Mn,H,1
Rb,H,2
H,Li,1
Li,Li,2
O,Li,2
F,Li,2
Al,Li,2
Si,Li,2
K,Li,1
Mn,Li,1
Rb,Li,2
Be,Be,1
B,Be,1
O,Be,1
Al,Be,1
K,Be,1
Rb,Be,1
Cs,Be,1
H,B,1
Be,B,1
B,B,2
O,B,2
Al,B,1
K,B,1
Rb,B,2
Cs,B,1
H,O,2
Li,O,2
Be,O,1
B,O,2
O,O,6
F,O,2
Al,O,4
Si,O,3
Cl,O,1
