from,to,weight
S,S,14
S,Fe,3
S,Ni,3
S,Cu,4
S,As,2
S,Ru,1
S,Rh,14
S,Pd,1
S,Sb,1
S,Ir,4
S,Pt,6
S,Pb,2
Fe,S,3
Fe,Fe,3
Fe,Ni,1
Fe,Cu,2
Fe,Rh,3
Fe,Ir,1
Fe,Pt,1
Ni,S,3
Ni,Fe,1
Ni,Ni,4
Ni,Cu,1
Ni,As,1
Ni,Rh,4
Ni,Ir,1
Ni,Pt,1
Cu,S,4
Cu,Fe,2
Cu,Ni,1
Cu,Cu,6
Cu,Ge,1
Cu,Rh,6
Cu,Sb,1
Cu,Ir,3
Cu,Pt,3
Cu,Pb,1
Ge,Cu,1
Ge,Ge,1
Ge,Rh,1
As,S,2
As,Ni,1
As,As,7
As,Ru,1
As,Rh,7
As,Pd,3
As,Ir,1
As,Pt,2
Se,Se,1
Se,Rh,1
Ru,S,1
Ru,As,1
Ru,Ru,1
Ru,Rh,1
Ru,Ir,1
Ru,Pt,1
Rh,S,14
Rh,Fe,3
Rh,Ni,4
Rh,Cu,6
Rh,Ge,1
Rh,As,7
Rh,Se,1
Rh,Ru,1
Rh,Rh,24
Rh,Pd,3
Rh,Sb,3
Rh,Ir,5
Rh,Pt,7
Rh,Pb,2
Pd,S,1
Pd,As,3
Pd,Rh,3
Pd,Pd,3
Pd,Pt,1
Sb,S,1
Sb,Cu,1
Sb,Rh,3
Sb,Sb,3
Sb,Ir,1
Ir,S,4
Ir,Fe,1
Ir,Ni,1
Ir,Cu,3
Ir,As,1
Ir,Ru,1
Ir,Rh,5
Ir,Sb,1
Ir,Ir,5
Ir,Pt,4
Ir,Pb,1
Pt,S,6
Pt,Fe,1
Pt,Ni,1
Pt,Cu,3
Pt,As,2
Pt,Ru,1
Pt,Rh,7
Pt,Pd,1
Pt,Ir,4
Pt,Pt,7
Pt,Pb,1
Pb,S,2
Pb,Cu,1
Pb,Rh,2
Pb,Ir,1
Pb,Pt,1
Pb,Pb,2
S,S,14
Fe,S,3
Ni,S,3
Cu,S,4
As,S,2
Ru,S,1
Rh,S,14
Pd,S,1
Sb,S,1
Ir,S,4
Pt,S,6
Pb,S,2
S,Fe,3
Fe,Fe,3
Ni,Fe,1
Cu,Fe,2
Rh,Fe,3
Ir,Fe,1
Pt,Fe,1
S,Ni,3
Fe,Ni,1
Ni,Ni,4
Cu,Ni,1
As,Ni,1
Rh,Ni,4
Ir,Ni,1
Pt,Ni,1
S,Cu,4
Fe,Cu,2
Ni,Cu,1
Cu,Cu,6
Ge,Cu,1
Rh,Cu,6
Sb,Cu,1
Ir,Cu,3
Pt,Cu,3
Pb,Cu,1
Cu,Ge,1
Ge,Ge,1
Rh,Ge,1
S,As,2
Ni,As,1
As,As,7
Ru,As,1
Rh,As,7
Pd,As,3
Ir,As,1
Pt,As,2
Se,Se,1
Rh,Se,1
S,Ru,1
As,Ru,1
Ru,Ru,1
Rh,Ru,1
Ir,Ru,1
Pt,Ru,1
S,Rh,14
Fe,Rh,3
Ni,Rh,4
Cu,Rh,6
Ge,Rh,1
As,Rh,7
Se,Rh,1
Ru,Rh,1
Rh,Rh,24
Pd,Rh,3
Sb,Rh,3
Ir,Rh,5
Pt,Rh,7
Pb,Rh,2
S,Pd,1
As,Pd,3
Rh,Pd,3
Pd,Pd,3
Pt,Pd,1
S,Sb,1
Cu,Sb,1
Rh,Sb,3
Sb,Sb,3
Ir,Sb,1
S,Ir,4
Fe,Ir,1
Ni,Ir,1
Cu,Ir,3
As,Ir,1
Ru,Ir,1
Rh,Ir,5
Sb,Ir,1
Ir,Ir,5
Pt,Ir,4
Pb,Ir,1
S,Pt,6
Fe,Pt,1
Ni,Pt,1
Cu,Pt,3
As,Pt,2
Ru,Pt,1
Rh,Pt,7
Pd,Pt,1
Ir,Pt,4
Pt,Pt,7
Pb,Pt,1
S,Pb,2
Cu,Pb,1
Rh,Pb,2
Ir,Pb,1
Pt,Pb,1
Pb,Pb,2
