from,to,weight
S,S,4
S,As,3
S,Ru,4
S,Rh,1
S,Os,2
S,Ir,1
S,Pt,1
Fe,Fe,2
Fe,Mo,1
Fe,Ru,2
Fe,Os,2
Fe,Ir,2
Ni,Ni,1
Ni,As,1
Ni,Ru,1
As,S,3
As,Ni,1
As,As,7
As,Ru,7
As,Rh,1
As,Os,4
As,Ir,2
As,Pt,1
Se,Se,1
Se,Ru,1
Mo,Fe,1
Mo,Mo,1
Mo,Ru,1
Mo,Os,1
Mo,Ir,1
Ru,S,4
Ru,Fe,2
Ru,Ni,1
Ru,As,7
Ru,Se,1
Ru,Mo,1
Ru,Ru,15
Ru,Rh,1
Ru,Os,9
Ru,Ir,8
Ru,Pt,1
Rh,S,1
Rh,As,1
Rh,Ru,1
Rh,Rh,1
Rh,Ir,1
Rh,Pt,1
Os,S,2
Os,Fe,2
Os,As,4
Os,Mo,1
Os,Ru,9
Os,Os,9
Os,Ir,5
Ir,S,1
Ir,Fe,2
Ir,As,2
Ir,Mo,1
Ir,Ru,8
Ir,Rh,1
Ir,Os,5
Ir,Ir,8
Ir,Pt,1
Pt,S,1
Pt,As,1
Pt,Ru,1
Pt,Rh,1
Pt,Ir,1
Pt,Pt,1
S,S,4
As,S,3
Ru,S,4
Rh,S,1
Os,S,2
Ir,S,1
Pt,S,1
Fe,Fe,2
Mo,Fe,1
Ru,Fe,2
Os,Fe,2
Ir,Fe,2
Ni,Ni,1
As,Ni,1
Ru,Ni,1
S,As,3
Ni,As,1
As,As,7
Ru,As,7
Rh,As,1
Os,As,4
Ir,As,2
Pt,As,1
Se,Se,1
Ru,Se,1
Fe,Mo,1
Mo,Mo,1
Ru,Mo,1
Os,Mo,1
Ir,Mo,1
S,Ru,4
Fe,Ru,2
Ni,Ru,1
As,Ru,7
Se,Ru,1
Mo,Ru,1
Ru,Ru,15
Rh,Ru,1
Os,Ru,9
Ir,Ru,8
Pt,Ru,1
S,Rh,1
As,Rh,1
Ru,Rh,1
Rh,Rh,1
Ir,Rh,1
Pt,Rh,1
S,Os,2
Fe,Os,2
As,Os,4
Mo,Os,1
Ru,Os,9
Os,Os,9
Ir,Os,5
S,Ir,1
Fe,Ir,2
As,Ir,2
Mo,Ir,1
Ru,Ir,8
Rh,Ir,1
Os,Ir,5
Ir,Ir,8
Pt,Ir,1
S,Pt,1
As,Pt,1
Ru,Pt,1
Rh,Pt,1
Ir,Pt,1
Pt,Pt,1
