from,to,weight
H,H,553
H,Li,1
H,B,9
H,C,36
H,N,55
H,O,553
H,F,28
H,Na,109
H,Mg,68
H,Al,151
H,Si,43
H,P,27
H,S,553
H,Cl,36
H,K,69
H,Ca,99
H,Ti,3
H,V,12
H,Cr,6
H,Mn,28
H,Fe,134
H,Co,12
H,Ni,21
H,Cu,96
H,Zn,58
H,Ga,1
H,Ge,4
H,As,23
H,Se,3
H,Br,1
H,Sr,5
H,Y,8
H,Zr,1
H,Nb,3
H,Mo,7
H,Ag,1
H,Cd,8
H,Sn,1
H,Sb,10
H,Te,9
H,I,2
H,Ba,6
H,La,3
H,Ce,5
H,Nd,5
H,Gd,1
H,Dy,1
H,W,1
H,Hg,4
H,Tl,4
H,Pb,57
H,Bi,4
H,Th,1
H,U,62
Li,H,1
Li,Li,1
Li,O,1
Li,Na,1
Li,S,1
Li,K,1
Li,U,1
Be,Be,3
Be,O,3
Be,Si,3
Be,S,3
Be,Mn,1
Be,Fe,1
Be,Zn,1
B,H,9
B,B,9
B,O,9
B,F,2
B,Na,3
B,Mg,1
B,Al,3
B,Si,3
B,S,9
B,Cl,2
B,K,1
B,Ca,8
B,Fe,2
B,Sr,1
C,H,36
C,C,47
C,N,2
C,O,47
C,F,3
C,Na,17
C,Mg,8
C,Al,12
C,Si,11
C,P,2
C,S,47
C,Cl,6
C,K,4
C,Ca,14
C,Cr,1
C,Mn,7
C,Fe,4
C,Co,1
C,Ni,1
C,Cu,5
C,Zn,4
C,Ge,1
C,As,1
C,Sr,1
C,Y,3
C,Ba,1
C,La,3
C,Ce,3
C,Nd,3
C,Gd,1
C,Dy,1
C,Pb,8
C,U,2
N,H,55
N,C,2
N,N,55
N,O,55
N,F,1
N,Na,16
N,Mg,4
N,Al,12
N,S,55
N,Cl,7
N,K,9
N,Ca,2
N,V,1
N,Mn,1
N,Fe,16
N,Co,1
N,Ni,4
N,Cu,3
N,Zn,1
N,As,1
N,Br,1
N,Mo,2
N,Sb,1
N,I,1
N,Hg,4
N,Pb,1
N,Bi,1
N,U,9
O,H,553
O,Li,1
O,Be,3
O,B,9
O,C,47
O,N,55
O,O,691
O,F,42
O,Na,166
O,Mg,80
O,Al,171
O,Si,68
O,P,30
O,S,691
O,Cl,66
O,K,117
O,Ca,129
O,Ti,5
O,V,14
O,Cr,8
O,Mn,34
O,Fe,149
O,Co,12
O,Ni,21
O,Cu,126
O,Zn,65
O,Ga,1
O,Ge,4
O,As,25
O,Se,4
O,Br,1
O,Sr,7
O,Y,9
O,Zr,1
O,Nb,3
O,Mo,9
O,Ag,3
O,Cd,8
O,Sn,1
O,Sb,20
O,Te,15
O,I,3
O,Cs,1
O,Ba,11
O,La,3
O,Ce,6
O,Nd,5
O,Gd,1
O,Dy,1
O,W,1
O,Hg,7
O,Tl,5
O,Pb,80
O,Bi,11
O,Th,1
O,U,62
F,H,28
F,B,2
F,C,3
F,N,1
F,O,42
F,F,42
F,Na,16
F,Mg,8
F,Al,22
F,Si,8
F,P,3
F,S,42
F,Cl,10
F,K,7
F,Ca,20
F,Ti,1
F,Cr,1
F,Mn,3
F,Fe,1
F,Y,4
F,Ba,2
F,Ce,2
F,Nd,1
F,Gd,1
F,Dy,1
F,Pb,3
F,U,3
Na,H,109
Na,Li,1
Na,B,3
Na,C,17
Na,N,16
Na,O,166
Na,F,16
Na,Na,168
Na,Mg,19
Na,Al,47
Na,Si,35
Na,P,4
Na,S,168
Na,Cl,34
Na,K,54
Na,Ca,49
Na,Ti,3
Na,V,1
Na,Cr,2
Na,Mn,6
Na,Fe,19
Na,Co,3
Na,Ni,1
Na,Cu,14
Na,Zn,6
Na,As,3
Na,Sr,1
Na,Y,3
Na,Mo,1
Na,Sb,3
Na,I,2
Na,Ba,4
Na,Ce,1
Na,Nd,1
Na,Gd,1
Na,Dy,1
Na,Pb,3
Na,Bi,3
Na,U,21
Mg,H,68
Mg,B,1
Mg,C,8
Mg,N,4
Mg,O,80
Mg,F,8
Mg,Na,19
Mg,Mg,83
Mg,Al,21
Mg,Si,2
Mg,P,1
Mg,S,83
Mg,Cl,6
Mg,K,16
Mg,Ca,10
Mg,V,1
Mg,Cr,1
Mg,Mn,8
Mg,Fe,21
Mg,Co,1
Mg,Ni,4
Mg,Cu,8
Mg,Zn,6
Mg,Nb,2
Mg,Mo,2
Mg,I,1
Mg,Ba,1
Mg,W,1
Mg,Pb,2
Mg,U,6
Al,H,151
Al,B,3
Al,C,12
Al,N,12
Al,O,171
Al,F,22
Al,Na,47
Al,Mg,21
Al,Al,171
Al,Si,42
Al,P,14
Al,S,171
Al,Cl,21
Al,K,40
Al,Ca,54
Al,V,2
Al,Cr,1
Al,Mn,6
Al,Fe,26
Al,Co,1
Al,Ni,6
Al,Cu,23
Al,Zn,8
Al,As,7
Al,Sr,2
