from,to,weight
H,H,38
H,N,1
H,O,38
H,F,1
H,Na,7
H,Mg,2
H,Al,6
H,Si,3
H,S,10
H,Cl,3
H,K,3
H,Ca,6
H,Ti,4
H,V,1
H,Mn,3
H,Fe,8
H,Ni,2
H,Cu,7
H,Zn,5
H,As,14
H,Sb,38
H,Te,1
H,Ta,1
H,Hg,1
H,Pb,4
Be,Be,2
Be,O,2
Be,Na,1
Be,Mg,1
Be,Al,1
Be,Si,1
Be,Ca,1
Be,Fe,1
Be,Sb,2
B,B,3
B,O,3
B,Mg,3
B,Al,1
B,Mn,3
B,Fe,2
B,Sb,3
N,H,1
N,N,1
N,O,1
N,S,1
N,K,1
N,As,1
N,Sb,1
O,H,38
O,Be,2
O,B,3
O,N,1
O,O,99
O,F,1
O,Na,11
O,Mg,9
O,Al,10
O,Si,8
O,S,20
O,Cl,10
O,K,3
O,Ca,18
O,Ti,5
O,V,2
O,Mn,17
O,Fe,25
O,Ni,3
O,Cu,10
O,Zn,7
O,As,21
O,Br,1
O,Zr,2
O,Nb,3
O,Mo,1
O,Ag,2
O,Sn,2
O,Sb,99
O,Te,2
O,Cs,1
O,Ta,5
O,W,2
O,Hg,2
O,Pb,16
O,Bi,1
F,H,1
F,O,1
F,F,1
F,Na,1
F,Ca,1
F,Sb,1
Na,H,7
Na,Be,1
Na,O,11
Na,F,1
Na,Na,11
Na,S,3
Na,Cl,1
Na,K,2
Na,Ca,1
Na,Ti,1
Na,Cu,1
Na,As,3
Na,Sb,11
Na,Cs,1
Na,Ta,2
Na,Pb,1
Mg,H,2
Mg,Be,1
Mg,B,3
Mg,O,9
Mg,Mg,9
Mg,Al,3
Mg,Si,2
Mg,Ca,1
Mg,Mn,5
Mg,Fe,5
Mg,Zn,1
Mg,Sb,9
Al,H,6
Al,Be,1
Al,B,1
Al,O,10
Al,Mg,3
Al,Al,10
Al,Si,2
Al,S,2
Al,Cl,1
Al,Ca,2
Al,Ti,1
Al,V,1
Al,Mn,2
Al,Fe,4
Al,Cu,3
Al,Zn,1
Al,As,1
Al,Sn,1
Al,Sb,10
Al,Pb,1
Si,H,3
Si,Be,1
Si,O,8
Si,Mg,2
Si,Al,2
Si,Si,8
Si,Ca,1
Si,Mn,6
Si,Fe,4
Si,Zn,1
Si,As,1
Si,Sb,8
S,H,10
S,N,1
S,O,20
S,Na,3
S,Al,2
S,S,192
S,Cl,6
S,K,4
S,Ca,2
S,V,3
S,Cr,1
S,Mn,11
S,Fe,20
S,Co,4
S,Ni,9
S,Cu,53
S,Zn,7
S,As,63
S,Se,1
S,Mo,1
S,Rh,1
S,Ag,68
S,Cd,2
S,In,1
S,Sn,8
S,Sb,192
S,Te,5
S,Ir,1
S,Au,4
S,Hg,14
S,Tl,34
S,Pb,93
S,Bi,18
Cl,H,3
Cl,O,10
Cl,Na,1
Cl,Al,1
Cl,S,6
Cl,Cl,13
Cl,Ca,2
Cl,Cu,4
Cl,As,4
Cl,Br,1
Cl,Ag,1
Cl,Sb,13
Cl,Te,1
Cl,Hg,1
Cl,Pb,9
K,H,3
K,N,1
K,O,3
K,Na,2
K,S,4
K,K,4
K,Cu,1
K,As,1
K,Sb,4
K,Tl,1
K,Pb,1
Ca,H,6
Ca,Be,1
Ca,O,18
Ca,F,1
Ca,Na,1
Ca,Mg,1
Ca,Al,2
Ca,Si,1
Ca,S,2
Ca,Cl,2
Ca,Ca,18
Ca,Ti,2
Ca,Mn,2
Ca,Fe,5
Ca,Cu,2
Ca,As,4
Ca,Zr,2
Ca,Sn,2
Ca,Sb,18
Ca,Te,1
Ca,Ta,1
Ca,Pb,1
Ti,H,4
Ti,O,5
Ti,Na,1
Ti,Al,1
Ti,Ca,2
Ti,Ti,5
Ti,V,1
Ti,Mn,1
Ti,Fe,2
Ti,Cu,1
Ti,As,2
Ti,Zr,1
Ti,Sb,5
V,H,1
V,O,2
V,Al,1
V,S,3
V,Ti,1
V,V,5
V,Fe,1
V,Cu,2
V,As,3
V,Mo,1
V,Sn,2
V,Sb,5
V,Pb,1
Cr,S,1
Cr,Cr,1
Cr,Cu,1
Cr,Zn,1
Cr,Sb,1
Mn,H,3
Mn,B,3
Mn,O,17
Mn,Mg,5
Mn,Al,2
Mn,Si,6
Mn,S,11
Mn,Ca,2
Mn,Ti,1
Mn,Mn,28
Mn,Fe,9
Mn,Cu,1
Mn,Zn,1
Mn,As,7
Mn,Zr,1
Mn,Ag,5
Mn,Cd,1
Mn,In,1
Mn,Sn,1
Mn,Sb,28
Mn,Hg,1
Mn,Tl,1
Mn,Pb,7
Fe,H,8
Fe,Be,1
Fe,B,2
Fe,O,25
Fe,Mg,5
Fe,Al,4
Fe,Si,4
Fe,S,20
Fe,Ca,5
Fe,Ti,2
Fe,V,1
Fe,Mn,9
Fe,Fe,45
Fe,Ni,2
Fe,Cu,8
Fe,Zn,2
Fe,As,9
Fe,Se,1
Fe,Zr,1
Fe,Ag,8
Fe,Cd,1
Fe,In,1
Fe,Sn,5
Fe,Sb,45
Fe,Hg,1
Fe,Tl,3
Fe,Pb,9
Fe,Bi,3
Co,S,4
Co,Co,6
Co,Ni,1
Co,As,2
Co,Sb,6
Ni,H,2
Ni,O,3
Ni,S,9
Ni,Fe,2
Ni,Co,1
Ni,Ni,17
Ni,Cu,4
Ni,As,3
Ni,Sb,17
Ni,Te,1
Ni,Pb,1
Ni,Bi,2
Cu,H,7
Cu,O,10
Cu,Na,1
Cu,Al,3
Cu,S,53
Cu,Cl,4
Cu,K,1
Cu,Ca,2
Cu,Ti,1
Cu,V,2
Cu,Cr,1
Cu,Mn,1
Cu,Fe,8
Cu,Ni,4
Cu,Cu,72
Cu,Zn,9
Cu,As,18
Cu,Se,10
Cu,Rh,1
Cu,Ag,19
Cu,Cd,2
Cu,Sn,5
Cu,Sb,72
Cu,Te,4
Cu,Ir,1
Cu,Hg,9
Cu,Tl,7
Cu,Pb,20
Cu,Bi,8
Zn,H,5
Zn,O,7
Zn,Mg,1
Zn,Al,1
Zn,Si,1
Zn,S,7
Zn,Cr,1
Zn,Mn,1
Zn,Fe,2
Zn,Cu,9
Zn,Zn,15
Zn,As,5
Zn,Se,1
Zn,Ag,5
Zn,Sb,15
Zn,Te,1
Zn,Hg,2
Zn,Tl,2
Zn,Pb,1
As,H,14
As,N,1
As,O,21
As,Na,3
As,Al,1
As,Si,1
As,S,63
As,Cl,4
As,K,1
As,Ca,4
As,Ti,2
As,V,3
As,Mn,7
As,Fe,9
As,Co,2
As,Ni,3
As,Cu,18
As,Zn,5
As,As,90
As,Se,1
As,Mo,1
As,Pd,4
As,Ag,24
As,Sn,3
As,Sb,90
As,Te,2
As,Hg,5
As,Tl,24
As,Pb,33
As,Bi,1
Se,S,1
Se,Fe,1
Se,Cu,10
Se,Zn,1
Se,As,1
Se,Se,13
Se,Pd,1
Se,Ag,2
Se,Cd,1
Se,Sb,13
Se,Te,1
Se,Hg,2
Br,O,1
Br,Cl,1
Br,Br,1
Br,Sb,1
Br,Hg,1
Zr,O,2
Zr,Ca,2
Zr,Ti,1
Zr,Mn,1
Zr,Fe,1
Zr,Zr,2
Zr,Sb,2
Nb,O,3
Nb,Nb,3
Nb,Sb,3
Nb,Ta,2
Nb,W,1
Mo,O,1
Mo,S,1
Mo,V,1
Mo,As,1
Mo,Mo,2
Mo,Sb,2
Mo,Pb,1
Rh,S,1
Rh,Cu,1
Rh,Rh,3
Rh,Sb,3
Rh,Ir,1
Pd,As,4
Pd,Se,1
Pd,Pd,11
Pd,Sn,1
Pd,Sb,11
Pd,Te,1
Ag,O,2
Ag,S,68
Ag,Cl,1
Ag,Mn,5
Ag,Fe,8
Ag,Cu,19
Ag,Zn,5
Ag,As,24
Ag,Se,2
Ag,Ag,73
Ag,Cd,2
Ag,In,1
Ag,Sb,73
Ag,Te,4
Ag,Au,3
Ag,Hg,6
Ag,Tl,13
Ag,Pb,38
Ag,Bi,8
Cd,S,2
Cd,Mn,1
Cd,Fe,1
Cd,Cu,2
Cd,Se,1
Cd,Ag,2
Cd,Cd,3
Cd,In,1
Cd,Sb,3
Cd,Pb,1
In,S,1
In,Mn,1
In,Fe,1
In,Ag,1
In,Cd,1
In,In,1
In,Sb,1
In,Pb,1
Sn,O,2
Sn,Al,1
Sn,S,8
Sn,Ca,2
Sn,V,2
Sn,Mn,1
Sn,Fe,5
Sn,Cu,5
Sn,As,3
Sn,Pd,1
Sn,Sn,13
Sn,Sb,13
Sn,Pb,5
Sn,Bi,1
Sb,H,38
Sb,Be,2
Sb,B,3
Sb,N,1
Sb,O,99
Sb,F,1
Sb,Na,11
Sb,Mg,9
Sb,Al,10
Sb,Si,8
Sb,S,192
Sb,Cl,13
Sb,K,4
Sb,Ca,18
Sb,Ti,5
Sb,V,5
Sb,Cr,1
Sb,Mn,28
Sb,Fe,45
Sb,Co,6
Sb,Ni,17
Sb,Cu,72
Sb,Zn,15
Sb,As,90
Sb,Se,13
Sb,Br,1
Sb,Zr,2
Sb,Nb,3
Sb,Mo,2
Sb,Rh,3
Sb,Pd,11
Sb,Ag,73
Sb,Cd,3
Sb,In,1
Sb,Sn,13
Sb,Sb,320
Sb,Te,14
Sb,Cs,1
Sb,Ta,5
Sb,W,2
Sb,Ir,2
Sb,Pt,4
Sb,Au,7
Sb,Hg,19
Sb,Tl,35
Sb,Pb,104
Sb,Bi,21
Te,H,1
Te,O,2
Te,S,5
Te,Cl,1
Te,Ca,1
Te,Ni,1
Te,Cu,4
Te,Zn,1
Te,As,2
Te,Se,1
Te,Pd,1
Te,Ag,4
Te,Sb,14
Te,Te,14
Te,Au,4
Te,Hg,1
Te,Pb,6
Te,Bi,1
Cs,O,1
Cs,Na,1
Cs,Sb,1
Cs,Cs,1
Cs,Ta,1
Cs,Pb,1
Ta,H,1
Ta,O,5
Ta,Na,2
Ta,Ca,1
Ta,Nb,2
Ta,Sb,5
Ta,Cs,1
Ta,Ta,5
Ta,Pb,1
W,O,2
W,Nb,1
W,Sb,2
W,W,2
Ir,S,1
Ir,Cu,1
Ir,Rh,1
Ir,Sb,2
Ir,Ir,2
Pt,Sb,4
Pt,Pt,4
Pt,Bi,1
Au,S,4
Au,Ag,3
Au,Sb,7
Au,Te,4
Au,Au,7
Au,Tl,2
Au,Pb,3
Au,Bi,1
Hg,H,1
Hg,O,2
Hg,S,14
Hg,Cl,1
Hg,Mn,1
Hg,Fe,1
Hg,Cu,9
Hg,Zn,2
Hg,As,5
Hg,Se,2
Hg,Br,1
Hg,Ag,6
Hg,Sb,19
Hg,Te,1
Hg,Hg,19
Hg,Tl,6
Hg,Pb,5
Tl,S,34
Tl,K,1
Tl,Mn,1
Tl,Fe,3
Tl,Cu,7
Tl,Zn,2
Tl,As,24
Tl,Ag,13
Tl,Sb,35
Tl,Au,2
Tl,Hg,6
Tl,Tl,35
Tl,Pb,12
Pb,H,4
Pb,O,16
Pb,Na,1
Pb,Al,1
Pb,S,93
Pb,Cl,9
Pb,K,1
Pb,Ca,1
Pb,V,1
Pb,Mn,7
Pb,Fe,9
Pb,Ni,1
Pb,Cu,20
Pb,Zn,1
Pb,As,33
Pb,Mo,1
Pb,Ag,38
Pb,Cd,1
Pb,In,1
Pb,Sn,5
Pb,Sb,104
Pb,Te,6
Pb,Cs,1
Pb,Ta,1
Pb,Au,3
Pb,Hg,5
Pb,Tl,12
Pb,Pb,104
Pb,Bi,15
Bi,O,1
Bi,S,18
Bi,Fe,3
Bi,Ni,2
Bi,Cu,8
Bi,As,1
Bi,Ag,8
Bi,Sn,1
Bi,Sb,21
Bi,Te,1
Bi,Pt,1
Bi,Au,1
Bi,Pb,15
Bi,Bi,21
H,H,38
N,H,1
O,H,38
F,H,1
Na,H,7
Mg,H,2
Al,H,6
Si,H,3
S,H,10
Cl,H,3
K,H,3
Ca,H,6
Ti,H,4
V,H,1
Mn,H,3
Fe,H,8
Ni,H,2
Cu,H,7
Zn,H,5
As,H,14
Sb,H,38
Te,H,1
Ta,H,1
Hg,H,1
Pb,H,4
Be,Be,2
O,Be,2
Na,Be,1
Mg,Be,1
Al,Be,1
Si,Be,1
Ca,Be,1
Fe,Be,1
Sb,Be,2
B,B,3
O,B,3
Mg,B,3
Al,B,1
Mn,B,3
Fe,B,2
Sb,B,3
H,N,1
N,N,1
O,N,1
S,N,1
K,N,1
As,N,1
Sb,N,1
H,O,38
Be,O,2
B,O,3
N,O,1
O,O,99
F,O,1
Na,O,11
Mg,O,9
Al,O,10
Si,O,8
S,O,20
Cl,O,10
K,O,3
Ca,O,18
Ti,O,5
V,O,2
Mn,O,17
Fe,O,25
Ni,O,3
Cu,O,10
Zn,O,7
As,O,21
Br,O,1
Zr,O,2
Nb,O,3
Mo,O,1
Ag,O,2
Sn,O,2
Sb,O,99
Te,O,2
Cs,O,1
Ta,O,5
W,O,2
Hg,O,2
Pb,O,16
Bi,O,1
H,F,1
O,F,1
F,F,1
Na,F,1
Ca,F,1
Sb,F,1
H,Na,7
Be,Na,1
O,Na,11
F,Na,1
Na,Na,11
S,Na,3
Cl,Na,1
K,Na,2
Ca,Na,1
Ti,Na,1
Cu,Na,1
As,Na,3
Sb,Na,11
Cs,Na,1
Ta,Na,2
Pb,Na,1
H,Mg,2
Be,Mg,1
B,Mg,3
O,Mg,9
Mg,Mg,9
Al,Mg,3
Si,Mg,2
Ca,Mg,1
Mn,Mg,5
Fe,Mg,5
Zn,Mg,1
Sb,Mg,9
H,Al,6
Be,Al,1
B,Al,1
O,Al,10
Mg,Al,3
Al,Al,10
Si,Al,2
S,Al,2
Cl,Al,1
Ca,Al,2
Ti,Al,1
V,Al,1
Mn,Al,2
Fe,Al,4
Cu,Al,3
Zn,Al,1
As,Al,1
Sn,Al,1
Sb,Al,10
Pb,Al,1
H,Si,3
Be,Si,1
O,Si,8
Mg,Si,2
Al,Si,2
Si,Si,8
Ca,Si,1
Mn,Si,6
Fe,Si,4
Zn,Si,1
As,Si,1
Sb,Si,8
H,S,10
N,S,1
O,S,20
Na,S,3
Al,S,2
S,S,192
Cl,S,6
K,S,4
Ca,S,2
V,S,3
Cr,S,1
Mn,S,11
Fe,S,20
Co,S,4
Ni,S,9
Cu,S,53
Zn,S,7
As,S,63
Se,S,1
Mo,S,1
Rh,S,1
Ag,S,68
Cd,S,2
In,S,1
Sn,S,8
Sb,S,192
Te,S,5
Ir,S,1
Au,S,4
Hg,S,14
Tl,S,34
Pb,S,93
Bi,S,18
H,Cl,3
O,Cl,10
Na,Cl,1
Al,Cl,1
S,Cl,6
Cl,Cl,13
Ca,Cl,2
Cu,Cl,4
As,Cl,4
Br,Cl,1
Ag,Cl,1
Sb,Cl,13
Te,Cl,1
Hg,Cl,1
Pb,Cl,9
H,K,3
N,K,1
O,K,3
Na,K,2
S,K,4
K,K,4
Cu,K,1
As,K,1
Sb,K,4
Tl,K,1
Pb,K,1
H,Ca,6
Be,Ca,1
O,Ca,18
F,Ca,1
Na,Ca,1
Mg,Ca,1
Al,Ca,2
Si,Ca,1
S,Ca,2
Cl,Ca,2
Ca,Ca,18
Ti,Ca,2
Mn,Ca,2
Fe,Ca,5
Cu,Ca,2
As,Ca,4
Zr,Ca,2
Sn,Ca,2
Sb,Ca,18
Te,Ca,1
Ta,Ca,1
Pb,Ca,1
H,Ti,4
O,Ti,5
Na,Ti,1
Al,Ti,1
Ca,Ti,2
Ti,Ti,5
V,Ti,1
Mn,Ti,1
Fe,Ti,2
Cu,Ti,1
As,Ti,2
Zr,Ti,1
Sb,Ti,5
H,V,1
O,V,2
Al,V,1
S,V,3
Ti,V,1
V,V,5
Fe,V,1
Cu,V,2
As,V,3
Mo,V,1
Sn,V,2
Sb,V,5
Pb,V,1
S,Cr,1
Cr,Cr,1
Cu,Cr,1
Zn,Cr,1
Sb,Cr,1
H,Mn,3
B,Mn,3
O,Mn,17
Mg,Mn,5
Al,Mn,2
Si,Mn,6
S,Mn,11
Ca,Mn,2
Ti,Mn,1
Mn,Mn,28
Fe,Mn,9
Cu,Mn,1
Zn,Mn,1
As,Mn,7
Zr,Mn,1
Ag,Mn,5
Cd,Mn,1
In,Mn,1
Sn,Mn,1
Sb,Mn,28
Hg,Mn,1
Tl,Mn,1
Pb,Mn,7
H,Fe,8
Be,Fe,1
B,Fe,2
O,Fe,25
Mg,Fe,5
Al,Fe,4
Si,Fe,4
S,Fe,20
Ca,Fe,5
Ti,Fe,2
V,Fe,1
Mn,Fe,9
Fe,Fe,45
Ni,Fe,2
Cu,Fe,8
Zn,Fe,2
As,Fe,9
Se,Fe,1
Zr,Fe,1
Ag,Fe,8
Cd,Fe,1
In,Fe,1
Sn,Fe,5
Sb,Fe,45
Hg,Fe,1
Tl,Fe,3
Pb,Fe,9
Bi,Fe,3
S,Co,4
Co,Co,6
Ni,Co,1
As,Co,2
Sb,Co,6
H,Ni,2
O,Ni,3
S,Ni,9
Fe,Ni,2
Co,Ni,1
Ni,Ni,17
Cu,Ni,4
As,Ni,3
Sb,Ni,17
Te,Ni,1
Pb,Ni,1
Bi,Ni,2
H,Cu,7
O,Cu,10
Na,Cu,1
Al,Cu,3
S,Cu,53
Cl,Cu,4
K,Cu,1
Ca,Cu,2
Ti,Cu,1
V,Cu,2
Cr,Cu,1
Mn,Cu,1
Fe,Cu,8
Ni,Cu,4
Cu,Cu,72
Zn,Cu,9
As,Cu,18
Se,Cu,10
Rh,Cu,1
Ag,Cu,19
Cd,Cu,2
Sn,Cu,5
Sb,Cu,72
Te,Cu,4
Ir,Cu,1
Hg,Cu,9
Tl,Cu,7
Pb,Cu,20
Bi,Cu,8
H,Zn,5
O,Zn,7
Mg,Zn,1
Al,Zn,1
Si,Zn,1
S,Zn,7
Cr,Zn,1
Mn,Zn,1
Fe,Zn,2
Cu,Zn,9
Zn,Zn,15
As,Zn,5
Se,Zn,1
Ag,Zn,5
Sb,Zn,15
Te,Zn,1
Hg,Zn,2
Tl,Zn,2
Pb,Zn,1
H,As,14
N,As,1
O,As,21
Na,As,3
Al,As,1
Si,As,1
S,As,63
Cl,As,4
K,As,1
Ca,As,4
Ti,As,2
V,As,3
Mn,As,7
Fe,As,9
Co,As,2
Ni,As,3
Cu,As,18
Zn,As,5
As,As,90
Se,As,1
Mo,As,1
Pd,As,4
Ag,As,24
Sn,As,3
Sb,As,90
Te,As,2
Hg,As,5
Tl,As,24
Pb,As,33
Bi,As,1
S,Se,1
Fe,Se,1
Cu,Se,10
Zn,Se,1
As,Se,1
Se,Se,13
Pd,Se,1
Ag,Se,2
Cd,Se,1
Sb,Se,13
Te,Se,1
Hg,Se,2
O,Br,1
Cl,Br,1
Br,Br,1
Sb,Br,1
Hg,Br,1
O,Zr,2
Ca,Zr,2
Ti,Zr,1
Mn,Zr,1
Fe,Zr,1
Zr,Zr,2
Sb,Zr,2
O,Nb,3
Nb,Nb,3
Sb,Nb,3
Ta,Nb,2
W,Nb,1
O,Mo,1
S,Mo,1
V,Mo,1
As,Mo,1
Mo,Mo,2
Sb,Mo,2
Pb,Mo,1
S,Rh,1
Cu,Rh,1
Rh,Rh,3
Sb,Rh,3
Ir,Rh,1
As,Pd,4
Se,Pd,1
Pd,Pd,11
Sn,Pd,1
Sb,Pd,11
Te,Pd,1
O,Ag,2
S,Ag,68
Cl,Ag,1
Mn,Ag,5
Fe,Ag,8
Cu,Ag,19
Zn,Ag,5
As,Ag,24
Se,Ag,2
Ag,Ag,73
Cd,Ag,2
In,Ag,1
Sb,Ag,73
Te,Ag,4
Au,Ag,3
Hg,Ag,6
Tl,Ag,13
Pb,Ag,38
Bi,Ag,8
S,Cd,2
Mn,Cd,1
Fe,Cd,1
Cu,Cd,2
Se,Cd,1
Ag,Cd,2
Cd,Cd,3
In,Cd,1
Sb,Cd,3
Pb,Cd,1
S,In,1
Mn,In,1
Fe,In,1
Ag,In,1
Cd,In,1
In,In,1
Sb,In,1
Pb,In,1
O,Sn,2
Al,Sn,1
S,Sn,8
Ca,Sn,2
V,Sn,2
Mn,Sn,1
Fe,Sn,5
Cu,Sn,5
As,Sn,3
Pd,Sn,1
Sn,Sn,13
Sb,Sn,13
Pb,Sn,5
Bi,Sn,1
H,Sb,38
Be,Sb,2
B,Sb,3
N,Sb,1
O,Sb,99
F,Sb,1
Na,Sb,11
Mg,Sb,9
Al,Sb,10
Si,Sb,8
S,Sb,192
Cl,Sb,13
K,Sb,4
Ca,Sb,18
Ti,Sb,5
V,Sb,5
Cr,Sb,1
Mn,Sb,28
Fe,Sb,45
Co,Sb,6
Ni,Sb,17
Cu,Sb,72
Zn,Sb,15
As,Sb,90
Se,Sb,13
Br,Sb,1
Zr,Sb,2
Nb,Sb,3
Mo,Sb,2
Rh,Sb,3
Pd,Sb,11
Ag,Sb,73
Cd,Sb,3
In,Sb,1
Sn,Sb,13
Sb,Sb,320
Te,Sb,14
Cs,Sb,1
Ta,Sb,5
W,Sb,2
Ir,Sb,2
Pt,Sb,4
Au,Sb,7
Hg,Sb,19
Tl,Sb,35
Pb,Sb,104
Bi,Sb,21
H,Te,1
O,Te,2
S,Te,5
Cl,Te,1
Ca,Te,1
Ni,Te,1
Cu,Te,4
Zn,Te,1
As,Te,2
Se,Te,1
Pd,Te,1
Ag,Te,4
Sb,Te,14
Te,Te,14
Au,Te,4
Hg,Te,1
Pb,Te,6
Bi,Te,1
O,Cs,1
Na,Cs,1
Sb,Cs,1
Cs,Cs,1
Ta,Cs,1
Pb,Cs,1
H,Ta,1
O,Ta,5
Na,Ta,2
Ca,Ta,1
Nb,Ta,2
Sb,Ta,5
Cs,Ta,1
Ta,Ta,5
Pb,Ta,1
O,W,2
Nb,W,1
Sb,W,2
W,W,2
S,Ir,1
Cu,Ir,1
Rh,Ir,1
Sb,Ir,2
Ir,Ir,2
Sb,Pt,4
Pt,Pt,4
Bi,Pt,1
S,Au,4
Ag,Au,3
Sb,Au,7
Te,Au,4
Au,Au,7
Tl,Au,2
Pb,Au,3
Bi,Au,1
H,Hg,1
O,Hg,2
S,Hg,14
Cl,Hg,1
Mn,Hg,1
Fe,Hg,1
Cu,Hg,9
Zn,Hg,2
As,Hg,5
Se,Hg,2
Br,Hg,1
Ag,Hg,6
Sb,Hg,19
Te,Hg,1
Hg,Hg,19
Tl,Hg,6
Pb,Hg,5
S,Tl,34
K,Tl,1
Mn,Tl,1
Fe,Tl,3
Cu,Tl,7
Zn,Tl,2
As,Tl,24
Ag,Tl,13
Sb,Tl,35
Au,Tl,2
Hg,Tl,6
Tl,Tl,35
Pb,Tl,12
H,Pb,4
O,Pb,16
Na,Pb,1
Al,Pb,1
S,Pb,93
Cl,Pb,9
K,Pb,1
Ca,Pb,1
V,Pb,1
Mn,Pb,7
Fe,Pb,9
Ni,Pb,1
Cu,Pb,20
Zn,Pb,1
As,Pb,33
Mo,Pb,1
Ag,Pb,38
Cd,Pb,1
In,Pb,1
Sn,Pb,5
Sb,Pb,104
Te,Pb,6
Cs,Pb,1
Ta,Pb,1
Au,Pb,3
Hg,Pb,5
Tl,Pb,12
Pb,Pb,104
Bi,Pb,15
O,Bi,1
S,Bi,18
Fe,Bi,3
Ni,Bi,2
Cu,Bi,8
As,Bi,1
Ag,Bi,8
Sn,Bi,1
Sb,Bi,21
Te,Bi,1
Pt,Bi,1
Au,Bi,1
Pb,Bi,15
Bi,Bi,21
