from,to,weight
H,H,8
H,O,8
H,Na,1
H,Mg,3
H,Si,4
H,P,3
H,Ca,5
H,Sc,8
H,Mn,1
H,Fe,1
H,As,1
H,Sn,1
H,Ba,1
Be,Be,2
Be,O,2
Be,Si,2
Be,K,1
Be,Sc,2
O,H,8
O,Be,2
O,O,22
O,Na,2
O,Mg,4
O,Al,3
O,Si,10
O,P,4
O,K,1
O,Ca,9
O,Sc,22
O,Ti,1
O,Mn,1
O,Fe,1
O,As,1
O,Y,1
O,Zr,2
O,Nb,2
O,Sn,1
O,Ba,1
O,Ta,1
Na,H,1
Na,O,2
Na,Na,2
Na,Mg,1
Na,Si,2
Na,Ca,1
Na,Sc,2
Mg,H,3
Mg,O,4
Mg,Na,1
Mg,Mg,4
Mg,Al,1
Mg,Si,1
Mg,P,2
Mg,Ca,3
Mg,Sc,4
Mg,Ti,1
Mg,Zr,1
Mg,Ba,1
Al,O,3
Al,Mg,1
Al,Al,3
Al,Si,1
Al,Ca,3
Al,Sc,3
Al,Ti,1
Al,Zr,1
Si,H,4
Si,Be,2
Si,O,10
Si,Na,2
Si,Mg,1
Si,Al,1
Si,Si,10
Si,K,1
Si,Ca,6
Si,Sc,10
Si,Mn,1
Si,Fe,1
Si,Sn,1
P,H,3
P,O,4
P,Mg,2
P,P,4
P,Ca,1
P,Sc,4
P,Ba,1
K,Be,1
K,O,1
K,Si,1
K,K,1
K,Sc,1
Ca,H,5
Ca,O,9
Ca,Na,1
Ca,Mg,3
Ca,Al,3
Ca,Si,6
Ca,P,1
Ca,Ca,9
Ca,Sc,9
Ca,Ti,1
Ca,Mn,1
Ca,Fe,1
Ca,Zr,1
Ca,Sn,1
Sc,H,8
Sc,Be,2
Sc,O,22
Sc,Na,2
Sc,Mg,4
Sc,Al,3
Sc,Si,10
Sc,P,4
Sc,K,1
Sc,Ca,9
Sc,Sc,22
Sc,Ti,1
Sc,Mn,1
Sc,Fe,1
Sc,As,1
Sc,Y,1
Sc,Zr,2
Sc,Nb,2
Sc,Sn,1
Sc,Ba,1
Sc,Ta,1
Ti,O,1
Ti,Mg,1
Ti,Al,1
Ti,Ca,1
Ti,Sc,1
Ti,Ti,1
Ti,Zr,1
Mn,H,1
Mn,O,1
Mn,Si,1
Mn,Ca,1
Mn,Sc,1
Mn,Mn,1
Mn,Fe,1
Fe,H,1
Fe,O,1
Fe,Si,1
Fe,Ca,1
Fe,Sc,1
Fe,Mn,1
Fe,Fe,1
As,H,1
As,O,1
As,Sc,1
As,As,1
Y,O,1
Y,Sc,1
Y,Y,1
Y,Nb,1
Zr,O,2
Zr,Mg,1
Zr,Al,1
Zr,Ca,1
Zr,Sc,2
Zr,Ti,1
Zr,Zr,2
Nb,O,2
Nb,Sc,2
Nb,Y,1
Nb,Nb,2
Sn,H,1
Sn,O,1
Sn,Si,1
Sn,Ca,1
Sn,Sc,1
Sn,Sn,1
Ba,H,1
Ba,O,1
Ba,Mg,1
Ba,P,1
Ba,Sc,1
Ba,Ba,1
Ta,O,1
Ta,Sc,1
Ta,Ta,1
H,H,8
O,H,8
Na,H,1
Mg,H,3
Si,H,4
P,H,3
Ca,H,5
Sc,H,8
Mn,H,1
Fe,H,1
As,H,1
Sn,H,1
Ba,H,1
Be,Be,2
O,Be,2
Si,Be,2
K,Be,1
Sc,Be,2
H,O,8
Be,O,2
O,O,22
Na,O,2
Mg,O,4
Al,O,3
Si,O,10
P,O,4
K,O,1
Ca,O,9
Sc,O,22
Ti,O,1
Mn,O,1
Fe,O,1
As,O,1
Y,O,1
Zr,O,2
Nb,O,2
Sn,O,1
Ba,O,1
Ta,O,1
H,Na,1
O,Na,2
Na,Na,2
Mg,Na,1
Si,Na,2
Ca,Na,1
Sc,Na,2
H,Mg,3
O,Mg,4
Na,Mg,1
Mg,Mg,4
Al,Mg,1
Si,Mg,1
P,Mg,2
Ca,Mg,3
Sc,Mg,4
Ti,Mg,1
Zr,Mg,1
Ba,Mg,1
O,Al,3
Mg,Al,1
Al,Al,3
Si,Al,1
Ca,Al,3
Sc,Al,3
Ti,Al,1
Zr,Al,1
H,Si,4
Be,Si,2
O,Si,10
Na,Si,2
Mg,Si,1
Al,Si,1
Si,Si,10
K,Si,1
Ca,Si,6
Sc,Si,10
Mn,Si,1
Fe,Si,1
Sn,Si,1
H,P,3
O,P,4
Mg,P,2
P,P,4
Ca,P,1
Sc,P,4
Ba,P,1
Be,K,1
O,K,1
Si,K,1
K,K,1
Sc,K,1
H,Ca,5
O,Ca,9
Na,Ca,1
Mg,Ca,3
Al,Ca,3
Si,Ca,6
P,Ca,1
Ca,Ca,9
Sc,Ca,9
Ti,Ca,1
Mn,Ca,1
Fe,Ca,1
Zr,Ca,1
Sn,Ca,1
H,Sc,8
Be,Sc,2
O,Sc,22
Na,Sc,2
Mg,Sc,4
Al,Sc,3
Si,Sc,10
P,Sc,4
K,Sc,1
Ca,Sc,9
Sc,Sc,22
Ti,Sc,1
Mn,Sc,1
Fe,Sc,1
As,Sc,1
Y,Sc,1
Zr,Sc,2
Nb,Sc,2
Sn,Sc,1
Ba,Sc,1
Ta,Sc,1
O,Ti,1
Mg,Ti,1
Al,Ti,1
Ca,Ti,1
Sc,Ti,1
Ti,Ti,1
Zr,Ti,1
H,Mn,1
O,Mn,1
Si,Mn,1
Ca,Mn,1
Sc,Mn,1
Mn,Mn,1
Fe,Mn,1
H,Fe,1
O,Fe,1
Si,Fe,1
Ca,Fe,1
Sc,Fe,1
Mn,Fe,1
