from,to,weight
H,H,26
H,O,26
H,Na,2
H,Mg,1
H,Al,4
H,Si,1
H,S,3
H,Cl,2
H,K,1
H,Ca,3
H,Fe,1
H,Co,1
H,Ni,1
H,Cu,12
H,Se,26
H,Te,1
H,I,1
H,Ba,1
H,Pb,8
H,Bi,1
H,U,8
O,H,26
O,O,42
O,Na,3
O,Mg,1
O,Al,4
O,Si,1
O,S,4
O,Cl,13
O,K,4
O,Ca,3
O,Fe,1
O,Co,1
O,Ni,1
O,Cu,22
O,Zn,3
O,Se,42
O,Cd,1
O,Te,1
O,I,1
O,Ba,1
O,Pb,14
O,Bi,2
O,U,8
Na,H,2
Na,O,3
Na,Na,3
Na,Mg,1
Na,Cl,1
Na,K,2
Na,Cu,1
Na,Se,3
Na,I,1
Na,U,1
Mg,H,1
Mg,O,1
Mg,Na,1
Mg,Mg,1
Mg,K,1
Mg,Se,1
Mg,I,1
Al,H,4
Al,O,4
Al,Al,4
Al,Si,1
Al,Cl,1
Al,Cu,1
Al,Se,4
Si,H,1
Si,O,1
Si,Al,1
Si,Si,1
Si,Se,1
S,H,3
S,O,4
S,S,21
S,Ca,1
S,Fe,2
S,Cu,12
S,As,2
S,Se,21
S,Ag,4
S,Sb,1
S,Te,3
S,Pt,1
S,Au,1
S,Pb,12
S,Bi,12
Cl,H,2
Cl,O,13
Cl,Na,1
Cl,Al,1
Cl,Cl,13
Cl,K,3
Cl,Cu,11
Cl,Zn,2
Cl,Se,13
Cl,Cd,1
Cl,Pb,4
Cl,Bi,1
K,H,1
K,O,4
K,Na,2
K,Mg,1
K,Cl,3
K,K,4
K,Cu,3
K,Zn,1
K,Se,4
K,Cd,1
K,I,1
K,Pb,1
Ca,H,3
Ca,O,3
Ca,S,1
Ca,Ca,3
Ca,Cu,1
Ca,Se,3
Ca,Te,1
Ca,Pb,1
Ca,U,1
Fe,H,1
Fe,O,1
Fe,S,2
Fe,Fe,9
Fe,Cu,5
Fe,As,1
Fe,Se,9
Fe,Ag,1
Fe,Sb,1
Fe,Tl,1
Co,H,1
Co,O,1
Co,Co,6
Co,Ni,2
Co,Cu,2
Co,Se,6
Ni,H,1
Ni,O,1
Ni,Co,2
Ni,Ni,11
Ni,Cu,3
Ni,As,1
Ni,Se,11
Ni,Te,1
Cu,H,12
Cu,O,22
Cu,Na,1
Cu,Al,1
Cu,S,12
Cu,Cl,11
Cu,K,3
Cu,Ca,1
Cu,Fe,5
Cu,Co,2
Cu,Ni,3
Cu,Cu,71
Cu,Zn,3
Cu,As,4
Cu,Se,71
Cu,Pd,2
Cu,Ag,7
Cu,Cd,2
Cu,Sn,1
Cu,Sb,10
Cu,Te,4
Cu,Au,1
Cu,Hg,6
Cu,Tl,3
Cu,Pb,20
Cu,Bi,16
Cu,U,3
Zn,O,3
Zn,Cl,2
Zn,K,1
Zn,Cu,3
Zn,Zn,6
Zn,As,1
Zn,Se,6
Zn,Sb,1
Zn,Pb,1
As,S,2
As,Fe,1
As,Ni,1
As,Cu,4
As,Zn,1
As,As,7
As,Se,7
As,Pd,1
As,Ag,1
As,Sb,1
Se,H,26
Se,O,42
Se,Na,3
Se,Mg,1
Se,Al,4
Se,Si,1
Se,S,21
Se,Cl,13
Se,K,4
Se,Ca,3
Se,Fe,9
Se,Co,6
Se,Ni,11
Se,Cu,71
Se,Zn,6
Se,As,7
Se,Se,150
Se,Mo,1
Se,Ru,1
Se,Rh,1
Se,Pd,11
Se,Ag,15
Se,Cd,3
Se,Sn,2
Se,Sb,13
Se,Te,14
Se,I,1
Se,Ba,1
Se,Pt,4
Se,Au,5
Se,Hg,10
Se,Tl,3
Se,Pb,31
Se,Bi,32
Se,U,8
Mo,Se,1
Mo,Mo,1
Ru,Se,1
Ru,Ru,1
Rh,Se,1
Rh,Rh,1
Pd,Cu,2
Pd,As,1
Pd,Se,11
Pd,Pd,11
Pd,Ag,1
Pd,Sb,1
Pd,Te,1
Pd,Hg,2
Pd,Bi,2
Ag,S,4
Ag,Fe,1
Ag,Cu,7
Ag,As,1
Ag,Se,15
Ag,Pd,1
Ag,Ag,15
Ag,Sb,2
Ag,Te,1
Ag,Au,2
Ag,Tl,1
Ag,Pb,2
Ag,Bi,3
Cd,O,1
Cd,Cl,1
Cd,K,1
Cd,Cu,2
Cd,Se,3
Cd,Cd,3
Cd,Sb,1
Sn,Cu,1
Sn,Se,2
Sn,Sn,2
Sb,S,1
Sb,Fe,1
Sb,Cu,10
Sb,Zn,1
Sb,As,1
Sb,Se,13
Sb,Pd,1
Sb,Ag,2
Sb,Cd,1
Sb,Sb,13
Sb,Te,1
Sb,Hg,2
Te,H,1
Te,O,1
Te,S,3
Te,Ca,1
Te,Ni,1
Te,Cu,4
