from,to,weight
H,H,1073
H,Li,48
H,Be,38
H,B,83
H,C,49
H,N,10
H,O,1071
H,F,122
H,Na,432
H,Mg,223
H,Al,472
H,Si,1073
H,P,18
H,S,43
H,Cl,61
H,K,226
H,Ca,497
H,Sc,4
H,Ti,147
H,V,30
H,Cr,13
H,Mn,233
H,Fe,281
H,Co,1
H,Ni,8
H,Cu,31
H,Zn,37
H,Ge,1
H,As,19
H,Se,1
H,Rb,1
H,Sr,51
H,Y,27
H,Zr,68
H,Nb,74
H,Sn,8
H,Sb,3
H,Cs,9
H,Ba,97
H,La,20
H,Ce,54
H,Nd,7
H,Gd,1
H,Dy,1
H,Er,1
H,Yb,3
H,Ta,1
H,W,5
H,Pb,34
H,Bi,1
H,Th,10
H,U,21
Li,H,48
Li,Li,87
Li,Be,7
Li,B,9
Li,O,87
Li,F,26
Li,Na,36
Li,Mg,15
Li,Al,36
Li,Si,87
Li,K,29
Li,Ca,13
Li,Ti,16
Li,V,2
Li,Mn,15
Li,Fe,20
Li,Cu,1
Li,Zn,2
Li,Rb,2
Li,Zr,3
Li,Sn,2
Li,Cs,6
Li,Ba,1
Li,La,1
Li,Ce,1
Li,Nd,1
Li,Th,1
Be,H,38
Be,Li,7
Be,Be,78
Be,B,8
Be,O,78
Be,F,11
Be,Na,24
Be,Mg,10
Be,Al,28
Be,Si,78
Be,S,3
Be,Cl,3
Be,K,12
Be,Ca,37
Be,Sc,2
Be,Ti,4
Be,Mn,12
Be,Fe,17
Be,Zn,2
Be,As,1
Be,Y,9
Be,Sn,3
Be,Sb,1
Be,Cs,4
Be,Ba,2
Be,La,2
Be,Ce,7
Be,Nd,4
Be,Yb,1
Be,Pb,2
Be,Th,2
Be,U,1
B,H,83
B,Li,9
B,Be,8
B,B,127
B,C,4
B,O,126
B,F,26
B,Na,43
B,Mg,35
B,Al,68
B,Si,127
B,P,3
B,S,3
B,Cl,9
B,K,11
B,Ca,51
B,Ti,9
B,V,4
B,Cr,3
B,Mn,16
B,Fe,31
B,As,3
B,Sr,3
B,Y,13
B,Zr,2
B,Nb,3
B,Sn,1
B,Cs,3
B,Ba,15
B,La,3
B,Ce,13
B,Nd,1
B,Ta,1
B,Pb,5
B,Th,3
B,U,1
C,H,49
C,B,4
C,C,68
C,N,2
C,O,67
C,F,7
C,Na,25
C,Mg,6
C,Al,21
C,Si,68
C,P,6
C,S,11
C,Cl,8
C,K,7
C,Ca,38
C,Ti,4
C,V,2
C,Mn,6
C,Fe,10
C,Cu,2
C,Sr,1
C,Y,4
C,Zr,6
C,Nb,4
C,Ba,8
C,La,2
C,Ce,9
C,Nd,2
C,Gd,1
C,Dy,1
C,Er,1
C,Yb,1
C,W,1
C,Pb,8
C,U,2
N,H,10
N,C,2
N,N,12
N,O,9
N,F,3
N,Mg,1
N,Al,6
N,Si,12
N,K,1
N,Ca,1
N,Fe,1
O,H,1071
O,Li,87
O,Be,78
O,B,126
O,C,67
O,N,9
O,O,1613
O,F,223
O,Na,605
O,Mg,335
O,Al,632
O,Si,1613
O,P,40
O,S,68
O,Cl,95
O,K,324
O,Ca,735
O,Sc,10
O,Ti,240
O,V,46
O,Cr,19
O,Mn,306
O,Fe,419
O,Co,1
O,Ni,9
O,Cu,41
O,Zn,54
O,Ge,1
O,As,28
O,Se,1
O,Rb,3
O,Sr,71
O,Y,59
O,Zr,102
O,Nb,88
O,Mo,2
O,Sn,15
O,Sb,8
O,Te,1
O,Cs,18
O,Ba,151
O,La,35
O,Ce,90
O,Pr,1
O,Nd,13
O,Gd,1
