from,to,weight
H,H,5
H,C,3
H,O,5
H,Al,1
H,P,2
H,Ca,1
H,Cu,1
H,Y,2
H,La,1
H,Ce,1
H,Pr,1
H,Nd,4
H,Sm,5
H,Gd,1
H,Pb,1
H,U,2
C,H,3
C,C,3
C,O,3
C,Ca,1
C,Cu,1
C,Y,2
C,La,1
C,Pr,1
C,Nd,3
C,Sm,3
C,Gd,1
C,Pb,1
C,U,1
O,H,5
O,C,3
O,O,6
O,Al,1
O,P,3
O,Ca,1
O,Cu,1
O,Y,2
O,La,1
O,Ce,1
O,Pr,1
O,Nd,4
O,Sm,6
O,Gd,1
O,Pb,1
O,U,2
Al,H,1
Al,O,1
Al,Al,1
Al,P,1
Al,Sm,1
P,H,2
P,O,3
P,Al,1
P,P,3
P,Ce,1
P,Nd,1
P,Sm,3
P,U,1
Ca,H,1
Ca,C,1
Ca,O,1
Ca,Ca,1
Ca,Y,1
Ca,Nd,1
Ca,Sm,1
Ca,U,1
Cu,H,1
Cu,C,1
Cu,O,1
Cu,Cu,1
Cu,Y,1
Cu,Nd,1
Cu,Sm,1
Cu,Gd,1
Cu,Pb,1
Y,H,2
Y,C,2
Y,O,2
Y,Ca,1
Y,Cu,1
Y,Y,2
Y,Nd,2
Y,Sm,2
Y,Gd,1
Y,Pb,1
Y,U,1
La,H,1
La,C,1
La,O,1
La,La,1
La,Pr,1
La,Nd,1
La,Sm,1
Ce,H,1
Ce,O,1
Ce,P,1
Ce,Ce,1
Ce,Nd,1
Ce,Sm,1
Ce,U,1
Pr,H,1
Pr,C,1
Pr,O,1
Pr,La,1
Pr,Pr,1
Pr,Nd,1
Pr,Sm,1
Nd,H,4
Nd,C,3
Nd,O,4
Nd,P,1
Nd,Ca,1
Nd,Cu,1
Nd,Y,2
Nd,La,1
Nd,Ce,1
Nd,Pr,1
Nd,Nd,4
Nd,Sm,4
Nd,Gd,1
Nd,Pb,1
Nd,U,2
Sm,H,5
Sm,C,3
Sm,O,6
Sm,Al,1
Sm,P,3
Sm,Ca,1
Sm,Cu,1
Sm,Y,2
Sm,La,1
Sm,Ce,1
Sm,Pr,1
Sm,Nd,4
Sm,Sm,6
Sm,Gd,1
Sm,Pb,1
Sm,U,2
Gd,H,1
Gd,C,1
Gd,O,1
Gd,Cu,1
Gd,Y,1
Gd,Nd,1
Gd,Sm,1
Gd,Gd,1
Gd,Pb,1
Pb,H,1
Pb,C,1
Pb,O,1
Pb,Cu,1
Pb,Y,1
Pb,Nd,1
Pb,Sm,1
Pb,Gd,1
Pb,Pb,1
U,H,2
U,C,1
U,O,2
U,P,1
U,Ca,1
U,Y,1
U,Ce,1
U,Nd,2
U,Sm,2
U,U,2
H,H,5
C,H,3
O,H,5
Al,H,1
P,H,2
Ca,H,1
Cu,H,1
Y,H,2
La,H,1
Ce,H,1
Pr,H,1
Nd,H,4
Sm,H,5
Gd,H,1
Pb,H,1
U,H,2
H,C,3
C,C,3
O,C,3
Ca,C,1
Cu,C,1
Y,C,2
La,C,1
Pr,C,1
Nd,C,3
Sm,C,3
Gd,C,1
Pb,C,1
U,C,1
H,O,5
C,O,3
O,O,6
Al,O,1
P,O,3
Ca,O,1
Cu,O,1
Y,O,2
La,O,1
Ce,O,1
Pr,O,1
Nd,O,4
Sm,O,6
Gd,O,1
Pb,O,1
U,O,2
H,Al,1
O,Al,1
Al,Al,1
P,Al,1
Sm,Al,1
H,P,2
O,P,3
Al,P,1
P,P,3
Ce,P,1
Nd,P,1
Sm,P,3
U,P,1
H,Ca,1
C,Ca,1
O,Ca,1
Ca,Ca,1
Y,Ca,1
Nd,Ca,1
Sm,Ca,1
U,Ca,1
H,Cu,1
C,Cu,1
O,Cu,1
Cu,Cu,1
Y,Cu,1
Nd,Cu,1
Sm,Cu,1
Gd,Cu,1
Pb,Cu,1
H,Y,2
C,Y,2
O,Y,2
Ca,Y,1
Cu,Y,1
Y,Y,2
Nd,Y,2
Sm,Y,2
Gd,Y,1
Pb,Y,1
U,Y,1
H,La,1
C,La,1
O,La,1
La,La,1
Pr,La,1
Nd,La,1
Sm,La,1
H,Ce,1
O,Ce,1
P,Ce,1
Ce,Ce,1
Nd,Ce,1
Sm,Ce,1
U,Ce,1
H,Pr,1
C,Pr,1
O,Pr,1
La,Pr,1
Pr,Pr,1
Nd,Pr,1
Sm,Pr,1
H,Nd,4
C,Nd,3
O,Nd,4
P,Nd,1
Ca,Nd,1
Cu,Nd,1
Y,Nd,2
La,Nd,1
Ce,Nd,1
Pr,Nd,1
Nd,Nd,4
Sm,Nd,4
Gd,Nd,1
Pb,Nd,1
U,Nd,2
H,Sm,5
C,Sm,3
O,Sm,6
Al,Sm,1
P,Sm,3
Ca,Sm,1
Cu,Sm,1
Y,Sm,2
La,Sm,1
Ce,Sm,1
Pr,Sm,1
Nd,Sm,4
Sm,Sm,6
Gd,Sm,1
Pb,Sm,1
U,Sm,2
H,Gd,1
C,Gd,1
O,Gd,1
Cu,Gd,1
Y,Gd,1
Nd,Gd,1
Sm,Gd,1
Gd,Gd,1
Pb,Gd,1
H,Pb,1
C,Pb,1
O,Pb,1
Cu,Pb,1
Y,Pb,1
Nd,Pb,1
Sm,Pb,1
Gd,Pb,1
Pb,Pb,1
H,U,2
C,U,1
O,U,2
P,U,1
Ca,U,1
Y,U,1
Ce,U,1
Nd,U,2
Sm,U,2
U,U,2
