from,to,weight
H,H,27
H,Be,2
H,B,1
H,N,1
H,O,26
H,Na,2
H,Mg,5
H,Al,7
H,Si,8
H,S,1
H,Cl,2
H,Ca,7
H,Sc,1
H,Mn,4
H,Fe,9
H,Cu,1
H,Zn,8
H,Sn,27
Li,Li,2
Li,O,2
Li,F,1
Li,Si,2
Li,K,2
Li,Ca,1
Li,Sn,2
Be,H,2
Be,Be,4
Be,B,1
Be,O,4
Be,Na,3
Be,Mg,2
Be,Al,1
Be,Si,3
Be,Ca,2
Be,Ti,1
Be,Mn,1
Be,Fe,1
Be,As,1
Be,Sn,4
B,H,1
B,Be,1
B,B,7
B,O,7
B,Na,1
B,Mg,4
B,Al,2
B,Si,1
B,Ca,2
B,Mn,2
B,Fe,4
B,Sn,7
N,H,1
N,N,1
N,Cl,1
N,Sn,1
O,H,26
O,Li,2
O,Be,4
O,B,7
O,O,51
O,F,1
O,Na,3
O,Mg,9
O,Al,11
O,Si,15
O,S,1
O,Cl,1
O,K,3
O,Ca,18
O,Sc,1
O,Ti,4
O,Mn,6
O,Fe,16
O,Cu,1
O,Zn,8
O,As,2
O,Zr,1
O,Nb,2
O,Sn,51
O,Sb,2
O,Ba,1
O,Ta,5
O,Pb,1
F,Li,1
F,O,1
F,F,1
F,Si,1
F,K,1
F,Ca,1
F,Sn,1
Na,H,2
Na,Be,3
Na,B,1
Na,O,3
Na,Na,3
Na,Mg,2
Na,Al,1
Na,Si,2
Na,Ca,1
Na,Mn,1
Na,Fe,1
Na,Sn,3
Mg,H,5
Mg,Be,2
Mg,B,4
Mg,O,9
Mg,Na,2
Mg,Mg,9
Mg,Al,5
Mg,Si,1
Mg,Ca,1
Mg,Mn,1
Mg,Fe,5
Mg,Zn,3
Mg,Sn,9
Al,H,7
Al,Be,1
Al,B,2
Al,O,11
Al,Na,1
Al,Mg,5
Al,Al,11
Al,Si,2
Al,Ca,4
Al,Fe,5
Al,Zn,6
Al,Sn,11
Al,Sb,1
Si,H,8
Si,Li,2
Si,Be,3
Si,B,1
Si,O,15
Si,F,1
Si,Na,2
Si,Mg,1
Si,Al,2
Si,Si,15
Si,K,2
Si,Ca,10
Si,Sc,1
Si,Ti,2
Si,Mn,2
Si,Fe,3
Si,As,1
Si,Sn,15
Si,Ba,1
S,H,1
S,O,1
S,S,43
S,Cl,1
S,Ca,1
S,V,2
S,Mn,2
S,Fe,17
S,Ni,1
S,Cu,21
S,Zn,7
S,Ge,1
S,As,6
S,Mo,1
S,Pd,1
S,Ag,6
S,Cd,1
S,In,3
S,Sn,43
S,Sb,8
S,Te,1
S,W,1
S,Pt,2
S,Hg,1
S,Tl,1
S,Pb,10
S,Bi,3
Cl,H,2
Cl,N,1
