from,to,weight
H,H,109
H,Li,1
H,B,9
H,C,13
H,O,109
H,F,15
H,Na,48
H,Mg,12
H,Al,41
H,Si,51
H,P,17
H,S,5
H,Cl,11
H,K,18
H,Ca,49
H,Ti,19
H,V,8
H,Cr,3
H,Mn,21
H,Fe,27
H,Cu,1
H,Zn,2
H,As,6
H,Sr,109
H,Y,4
H,Zr,13
H,Nb,11
H,Ba,17
H,La,3
H,Ce,7
H,W,2
H,Pb,1
H,Th,1
H,U,4
Li,H,1
Li,Li,1
Li,O,1
Li,Na,1
Li,Al,1
Li,P,1
Li,Ca,1
Li,Sr,1
Be,Be,1
Be,O,1
Be,P,1
Be,Sr,1
B,H,9
B,B,10
B,O,10
B,Na,3
B,Si,3
B,S,1
B,Cl,1
B,K,1
B,Ca,4
B,Sr,10
B,Zr,2
B,Ba,1
C,H,13
C,C,23
C,O,23
C,F,4
C,Na,13
C,Mg,1
C,Al,4
C,Si,1
C,P,2
C,S,1
C,Ca,12
C,Cr,1
C,Mn,1
C,Cu,1
C,Sr,23
C,Y,3
C,Zr,2
C,Nb,1
C,Ba,7
C,La,5
C,Ce,8
O,H,109
O,Li,1
O,Be,1
O,B,10
O,C,23
O,O,161
O,F,28
O,Na,72
O,Mg,19
O,Al,46
O,Si,71
O,P,31
O,S,7
O,Cl,11
O,K,19
O,Ca,67
O,Ti,32
O,V,9
O,Cr,7
O,Mn,27
O,Fe,39
O,Cu,3
O,Zn,4
O,As,6
O,Sr,161
O,Y,7
O,Zr,18
O,Nb,11
O,Ba,29
O,La,10
O,Ce,18
O,W,2
O,Pb,4
O,Th,1
O,U,6
F,H,15
F,C,4
F,O,28
F,F,31
F,Na,19
F,Mg,3
F,Al,12
F,Si,7
F,P,12
F,Cl,1
F,K,3
F,Ca,12
F,Ti,6
F,Mn,3
F,Fe,4
F,Sr,31
F,Nb,2
F,Ba,9
F,La,3
F,Ce,5
Na,H,48
Na,Li,1
Na,B,3
Na,C,13
Na,O,72
Na,F,19
Na,Na,74
Na,Mg,10
Na,Al,20
Na,Si,43
Na,P,13
Na,S,1
Na,Cl,9
Na,K,15
Na,Ca,39
Na,Ti,15
Na,V,1
Na,Mn,14
Na,Fe,18
Na,Cu,1
Na,Zn,3
Na,Sr,74
Na,Y,3
Na,Zr,13
Na,Nb,10
Na,Ba,19
Na,La,7
Na,Ce,15
Na,W,2
Na,Th,1
Mg,H,12
Mg,C,1
Mg,O,19
Mg,F,3
Mg,Na,10
Mg,Mg,19
Mg,Al,9
Mg,Si,7
Mg,P,5
Mg,K,3
Mg,Ca,9
Mg,Ti,5
Mg,V,1
Mg,Cr,3
Mg,Mn,6
Mg,Fe,8
Mg,Zn,2
Mg,Sr,19
Mg,Zr,2
Mg,Ba,5
Mg,La,2
Mg,Ce,2
Al,H,41
Al,Li,1
Al,C,4
Al,O,46
Al,F,12
Al,Na,20
Al,Mg,9
Al,Al,47
Al,Si,20
Al,P,11
Al,S,2
Al,Cl,1
Al,K,6
Al,Ca,20
Al,Ti,1
Al,V,1
Al,Mn,5
Al,Fe,6
Al,Cu,1
Al,As,3
Al,Sr,47
Al,Nb,1
Al,Ba,9
Si,H,51
Si,B,3
Si,C,1
Si,O,71
Si,F,7
Si,Na,43
Si,Mg,7
Si,Al,20
Si,Si,71
Si,P,1
Si,Cl,10
Si,K,15
Si,Ca,33
Si,Ti,22
Si,V,1
Si,Mn,18
Si,Fe,22
Si,Cu,2
Si,Zn,3
Si,Sr,71
Si,Zr,15
Si,Nb,11
Si,Ba,13
Si,La,4
Si,Ce,9
Si,W,2
Si,Th,1
P,H,17
P,Li,1
P,Be,1
P,C,2
P,O,31
P,F,12
P,Na,13
P,Mg,5
P,Al,11
P,Si,1
P,P,31
P,S,1
P,Ca,11
P,V,1
P,Mn,3
P,Fe,6
P,Sr,31
P,Ba,7
P,La,2
P,Ce,2
S,H,5
S,B,1
S,C,1
S,O,7
S,Na,1
S,Al,2
S,P,1
S,S,7
S,K,2
S,Ca,2
S,Cr,1
S,Fe,1
S,As,2
S,Sr,7
Cl,H,11
Cl,B,1
Cl,O,11
Cl,F,1
Cl,Na,9
Cl,Al,1
Cl,Si,10
Cl,Cl,11
Cl,K,3
Cl,Ca,10
Cl,Ti,3
Cl,Mn,4
Cl,Fe,7
Cl,Sr,11
Cl,Zr,8
Cl,Nb,3
Cl,Ba,1
Cl,Ce,1
Cl,W,2
K,H,18
K,B,1
K,O,19
K,F,3
K,Na,15
K,Mg,3
K,Al,6
K,Si,15
K,S,2
K,Cl,3
K,K,19
K,Ca,15
K,Ti,6
K,Mn,5
K,Fe,3
K,Cu,1
K,Zn,1
K,Sr,19
K,Zr,3
K,Nb,6
K,Ba,6
K,Ce,1
K,U,1
Ca,H,49
Ca,Li,1
Ca,B,4
Ca,C,12
Ca,O,67
Ca,F,12
Ca,Na,39
Ca,Mg,9
Ca,Al,20
Ca,Si,33
Ca,P,11
Ca,S,2
Ca,Cl,10
Ca,K,15
Ca,Ca,67
Ca,Ti,9
Ca,V,4
Ca,Cr,3
Ca,Mn,15
Ca,Fe,15
Ca,Cu,2
Ca,Zn,2
Ca,Sr,67
Ca,Y,1
Ca,Zr,12
Ca,Nb,8
Ca,Ba,15
Ca,La,6
Ca,Ce,11
Ca,W,2
Ca,U,1
Ti,H,19
Ti,O,32
Ti,F,6
Ti,Na,15
Ti,Mg,5
Ti,Al,1
Ti,Si,22
Ti,Cl,3
Ti,K,6
Ti,Ca,9
Ti,Ti,32
Ti,V,1
Ti,Cr,6
Ti,Mn,7
Ti,Fe,21
Ti,Zn,2
Ti,Sr,32
Ti,Y,4
Ti,Zr,7
Ti,Nb,7
Ti,Ba,8
Ti,La,1
Ti,Ce,3
Ti,Pb,4
Ti,U,4
V,H,8
V,O,9
V,Na,1
V,Mg,1
V,Al,1
V,Si,1
V,P,1
V,Ca,4
V,Ti,1
V,V,9
V,Cr,1
V,Mn,2
V,Fe,2
V,Sr,9
V,Y,1
V,U,2
Cr,H,3
Cr,C,1
Cr,O,7
Cr,Mg,3
Cr,S,1
Cr,Ca,3
Cr,Ti,6
Cr,V,1
Cr,Cr,7
Cr,Mn,1
Cr,Fe,5
Cr,Sr,7
Cr,Y,2
Cr,Zr,2
Cr,Ba,1
Cr,Pb,1
Cr,U,2
Mn,H,21
Mn,C,1
Mn,O,27
Mn,F,3
Mn,Na,14
Mn,Mg,6
Mn,Al,5
Mn,Si,18
Mn,P,3
Mn,Cl,4
Mn,K,5
Mn,Ca,15
Mn,Ti,7
Mn,V,2
Mn,Cr,1
Mn,Mn,27
Mn,Fe,10
Mn,Zn,2
Mn,As,1
Mn,Sr,27
Mn,Y,2
Mn,Zr,5
Mn,Nb,6
Mn,Ba,7
Mn,La,2
Mn,Ce,5
Mn,W,1
Mn,Pb,1
Mn,U,1
Fe,H,27
Fe,O,39
Fe,F,4
Fe,Na,18
Fe,Mg,8
Fe,Al,6
Fe,Si,22
Fe,P,6
Fe,S,1
Fe,Cl,7
Fe,K,3
Fe,Ca,15
Fe,Ti,21
Fe,V,2
Fe,Cr,5
Fe,Mn,10
Fe,Fe,39
Fe,Zn,1
Fe,As,2
Fe,Sr,39
Fe,Y,4
Fe,Zr,9
Fe,Nb,4
Fe,Ba,8
Fe,La,2
Fe,Ce,4
Fe,W,1
Fe,Pb,4
Fe,U,4
Cu,H,1
Cu,C,1
Cu,O,3
Cu,Na,1
Cu,Al,1
Cu,Si,2
Cu,K,1
Cu,Ca,2
Cu,Cu,3
Cu,Sr,3
Cu,Ba,1
Cu,La,1
Zn,H,2
Zn,O,4
Zn,Na,3
Zn,Mg,2
Zn,Si,3
Zn,K,1
Zn,Ca,2
Zn,Ti,2
Zn,Mn,2
Zn,Fe,1
Zn,Zn,4
Zn,Sr,4
Zn,Nb,1
Zn,La,2
Zn,Ce,2
Zn,Pb,1
Zn,U,1
As,H,6
As,O,6
As,Al,3
As,S,2
As,Mn,1
As,Fe,2
As,As,6
As,Sr,6
Sr,H,109
Sr,Li,1
Sr,Be,1
Sr,B,10
Sr,C,23
Sr,O,161
Sr,F,31
Sr,Na,74
Sr,Mg,19
Sr,Al,47
Sr,Si,71
Sr,P,31
Sr,S,7
Sr,Cl,11
Sr,K,19
Sr,Ca,67
Sr,Ti,32
Sr,V,9
Sr,Cr,7
Sr,Mn,27
Sr,Fe,39
Sr,Cu,3
Sr,Zn,4
Sr,As,6
Sr,Sr,164
Sr,Y,7
Sr,Zr,18
Sr,Nb,11
Sr,Ba,30
Sr,La,10
Sr,Ce,19
Sr,W,2
Sr,Pb,4
Sr,Th,1
Sr,U,6
Y,H,4
Y,C,3
Y,O,7
Y,Na,3
Y,Ca,1
Y,Ti,4
Y,V,1
Y,Cr,2
Y,Mn,2
Y,Fe,4
Y,Sr,7
Y,Y,7
Y,La,1
Y,Ce,1
Y,Pb,3
Y,U,3
Zr,H,13
Zr,B,2
Zr,C,2
Zr,O,18
Zr,Na,13
Zr,Mg,2
Zr,Si,15
Zr,Cl,8
Zr,K,3
Zr,Ca,12
Zr,Ti,7
Zr,Cr,2
Zr,Mn,5
Zr,Fe,9
Zr,Sr,18
Zr,Zr,18
Zr,Nb,4
Zr,Ba,2
Zr,La,1
Zr,Ce,3
Zr,W,2
Nb,H,11
Nb,C,1
Nb,O,11
Nb,F,2
Nb,Na,10
Nb,Al,1
Nb,Si,11
Nb,Cl,3
Nb,K,6
Nb,Ca,8
Nb,Ti,7
Nb,Mn,6
Nb,Fe,4
Nb,Zn,1
Nb,Sr,11
Nb,Zr,4
Nb,Nb,11
Nb,Ba,3
Nb,Ce,1
Ba,H,17
Ba,B,1
Ba,C,7
Ba,O,29
Ba,F,9
Ba,Na,19
Ba,Mg,5
Ba,Al,9
Ba,Si,13
Ba,P,7
Ba,Cl,1
Ba,K,6
Ba,Ca,15
Ba,Ti,8
Ba,Cr,1
Ba,Mn,7
Ba,Fe,8
Ba,Cu,1
Ba,Sr,30
Ba,Zr,2
Ba,Nb,3
Ba,Ba,30
Ba,La,2
Ba,Ce,5
La,H,3
La,C,5
La,O,10
La,F,3
La,Na,7
La,Mg,2
La,Si,4
La,P,2
La,Ca,6
La,Ti,1
La,Mn,2
La,Fe,2
La,Cu,1
La,Zn,2
La,Sr,10
La,Y,1
La,Zr,1
La,Ba,2
La,La,10
La,Ce,6
Ce,H,7
Ce,C,8
Ce,O,18
Ce,F,5
Ce,Na,15
Ce,Mg,2
Ce,Si,9
Ce,P,2
Ce,Cl,1
Ce,K,1
Ce,Ca,11
Ce,Ti,3
Ce,Mn,5
Ce,Fe,4
Ce,Zn,2
Ce,Sr,19
Ce,Y,1
Ce,Zr,3
Ce,Nb,1
Ce,Ba,5
Ce,La,6
Ce,Ce,19
W,H,2
W,O,2
W,Na,2
W,Si,2
W,Cl,2
W,Ca,2
W,Mn,1
W,Fe,1
W,Sr,2
W,Zr,2
W,W,2
Pb,H,1
Pb,O,4
Pb,Ti,4
Pb,Cr,1
Pb,Mn,1
Pb,Fe,4
Pb,Zn,1
Pb,Sr,4
Pb,Y,3
Pb,Pb,4
Pb,U,3
Th,H,1
Th,O,1
Th,Na,1
Th,Si,1
Th,Sr,1
Th,Th,1
U,H,4
U,O,6
U,K,1
U,Ca,1
U,Ti,4
U,V,2
U,Cr,2
U,Mn,1
U,Fe,4
U,Zn,1
U,Sr,6
U,Y,3
U,Pb,3
U,U,6
H,H,109
Li,H,1
B,H,9
C,H,13
O,H,109
F,H,15
Na,H,48
Mg,H,12
