from,to,weight
H,H,14
H,B,1
H,C,1
H,O,14
H,F,1
H,Na,3
H,Al,3
H,Si,1
H,P,2
H,K,3
H,Ca,3
H,Ti,3
H,Mn,1
H,Fe,4
H,Y,3
H,Nb,7
H,Sb,1
H,Ce,1
H,Ta,14
H,Pb,1
H,Th,1
H,U,1
Li,Li,2
Li,O,2
Li,Ta,2
B,H,1
B,B,3
B,O,3
B,Al,1
B,Si,1
B,Nb,2
B,Ta,3
C,H,1
C,C,3
C,O,1
C,Nb,1
C,Ta,3
O,H,14
O,Li,2
O,B,3
O,C,1
O,O,70
O,F,4
O,Na,11
O,Mg,2
O,Al,6
O,Si,2
O,P,2
O,K,5
O,Ca,14
O,Sc,1
O,Ti,13
O,Mn,11
O,Fe,18
O,As,1
O,Y,9
O,Zr,1
O,Nb,35
O,Sn,5
O,Sb,5
O,Cs,1
O,Ce,4
O,Yb,1
O,Ta,70
O,W,2
O,Pb,4
O,Bi,4
O,Th,2
O,U,6
F,H,1
F,O,4
F,F,4
F,Na,4
F,Ca,3
F,Ti,1
F,Nb,3
F,Ce,1
F,Ta,4
F,Bi,1
F,U,1
Na,H,3
Na,O,11
Na,F,4
Na,Na,11
Na,Al,2
Na,K,3
Na,Ca,3
Na,Ti,2
Na,As,1
Na,Nb,7
Na,Sb,2
Na,Cs,1
Na,Ce,1
Na,Ta,11
Na,Pb,2
Na,Bi,1
Na,U,1
Mg,O,2
Mg,Mg,2
Mg,Mn,1
Mg,Fe,2
Mg,Nb,2
Mg,Ta,2
Al,H,3
Al,B,1
Al,O,6
Al,Na,2
Al,Al,6
Al,Si,2
Al,K,2
Al,Ca,1
Al,Nb,3
Al,Ta,6
Si,H,1
Si,B,1
Si,O,2
Si,Al,2
Si,Si,2
Si,Ca,1
Si,Nb,1
Si,Ta,2
P,H,2
P,O,2
P,P,2
P,K,2
P,Mn,1
P,Fe,2
P,Nb,2
P,Ta,2
K,H,3
K,O,5
K,Na,3
K,Al,2
K,P,2
K,K,5
K,Ti,1
K,Mn,1
K,Fe,2
K,As,1
K,Nb,5
K,Ta,5
K,Pb,1
Ca,H,3
Ca,O,14
Ca,F,3
Ca,Na,3
Ca,Al,1
Ca,Si,1
Ca,Ca,14
Ca,Ti,5
Ca,Fe,2
Ca,Y,3
Ca,Zr,1
Ca,Nb,8
Ca,Sb,1
Ca,Ce,4
Ca,Ta,14
Ca,Th,2
Ca,U,3
Sc,O,1
Sc,Sc,1
Sc,Ta,1
Ti,H,3
Ti,O,13
Ti,F,1
Ti,Na,2
Ti,K,1
Ti,Ca,5
Ti,Ti,13
Ti,Mn,3
Ti,Fe,6
Ti,As,1
Ti,Y,4
Ti,Nb,11
Ti,Ce,3
Ti,Ta,13
Ti,W,1
Ti,Pb,1
Ti,Th,2
Ti,U,2
Mn,H,1
Mn,O,11
Mn,Mg,1
Mn,P,1
Mn,K,1
Mn,Ti,3
Mn,Mn,11
Mn,Fe,5
Mn,Nb,5
Mn,Sn,1
Mn,Ta,11
Mn,W,2
Fe,H,4
Fe,O,18
Fe,Mg,2
Fe,P,2
Fe,K,2
Fe,Ca,2
Fe,Ti,6
Fe,Mn,5
Fe,Fe,19
Fe,Y,2
Fe,Nb,14
Fe,Sn,1
Fe,Yb,1
Fe,Ta,19
Fe,W,2
Fe,Th,1
Fe,U,3
As,O,1
As,Na,1
As,K,1
As,Ti,1
As,As,1
As,Nb,1
As,Ta,1
As,Pb,1
Y,H,3
Y,O,9
Y,Ca,3
Y,Ti,4
Y,Fe,2
Y,Y,9
Y,Zr,1
Y,Nb,6
Y,Ce,2
Y,Ta,9
Y,Th,2
Y,U,2
Zr,O,1
Zr,Ca,1
Zr,Y,1
Zr,Zr,1
Zr,Ce,1
Zr,Ta,1
Nb,H,7
Nb,B,2
Nb,C,1
Nb,O,35
Nb,F,3
Nb,Na,7
Nb,Mg,2
Nb,Al,3
Nb,Si,1
Nb,P,2
Nb,K,5
Nb,Ca,8
Nb,Ti,11
Nb,Mn,5
Nb,Fe,14
Nb,As,1
Nb,Y,6
Nb,Nb,37
