from,to,weight
H,H,54
H,C,2
H,O,54
H,Mg,9
H,Al,1
H,S,9
H,Cl,7
H,Ca,6
H,Cr,1
H,Mn,3
H,Fe,16
H,Ni,2
H,Cu,29
H,Zn,7
H,As,3
H,Se,1
H,Ag,1
H,Sb,1
H,Te,54
H,Pb,17
H,Bi,2
C,H,2
C,C,4
C,O,4
C,Cl,2
C,Ca,1
C,Cu,2
C,Te,4
C,Pb,3
O,H,54
O,C,4
O,O,101
O,Mg,9
O,Al,3
O,Si,1
O,P,1
O,S,15
O,Cl,14
O,K,2
O,Ca,11
O,Ti,1
O,V,1
O,Cr,1
O,Mn,6
O,Fe,22
O,Ni,2
O,Cu,35
O,Zn,14
O,As,4
O,Se,1
O,Mo,1
O,Ag,1
O,Sb,2
O,Te,101
O,W,1
O,Hg,1
O,Tl,1
O,Pb,37
O,Bi,7
O,U,4
Mg,H,9
Mg,O,9
Mg,Mg,9
Mg,Mn,2
Mg,Fe,3
Mg,Ni,2
Mg,Cu,4
Mg,Zn,3
Mg,Te,9
Al,H,1
Al,O,3
Al,Al,3
Al,Si,1
Al,S,1
Al,Cl,1
Al,Fe,1
Al,Te,3
Al,Pb,2
Si,O,1
Si,Al,1
Si,Si,1
Si,Fe,1
Si,Te,1
Si,Pb,1
P,O,1
P,P,1
P,Zn,1
P,Te,1
P,Pb,1
S,H,9
S,O,15
S,Al,1
S,S,44
S,Cl,3
S,K,1
S,Ca,2
S,Fe,7
S,Ni,1
S,Cu,12
S,Ge,1
S,As,3
S,Se,3
S,Pd,2
S,Ag,7
S,Sn,1
S,Sb,5
S,Te,44
S,Pt,1
S,Au,4
S,Hg,1
S,Pb,18
S,Bi,14
Cl,H,7
Cl,C,2
Cl,O,14
Cl,Al,1
Cl,S,3
Cl,Cl,16
Cl,K,1
Cl,Ca,1
Cl,Fe,3
Cl,Cu,8
Cl,Zn,3
Cl,As,1
Cl,Ag,1
Cl,Sb,1
Cl,Te,16
Cl,Pb,11
K,O,2
K,S,1
K,Cl,1
K,K,2
K,Cu,1
K,Te,2
K,W,1
Ca,H,6
Ca,C,1
Ca,O,11
Ca,S,2
Ca,Cl,1
Ca,Ca,11
Ca,Mn,2
Ca,Fe,1
Ca,Cu,5
Ca,Zn,2
Ca,As,1
Ca,Se,1
Ca,Sb,1
Ca,Te,11
Ca,Pb,4
Ti,O,1
Ti,Ti,1
Ti,Te,1
V,O,1
V,V,1
V,Zn,1
V,Te,1
V,Pb,1
Cr,H,1
Cr,O,1
Cr,Cr,1
Cr,Te,1
Cr,Pb,1
Mn,H,3
Mn,O,6
Mn,Mg,2
Mn,Ca,2
Mn,Mn,6
Mn,Fe,1
Mn,Zn,2
Mn,Te,6
Mn,Pb,1
Fe,H,16
Fe,O,22
Fe,Mg,3
Fe,Al,1
Fe,Si,1
Fe,S,7
Fe,Cl,3
Fe,Ca,1
Fe,Mn,1
Fe,Fe,27
Fe,Ni,1
Fe,Cu,2
Fe,Zn,1
Fe,Pd,1
Fe,Ag,2
Fe,Sn,1
Fe,Te,27
Fe,Pt,1
Fe,Au,1
Fe,Pb,4
Fe,Bi,1
Co,Co,1
Co,Te,1
Ni,H,2
Ni,O,2
Ni,Mg,2
Ni,S,1
Ni,Fe,1
Ni,Ni,8
Ni,Se,1
Ni,Pd,1
Ni,Sb,1
Ni,Te,8
Ni,Bi,2
Cu,H,29
Cu,C,2
Cu,O,35
Cu,Mg,4
Cu,S,12
Cu,Cl,8
Cu,K,1
Cu,Ca,5
Cu,Fe,2
Cu,Cu,54
Cu,Zn,4
Cu,As,4
Cu,Se,4
Cu,Pd,2
Cu,Ag,6
Cu,Sn,1
Cu,Sb,4
Cu,Te,54
Cu,Pt,1
Cu,Au,4
Cu,Pb,19
Cu,Bi,1
Zn,H,7
Zn,O,14
Zn,Mg,3
Zn,P,1
Zn,Cl,3
Zn,Ca,2
Zn,V,1
Zn,Mn,2
Zn,Fe,1
Zn,Cu,4
Zn,Zn,14
Zn,As,3
Zn,Ag,1
Zn,Sb,1
Zn,Te,14
Zn,Pb,5
Ge,S,1
Ge,Ge,1
Ge,Ag,1
Ge,Te,1
As,H,3
As,O,4
As,S,3
As,Cl,1
As,Ca,1
As,Cu,4
As,Zn,3
As,As,9
As,Pd,1
As,Ag,2
As,Sb,2
As,Te,9
As,Hg,1
As,Pb,2
Se,H,1
Se,O,1
Se,S,3
Se,Ca,1
Se,Ni,1
Se,Cu,4
Se,Se,14
Se,Pd,1
Se,Ag,1
Se,Sb,1
Se,Te,14
Se,Au,2
Se,Pb,3
Se,Bi,6
Mo,O,1
Mo,Mo,1
Mo,Te,1
Mo,Bi,1
Pd,S,2
Pd,Fe,1
Pd,Ni,1
Pd,Cu,2
Pd,As,1
Pd,Se,1
Pd,Pd,17
Pd,Ag,3
Pd,Sn,2
Pd,Sb,1
Pd,Te,17
Pd,Pt,1
Pd,Hg,1
Pd,Pb,1
Pd,Bi,3
Ag,H,1
Ag,O,1
Ag,S,7
Ag,Cl,1
Ag,Fe,2
Ag,Cu,6
Ag,Zn,1
Ag,Ge,1
Ag,As,2
Ag,Se,1
Ag,Pd,3
Ag,Ag,27
Ag,Sb,4
Ag,Te,27
Ag,Au,6
Ag,Hg,2
Ag,Pb,4
Ag,Bi,3
Sn,S,1
Sn,Fe,1
Sn,Cu,1
Sn,Pd,2
Sn,Sn,2
Sn,Te,2
Sn,Pt,1
Sb,H,1
Sb,O,2
Sb,S,5
Sb,Cl,1
Sb,Ca,1
Sb,Ni,1
Sb,Cu,4
Sb,Zn,1
Sb,As,2
Sb,Se,1
Sb,Pd,1
Sb,Ag,4
Sb,Sb,14
Sb,Te,14
Sb,Au,4
Sb,Hg,1
Sb,Pb,6
Sb,Bi,1
Te,H,54
Te,C,4
Te,O,101
Te,Mg,9
Te,Al,3
Te,Si,1
Te,P,1
Te,S,44
Te,Cl,16
Te,K,2
Te,Ca,11
Te,Ti,1
Te,V,1
Te,Cr,1
Te,Mn,6
Te,Fe,27
Te,Co,1
Te,Ni,8
Te,Cu,54
Te,Zn,14
Te,Ge,1
Te,As,9
Te,Se,14
Te,Mo,1
Te,Pd,17
Te,Ag,27
Te,Sn,2
Te,Sb,14
Te,Te,202
Te,W,1
Te,Ir,3
Te,Pt,4
Te,Au,18
Te,Hg,5
Te,Tl,2
Te,Pb,56
Te,Bi,39
Te,U,4
W,O,1
W,K,1
W,Te,1
W,W,1
Ir,Te,3
Ir,Ir,3
Ir,Bi,1
Pt,S,1
Pt,Fe,1
Pt,Cu,1
Pt,Pd,1
Pt,Sn,1
Pt,Te,4
Pt,Pt,4
Pt,Bi,2
Au,S,4
Au,Fe,1
Au,Cu,4
Au,Se,2
Au,Ag,6
Au,Sb,4
Au,Te,18
Au,Au,18
Au,Tl,1
Au,Pb,7
Au,Bi,2
Hg,O,1
Hg,S,1
Hg,As,1
Hg,Pd,1
Hg,Ag,2
Hg,Sb,1
Hg,Te,5
Hg,Hg,5
Hg,Pb,1
Tl,O,1
Tl,Te,2
Tl,Au,1
Tl,Tl,2
Pb,H,17
Pb,C,3
Pb,O,37
Pb,Al,2
Pb,Si,1
Pb,P,1
Pb,S,18
Pb,Cl,11
Pb,Ca,4
Pb,V,1
Pb,Cr,1
Pb,Mn,1
Pb,Fe,4
Pb,Cu,19
Pb,Zn,5
Pb,As,2
Pb,Se,3
Pb,Pd,1
Pb,Ag,4
Pb,Sb,6
Pb,Te,56
Pb,Au,7
Pb,Hg,1
Pb,Pb,56
Pb,Bi,9
Pb,U,2
Bi,H,2
Bi,O,7
Bi,S,14
Bi,Fe,1
Bi,Ni,2
Bi,Cu,1
Bi,Se,6
Bi,Mo,1
Bi,Pd,3
Bi,Ag,3
Bi,Sb,1
Bi,Te,39
Bi,Ir,1
Bi,Pt,2
Bi,Au,2
Bi,Pb,9
Bi,Bi,39
U,O,4
U,Te,4
U,Pb,2
U,U,4
H,H,54
C,H,2
O,H,54
Mg,H,9
Al,H,1
S,H,9
Cl,H,7
Ca,H,6
Cr,H,1
Mn,H,3
Fe,H,16
Ni,H,2
Cu,H,29
Zn,H,7
As,H,3
Se,H,1
Ag,H,1
Sb,H,1
Te,H,54
Pb,H,17
Bi,H,2
H,C,2
C,C,4
O,C,4
Cl,C,2
Ca,C,1
Cu,C,2
Te,C,4
Pb,C,3
H,O,54
C,O,4
O,O,101
Mg,O,9
Al,O,3
Si,O,1
P,O,1
S,O,15
Cl,O,14
K,O,2
Ca,O,11
Ti,O,1
V,O,1
Cr,O,1
Mn,O,6
Fe,O,22
Ni,O,2
Cu,O,35
Zn,O,14
As,O,4
Se,O,1
Mo,O,1
Ag,O,1
Sb,O,2
Te,O,101
W,O,1
Hg,O,1
Tl,O,1
Pb,O,37
Bi,O,7
U,O,4
H,Mg,9
O,Mg,9
Mg,Mg,9
Mn,Mg,2
Fe,Mg,3
Ni,Mg,2
Cu,Mg,4
Zn,Mg,3
Te,Mg,9
H,Al,1
O,Al,3
Al,Al,3
Si,Al,1
S,Al,1
Cl,Al,1
Fe,Al,1
Te,Al,3
Pb,Al,2
O,Si,1
Al,Si,1
Si,Si,1
Fe,Si,1
Te,Si,1
Pb,Si,1
O,P,1
P,P,1
Zn,P,1
Te,P,1
Pb,P,1
H,S,9
O,S,15
Al,S,1
S,S,44
Cl,S,3
K,S,1
Ca,S,2
Fe,S,7
Ni,S,1
Cu,S,12
Ge,S,1
As,S,3
Se,S,3
Pd,S,2
Ag,S,7
Sn,S,1
Sb,S,5
Te,S,44
Pt,S,1
Au,S,4
Hg,S,1
Pb,S,18
Bi,S,14
H,Cl,7
C,Cl,2
O,Cl,14
Al,Cl,1
S,Cl,3
Cl,Cl,16
K,Cl,1
Ca,Cl,1
Fe,Cl,3
Cu,Cl,8
Zn,Cl,3
As,Cl,1
Ag,Cl,1
Sb,Cl,1
Te,Cl,16
Pb,Cl,11
O,K,2
S,K,1
Cl,K,1
K,K,2
Cu,K,1
Te,K,2
W,K,1
H,Ca,6
C,Ca,1
O,Ca,11
S,Ca,2
Cl,Ca,1
Ca,Ca,11
Mn,Ca,2
Fe,Ca,1
Cu,Ca,5
Zn,Ca,2
As,Ca,1
Se,Ca,1
Sb,Ca,1
Te,Ca,11
Pb,Ca,4
O,Ti,1
Ti,Ti,1
Te,Ti,1
O,V,1
V,V,1
Zn,V,1
Te,V,1
Pb,V,1
H,Cr,1
O,Cr,1
Cr,Cr,1
Te,Cr,1
Pb,Cr,1
H,Mn,3
O,Mn,6
Mg,Mn,2
Ca,Mn,2
Mn,Mn,6
Fe,Mn,1
Zn,Mn,2
Te,Mn,6
Pb,Mn,1
H,Fe,16
O,Fe,22
Mg,Fe,3
Al,Fe,1
Si,Fe,1
S,Fe,7
Cl,Fe,3
Ca,Fe,1
Mn,Fe,1
Fe,Fe,27
Ni,Fe,1
Cu,Fe,2
Zn,Fe,1
Pd,Fe,1
Ag,Fe,2
Sn,Fe,1
Te,Fe,27
Pt,Fe,1
Au,Fe,1
Pb,Fe,4
Bi,Fe,1
Co,Co,1
Te,Co,1
H,Ni,2
O,Ni,2
Mg,Ni,2
S,Ni,1
Fe,Ni,1
Ni,Ni,8
Se,Ni,1
Pd,Ni,1
Sb,Ni,1
Te,Ni,8
Bi,Ni,2
H,Cu,29
C,Cu,2
O,Cu,35
Mg,Cu,4
S,Cu,12
Cl,Cu,8
K,Cu,1
Ca,Cu,5
Fe,Cu,2
Cu,Cu,54
Zn,Cu,4
As,Cu,4
Se,Cu,4
Pd,Cu,2
Ag,Cu,6
Sn,Cu,1
Sb,Cu,4
Te,Cu,54
Pt,Cu,1
Au,Cu,4
Pb,Cu,19
Bi,Cu,1
H,Zn,7
O,Zn,14
Mg,Zn,3
P,Zn,1
Cl,Zn,3
Ca,Zn,2
V,Zn,1
Mn,Zn,2
Fe,Zn,1
Cu,Zn,4
Zn,Zn,14
As,Zn,3
Ag,Zn,1
Sb,Zn,1
Te,Zn,14
Pb,Zn,5
S,Ge,1
Ge,Ge,1
Ag,Ge,1
Te,Ge,1
H,As,3
O,As,4
S,As,3
Cl,As,1
Ca,As,1
Cu,As,4
Zn,As,3
As,As,9
Pd,As,1
Ag,As,2
Sb,As,2
Te,As,9
Hg,As,1
Pb,As,2
H,Se,1
O,Se,1
S,Se,3
Ca,Se,1
Ni,Se,1
Cu,Se,4
Se,Se,14
Pd,Se,1
Ag,Se,1
Sb,Se,1
Te,Se,14
Au,Se,2
Pb,Se,3
Bi,Se,6
O,Mo,1
Mo,Mo,1
Te,Mo,1
Bi,Mo,1
S,Pd,2
Fe,Pd,1
Ni,Pd,1
Cu,Pd,2
As,Pd,1
Se,Pd,1
Pd,Pd,17
Ag,Pd,3
Sn,Pd,2
Sb,Pd,1
Te,Pd,17
Pt,Pd,1
Hg,Pd,1
Pb,Pd,1
Bi,Pd,3
H,Ag,1
O,Ag,1
S,Ag,7
Cl,Ag,1
Fe,Ag,2
Cu,Ag,6
Zn,Ag,1
Ge,Ag,1
As,Ag,2
Se,Ag,1
Pd,Ag,3
