from,to,weight
H,H,27
H,Li,1
H,Be,2
H,B,2
H,C,2
H,O,27
H,F,4
H,Na,5
H,Al,7
H,Si,10
H,P,8
H,S,1
H,K,2
H,Ca,14
H,Ti,7
H,Mn,2
H,Fe,5
H,As,1
H,Sr,1
H,Y,3
H,Nb,6
H,Mo,2
H,Ba,2
H,La,2
H,Ce,4
H,Nd,1
H,Ta,1
H,Pb,1
H,Th,27
H,U,4
Li,H,1
Li,Li,1
Li,Be,1
Li,B,1
Li,O,1
Li,F,1
Li,Al,1
Li,Si,1
Li,Ca,1
Li,Fe,1
Li,La,1
Li,Ce,1
Li,Nd,1
Li,Th,1
Be,H,2
Be,Li,1
Be,Be,2
Be,B,2
Be,O,2
Be,F,1
Be,Al,2
Be,Si,2
Be,Ca,2
Be,Fe,1
Be,La,1
Be,Ce,1
Be,Nd,1
Be,Th,2
Be,U,1
B,H,2
B,Li,1
B,Be,2
B,B,3
B,O,3
B,F,2
B,Na,1
B,Al,2
B,Si,3
B,Ca,3
B,Fe,2
B,As,1
B,La,2
B,Ce,2
B,Nd,1
B,Th,3
B,U,1
C,H,2
C,C,3
C,O,3
C,F,2
C,Na,1
C,Ca,1
C,Ba,2
C,La,1
C,Ce,1
C,Th,3
O,H,27
O,Li,1
O,Be,2
O,B,3
O,C,3
O,O,41
O,F,6
O,Na,8
O,Al,7
O,Si,18
O,P,10
O,S,1
O,K,4
O,Ca,21
O,Ti,8
O,Mn,2
O,Fe,7
O,As,2
O,Sr,1
O,Y,5
O,Nb,8
O,Mo,2
O,Ba,3
O,La,6
O,Ce,10
O,Pr,1
O,Nd,2
O,Ta,2
O,Pb,1
O,Th,41
O,U,5
F,H,4
F,Li,1
F,Be,1
F,B,2
F,C,2
F,O,6
F,F,6
F,Na,1
F,Al,1
F,Si,3
F,Ca,4
F,Mn,1
F,Fe,2
F,As,1
F,Ba,1
F,La,3
F,Ce,3
F,Nd,1
F,Th,6
Na,H,5
Na,B,1
Na,C,1
Na,O,8
Na,F,1
Na,Na,8
Na,Si,6
Na,P,1
Na,K,3
Na,Ca,5
Na,Ti,1
Na,Mn,1
Na,Fe,1
Na,As,1
Na,Sr,1
Na,Nb,1
Na,Ba,1
Na,La,2
Na,Ce,2
Na,Pr,1
Na,Nd,1
Na,Th,8
Al,H,7
Al,Li,1
Al,Be,2
Al,B,2
Al,O,7
Al,F,1
Al,Al,7
Al,Si,5
Al,P,4
Al,S,1
Al,Ca,3
Al,Ti,1
Al,Fe,2
Al,Y,1
Al,Nb,1
Al,La,2
Al,Ce,2
Al,Nd,1
Al,Th,7
Al,U,2
Si,H,10
Si,Li,1
Si,Be,2
Si,B,3
Si,O,18
Si,F,3
Si,Na,6
Si,Al,5
Si,Si,18
Si,P,3
Si,S,1
Si,K,4
Si,Ca,10
Si,Ti,1
Si,Mn,1
Si,Fe,3
Si,As,1
Si,Sr,1
Si,Y,2
Si,Nb,1
Si,Ba,1
Si,La,5
Si,Ce,5
Si,Pr,1
Si,Nd,2
Si,Th,18
Si,U,2
P,H,8
P,O,10
P,Na,1
P,Al,4
P,Si,3
P,P,10
P,S,1
P,Ca,6
P,As,1
P,Y,1
P,La,1
P,Ce,2
P,Pr,1
P,Nd,1
P,Pb,1
P,Th,10
P,U,1
S,H,1
S,O,1
S,Al,1
S,Si,1
S,P,1
S,S,1
S,Ca,1
S,Y,1
S,Th,1
K,H,2
K,O,4
K,Na,3
K,Si,4
K,K,4
K,Ca,3
K,La,1
K,Ce,1
K,Th,4
Ca,H,14
Ca,Li,1
Ca,Be,2
Ca,B,3
Ca,C,1
Ca,O,21
Ca,F,4
Ca,Na,5
Ca,Al,3
Ca,Si,10
Ca,P,6
Ca,S,1
Ca,K,3
Ca,Ca,21
Ca,Ti,6
Ca,Mn,2
Ca,Fe,4
Ca,As,1
Ca,Y,4
Ca,Nb,5
Ca,La,4
Ca,Ce,7
Ca,Pr,1
Ca,Nd,2
Ca,Ta,2
Ca,Pb,1
Ca,Th,21
Ca,U,3
Ti,H,7
Ti,O,8
Ti,Na,1
Ti,Al,1
Ti,Si,1
Ti,Ca,6
Ti,Ti,8
Ti,Mn,1
Ti,Fe,4
Ti,Y,3
Ti,Nb,7
Ti,La,1
Ti,Ce,3
Ti,Ta,2
Ti,Th,8
Ti,U,2
Mn,H,2
Mn,O,2
Mn,F,1
Mn,Na,1
Mn,Si,1
Mn,Ca,2
Mn,Ti,1
Mn,Mn,2
Mn,Nb,1
Mn,Th,2
Fe,H,5
Fe,Li,1
Fe,Be,1
Fe,B,2
Fe,O,7
Fe,F,2
Fe,Na,1
Fe,Al,2
Fe,Si,3
Fe,Ca,4
Fe,Ti,4
Fe,Fe,7
Fe,As,1
Fe,Y,1
Fe,Nb,5
Fe,La,3
Fe,Ce,4
Fe,Nd,1
Fe,Ta,1
Fe,Th,7
As,H,1
As,B,1
As,O,2
As,F,1
As,Na,1
As,Si,1
As,P,1
As,Ca,1
As,Fe,1
As,As,2
As,La,1
As,Ce,1
As,Th,2
Sr,H,1
Sr,O,1
Sr,Na,1
Sr,Si,1
Sr,Sr,1
Sr,Th,1
Y,H,3
Y,O,5
Y,Al,1
Y,Si,2
Y,P,1
Y,S,1
Y,Ca,4
Y,Ti,3
Y,Fe,1
Y,Y,5
Y,Nb,3
Y,Ce,1
Y,Ta,2
Y,Th,5
Y,U,1
Nb,H,6
Nb,O,8
Nb,Na,1
Nb,Al,1
Nb,Si,1
Nb,Ca,5
Nb,Ti,7
Nb,Mn,1
Nb,Fe,5
Nb,Y,3
Nb,Nb,8
Nb,La,1
Nb,Ce,3
Nb,Ta,2
Nb,Th,8
Nb,U,1
Mo,H,2
Mo,O,2
Mo,Mo,2
Mo,Th,2
Ba,H,2
Ba,C,2
Ba,O,3
Ba,F,1
Ba,Na,1
Ba,Si,1
Ba,Ba,3
Ba,La,1
Ba,Ce,1
Ba,Th,3
Ba,U,1
La,H,2
La,Li,1
La,Be,1
La,B,2
La,C,1
La,O,6
La,F,3
La,Na,2
La,Al,2
La,Si,5
La,P,1
La,K,1
La,Ca,4
La,Ti,1
La,Fe,3
La,As,1
La,Nb,1
La,Ba,1
La,La,6
La,Ce,6
La,Pr,1
La,Nd,2
La,Th,6
Ce,H,4
Ce,Li,1
Ce,Be,1
Ce,B,2
Ce,C,1
Ce,O,10
Ce,F,3
Ce,Na,2
Ce,Al,2
Ce,Si,5
Ce,P,2
Ce,K,1
Ce,Ca,7
Ce,Ti,3
Ce,Fe,4
Ce,As,1
Ce,Y,1
Ce,Nb,3
Ce,Ba,1
Ce,La,6
Ce,Ce,10
Ce,Pr,1
Ce,Nd,2
Ce,Ta,1
Ce,Th,10
Ce,U,1
Pr,O,1
Pr,Na,1
Pr,Si,1
Pr,P,1
Pr,Ca,1
Pr,La,1
Pr,Ce,1
Pr,Pr,1
Pr,Nd,1
Pr,Th,1
Nd,H,1
Nd,Li,1
Nd,Be,1
Nd,B,1
Nd,O,2
Nd,F,1
Nd,Na,1
Nd,Al,1
Nd,Si,2
Nd,P,1
Nd,Ca,2
Nd,Fe,1
Nd,La,2
Nd,Ce,2
Nd,Pr,1
Nd,Nd,2
Nd,Th,2
Ta,H,1
Ta,O,2
Ta,Ca,2
Ta,Ti,2
Ta,Fe,1
Ta,Y,2
Ta,Nb,2
Ta,Ce,1
Ta,Ta,2
Ta,Th,2
Ta,U,1
Pb,H,1
Pb,O,1
Pb,P,1
Pb,Ca,1
Pb,Pb,1
Pb,Th,1
Th,H,27
Th,Li,1
Th,Be,2
Th,B,3
Th,C,3
Th,O,41
Th,F,6
Th,Na,8
Th,Al,7
Th,Si,18
Th,P,10
Th,S,1
Th,K,4
Th,Ca,21
Th,Ti,8
Th,Mn,2
Th,Fe,7
Th,As,2
Th,Sr,1
Th,Y,5
Th,Nb,8
Th,Mo,2
Th,Ba,3
Th,La,6
Th,Ce,10
Th,Pr,1
Th,Nd,2
Th,Ta,2
Th,Pb,1
Th,Th,41
Th,U,5
U,H,4
U,Be,1
U,B,1
U,O,5
U,Al,2
U,Si,2
U,P,1
U,Ca,3
U,Ti,2
U,Y,1
U,Nb,1
U,Ba,1
U,Ce,1
U,Ta,1
U,Th,5
U,U,5
H,H,27
Li,H,1
Be,H,2
B,H,2
C,H,2
O,H,27
F,H,4
