from,to,weight
H,H,205
H,Li,7
H,B,5
H,C,2
H,O,205
H,F,49
H,Na,105
H,Mg,23
H,Al,27
H,Si,147
H,P,11
H,S,3
H,Cl,8
H,K,58
H,Ca,58
H,Ti,205
H,V,10
H,Cr,6
H,Mn,51
H,Fe,82
H,Cu,2
H,Zn,17
H,As,6
H,Sr,19
H,Y,14
H,Zr,9
H,Nb,72
H,Sb,4
H,Cs,3
H,Ba,47
H,La,4
H,Ce,22
H,Nd,2
H,Ta,3
H,Pb,3
H,Th,7
H,U,10
Li,H,7
Li,Li,16
Li,Be,1
Li,O,16
Li,F,6
Li,Na,10
Li,Mg,2
Li,Si,16
Li,K,9
Li,Ca,5
Li,Ti,16
Li,Mn,3
Li,Fe,5
Li,Zr,1
Li,Cs,1
Be,Li,1
Be,Be,6
Be,O,6
Be,Na,3
Be,Al,1
Be,Si,4
Be,K,2
Be,Ca,4
Be,Ti,6
Be,V,1
Be,Cr,2
Be,Fe,1
Be,As,1
Be,Sn,1
B,H,5
B,B,12
B,O,11
B,F,2
B,Na,3
B,Mg,4
B,Al,3
B,Si,9
B,P,1
B,Cl,3
B,K,1
B,Ca,3
B,Ti,12
B,V,1
B,Mn,1
B,Fe,5
B,Y,1
B,Nb,2
B,Ba,6
B,Ce,1
C,H,2
C,C,6
C,O,5
C,F,1
C,Na,4
C,Si,4
C,Ti,6
C,V,1
C,Fe,2
C,Zr,1
C,Ba,1
C,Ce,3
C,Nd,1
N,N,1
N,Ti,1
O,H,205
O,Li,16
O,Be,6
O,B,11
O,C,5
O,O,398
O,F,78
O,Na,169
O,Mg,58
O,Al,51
O,Si,240
O,P,16
O,S,5
O,Cl,13
O,K,83
O,Ca,124
O,Sc,1
O,Ti,398
O,V,18
O,Cr,19
O,Mn,73
O,Fe,161
O,Cu,3
O,Zn,19
O,As,15
O,Sr,32
O,Y,27
O,Zr,36
O,Nb,94
O,Sn,4
O,Sb,5
O,Te,1
O,Cs,3
O,Ba,75
O,La,9
O,Ce,39
O,Nd,3
O,Ta,13
O,W,2
O,Pb,10
O,Th,8
O,U,18
F,H,49
F,Li,6
F,B,2
F,C,1
F,O,78
F,F,78
F,Na,60
F,Mg,6
F,Al,3
F,Si,68
F,P,10
F,S,1
F,Cl,3
F,K,16
F,Ca,28
F,Ti,78
F,V,3
F,Cr,2
F,Mn,25
F,Fe,28
F,Cu,1
F,Zn,3
F,As,2
F,Sr,6
F,Y,8
F,Zr,7
F,Nb,24
F,Cs,2
F,Ba,29
F,La,1
F,Ce,8
F,Ta,1
F,U,2
Na,H,105
Na,Li,10
Na,Be,3
Na,B,3
Na,C,4
Na,O,169
Na,F,60
Na,Na,169
Na,Mg,20
Na,Al,12
Na,Si,150
Na,P,10
Na,S,3
Na,Cl,7
Na,K,46
Na,Ca,54
Na,Ti,169
Na,V,1
Na,Mn,42
Na,Fe,55
Na,Cu,2
Na,Zn,7
Na,As,5
Na,Sr,15
Na,Y,6
Na,Zr,12
Na,Nb,46
Na,Sb,1
Na,Cs,2
Na,Ba,42
Na,La,1
Na,Ce,15
Na,Nd,1
Na,Ta,2
Na,Pb,2
Na,Th,1
Na,U,2
Mg,H,23
Mg,Li,2
Mg,B,4
Mg,O,58
Mg,F,6
Mg,Na,20
Mg,Mg,58
Mg,Al,26
Mg,Si,32
Mg,P,2
Mg,Cl,3
Mg,K,13
Mg,Ca,17
Mg,Sc,1
Mg,Ti,58
Mg,V,1
Mg,Cr,8
Mg,Mn,6
Mg,Fe,43
Mg,Zn,3
Mg,As,1
Mg,Sr,5
Mg,Zr,6
Mg,Nb,3
Mg,Ba,13
Mg,La,2
Mg,Ce,5
Al,H,27
Al,Be,1
Al,B,3
Al,O,51
Al,F,3
Al,Na,12
Al,Mg,26
Al,Al,51
Al,Si,29
Al,P,3
Al,Cl,1
Al,K,10
Al,Ca,19
Al,Sc,1
Al,Ti,51
Al,V,1
Al,Cr,1
Al,Mn,4
Al,Fe,33
Al,Zn,5
Al,As,3
Al,Sr,1
Al,Zr,4
Al,Nb,2
Al,Sb,1
