from,to,weight
H,H,7
H,O,7
H,Al,1
H,S,4
H,Cl,2
H,K,2
H,V,2
H,Fe,2
H,Cu,1
H,As,1
H,Tl,7
O,H,7
O,O,11
O,Al,1
O,S,5
O,Cl,2
O,K,2
O,V,2
O,Mn,1
O,Fe,2
O,Cu,2
O,As,1
O,Te,1
O,Tl,11
O,Bi,1
Al,H,1
Al,O,1
Al,Al,1
Al,S,1
Al,Tl,1
S,H,4
S,O,5
S,Al,1
S,S,71
S,Cl,1
S,K,1
S,V,2
S,Mn,3
S,Fe,10
S,Ni,1
S,Cu,13
S,Zn,3
S,As,51
S,Ag,17
S,Sn,1
S,Sb,34
S,Au,2
S,Hg,9
S,Tl,71
S,Pb,23
S,Bi,1
Cl,H,2
Cl,O,2
Cl,S,1
Cl,Cl,6
Cl,K,2
Cl,Fe,1
Cl,Ni,1
Cl,Cu,2
Cl,Br,1
Cl,Tl,6
Cl,Pb,1
Cl,Bi,1
K,H,2
K,O,2
K,S,1
K,Cl,2
K,K,3
K,Cu,2
K,Sb,1
K,Tl,3
K,Pb,1
V,H,2
V,O,2
V,S,2
V,V,2
V,Tl,2
Mn,O,1
Mn,S,3
Mn,Mn,4
Mn,Cu,1
Mn,As,2
Mn,Sb,1
Mn,Hg,1
Mn,Tl,4
Mn,Pb,1
Fe,H,2
Fe,O,2
Fe,S,10
Fe,Cl,1
Fe,Fe,12
Fe,Ni,1
Fe,Cu,7
Fe,Zn,1
Fe,As,5
Fe,Se,1
Fe,Ag,2
Fe,Sb,3
Fe,Hg,1
Fe,Tl,12
Fe,Pb,1
Ni,S,1
Ni,Cl,1
Ni,Fe,1
Ni,Ni,1
Ni,Cu,1
Ni,Tl,1
Cu,H,1
Cu,O,2
Cu,S,13
Cu,Cl,2
Cu,K,2
Cu,Mn,1
Cu,Fe,7
Cu,Ni,1
Cu,Cu,19
Cu,Zn,2
Cu,As,9
Cu,Se,3
Cu,Ag,5
Cu,Sb,7
Cu,Hg,3
Cu,Tl,19
Cu,Pb,2
Zn,S,3
Zn,Fe,1
Zn,Cu,2
Zn,Zn,3
Zn,As,3
Zn,Ag,3
Zn,Sb,2
Zn,Hg,2
Zn,Tl,3
As,H,1
As,O,1
As,S,51
As,Mn,2
As,Fe,5
As,Cu,9
As,Zn,3
As,As,52
As,Ag,14
As,Sn,1
As,Sb,24
As,Hg,7
As,Tl,52
As,Pb,20
Se,Fe,1
Se,Cu,3
Se,Se,3
Se,Ag,1
Se,Tl,3
Br,Cl,1
Br,Br,1
Br,Tl,1
Pd,Pd,1
Pd,Tl,1
Ag,S,17
Ag,Fe,2
Ag,Cu,5
Ag,Zn,3
Ag,As,14
Ag,Se,1
Ag,Ag,18
Ag,Sb,13
Ag,Au,2
Ag,Hg,3
Ag,Tl,18
Ag,Pb,8
Sn,S,1
Sn,As,1
Sn,Sn,1
Sn,Tl,1
Sb,S,34
Sb,K,1
Sb,Mn,1
Sb,Fe,3
Sb,Cu,7
Sb,Zn,2
Sb,As,24
Sb,Ag,13
Sb,Sb,35
Sb,Au,2
Sb,Hg,6
Sb,Tl,35
Sb,Pb,12
Te,O,1
Te,Te,2
Te,Au,1
Te,Tl,2
I,I,1
I,Tl,1
Au,S,2
Au,Ag,2
Au,Sb,2
Au,Te,1
Au,Au,3
Au,Tl,3
Hg,S,9
Hg,Mn,1
Hg,Fe,1
