from,to,weight
H,H,283
H,Li,1
H,Be,1
H,B,1
H,C,41
H,N,12
H,O,283
H,F,10
H,Na,36
H,Mg,26
H,Al,23
H,Si,21
H,P,52
H,S,62
H,Cl,2
H,K,29
H,Ca,61
H,Ti,10
H,V,21
H,Cr,4
H,Mn,6
H,Fe,20
H,Co,4
H,Ni,4
H,Cu,18
H,Zn,6
H,As,36
H,Se,8
H,Sr,4
H,Y,12
H,Nb,4
H,Mo,9
H,Cs,1
H,Ba,15
H,La,2
H,Ce,5
H,Nd,6
H,Sm,2
H,Gd,1
H,Dy,1
H,Ta,1
H,W,1
H,Pb,33
H,Bi,7
H,Th,4
H,U,283
Li,H,1
Li,Li,1
Li,O,1
Li,Na,1
Li,S,1
Li,K,1
Li,U,1
Be,H,1
Be,Be,1
Be,B,1
Be,O,1
Be,Al,1
Be,Si,1
Be,Ca,1
Be,Th,1
Be,U,1
B,H,1
B,Be,1
B,B,1
B,O,1
B,Al,1
B,Si,1
B,Ca,1
B,Th,1
B,U,1
C,H,41
C,C,44
C,O,44
C,F,2
C,Na,7
C,Mg,8
C,Al,1
C,Si,2
C,S,2
C,K,4
C,Ca,25
C,Cu,4
C,Zn,1
C,Y,4
C,La,1
C,Ce,1
C,Nd,3
C,Sm,1
C,Gd,1
C,Dy,1
C,Pb,1
C,U,44
N,H,12
N,N,12
N,O,12
N,Na,3
N,P,2
N,S,9
N,V,1
N,Mn,1
N,As,1
N,U,12
O,H,283
O,Li,1
O,Be,1
O,B,1
O,C,44
O,N,12
O,O,311
O,F,12
O,Na,41
O,Mg,26
O,Al,23
O,Si,23
O,P,53
O,S,62
O,Cl,2
O,K,31
O,Ca,69
O,Ti,18
O,V,21
O,Cr,5
O,Mn,7
O,Fe,28
O,Co,4
O,Ni,4
O,Cu,18
O,Zn,6
O,As,36
O,Se,8
O,Sr,6
O,Y,16
O,Zr,1
O,Nb,12
O,Mo,10
O,Te,4
O,Cs,1
O,Ba,15
O,La,3
O,Ce,7
O,Nd,6
O,Sm,2
O,Gd,1
O,Dy,1
O,Ta,6
O,W,1
O,Pb,40
O,Bi,7
O,Th,5
O,U,311
F,H,10
F,C,2
F,O,12
F,F,12
F,Na,3
F,Mg,2
F,Al,5
F,P,1
F,S,3
F,Ca,4
F,Ti,2
F,V,2
F,Cr,2
F,Fe,2
F,As,2
F,Y,2
F,Nb,2
F,La,1
F,Ce,1
F,Ta,1
F,Pb,1
F,U,12
Na,H,36
Na,Li,1
Na,C,7
Na,N,3
Na,O,41
Na,F,3
Na,Na,41
Na,Mg,2
Na,Al,1
Na,Si,3
Na,P,2
Na,S,21
Na,Cl,1
Na,K,5
Na,Ca,10
Na,Ti,2
Na,V,1
Na,Mn,1
Na,Fe,2
Na,As,1
Na,Se,1
Na,Nb,3
Na,Mo,1
Na,Ce,1
Na,Ta,1
Na,Pb,3
Na,U,41
Mg,H,26
Mg,C,8
Mg,O,26
Mg,F,2
Mg,Na,2
Mg,Mg,26
Mg,Al,1
Mg,Si,2
Mg,P,3
Mg,S,6
Mg,K,1
Mg,Ca,5
Mg,Fe,2
Mg,Cu,1
Mg,As,4
Mg,Y,1
Mg,Mo,1
Mg,Pb,1
Mg,U,26
Al,H,23
Al,Be,1
Al,B,1
Al,C,1
Al,O,23
Al,F,5
Al,Na,1
Al,Mg,1
Al,Al,23
Al,Si,1
Al,P,14
Al,S,5
Al,Ca,1
Al,V,2
Al,Fe,2
Al,As,3
Al,Y,1
Al,Pb,1
Al,Th,2
Al,U,23
Si,H,21
Si,Be,1
Si,B,1
Si,C,2
Si,O,23
Si,Na,3
Si,Mg,2
Si,Al,1
Si,Si,23
Si,K,3
Si,Ca,8
Si,Co,1
Si,Cu,1
Si,Ba,1
Si,Nd,2
Si,Gd,1
Si,Dy,1
Si,Pb,2
Si,Th,2
Si,U,23
P,H,52
P,N,2
P,O,53
P,F,1
P,Na,2
P,Mg,3
P,Al,14
P,P,53
P,S,3
P,K,3
P,Ca,11
P,V,1
P,Mn,2
P,Fe,6
P,Cu,3
P,As,2
P,Ba,3
P,Ce,3
P,Nd,2
P,Sm,1
P,Pb,7
P,Bi,3
P,Th,1
P,U,53
S,H,62
S,Li,1
S,C,2
S,N,9
S,O,62
S,F,3
S,Na,21
S,Mg,6
S,Al,5
S,P,3
S,S,62
S,Cl,1
S,K,9
S,Ca,3
S,V,2
S,Mn,2
S,Fe,7
S,Co,2
S,Ni,1
S,Cu,2
S,Zn,2
S,Y,2
S,U,62
Cl,H,2
Cl,O,2
Cl,Na,1
Cl,S,1
Cl,Cl,2
Cl,U,2
K,H,29
K,Li,1
K,C,4
K,O,31
K,Na,5
K,Mg,1
K,Si,3
K,P,3
K,S,9
K,K,31
K,Ca,8
K,V,4
K,Mn,1
K,Fe,1
K,As,2
K,Sr,1
K,Cs,1
K,Ba,1
K,Pb,3
K,U,31
Ca,H,61
Ca,Be,1
Ca,B,1
Ca,C,25
Ca,O,69
Ca,F,4
Ca,Na,10
Ca,Mg,5
Ca,Al,1
Ca,Si,8
Ca,P,11
Ca,S,3
Ca,K,8
Ca,Ca,69
Ca,Ti,5
Ca,V,3
Ca,Fe,4
Ca,Cu,3
Ca,Zn,1
Ca,As,3
Ca,Se,1
Ca,Sr,1
Ca,Y,2
Ca,Zr,1
Ca,Nb,5
Ca,Mo,2
Ca,Ba,3
Ca,Ce,3
Ca,Nd,2
Ca,Sm,1
Ca,Gd,1
Ca,Dy,1
Ca,Ta,3
Ca,Pb,4
Ca,Th,3
Ca,U,69
Ti,H,10
Ti,O,18
Ti,F,2
Ti,Na,2
Ti,Ca,5
Ti,Ti,18
Ti,V,4
Ti,Cr,5
Ti,Mn,3
Ti,Fe,10
Ti,Zn,2
Ti,Sr,4
Ti,Y,9
Ti,Nb,5
Ti,La,2
Ti,Ce,3
Ti,Ta,2
Ti,Pb,5
Ti,Th,2
Ti,U,18
V,H,21
V,N,1
V,O,21
V,F,2
V,Na,1
V,Al,2
V,P,1
V,S,2
V,K,4
V,Ca,3
V,Ti,4
V,V,21
V,Cr,4
V,Mn,3
V,Fe,4
V,Cu,1
V,Zn,1
V,Sr,2
V,Y,4
V,Cs,1
V,Ba,1
V,La,1
V,Ce,1
V,Pb,2
V,U,21
Cr,H,4
Cr,O,5
Cr,F,2
Cr,Ti,5
Cr,V,4
Cr,Cr,5
Cr,Mn,2
Cr,Fe,5
Cr,Zn,1
Cr,Sr,2
Cr,Y,5
Cr,La,1
Cr,Ce,1
Cr,Pb,2
Cr,U,5
Mn,H,6
Mn,N,1
Mn,O,7
Mn,Na,1
Mn,P,2
Mn,S,2
Mn,K,1
Mn,Ti,3
Mn,V,3
Mn,Cr,2
Mn,Mn,7
Mn,Fe,3
Mn,Zn,1
Mn,Sr,1
Mn,Y,2
Mn,Ce,1
Mn,Pb,2
Mn,U,7
Fe,H,20
Fe,O,28
Fe,F,2
Fe,Na,2
Fe,Mg,2
Fe,Al,2
Fe,P,6
Fe,S,7
Fe,K,1
Fe,Ca,4
Fe,Ti,10
Fe,V,4
Fe,Cr,5
Fe,Mn,3
Fe,Fe,28
Fe,Zn,2
Fe,As,2
Fe,Sr,4
Fe,Y,7
Fe,Zr,1
Fe,Nb,4
Fe,Ba,1
Fe,La,2
Fe,Ce,2
Fe,Ta,3
Fe,W,1
Fe,Pb,7
Fe,U,28
Co,H,4
Co,O,4
Co,Si,1
Co,S,2
Co,Co,4
Co,As,1
Co,U,4
Ni,H,4
Ni,O,4
Ni,S,1
Ni,Ni,4
Ni,As,3
Ni,U,4
Cu,H,18
Cu,C,4
Cu,O,18
Cu,Mg,1
Cu,Si,1
Cu,P,3
Cu,S,2
Cu,Ca,3
Cu,V,1
Cu,Cu,18
Cu,As,2
Cu,Se,3
Cu,Mo,1
Cu,La,1
Cu,Ce,1
Cu,Nd,1
Cu,Pb,1
Cu,U,18
Zn,H,6
Zn,C,1
Zn,O,6
Zn,S,2
Zn,Ca,1
Zn,Ti,2
Zn,V,1
Zn,Cr,1
Zn,Mn,1
Zn,Fe,2
Zn,Zn,6
Zn,As,1
Zn,Sr,1
Zn,Y,1
Zn,Pb,2
Zn,U,6
As,H,36
As,N,1
As,O,36
As,F,2
As,Na,1
As,Mg,4
As,Al,3
As,P,2
As,K,2
As,Ca,3
As,Fe,2
As,Co,1
As,Ni,3
