from,to,weight
H,H,191
H,B,4
H,C,6
H,N,8
H,O,190
H,F,6
H,Na,29
H,Mg,29
H,Al,38
H,Si,30
H,P,18
H,S,12
H,Cl,4
H,K,16
H,Ca,60
H,Ti,10
H,V,191
H,Cr,6
H,Mn,27
H,Fe,29
H,Co,1
H,Ni,3
H,Cu,13
H,Zn,7
H,As,13
H,Sr,8
H,Y,5
H,Zr,1
H,Nb,1
H,Sb,1
H,Cs,1
H,Ba,13
H,La,2
H,Ce,2
H,W,1
H,Tl,2
H,Pb,15
H,Bi,5
H,U,21
Li,Li,2
Li,O,2
Li,Na,1
Li,Si,2
Li,K,2
Li,V,2
Li,Mn,1
Li,Fe,1
Be,Be,1
Be,O,1
Be,Ti,1
Be,V,1
Be,Cr,1
B,H,4
B,B,6
B,O,6
B,F,2
B,Na,3
B,Mg,5
B,Al,1
B,Si,4
B,P,2
B,Cl,1
B,Ti,1
B,V,6
B,Cr,1
B,As,2
B,Mo,1
B,Ba,1
B,W,2
C,H,6
C,C,7
C,N,1
C,O,6
C,F,1
C,Na,1
C,Mg,1
C,Al,1
C,Si,2
C,P,2
C,K,1
C,Ca,4
C,Ti,1
C,V,7
C,Mn,1
C,Fe,1
C,Zr,1
C,Nb,1
C,Ba,1
N,H,8
N,C,1
N,N,9
N,O,8
N,Na,3
N,Mg,1
N,P,2
N,S,1
N,Cl,1
N,K,1
N,Ca,2
N,V,9
N,As,1
N,U,1
O,H,190
O,Li,2
O,Be,1
O,B,6
O,C,6
O,N,8
O,O,273
O,F,12
O,Na,37
O,Mg,37
O,Al,42
O,Si,46
O,P,20
O,S,14
O,Cl,15
O,K,23
O,Ca,72
O,Ti,18
O,V,273
O,Cr,8
O,Mn,33
O,Fe,41
O,Co,1
O,Ni,3
O,Cu,32
O,Zn,8
O,As,22
O,Rb,1
O,Sr,9
O,Y,6
O,Zr,1
O,Nb,1
O,Mo,3
O,Ag,1
O,Sb,2
O,Te,1
O,Cs,2
O,Ba,22
O,La,3
O,Ce,3
O,Nd,1
O,W,3
O,Hg,1
O,Tl,2
O,Pb,26
O,Bi,8
O,U,21
F,H,6
F,B,2
F,C,1
F,O,12
F,F,12
F,Mg,3
F,Al,3
F,Si,2
F,P,4
F,Ca,4
F,Ti,3
F,V,12
F,Cr,2
F,Fe,3
F,Cu,2
F,As,3
F,Y,2
F,Mo,1
F,Ba,3
F,La,1
F,Ce,1
F,W,2
F,Pb,1
F,U,2
Na,H,29
Na,Li,1
Na,B,3
Na,C,1
Na,N,3
Na,O,37
Na,Na,37
Na,Mg,14
Na,Al,7
Na,Si,10
Na,P,2
Na,S,1
Na,Cl,1
Na,K,6
Na,Ca,14
Na,Ti,1
Na,V,37
Na,Cr,1
Na,Mn,6
Na,Fe,4
Na,Cu,1
Na,As,3
Na,Sr,1
Na,Zr,1
Na,Nb,1
Na,Ba,1
Na,U,1
Mg,H,29
Mg,B,5
Mg,C,1
Mg,N,1
Mg,O,37
Mg,F,3
Mg,Na,14
Mg,Mg,37
Mg,Al,10
Mg,Si,11
Mg,P,4
Mg,S,1
Mg,K,5
Mg,Ca,12
Mg,Ti,1
Mg,V,37
Mg,Cr,1
Mg,Mn,5
