from,to,weight
H,H,25
H,C,1
H,O,25
H,Na,5
H,Mg,4
H,Al,4
H,Si,5
H,P,1
H,S,1
H,Cl,2
H,K,1
H,Ca,7
H,V,1
H,Mn,4
H,Fe,11
H,Cu,1
H,Zn,1
H,As,2
H,Sr,2
H,Y,2
H,Zr,3
H,Nb,1
H,Mo,1
H,Cs,1
H,Ba,1
H,Ce,3
H,Nd,1
H,W,25
H,Pb,5
H,U,1
B,B,2
B,O,2
B,F,2
B,Mg,2
B,P,2
B,V,2
B,As,2
B,Mo,1
B,W,2
C,H,1
C,C,2
C,O,1
C,Na,1
C,Si,1
C,Ca,1
C,Mn,1
C,Zr,1
C,Ce,1
C,W,2
O,H,25
O,B,2
O,C,1
O,O,45
O,F,2
O,Na,5
O,Mg,7
O,Al,5
O,Si,6
O,P,3
O,S,1
O,Cl,4
O,K,3
O,Ca,9
O,Ti,2
O,V,3
O,Mn,7
O,Fe,15
O,Cu,1
O,Zn,2
O,As,5
O,Sr,2
O,Y,3
O,Zr,3
O,Nb,5
O,Mo,2
O,Sb,2
O,Te,1
O,Cs,1
O,Ba,2
O,Ce,3
O,Nd,1
O,Ta,2
O,W,45
O,Pb,8
O,Bi,1
O,U,1
F,B,2
F,O,2
F,F,2
F,Mg,2
F,P,2
F,V,2
F,As,2
F,Mo,1
F,W,2
Na,H,5
Na,C,1
Na,O,5
Na,Na,5
Na,Si,3
Na,P,1
Na,Cl,2
Na,Ca,3
Na,Mn,2
Na,Fe,3
Na,As,1
Na,Sr,2
Na,Zr,3
Na,Ce,1
Na,W,5
Mg,H,4
Mg,B,2
Mg,O,7
Mg,F,2
Mg,Mg,7
Mg,Al,1
Mg,Si,2
Mg,P,2
Mg,S,1
Mg,Ca,1
Mg,V,2
Mg,Mn,2
Mg,Fe,2
Mg,Zn,1
Mg,As,2
Mg,Nb,1
Mg,Mo,2
Mg,Ce,1
Mg,W,7
Al,H,4
Al,O,5
Al,Mg,1
Al,Al,5
Al,S,1
Al,K,1
Al,Fe,1
Al,Nb,1
Al,Mo,1
Al,W,5
Al,Pb,1
Si,H,5
Si,C,1
Si,O,6
Si,Na,3
Si,Mg,2
Si,Si,6
Si,Cl,3
Si,Ca,3
Si,Ti,1
Si,Mn,3
Si,Fe,2
Si,Sr,2
Si,Zr,3
Si,Nb,1
Si,Ba,1
Si,Ce,2
Si,W,6
P,H,1
P,B,2
P,O,3
P,F,2
P,Na,1
P,Mg,2
P,P,3
P,V,2
P,Fe,1
P,As,3
P,Mo,1
P,W,3
S,H,1
S,O,1
S,Mg,1
S,Al,1
S,S,5
S,Fe,1
S,Cu,3
S,Zn,1
S,Ge,2
S,Nb,1
S,Mo,1
S,Sn,1
S,W,5
Cl,H,2
Cl,O,4
Cl,Na,2
Cl,Si,3
Cl,Cl,4
Cl,Ca,2
Cl,Ti,1
Cl,Mn,1
Cl,Fe,1
Cl,Sr,2
Cl,Zr,2
Cl,Nb,1
Cl,Ba,1
Cl,W,4
Cl,Pb,1
K,H,1
K,O,3
K,Al,1
K,K,3
K,Ca,1
K,Fe,1
K,Te,1
K,Cs,1
K,W,3
K,Pb,1
Ca,H,7
Ca,C,1
Ca,O,9
Ca,Na,3
Ca,Mg,1
Ca,Si,3
Ca,Cl,2
Ca,K,1
Ca,Ca,9
Ca,V,1
Ca,Mn,3
Ca,Fe,5
Ca,Zn,1
Ca,As,2
Ca,Sr,2
Ca,Y,1
Ca,Zr,3
Ca,Cs,1
Ca,Ce,1
Ca,W,9
Ca,Pb,1
Ti,O,2
Ti,Si,1
Ti,Cl,1
Ti,Ti,2
Ti,Mn,1
Ti,Fe,1
Ti,Nb,2
Ti,Ba,1
Ti,Ta,1
Ti,W,2
V,H,1
V,B,2
