from,to,weight
H,H,77
H,Li,2
H,Be,3
H,B,4
H,C,31
H,O,77
H,F,16
H,Na,23
H,Mg,1
H,Al,14
H,Si,27
H,P,8
H,S,8
H,Cl,2
H,K,5
H,Ca,31
H,Ti,14
H,V,5
H,Cr,4
H,Mn,4
H,Fe,10
H,Cu,4
H,Zn,3
H,As,1
H,Sr,4
H,Y,77
H,Zr,2
H,Nb,7
H,Ba,5
H,La,3
H,Ce,10
H,Nd,7
H,Sm,2
H,Gd,3
H,Dy,2
H,Er,1
H,Yb,3
H,Ta,3
H,W,2
H,Pb,3
H,Th,3
H,U,12
Li,H,2
Li,Li,2
Li,C,2
Li,O,2
Li,F,2
Li,Na,2
Li,P,2
Li,Ca,1
Li,Y,2
Li,Zr,1
Be,H,3
Be,Be,9
Be,B,2
Be,O,9
Be,F,2
Be,Na,1
Be,Al,1
Be,Si,9
Be,Cl,1
Be,K,2
Be,Ca,5
Be,Mn,2
Be,Fe,3
Be,Y,9
Be,Ba,1
Be,La,1
Be,Ce,1
Be,Nd,1
Be,Yb,1
Be,Pb,1
B,H,4
B,Be,2
B,B,14
B,C,1
B,O,14
B,F,10
B,Na,3
B,Mg,1
B,Al,3
B,Si,13
B,P,3
B,Cl,1
B,K,2
B,Ca,9
B,Ti,1
B,Mn,4
B,Fe,4
B,As,2
B,Y,14
B,Nb,1
B,Ba,4
B,Ce,3
B,Pb,2
C,H,31
C,Li,2
C,B,1
C,C,36
C,O,36
C,F,8
C,Na,16
C,Mg,1
C,Al,4
C,Si,4
C,P,3
C,S,3
C,Cl,3
C,K,2
C,Ca,14
C,Mn,1
C,Cu,2
C,Sr,3
C,Y,36
C,Zr,1
C,Ba,4
C,La,2
C,Ce,5
C,Nd,5
C,Sm,2
C,Gd,3
C,Dy,2
C,Er,1
C,Yb,1
C,Pb,1
C,U,4
O,H,77
O,Li,2
O,Be,9
O,B,14
O,C,36
O,O,135
O,F,37
O,Na,34
O,Mg,4
O,Al,18
O,Si,59
O,P,12
O,S,9
O,Cl,4
O,K,9
O,Ca,54
O,Sc,1
O,Ti,27
O,V,6
O,Cr,5
O,Mn,11
O,Fe,24
O,Cu,4
O,Zn,3
O,As,5
O,Sr,7
O,Y,135
O,Zr,5
O,Nb,16
O,Ba,8
O,La,4
O,Ce,17
O,Nd,8
O,Sm,2
O,Gd,3
O,Dy,2
