from,to,weight
H,H,3
H,Be,1
H,C,1
H,O,3
H,Al,1
H,Si,3
H,Ca,1
H,Y,3
H,Er,1
H,Yb,3
Be,H,1
Be,Be,1
Be,O,1
Be,Si,1
Be,Y,1
Be,Yb,1
C,H,1
C,C,1
C,O,1
C,Si,1
C,Ca,1
C,Y,1
C,Er,1
C,Yb,1
O,H,3
O,Be,1
O,C,1
O,O,6
O,Al,1
O,Si,4
O,P,1
O,Ca,1
O,Fe,1
O,Y,3
O,Nb,1
O,Er,1
O,Yb,6
O,Ta,1
Al,H,1
Al,O,1
Al,Al,1
Al,Si,1
Al,Y,1
Al,Yb,1
Si,H,3
Si,Be,1
Si,C,1
Si,O,4
Si,Al,1
Si,Si,4
Si,Ca,1
Si,Y,3
Si,Er,1
Si,Yb,4
P,O,1
P,P,1
P,Yb,1
Ca,H,1
Ca,C,1
Ca,O,1
Ca,Si,1
Ca,Ca,1
Ca,Y,1
Ca,Er,1
Ca,Yb,1
Fe,O,1
Fe,Fe,1
Fe,Nb,1
Fe,Yb,1
Fe,Ta,1
Y,H,3
Y,Be,1
Y,C,1
Y,O,3
Y,Al,1
Y,Si,3
Y,Ca,1
Y,Y,3
Y,Er,1
Y,Yb,3
Nb,O,1
Nb,Fe,1
Nb,Nb,1
Nb,Yb,1
Nb,Ta,1
Er,H,1
Er,C,1
Er,O,1
Er,Si,1
Er,Ca,1
Er,Y,1
Er,Er,1
Er,Yb,1
Yb,H,3
Yb,Be,1
Yb,C,1
Yb,O,6
Yb,Al,1
Yb,Si,4
Yb,P,1
Yb,Ca,1
Yb,Fe,1
Yb,Y,3
Yb,Nb,1
Yb,Er,1
Yb,Yb,6
Yb,Ta,1
Ta,O,1
Ta,Fe,1
Ta,Nb,1
Ta,Yb,1
Ta,Ta,1
H,H,3
Be,H,1
C,H,1
O,H,3
Al,H,1
Si,H,3
Ca,H,1
Y,H,3
Er,H,1
Yb,H,3
H,Be,1
Be,Be,1
O,Be,1
Si,Be,1
Y,Be,1
Yb,Be,1
H,C,1
C,C,1
O,C,1
Si,C,1
Ca,C,1
Y,C,1
Er,C,1
Yb,C,1
H,O,3
Be,O,1
C,O,1
O,O,6
Al,O,1
Si,O,4
P,O,1
Ca,O,1
Fe,O,1
Y,O,3
Nb,O,1
Er,O,1
Yb,O,6
Ta,O,1
H,Al,1
O,Al,1
Al,Al,1
Si,Al,1
Y,Al,1
Yb,Al,1
H,Si,3
Be,Si,1
C,Si,1
O,Si,4
Al,Si,1
Si,Si,4
Ca,Si,1
Y,Si,3
Er,Si,1
Yb,Si,4
O,P,1
P,P,1
Yb,P,1
H,Ca,1
C,Ca,1
O,Ca,1
Si,Ca,1
Ca,Ca,1
Y,Ca,1
Er,Ca,1
Yb,Ca,1
O,Fe,1
Fe,Fe,1
Nb,Fe,1
Yb,Fe,1
Ta,Fe,1
H,Y,3
Be,Y,1
C,Y,1
O,Y,3
Al,Y,1
Si,Y,3
Ca,Y,1
Y,Y,3
Er,Y,1
Yb,Y,3
O,Nb,1
Fe,Nb,1
Nb,Nb,1
Yb,Nb,1
Ta,Nb,1
H,Er,1
C,Er,1
O,Er,1
Si,Er,1
Ca,Er,1
Y,Er,1
Er,Er,1
Yb,Er,1
H,Yb,3
Be,Yb,1
C,Yb,1
O,Yb,6
Al,Yb,1
Si,Yb,4
P,Yb,1
Ca,Yb,1
Fe,Yb,1
Y,Yb,3
Nb,Yb,1
Er,Yb,1
Yb,Yb,6
Ta,Yb,1
O,Ta,1
Fe,Ta,1
Nb,Ta,1
Yb,Ta,1
Ta,Ta,1
