from,to,weight
H,H,239
H,Be,3
H,C,17
H,N,1
H,O,239
H,F,3
H,Na,15
H,Mg,37
H,Al,40
H,Si,37
H,P,45
H,S,58
H,Cl,12
H,K,11
H,Ca,34
H,Ti,17
H,V,7
H,Cr,4
H,Mn,42
H,Fe,62
H,Ni,3
H,Cu,41
H,Zn,239
H,As,59
H,Sr,2
H,Y,3
H,Nb,6
H,Ag,1
H,Cd,3
H,Sn,8
H,Sb,5
H,Te,7
H,Ba,2
H,Ce,1
H,W,1
H,Pb,29
H,U,6
Li,Li,2
Li,O,2
Li,Na,1
Li,Si,2
Li,K,2
Li,Mn,2
Li,Zn,2
Be,H,3
Be,Be,6
Be,O,6
Be,Mg,2
Be,Al,2
Be,Si,2
Be,P,2
Be,S,1
Be,Ca,3
Be,Mn,1
Be,Fe,2
Be,Zn,6
B,B,1
B,O,1
B,Cl,1
B,K,1
B,Zn,1
C,H,17
C,C,19
C,O,19
C,Mg,3
C,Al,1
C,P,1
C,S,4
C,Ca,3
C,Cr,1
C,Mn,2
C,Fe,2
C,Cu,4
C,Zn,19
C,As,1
C,U,1
N,H,1
N,N,1
N,O,1
N,S,1
N,Zn,1
O,H,239
O,Li,2
O,Be,6
O,B,1
O,C,19
O,N,1
O,O,292
O,F,3
O,Na,23
O,Mg,44
O,Al,45
O,Si,54
O,P,47
O,S,65
O,Cl,16
O,K,21
O,Ca,45
O,Ti,19
O,V,8
O,Cr,5
O,Mn,54
O,Fe,72
O,Ni,3
O,Cu,46
O,Zn,292
O,As,67
O,Se,3
O,Sr,4
O,Y,3
O,Nb,6
O,Ag,1
O,Cd,3
O,Sn,8
O,Sb,7
O,Te,14
O,Ba,3
O,La,2
O,Ce,4
O,W,2
O,Pb,37
O,U,6
F,H,3
F,O,3
F,F,3
F,Na,3
F,Si,2
F,Ti,3
F,Fe,1
F,Zn,3
F,Y,1
F,Nb,2
F,Ba,1
F,Ce,1
Na,H,15
Na,Li,1
Na,O,23
Na,F,3
Na,Na,24
Na,Mg,6
Na,Al,5
Na,Si,14
Na,S,6
Na,Cl,1
Na,K,6
Na,Ca,5
Na,Ti,7
Na,Mn,5
Na,Fe,3
Na,Cu,3
Na,Zn,24
Na,As,3
Na,Sr,3
Na,Y,1
Na,Nb,3
Na,Ba,2
Na,La,2
Na,Ce,4
Mg,H,37
Mg,Be,2
Mg,C,3
Mg,O,44
Mg,Na,6
Mg,Mg,44
Mg,Al,16
Mg,Si,12
Mg,P,5
Mg,S,6
Mg,Cl,1
Mg,K,3
Mg,Ca,8
Mg,Ti,3
Mg,Mn,23
Mg,Fe,19
Mg,Cu,3
Mg,Zn,44
Mg,As,10
Mg,Sr,2
Mg,Sn,3
Mg,Sb,1
Mg,Te,3
Mg,La,2
Mg,Ce,2
Mg,W,1
Mg,Pb,1
Al,H,40
Al,Be,2
Al,C,1
Al,O,45
Al,Na,5
Al,Mg,16
Al,Al,47
Al,Si,13
Al,P,6
Al,S,8
Al,K,7
Al,Ca,3
Al,Ti,5
Al,V,3
Al,Mn,9
Al,Fe,20
Al,Ni,2
Al,Cu,3
Al,Zn,47
Al,As,4
Al,Sn,6
Al,Sb,1
Si,H,37
Si,Li,2
Si,Be,2
Si,O,54
Si,F,2
Si,Na,14
Si,Mg,12
Si,Al,13
Si,Si,54
Si,P,1
Si,S,5
Si,Cl,1
Si,K,14
Si,Ca,14
Si,Ti,8
Si,V,1
Si,Cr,1
Si,Mn,18
Si,Fe,9
Si,Ni,1
Si,Cu,2
Si,Zn,54
Si,As,7
Si,Sr,3
Si,Nb,5
Si,Sb,1
Si,Ba,3
Si,La,2
Si,Ce,4
Si,Pb,6
P,H,45
P,Be,2
P,C,1
P,O,47
P,Mg,5
P,Al,6
P,Si,1
P,P,47
P,S,1
P,Ca,11
P,Mn,12
P,Fe,19
P,Cu,7
P,Zn,47
P,As,3
P,Te,1
P,Pb,5
S,H,58
S,Be,1
S,C,4
S,N,1
S,O,65
S,Na,6
S,Mg,6
S,Al,8
S,Si,5
S,P,1
S,S,98
S,Cl,4
S,K,4
S,Ca,6
S,Cr,2
S,Mn,7
S,Fe,27
S,Cu,37
S,Zn,98
S,Ga,3
S,Ge,5
S,As,9
S,Ag,11
S,Cd,2
S,In,3
S,Sn,7
S,Sb,7
S,W,1
S,Hg,3
S,Tl,3
S,Pb,10
S,U,2
Cl,H,12
Cl,B,1
Cl,O,16
Cl,Na,1
Cl,Mg,1
Cl,Si,1
Cl,S,4
Cl,Cl,18
Cl,K,6
Cl,Ca,1
Cl,Mn,1
Cl,Fe,1
Cl,Cu,7
Cl,Zn,18
Cl,As,2
Cl,Se,2
Cl,Ag,1
Cl,Te,3
Cl,Pb,3
K,H,11
K,Li,2
K,B,1
K,O,21
K,Na,6
K,Mg,3
K,Al,7
K,Si,14
K,S,4
K,Cl,6
K,K,23
K,Ca,4
K,Ti,4
K,Mn,4
K,Fe,3
K,Cu,1
K,Zn,23
K,As,2
K,Se,1
K,Sr,1
K,Nb,4
K,Ba,1
K,Pb,1
Ca,H,34
Ca,Be,3
Ca,C,3
Ca,O,45
Ca,Na,5
Ca,Mg,8
Ca,Al,3
Ca,Si,14
Ca,P,11
Ca,S,6
Ca,Cl,1
Ca,K,4
Ca,Ca,45
Ca,Mn,11
Ca,Fe,10
Ca,Cu,5
Ca,Zn,45
Ca,As,10
Ca,Sr,2
Ca,Cd,1
Ca,Te,2
Ca,La,2
Ca,Ce,2
Ca,W,1
Ca,Pb,1
Ca,U,1
Ti,H,17
Ti,O,19
Ti,F,3
Ti,Na,7
Ti,Mg,3
Ti,Al,5
Ti,Si,8
Ti,K,4
Ti,Ti,19
Ti,V,1
Ti,Cr,1
Ti,Mn,5
Ti,Fe,11
Ti,Zn,19
Ti,Sr,2
Ti,Y,3
Ti,Nb,6
Ti,Ba,2
Ti,Ce,1
Ti,Pb,3
Ti,U,2
V,H,7
V,O,8
V,Al,3
V,Si,1
V,Ti,1
V,V,8
V,Cr,1
V,Mn,1
V,Fe,1
V,Ni,3
V,Cu,1
V,Zn,8
V,Y,1
V,Te,1
V,Pb,3
V,U,1
Cr,H,4
Cr,C,1
Cr,O,5
Cr,Si,1
Cr,S,2
Cr,Ti,1
Cr,V,1
Cr,Cr,7
Cr,Mn,2
Cr,Fe,1
Cr,Cu,1
Cr,Zn,7
Cr,As,1
Cr,Y,1
Cr,Sb,1
Cr,Pb,3
Cr,U,1
Mn,H,42
Mn,Li,2
Mn,Be,1
Mn,C,2
Mn,O,54
Mn,Na,5
Mn,Mg,23
Mn,Al,9
Mn,Si,18
Mn,P,12
Mn,S,7
Mn,Cl,1
Mn,K,4
Mn,Ca,11
Mn,Ti,5
Mn,V,1
Mn,Cr,2
Mn,Mn,55
Mn,Fe,28
Mn,Zn,55
Mn,As,10
Mn,Sr,2
Mn,Y,2
Mn,Sb,1
Mn,Te,2
Mn,La,2
Mn,Ce,2
Mn,W,1
Mn,Pb,5
Mn,U,1
Fe,H,62
Fe,Be,2
Fe,C,2
Fe,O,72
Fe,F,1
Fe,Na,3
Fe,Mg,19
Fe,Al,20
Fe,Si,9
Fe,P,19
Fe,S,27
Fe,Cl,1
Fe,K,3
Fe,Ca,10
Fe,Ti,11
Fe,V,1
Fe,Cr,1
Fe,Mn,28
Fe,Fe,88
Fe,Cu,14
Fe,Zn,88
Fe,Ga,2
Fe,Ge,5
Fe,As,16
Fe,Sr,1
Fe,Y,3
Fe,Nb,1
Fe,Ag,3
Fe,Cd,1
Fe,In,3
Fe,Sn,9
Fe,Sb,2
Fe,Te,1
Fe,W,3
Fe,Hg,1
Fe,Tl,1
Fe,Pb,8
Fe,U,2
Ni,H,3
Ni,O,3
Ni,Al,2
Ni,Si,1
Ni,V,3
Ni,Ni,3
Ni,Cu,1
Ni,Zn,3
Cu,H,41
Cu,C,4
Cu,O,46
Cu,Na,3
Cu,Mg,3
Cu,Al,3
Cu,Si,2
Cu,P,7
Cu,S,37
Cu,Cl,7
Cu,K,1
Cu,Ca,5
Cu,V,1
Cu,Cr,1
Cu,Fe,14
Cu,Ni,1
Cu,Cu,75
Cu,Zn,75
Cu,Ga,3
Cu,Ge,5
Cu,As,22
Cu,Se,3
Cu,Pd,1
Cu,Ag,7
Cu,Cd,3
Cu,In,3
Cu,Sn,6
Cu,Sb,9
Cu,Te,4
Cu,W,1
Cu,Hg,2
Cu,Tl,2
Cu,Pb,5
Zn,H,239
Zn,Li,2
Zn,Be,6
Zn,B,1
Zn,C,19
Zn,N,1
Zn,O,292
Zn,F,3
Zn,Na,24
Zn,Mg,44
Zn,Al,47
Zn,Si,54
Zn,P,47
Zn,S,98
Zn,Cl,18
Zn,K,23
Zn,Ca,45
Zn,Ti,19
Zn,V,8
Zn,Cr,7
Zn,Mn,55
Zn,Fe,88
Zn,Ni,3
Zn,Cu,75
Zn,Zn,336
Zn,Ga,3
Zn,Ge,5
Zn,As,76
Zn,Se,6
Zn,Sr,4
Zn,Y,3
Zn,Nb,6
Zn,Pd,1
Zn,Ag,12
Zn,Cd,4
Zn,In,3
Zn,Sn,15
Zn,Sb,15
Zn,Te,14
Zn,Ba,3
Zn,La,2
Zn,Ce,4
Zn,W,3
Zn,Hg,3
Zn,Tl,3
Zn,Pb,37
Zn,U,6
Ga,S,3
Ga,Fe,2
Ga,Cu,3
Ga,Zn,3
Ga,Ga,3
Ga,Ge,1
Ga,In,1
Ge,S,5
Ge,Fe,5
Ge,Cu,5
Ge,Zn,5
Ge,Ga,1
Ge,Ge,5
Ge,As,1
Ge,W,1
As,H,59
As,C,1
As,O,67
As,Na,3
As,Mg,10
As,Al,4
As,Si,7
As,P,3
As,S,9
As,Cl,2
As,K,2
As,Ca,10
As,Cr,1
As,Mn,10
As,Fe,16
As,Cu,22
As,Zn,76
As,Ge,1
As,As,76
As,Se,1
As,Ag,5
As,Cd,2
As,Sb,5
As,Te,3
As,Hg,2
As,Tl,3
As,Pb,13
As,U,1
Se,O,3
Se,Cl,2
Se,K,1
Se,Cu,3
Se,Zn,6
Se,As,1
Se,Se,6
Se,Sb,1
Se,Pb,1
Sr,H,2
Sr,O,4
Sr,Na,3
Sr,Mg,2
Sr,Si,3
Sr,K,1
Sr,Ca,2
Sr,Ti,2
Sr,Mn,2
Sr,Fe,1
Sr,Zn,4
Sr,Sr,4
Sr,Nb,1
Sr,La,2
Sr,Ce,2
Sr,Pb,1
Sr,U,1
Y,H,3
Y,O,3
Y,F,1
Y,Na,1
Y,Ti,3
Y,V,1
Y,Cr,1
Y,Mn,2
Y,Fe,3
Y,Zn,3
Y,Y,3
Y,Nb,1
Y,Pb,2
Y,U,1
Nb,H,6
Nb,O,6
Nb,F,2
Nb,Na,3
Nb,Si,5
Nb,K,4
Nb,Ti,6
Nb,Fe,1
Nb,Zn,6
Nb,Sr,1
Nb,Y,1
Nb,Nb,6
Nb,Ba,1
Pd,Cu,1
Pd,Zn,1
Pd,Pd,1
Ag,H,1
Ag,O,1
Ag,S,11
Ag,Cl,1
Ag,Fe,3
Ag,Cu,7
Ag,Zn,12
Ag,As,5
Ag,Ag,12
Ag,In,1
Ag,Sn,3
Ag,Sb,5
Ag,Te,1
Ag,Hg,2
Ag,Tl,3
Ag,Pb,1
Cd,H,3
Cd,O,3
Cd,S,2
Cd,Ca,1
Cd,Fe,1
Cd,Cu,3
Cd,Zn,4
Cd,As,2
Cd,Cd,4
Cd,Sn,1
In,S,3
In,Fe,3
In,Cu,3
In,Zn,3
In,Ga,1
In,Ag,1
In,In,3
In,Sn,2
Sn,H,8
Sn,O,8
Sn,Mg,3
Sn,Al,6
Sn,S,7
Sn,Fe,9
Sn,Cu,6
Sn,Zn,15
Sn,Ag,3
Sn,Cd,1
Sn,In,2
Sn,Sn,15
Sb,H,5
Sb,O,7
Sb,Mg,1
Sb,Al,1
Sb,Si,1
Sb,S,7
Sb,Cr,1
Sb,Mn,1
Sb,Fe,2
Sb,Cu,9
Sb,Zn,15
Sb,As,5
Sb,Se,1
Sb,Ag,5
Sb,Sb,15
Sb,Te,1
Sb,Hg,2
Sb,Tl,2
Sb,Pb,1
Te,H,7
Te,O,14
Te,Mg,3
Te,P,1
Te,Cl,3
Te,Ca,2
Te,V,1
Te,Mn,2
Te,Fe,1
Te,Cu,4
Te,Zn,14
Te,As,3
Te,Ag,1
Te,Sb,1
Te,Te,14
Te,Pb,5
Ba,H,2
Ba,O,3
Ba,F,1
Ba,Na,2
Ba,Si,3
Ba,K,1
Ba,Ti,2
Ba,Zn,3
Ba,Nb,1
Ba,Ba,3
Ba,Ce,2
La,O,2
La,Na,2
La,Mg,2
La,Si,2
La,Ca,2
La,Mn,2
La,Zn,2
La,Sr,2
La,La,2
La,Ce,2
Ce,H,1
Ce,O,4
Ce,F,1
Ce,Na,4
Ce,Mg,2
Ce,Si,4
Ce,Ca,2
Ce,Ti,1
Ce,Mn,2
Ce,Zn,4
Ce,Sr,2
Ce,Ba,2
Ce,La,2
Ce,Ce,4
W,H,1
W,O,2
W,Mg,1
W,S,1
W,Ca,1
W,Mn,1
W,Fe,3
W,Cu,1
W,Zn,3
W,Ge,1
W,W,3
Hg,S,3
Hg,Fe,1
Hg,Cu,2
Hg,Zn,3
Hg,As,2
Hg,Ag,2
Hg,Sb,2
Hg,Hg,3
Hg,Tl,2
Tl,S,3
Tl,Fe,1
Tl,Cu,2
Tl,Zn,3
Tl,As,3
Tl,Ag,3
Tl,Sb,2
Tl,Hg,2
Tl,Tl,3
Pb,H,29
Pb,O,37
Pb,Mg,1
Pb,Si,6
Pb,P,5
Pb,S,10
Pb,Cl,3
Pb,K,1
Pb,Ca,1
Pb,Ti,3
Pb,V,3
Pb,Cr,3
Pb,Mn,5
Pb,Fe,8
Pb,Cu,5
Pb,Zn,37
Pb,As,13
Pb,Se,1
Pb,Sr,1
Pb,Y,2
Pb,Ag,1
Pb,Sb,1
Pb,Te,5
Pb,Pb,37
Pb,U,2
U,H,6
U,C,1
U,O,6
U,S,2
U,Ca,1
U,Ti,2
U,V,1
U,Cr,1
U,Mn,1
U,Fe,2
U,Zn,6
U,As,1
U,Sr,1
U,Y,1
U,Pb,2
U,U,6
H,H,239
Be,H,3
C,H,17
N,H,1
O,H,239
F,H,3
Na,H,15
Mg,H,37
Al,H,40
Si,H,37
P,H,45
S,H,58
Cl,H,12
K,H,11
Ca,H,34
Ti,H,17
V,H,7
Cr,H,4
Mn,H,42
Fe,H,62
Ni,H,3
Cu,H,41
Zn,H,239
As,H,59
Sr,H,2
Y,H,3
Nb,H,6
Ag,H,1
Cd,H,3
Sn,H,8
Sb,H,5
Te,H,7
Ba,H,2
Ce,H,1
W,H,1
Pb,H,29
U,H,6
Li,Li,2
O,Li,2
Na,Li,1
Si,Li,2
K,Li,2
Mn,Li,2
Zn,Li,2
H,Be,3
Be,Be,6
O,Be,6
Mg,Be,2
Al,Be,2
Si,Be,2
P,Be,2
S,Be,1
Ca,Be,3
Mn,Be,1
Fe,Be,2
Zn,Be,6
B,B,1
O,B,1
Cl,B,1
K,B,1
Zn,B,1
H,C,17
C,C,19
O,C,19
Mg,C,3
Al,C,1
P,C,1
S,C,4
Ca,C,3
Cr,C,1
Mn,C,2
Fe,C,2
Cu,C,4
Zn,C,19
As,C,1
U,C,1
H,N,1
N,N,1
O,N,1
S,N,1
Zn,N,1
H,O,239
Li,O,2
Be,O,6
B,O,1
C,O,19
N,O,1
O,O,292
F,O,3
Na,O,23
Mg,O,44
Al,O,45
Si,O,54
P,O,47
S,O,65
Cl,O,16
K,O,21
Ca,O,45
Ti,O,19
V,O,8
Cr,O,5
Mn,O,54
Fe,O,72
Ni,O,3
Cu,O,46
Zn,O,292
As,O,67
Se,O,3
Sr,O,4
Y,O,3
Nb,O,6
Ag,O,1
Cd,O,3
Sn,O,8
Sb,O,7
Te,O,14
Ba,O,3
La,O,2
Ce,O,4
W,O,2
Pb,O,37
U,O,6
H,F,3
O,F,3
F,F,3
Na,F,3
Si,F,2
Ti,F,3
Fe,F,1
Zn,F,3
Y,F,1
Nb,F,2
Ba,F,1
Ce,F,1
H,Na,15
Li,Na,1
O,Na,23
F,Na,3
Na,Na,24
Mg,Na,6
Al,Na,5
Si,Na,14
S,Na,6
Cl,Na,1
K,Na,6
Ca,Na,5
Ti,Na,7
Mn,Na,5
Fe,Na,3
Cu,Na,3
Zn,Na,24
As,Na,3
Sr,Na,3
Y,Na,1
Nb,Na,3
Ba,Na,2
La,Na,2
Ce,Na,4
H,Mg,37
Be,Mg,2
C,Mg,3
O,Mg,44
Na,Mg,6
Mg,Mg,44
Al,Mg,16
Si,Mg,12
P,Mg,5
S,Mg,6
Cl,Mg,1
K,Mg,3
Ca,Mg,8
Ti,Mg,3
Mn,Mg,23
Fe,Mg,19
Cu,Mg,3
Zn,Mg,44
As,Mg,10
Sr,Mg,2
Sn,Mg,3
Sb,Mg,1
Te,Mg,3
La,Mg,2
Ce,Mg,2
W,Mg,1
Pb,Mg,1
H,Al,40
Be,Al,2
C,Al,1
O,Al,45
Na,Al,5
Mg,Al,16
Al,Al,47
Si,Al,13
P,Al,6
S,Al,8
K,Al,7
Ca,Al,3
Ti,Al,5
V,Al,3
Mn,Al,9
Fe,Al,20
Ni,Al,2
Cu,Al,3
Zn,Al,47
As,Al,4
Sn,Al,6
Sb,Al,1
H,Si,37
Li,Si,2
Be,Si,2
O,Si,54
F,Si,2
Na,Si,14
Mg,Si,12
Al,Si,13
Si,Si,54
P,Si,1
S,Si,5
Cl,Si,1
K,Si,14
Ca,Si,14
Ti,Si,8
V,Si,1
Cr,Si,1
Mn,Si,18
Fe,Si,9
Ni,Si,1
Cu,Si,2
Zn,Si,54
As,Si,7
Sr,Si,3
Nb,Si,5
Sb,Si,1
Ba,Si,3
La,Si,2
Ce,Si,4
Pb,Si,6
H,P,45
Be,P,2
C,P,1
O,P,47
Mg,P,5
Al,P,6
Si,P,1
P,P,47
S,P,1
Ca,P,11
Mn,P,12
Fe,P,19
Cu,P,7
Zn,P,47
As,P,3
Te,P,1
Pb,P,5
H,S,58
Be,S,1
C,S,4
N,S,1
O,S,65
Na,S,6
Mg,S,6
Al,S,8
Si,S,5
P,S,1
S,S,98
Cl,S,4
K,S,4
Ca,S,6
Cr,S,2
Mn,S,7
Fe,S,27
Cu,S,37
Zn,S,98
Ga,S,3
Ge,S,5
As,S,9
Ag,S,11
Cd,S,2
In,S,3
Sn,S,7
Sb,S,7
W,S,1
Hg,S,3
Tl,S,3
Pb,S,10
U,S,2
H,Cl,12
B,Cl,1
O,Cl,16
Na,Cl,1
Mg,Cl,1
Si,Cl,1
S,Cl,4
Cl,Cl,18
K,Cl,6
Ca,Cl,1
Mn,Cl,1
Fe,Cl,1
Cu,Cl,7
Zn,Cl,18
As,Cl,2
Se,Cl,2
Ag,Cl,1
Te,Cl,3
Pb,Cl,3
H,K,11
Li,K,2
B,K,1
O,K,21
Na,K,6
Mg,K,3
Al,K,7
Si,K,14
S,K,4
Cl,K,6
K,K,23
Ca,K,4
Ti,K,4
Mn,K,4
Fe,K,3
Cu,K,1
Zn,K,23
As,K,2
Se,K,1
Sr,K,1
Nb,K,4
Ba,K,1
Pb,K,1
H,Ca,34
Be,Ca,3
C,Ca,3
O,Ca,45
Na,Ca,5
Mg,Ca,8
Al,Ca,3
Si,Ca,14
P,Ca,11
S,Ca,6
Cl,Ca,1
K,Ca,4
Ca,Ca,45
Mn,Ca,11
Fe,Ca,10
Cu,Ca,5
Zn,Ca,45
As,Ca,10
Sr,Ca,2
Cd,Ca,1
Te,Ca,2
La,Ca,2
Ce,Ca,2
W,Ca,1
Pb,Ca,1
U,Ca,1
H,Ti,17
O,Ti,19
F,Ti,3
Na,Ti,7
Mg,Ti,3
Al,Ti,5
Si,Ti,8
K,Ti,4
Ti,Ti,19
V,Ti,1
Cr,Ti,1
Mn,Ti,5
Fe,Ti,11
Zn,Ti,19
Sr,Ti,2
Y,Ti,3
Nb,Ti,6
Ba,Ti,2
Ce,Ti,1
Pb,Ti,3
U,Ti,2
H,V,7
O,V,8
Al,V,3
Si,V,1
Ti,V,1
V,V,8
Cr,V,1
Mn,V,1
Fe,V,1
Ni,V,3
Cu,V,1
Zn,V,8
Y,V,1
Te,V,1
Pb,V,3
U,V,1
H,Cr,4
C,Cr,1
O,Cr,5
Si,Cr,1
S,Cr,2
Ti,Cr,1
V,Cr,1
Cr,Cr,7
Mn,Cr,2
Fe,Cr,1
Cu,Cr,1
Zn,Cr,7
As,Cr,1
Y,Cr,1
Sb,Cr,1
Pb,Cr,3
U,Cr,1
H,Mn,42
Li,Mn,2
Be,Mn,1
C,Mn,2
O,Mn,54
Na,Mn,5
Mg,Mn,23
Al,Mn,9
Si,Mn,18
P,Mn,12
S,Mn,7
Cl,Mn,1
K,Mn,4
Ca,Mn,11
Ti,Mn,5
V,Mn,1
Cr,Mn,2
Mn,Mn,55
Fe,Mn,28
Zn,Mn,55
As,Mn,10
Sr,Mn,2
Y,Mn,2
Sb,Mn,1
Te,Mn,2
La,Mn,2
Ce,Mn,2
W,Mn,1
Pb,Mn,5
U,Mn,1
H,Fe,62
Be,Fe,2
C,Fe,2
O,Fe,72
F,Fe,1
Na,Fe,3
Mg,Fe,19
Al,Fe,20
Si,Fe,9
P,Fe,19
S,Fe,27
Cl,Fe,1
K,Fe,3
Ca,Fe,10
Ti,Fe,11
V,Fe,1
Cr,Fe,1
Mn,Fe,28
Fe,Fe,88
Cu,Fe,14
Zn,Fe,88
Ga,Fe,2
Ge,Fe,5
As,Fe,16
Sr,Fe,1
Y,Fe,3
Nb,Fe,1
Ag,Fe,3
Cd,Fe,1
In,Fe,3
Sn,Fe,9
Sb,Fe,2
Te,Fe,1
W,Fe,3
Hg,Fe,1
Tl,Fe,1
Pb,Fe,8
U,Fe,2
H,Ni,3
O,Ni,3
Al,Ni,2
Si,Ni,1
V,Ni,3
Ni,Ni,3
Cu,Ni,1
Zn,Ni,3
H,Cu,41
C,Cu,4
O,Cu,46
Na,Cu,3
Mg,Cu,3
Al,Cu,3
Si,Cu,2
P,Cu,7
S,Cu,37
Cl,Cu,7
K,Cu,1
Ca,Cu,5
V,Cu,1
Cr,Cu,1
Fe,Cu,14
Ni,Cu,1
Cu,Cu,75
Zn,Cu,75
Ga,Cu,3
Ge,Cu,5
As,Cu,22
Se,Cu,3
Pd,Cu,1
Ag,Cu,7
Cd,Cu,3
In,Cu,3
Sn,Cu,6
Sb,Cu,9
Te,Cu,4
W,Cu,1
Hg,Cu,2
Tl,Cu,2
Pb,Cu,5
H,Zn,239
Li,Zn,2
Be,Zn,6
B,Zn,1
C,Zn,19
N,Zn,1
O,Zn,292
F,Zn,3
Na,Zn,24
Mg,Zn,44
Al,Zn,47
Si,Zn,54
P,Zn,47
S,Zn,98
Cl,Zn,18
K,Zn,23
