from,to,weight
H,H,80
H,Li,3
H,Be,3
H,B,2
H,C,9
H,O,80
H,F,5
H,Na,65
H,Mg,3
H,Al,3
H,Si,68
H,P,9
H,S,1
H,Cl,21
H,K,15
H,Ca,40
H,Ti,9
H,V,1
H,Mn,23
H,Fe,26
H,Sr,13
H,Y,2
H,Zr,80
H,Nb,15
H,Mo,1
H,Cs,2
H,Ba,3
H,Ce,6
H,W,3
H,Pb,1
Li,H,3
Li,Li,6
Li,Be,2
Li,C,1
Li,O,6
Li,F,2
Li,Na,4
Li,Si,3
Li,P,3
Li,K,3
Li,Ca,2
Li,Ti,1
Li,Y,1
Li,Zr,6
Li,Cs,1
Be,H,3
Be,Li,2
Be,Be,3
Be,O,3
Be,Na,3
Be,Al,1
Be,P,3
Be,K,2
Be,Zr,3
Be,Cs,1
B,H,2
B,B,3
B,O,3
B,Na,2
B,Al,1
B,Si,2
B,Ca,1
B,Sr,2
B,Zr,3
B,Ba,1
C,H,9
C,Li,1
C,C,10
C,O,10
C,F,1
C,Na,10
C,Si,6
C,P,2
C,Ca,7
C,Ti,1
C,V,1
C,Mn,4
C,Fe,2
C,Sr,2
C,Y,1
C,Zr,10
C,Nb,4
C,Ce,2
C,W,1
O,H,80
O,Li,6
O,Be,3
O,B,3
O,C,10
O,O,140
O,F,18
O,Na,83
O,Mg,8
O,Al,9
O,Si,102
O,P,10
O,S,1
O,Cl,21
O,K,22
O,Ca,76
O,Sc,2
O,Ti,36
O,V,1
O,Cr,4
O,Mn,32
O,Fe,41
O,Sr,18
O,Y,5
O,Zr,140
O,Nb,20
O,Mo,1
O,Sn,1
O,Sb,2
O,Cs,2
O,Ba,5
O,La,2
O,Ce,10
O,Ta,1
O,W,3
O,Pb,1
O,U,1
F,H,5
F,Li,2
F,C,1
F,O,18
F,F,18
F,Na,17
F,Si,17
F,P,1
F,K,3
F,Ca,14
F,Ti,7
F,Mn,8
F,Fe,5
F,Y,1
F,Zr,18
F,Nb,4
Na,H,65
Na,Li,4
Na,Be,3
Na,B,2
Na,C,10
Na,O,83
Na,F,17
Na,Na,83
Na,Al,2
Na,Si,75
Na,P,7
Na,Cl,21
Na,K,12
Na,Ca,47
Na,Ti,12
Na,V,1
Na,Mn,29
Na,Fe,28
Na,Sr,13
Na,Y,2
Na,Zr,83
Na,Nb,16
Na,Cs,2
Na,Ba,1
Na,Ce,6
Na,W,3
Mg,H,3
Mg,O,8
Mg,Mg,8
Mg,Al,3
Mg,Si,1
Mg,P,1
Mg,K,1
Mg,Ca,4
Mg,Sc,1
Mg,Ti,6
Mg,Cr,4
Mg,Fe,3
Mg,Sr,2
Mg,Zr,8
Mg,Nb,1
Mg,Ba,2
Mg,La,1
Mg,Ce,1
Al,H,3
Al,Be,1
Al,B,1
Al,O,9
Al,Na,2
Al,Mg,3
Al,Al,9
Al,Si,2
Al,P,2
Al,K,1
Al,Ca,5
Al,Sc,1
Al,Ti,4
Al,Cr,1
Al,Fe,1
Al,Y,1
Al,Zr,9
Al,La,1
Al,Ce,1
Si,H,68
Si,Li,3
Si,B,2
Si,C,6
Si,O,102
Si,F,17
Si,Na,75
Si,Mg,1
Si,Al,2
Si,Si,102
Si,P,1
Si,Cl,21
Si,K,18
Si,Ca,57
Si,Ti,18
Si,V,1
Si,Mn,30
Si,Fe,32
Si,Sr,15
Si,Y,2
Si,Zr,102
